                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.6911	7.18771	7.22181	6.02084	11.5037
Length   16, n   16, alignment  1/ 1:	11.0078	7.43776	7.55528	6.17594	11.6945
Length   16, n   16, alignment  1/ 2:	11.2715	7.47161	7.53831	6.20675	14.1361
Length   16, n   16, alignment  2/ 1:	11.0454	7.53833	7.5383	6.25403	11.6047
Length    2, n    4, alignment  7/ 2:	13.1735	11.0292	11.5856	10.7037	13.6541
Length    4, n    2, alignment  2/ 7:	10.669	7.40146	8.10048	7.35934	11.2715
Length    2, n    4, alignment  7/ 2:	14.057	10.9648	11.977	10.7037	14.0571
Length    4, n    2, alignment  2/ 7:	10.8142	7.39685	8.15676	7.18163	11.0898
Length   16, n   16, alignment  2/ 2:	11.0586	7.53256	7.5384	6.05625	11.6807
Length   16, n   16, alignment  2/ 2:	11.1981	7.5383	7.53827	6.17526	11.707
Length   16, n   16, alignment  2/ 4:	11.2186	7.39136	7.55262	6.16767	11.6608
Length   16, n   16, alignment  4/ 2:	11.1903	7.53823	7.55298	6.16793	11.6821
Length    4, n    8, alignment  6/ 4:	14.2432	11.8674	11.9609	10.9739	14.7483
Length    8, n    4, alignment  4/ 6:	11.0324	7.53852	8.2319	6.74397	11.7333
Length    4, n    8, alignment  6/ 4:	14.3383	11.9101	11.9618	10.9728	14.7195
Length    8, n    4, alignment  4/ 6:	11.2604	7.58288	8.23109	6.85313	11.8458
Length   16, n   16, alignment  3/ 3:	11.3669	7.56442	7.53824	6.16788	11.7273
Length   16, n   16, alignment  3/ 3:	11.2186	7.55487	7.55473	6.16767	11.5818
Length   16, n   16, alignment  3/ 6:	11.1971	8.08558	7.53828	6.16767	11.6676
Length   16, n   16, alignment  6/ 3:	11.141	7.54831	7.55509	6.16763	11.8538
Length    8, n   16, alignment  5/ 6:	14.4851	10.9648	10.6912	10.8585	14.9343
Length   16, n    8, alignment  6/ 5:	11.0933	8.74274	7.5385	6.06184	12.0292
Length    8, n   16, alignment  5/ 6:	14.0402	10.9649	9.97937	10.7885	14.5015
Length   16, n    8, alignment  6/ 5:	11.0707	8.2325	7.5384	6.16775	11.7708
Length   16, n   16, alignment  4/ 4:	11.0313	7.54101	7.53827	6.1677	11.6718
Length   16, n   16, alignment  4/ 4:	11.0528	7.54571	7.53822	6.16767	11.7718
Length   16, n   16, alignment  4/ 0:	11.2826	7.53826	7.41637	6.17528	11.6725
Length   16, n   16, alignment  0/ 4:	11.27	7.53826	7.53835	6.1748	11.5937
Length   16, n   32, alignment  4/ 0:	14.0988	10.5015	10.5336	10.9058	14.5814
Length   32, n   16, alignment  0/ 4:	11.3137	6.85303	6.85316	6.16772	11.5487
Length   16, n   32, alignment  4/ 0:	14.1556	10.4999	10.5347	10.9648	14.8637
Length   32, n   16, alignment  0/ 4:	11.1951	6.86057	6.85321	6.16766	11.6581
Length   16, n   16, alignment  5/ 5:	11.0489	7.54578	7.53824	6.16769	11.6667
Length   16, n   16, alignment  5/ 5:	11.1996	7.54564	7.53824	6.16766	11.6642
Length   16, n   16, alignment  5/ 2:	11.2232	7.54811	7.53843	6.16761	11.6583
Length   16, n   16, alignment  2/ 5:	11.1611	7.62217	7.53831	6.17488	11.6507
Length   32, n   64, alignment  3/ 2:	18.8144	9.71801	10.4537	12.5777	19.6516
Length   64, n   32, alignment  2/ 3:	10.084	7.53842	7.54627	7.45983	10.491
Length   32, n   64, alignment  3/ 2:	18.3855	10.3279	10.3777	12.5474	18.3519
Length   64, n   32, alignment  2/ 3:	10.3949	7.7532	7.60991	7.45857	10.5773
Length   16, n   16, alignment  6/ 6:	11.4614	7.54569	7.57918	6.3218	11.7465
Length   16, n   16, alignment  6/ 6:	11.056	7.54561	7.53825	6.16762	11.6687
Length   16, n   16, alignment  6/ 4:	11.232	7.69147	7.53828	6.29511	11.7845
Length   16, n   16, alignment  4/ 6:	11.2079	7.53827	7.53825	6.17648	11.8005
Length   64, n  128, alignment  2/ 4:	16.1266	14.1214	13.6783	15.7322	16.5825
Length  128, n   64, alignment  4/ 2:	12.287	9.42568	10.2794	11.6047	12.7495
Length   64, n  128, alignment  2/ 4:	16.463	13.9697	13.6981	15.9856	16.662
Length  128, n   64, alignment  4/ 2:	12.7513	10.159	10.2795	11.6116	12.7544
Length   16, n   16, alignment  7/ 7:	11.2641	7.74883	7.75211	6.25069	11.6738
Length   16, n   16, alignment  7/ 7:	11.0734	7.54566	7.5382	6.16772	11.6646
Length   16, n   16, alignment  7/ 6:	11.1111	7.54567	7.53829	6.19191	11.7861
Length   16, n   16, alignment  6/ 7:	11.0551	7.54564	7.53824	6.16764	11.7323
Length  128, n  256, alignment  1/ 6:	21.5285	17.4089	17.0802	24.9565	21.1695
Length  256, n  128, alignment  6/ 1:	15.3209	13.423	13.2321	19.4746	15.5318
Length  128, n  256, alignment  1/ 6:	21.4038	17.5593	16.9767	24.548	21.1315
Length  256, n  128, alignment  6/ 1:	15.8265	13.5089	13.1954	19.5739	16.2421
Length    8, n   16, alignment  0/ 0:	14.4942	10.9722	10.1565	10.9721	14.7199
Length   32, n   16, alignment  0/ 0:	11.0419	6.85308	6.86072	6.16768	11.6533
Length    8, n   16, alignment  7/ 2:	14.1485	11.3172	11.4255	10.974	14.9371
Length   32, n   16, alignment  7/ 2:	11.0424	7.53828	7.54548	6.1676	11.6499
Length   16, n   32, alignment  0/ 0:	13.9437	9.69009	9.71327	10.9726	14.5521
Length   64, n   32, alignment  0/ 0:	10.7289	7.55509	7.53834	6.17955	10.4592
Length   16, n   32, alignment  6/ 4:	14.144	10.4937	10.5329	10.965	14.7094
Length   64, n   32, alignment  6/ 4:	10.3037	7.53827	7.53827	6.38267	10.5315
Length   32, n   64, alignment  0/ 0:	16.5422	10.48	10.3082	11.8525	16.1229
Length  128, n   64, alignment  0/ 0:	12.1066	8.26525	8.37992	9.33751	12.4006
Length   32, n   64, alignment  5/ 6:	16.9848	11.5814	11.6815	13.2487	17.0061
Length  128, n   64, alignment  5/ 6:	12.5869	10.559	10.3393	12.5289	12.7292
Length   64, n  128, alignment  0/ 0:	15.9334	13.3049	12.5593	14.9177	16.2938
Length  256, n  128, alignment  0/ 0:	14.7176	10.5389	9.88252	14.1378	15.4975
Length   64, n  128, alignment  4/ 0:	15.9799	13.4742	13.5752	15.7655	16.4939
Length  256, n  128, alignment  4/ 0:	14.716	13.3045	12.2334	18.5544	15.62
Length  128, n  256, alignment  0/ 0:	19.1262	16.0797	15.4685	22.7693	18.2864
Length  512, n  256, alignment  0/ 0:	18.5093	15.6274	14.8425	21.6604	18.4006
Length  128, n  256, alignment  3/ 2:	21.6557	17.3358	16.8931	23.4229	21.4376
Length  512, n  256, alignment  3/ 2:	23.4004	20.8575	20.8752	23.3655	23.0201
Length  256, n  512, alignment  0/ 0:	26.8475	24.0307	23.1925	28.5967	26.6486
Length 1024, n  512, alignment  0/ 0:	29.0797	19.5115	19.7455	29.0096	29.7375
