                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.5151	6.2511	6.17932	6.09448	6.09021
Length    0, alignments in bytes  0/ 0:	12.885	6.84448	6.18787	6.09424	6.0863
Length    0, alignments in bytes  0/ 0:	11.5557	6.22534	6.18787	5.54639	5.12
Length    0, alignments in bytes  0/ 0:	9.58667	5.74829	5.20483	5.11072	5.11694
Length    1, alignments in bytes  0/ 0:	9.76367	6.39514	5.19714	5.11426	5.12317
Length    1, alignments in bytes  0/ 0:	9.77307	5.76172	5.75781	5.12622	5.12012
Length    1, alignments in bytes  0/ 1:	9.87061	5.70337	5.18628	5.12109	5.12109
Length    1, alignments in bytes  1/ 0:	9.34949	5.76196	5.74768	5.11853	4.78918
Length    2, alignments in bytes  0/ 0:	9.40369	5.89392	5.8866	6.14697	6.40515
Length    2, alignments in bytes  0/ 0:	9.34436	5.87866	5.90039	6.12317	6.40674
Length    2, alignments in bytes  0/ 2:	9.39844	5.81763	5.8385	6.12585	6.39099
Length    2, alignments in bytes  2/ 0:	9.31384	5.75879	5.10986	5.12036	6.39771
Length    3, alignments in bytes  0/ 0:	9.58557	4.53125	5.11926	5.1217	6.4043
Length    3, alignments in bytes  0/ 0:	9.82874	4.53455	5.12048	5.12109	6.40466
Length    3, alignments in bytes  0/ 3:	9.58862	5.11523	5.1189	5.11621	6.40588
Length    3, alignments in bytes  3/ 0:	9.59961	5.74646	5.12292	5.11206	8.32129
Length    4, alignments in bytes  0/ 0:	9.63599	8.29504	7.81677	5.73206	8.13086
Length    4, alignments in bytes  0/ 0:	9.78418	7.81921	7.81006	5.7406	8.13782
Length    4, alignments in bytes  0/ 4:	9.38562	5.9115	5.97144	5.73547	8.12024
Length    4, alignments in bytes  4/ 0:	9.36963	5.00647	4.99365	5.00757	7.81995
Length    5, alignments in bytes  0/ 0:	9.68689	7.80566	7.81506	6.48999	8.90222
Length    5, alignments in bytes  0/ 0:	9.61694	7.80933	7.81787	6.49316	8.91638
Length    5, alignments in bytes  0/ 5:	9.875	5.90857	5.96521	5.70093	8.13037
Length    5, alignments in bytes  5/ 0:	9.37305	4.99866	5.00256	5.00012	9.17566
Length    6, alignments in bytes  0/ 0:	9.38342	7.81165	7.81396	7.1687	11.257
Length    6, alignments in bytes  0/ 0:	9.37061	7.80664	8.34802	7.33899	11.5074
Length    6, alignments in bytes  0/ 6:	9.58521	6.04053	6.10437	5.71899	11.5
Length    6, alignments in bytes  6/ 0:	9.58276	5.10852	5.11963	5.10693	8.96057
Length    7, alignments in bytes  0/ 0:	9.68799	7.01843	6.88342	5.1189	11.5056
Length    7, alignments in bytes  0/ 0:	9.6748	6.98792	6.91406	5.12415	11.5114
Length    7, alignments in bytes  0/ 7:	9.80103	6.04443	6.10608	5.12268	11.4944
Length    7, alignments in bytes  7/ 0:	9.78906	5.10828	5.11926	5.10876	11.5149
Length    8, alignments in bytes  0/ 0:	9.7179	8.2804	7.99731	5.8689	5.77393
Length    8, alignments in bytes  0/ 0:	9.65454	8.31079	7.995	5.86853	5.15955
Length    8, alignments in bytes  0/ 0:	9.88025	8.40027	7.99048	5.86694	5.15088
Length    8, alignments in bytes  0/ 0:	9.79956	8.3064	7.99585	5.8656	5.14844
Length    9, alignments in bytes  0/ 0:	9.65405	8.70544	7.99158	6.62793	5.98401
Length    9, alignments in bytes  0/ 0:	9.79895	9.47107	8.69922	7.11475	6.38806
Length    9, alignments in bytes  0/ 1:	10.3879	9.23145	8.6322	7.04626	6.69019
Length    9, alignments in bytes  1/ 0:	9.70618	8.16602	8.02002	6.9762	14.083
Length   10, alignments in bytes  0/ 0:	9.66785	8.55762	7.98389	7.32593	6.79578
Length   10, alignments in bytes  0/ 0:	9.70447	8.20886	7.9895	7.3551	6.78857
