                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.6067	5.80591	6.33362	5.63611	5.62427
Length    0, alignments in bytes  0/ 0:	11.2543	5.81177	7.03748	5.62891	5.63977
Length    0, alignments in bytes  0/ 0:	11.2446	5.79199	6.33325	5.62988	5.61877
Length    0, alignments in bytes  0/ 0:	11.2463	6.33533	6.33093	5.62366	5.63135
Length    1, alignments in bytes  0/ 0:	11.0142	6.32593	7.03552	5.63281	5.64148
Length    1, alignments in bytes  0/ 0:	10.9542	7.03784	7.03955	5.62512	5.64282
Length    1, alignments in bytes  0/ 1:	10.8479	7.03333	7.02942	5.63135	5.62488
Length    1, alignments in bytes  1/ 0:	10.5483	6.32788	7.03809	6.0741	5.08801
Length    2, alignments in bytes  0/ 0:	10.3075	6.87	6.85986	6.62158	6.87585
Length    2, alignments in bytes  0/ 0:	10.2906	6.86035	6.86707	6.62317	6.86584
Length    2, alignments in bytes  0/ 2:	10.2881	6.86572	6.86621	6.57971	6.86377
Length    2, alignments in bytes  2/ 0:	10.2863	6.86804	6.85632	5.4895	6.2157
Length    3, alignments in bytes  0/ 0:	10.9845	6.17371	6.86597	5.49817	6.87744
Length    3, alignments in bytes  0/ 0:	10.9807	6.18604	6.86682	5.49097	6.8772
Length    3, alignments in bytes  0/ 3:	10.9772	6.17969	6.85693	5.49622	6.86353
Length    3, alignments in bytes  3/ 0:	10.9738	6.16846	6.86353	5.48596	8.271
Length    4, alignments in bytes  0/ 0:	10.9723	8.578	8.53735	6.29224	8.927
Length    4, alignments in bytes  0/ 0:	10.9722	8.573	8.53198	6.28113	8.92358
Length    4, alignments in bytes  0/ 4:	10.974	6.49792	6.86377	6.28284	8.92126
Length    4, alignments in bytes  4/ 0:	11.0405	6.16699	6.86768	5.4895	8.29138
Length    5, alignments in bytes  0/ 0:	10.9742	8.56848	8.52405	7.10315	9.91504
Length    5, alignments in bytes  0/ 0:	10.9716	8.5741	8.53113	7.09241	9.89478
Length    5, alignments in bytes  0/ 5:	10.9718	6.50073	6.86292	6.22253	8.91553
Length    5, alignments in bytes  5/ 0:	10.9698	6.18164	6.85425	6.16968	8.94226
Length    6, alignments in bytes  0/ 0:	10.9728	8.57703	8.52722	7.87195	12.3551
Length    6, alignments in bytes  0/ 0:	10.9723	8.57153	8.52405	7.86011	12.3542
Length    6, alignments in bytes  0/ 6:	10.9718	6.49548	6.87146	6.13928	12.3441
Length    6, alignments in bytes  6/ 0:	10.9716	6.16711	6.85962	5.49194	9.34424
Length    7, alignments in bytes  0/ 0:	10.9799	7.53479	7.4469	5.49402	12.3666
Length    7, alignments in bytes  0/ 0:	10.9756	7.54431	7.39819	5.49866	12.3459
Length    7, alignments in bytes  0/ 7:	10.9738	6.4978	6.85889	5.48523	12.3347
Length    7, alignments in bytes  7/ 0:	10.9722	6.17676	6.85864	5.48206	11.6635
Length    8, alignments in bytes  0/ 0:	12.457	8.76147	8.60254	6.29297	6.18872
Length    8, alignments in bytes  0/ 0:	10.9728	8.74377	8.60559	6.28406	6.17969
Length    8, alignments in bytes  0/ 0:	10.973	8.7876	8.59521	6.28186	6.1792
Length    8, alignments in bytes  0/ 0:	10.9762	8.74182	8.58936	6.28943	6.17395
