                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.2031	7.18776	7.87494	6.69561	11.1663
Length   16, n   16, alignment  1/ 1:	12.5834	7.44901	8.24052	6.87965	14.044
Length   16, n   16, alignment  1/ 2:	12.3501	7.57444	8.35288	6.85293	11.2565
Length   16, n   16, alignment  2/ 1:	12.6906	7.55179	8.2235	6.89492	11.128
Length    2, n    4, alignment  7/ 2:	13.4637	11.9038	10.9649	10.9699	14.3678
Length    4, n    2, alignment  2/ 7:	12.0492	8.25495	8.24002	6.771	11.077
Length    2, n    4, alignment  7/ 2:	13.6353	11.6609	10.9704	10.9428	14.1614
Length    4, n    2, alignment  2/ 7:	11.8499	8.91377	8.18384	6.68987	11.0309
Length   16, n   16, alignment  2/ 2:	12.6448	7.58279	8.22357	6.85764	11.1996
Length   16, n   16, alignment  2/ 2:	12.5496	7.71898	8.22356	6.85801	11.1614
Length   16, n   16, alignment  2/ 4:	12.7437	7.72675	8.24257	6.85291	11.3594
Length   16, n   16, alignment  4/ 2:	12.868	7.74411	8.41173	6.85293	11.233
Length    4, n    8, alignment  6/ 4:	14.6169	12.1284	11.9335	10.9715	14.0103
Length    8, n    4, alignment  4/ 6:	12.5552	7.54592	8.22357	6.85294	11.6207
Length    4, n    8, alignment  6/ 4:	14.3417	12.1854	11.9342	10.9648	14.254
Length    8, n    4, alignment  4/ 6:	12.5865	7.58421	8.22356	6.85301	11.2033
Length   16, n   16, alignment  3/ 3:	13.0217	7.72679	8.3605	6.85818	11.2478
Length   16, n   16, alignment  3/ 3:	12.6497	7.5382	8.40085	6.85293	11.3426
Length   16, n   16, alignment  3/ 6:	12.8076	7.64322	8.22825	6.8529	11.2484
Length   16, n   16, alignment  6/ 3:	12.9084	7.5431	8.22359	6.85291	11.2883
Length    8, n   16, alignment  5/ 6:	14.4817	11.1469	10.9777	10.9699	14.252
Length   16, n    8, alignment  6/ 5:	12.7104	8.22834	8.90892	6.85309	11.3516
Length    8, n   16, alignment  5/ 6:	14.0672	11.0482	11.2002	10.9646	14.0176
Length   16, n    8, alignment  6/ 5:	12.4988	8.24689	8.90906	6.85303	11.2893
Length   16, n   16, alignment  4/ 4:	12.6908	7.74423	8.24966	6.85799	11.2284
Length   16, n   16, alignment  4/ 4:	12.9241	7.72674	8.26191	6.8529	11.3064
Length   16, n   16, alignment  4/ 0:	12.4878	7.72627	8.28747	6.85291	11.1912
Length   16, n   16, alignment  0/ 4:	12.8308	7.71963	8.22358	6.86407	11.3125
Length   16, n   32, alignment  4/ 0:	14.519	10.6977	11.6502	11.6548	14.3348
Length   32, n   16, alignment  0/ 4:	12.6618	6.85827	6.99191	6.86477	11.1708
Length   16, n   32, alignment  4/ 0:	14.5029	10.7193	11.6556	11.6501	14.2589
Length   32, n   16, alignment  0/ 4:	12.6134	6.98476	6.94365	6.85297	11.4033
Length   16, n   16, alignment  5/ 5:	12.9065	7.58702	8.34628	6.88452	11.2648
Length   16, n   16, alignment  5/ 5:	12.9105	7.72645	8.22352	6.85755	11.3048
Length   16, n   16, alignment  5/ 2:	12.8273	7.74922	8.45219	6.92134	11.2618
Length   16, n   16, alignment  2/ 5:	12.5415	7.72677	8.27422	6.91139	11.1886
Length   32, n   64, alignment  3/ 2:	17.3683	9.68297	10.5086	13.5838	17.7497
Length   64, n   32, alignment  2/ 3:	11.5872	7.74891	7.72693	7.60436	11.4181
Length   32, n   64, alignment  3/ 2:	17.3494	10.4916	13.3258	13.5625	16.7574
Length   64, n   32, alignment  2/ 3:	11.516	7.74832	7.75592	7.62305	11.3781
Length   16, n   16, alignment  6/ 6:	12.9608	7.74349	8.43537	7.0242	11.3509
Length   16, n   16, alignment  6/ 6:	12.3355	7.67481	8.40075	6.85293	11.2681
Length   16, n   16, alignment  6/ 4:	12.7922	7.74131	8.28768	6.86872	11.0853
Length   16, n   16, alignment  4/ 6:	12.8649	7.68504	8.22355	6.87748	11.3027
Length   64, n  128, alignment  2/ 4:	16.1396	14.8379	14.0524	16.2714	15.9921
Length  128, n   64, alignment  4/ 2:	14.8108	9.38008	10.5303	11.9917	14.2478
Length   64, n  128, alignment  2/ 4:	17.6049	14.8674	14.0545	16.709	16.1189
Length  128, n   64, alignment  4/ 2:	14.2317	9.34695	10.5365	12.0125	13.6567
Length   16, n   16, alignment  7/ 7:	12.8904	7.72684	8.24371	6.85291	11.3717
Length   16, n   16, alignment  7/ 7:	12.7643	7.62488	8.23075	6.85293	11.1978
Length   16, n   16, alignment  7/ 6:	12.9261	7.73196	8.42912	6.96061	11.3093
Length   16, n   16, alignment  6/ 7:	12.6647	7.67118	8.34777	6.97771	11.4271
Length  128, n  256, alignment  1/ 6:	20.8974	18.4596	17.3956	24.6856	20.8801
Length  256, n  128, alignment  6/ 1:	16.5158	13.9179	12.9905	19.819	17.1267
Length  128, n  256, alignment  1/ 6:	20.9898	18.4174	17.4043	25.2101	20.0779
Length  256, n  128, alignment  6/ 1:	16.6153	13.9076	12.968	19.7756	17.202
Length    8, n   16, alignment  0/ 0:	14.5136	11.2392	11.0338	10.9647	13.8825
Length   32, n   16, alignment  0/ 0:	12.6875	6.85312	6.85303	6.85765	11.1425
Length    8, n   16, alignment  7/ 2:	15.0734	11.6116	11.3074	10.9649	14.1223
Length   32, n   16, alignment  7/ 2:	12.426	7.55504	7.72667	6.90545	11.4105
Length   16, n   32, alignment  0/ 0:	14.0305	9.9937	11.8605	11.6501	13.8637
Length   64, n   32, alignment  0/ 0:	12.4791	7.53842	7.53828	7.54304	11.2734
Length   16, n   32, alignment  6/ 4:	14.3979	10.8134	11.6848	11.6546	14.189
Length   64, n   32, alignment  6/ 4:	11.5668	7.72675	7.74354	7.73214	11.2701
Length   32, n   64, alignment  0/ 0:	15.9915	10.036	10.5387	13.2165	14.6989
Length  128, n   64, alignment  0/ 0:	13.3586	7.74897	7.75041	9.83427	12.3864
Length   32, n   64, alignment  5/ 6:	16.0517	11.5232	11.82	13.9753	15.9621
Length  128, n   64, alignment  5/ 6:	14.1877	10.5519	10.5448	12.7553	13.9978
Length   64, n  128, alignment  0/ 0:	16.1334	13.2173	12.5288	14.9807	16.0395
