                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	24.2037	22.0762	22.8859	20.3234	13.2331
Length    0/   0, alignment  0/ 0:	22.4941	21.0964	21.9853	19.8779	13.0681
Length    0/   0, alignment  0/ 0:	22.5819	20.6047	21.4963	19.4315	12.6935
Length    0/   0, alignment  0/ 0:	22.2007	20.6043	21.4966	19.4332	12.8182
Length    1/   1, alignment  0/ 0:	21.8534	20.6046	21.3404	19.4802	13.7364
Length    1/   1, alignment  0/ 0:	21.8537	20.7752	21.838	19.9813	13.8278
Length    1/   1, alignment  0/ 1:	33.1419	22.0175	21.2997	19.4981	6.36789
Length    1/   1, alignment  1/ 0:	21.6839	20.9688	21.3692	19.4939	13.7369
Length    2/   2, alignment  0/ 0:	21.8531	21.2541	21.8536	20.1133	14.4098
Length    2/   2, alignment  0/ 0:	22.0298	21.2289	21.8531	20.5379	14.5176
Length    2/   2, alignment  0/ 2:	22.4382	21.9184	22.3502	20.32	8.85315
Length    2/   2, alignment  2/ 0:	21.853	21.6119	22.3496	20.8345	14.7432
Length    3/   3, alignment  0/ 0:	22.62	21.0727	21.7489	19.8928	14.7665
Length    3/   3, alignment  0/ 0:	22.0008	20.6399	21.4935	19.4546	14.5537
Length    3/   3, alignment  0/ 3:	22.0145	20.6432	21.6103	19.8823	10.9558
Length    3/   3, alignment  3/ 0:	22.6895	21.3264	21.7117	19.925	16.6603
Length    4/   4, alignment  0/ 0:	22.7432	21.7421	22.5784	20.8553	16.9448
Length    4/   4, alignment  0/ 0:	22.6471	21.7205	22.3743	20.1203	16.3922
Length    4/   4, alignment  0/ 4:	22.0242	21.3158	22.6787	20.5436	14.0497
Length    4/   4, alignment  4/ 0:	22.367	21.287	22.0765	20.4936	18.0673
Length    5/   5, alignment  0/ 0:	23.1383	21.7535	22.5777	20.5836	17.3907
Length    5/   5, alignment  0/ 0:	21.9928	21.5748	22.5777	20.6214	17.6408
Length    5/   5, alignment  0/ 5:	22.7472	21.7113	22.6378	20.1143	14.9903
Length    5/   5, alignment  5/ 0:	22.0874	21.7409	22.6044	20.1481	17.7712
Length    6/   6, alignment  0/ 0:	22.0053	22.0163	22.5782	20.5439	17.8583
Length    6/   6, alignment  0/ 0:	22.0492	21.3438	22.5777	20.5245	18.5148
Length    6/   6, alignment  0/ 6:	22.7267	21.2314	22.4955	20.6035	17.0108
Length    6/   6, alignment  6/ 0:	22.3559	21.7383	22.626	20.1006	18.4107
Length    7/   7, alignment  0/ 0:	22.3802	21.7791	22.5777	19.9743	17.9474
Length    7/   7, alignment  0/ 0:	22.1997	21.2694	22.3243	19.8823	17.8717
Length    7/   7, alignment  0/ 7:	22.4025	21.4052	22.5782	19.6353	17.7941
Length    7/   7, alignment  7/ 0:	22.0235	21.3825	22.5951	19.9142	18.7682
Length    8/   8, alignment  0/ 0:	22.215	21.423	22.5273	20.5135	15.3271
Length    8/   8, alignment  0/ 0:	22.7486	21.7478	22.3921	20.5314	15.0326
Length    8/   8, alignment  0/ 0:	22.1035	21.5544	22.6497	20.073	15.0014
Length    8/   8, alignment  0/ 0:	22.1654	21.519	22.5285	20.5365	15.1728
Length    9/   9, alignment  0/ 0:	22.2371	21.4593	22.6344	20.5711	15.3279
Length    9/   9, alignment  0/ 0:	22.1709	21.2291	22.2861	20.583	15.3267
Length    9/   9, alignment  0/ 1:	22.2409	21.2457	22.1206	20.1363	15.614
Length    9/   9, alignment  1/ 0:	22.218	21.6128	22.4403	20.3224	20.9029
Length   10/  10, alignment  0/ 0:	22.5275	21.8327	22.6171	20.5783	16.0194
Length   10/  10, alignment  0/ 0:	22.59	21.7117	22.5141	20.2759	15.8346
Length   10/  10, alignment  0/ 2:	22.6099	21.7116	22.6571	20.5469	16.6076
Length   10/  10, alignment  2/ 0:	22.2969	21.7796	22.4061	20.0939	20.436
Length   11/  11, alignment  0/ 0:	22.6773	21.711	22.4861	20.5184	16.6503
Length   11/  11, alignment  0/ 0:	22.5978	21.711	22.4564	20.0903	16.2635
Length   11/  11, alignment  0/ 3:	22.1461	21.2287	22.5481	20.5324	17.3553
Length   11/  11, alignment  3/ 0:	22.2915	21.2473	22.3142	20.5547	20.6612
Length   12/  12, alignment  0/ 0:	22.2635	21.5777	22.4883	20.5515	17.0623
Length   12/  12, alignment  0/ 0:	22.0457	21.5958	22.5929	20.3531	16.9779
Length   12/  12, alignment  0/ 4:	22.1352	21.579	22.4402	20.435	16.4493
Length   12/  12, alignment  4/ 0:	22.2016	21.7109	22.4556	20.5645	18.6267
Length   13/  13, alignment  0/ 0:	22.6772	21.7283	22.4407	20.3384	17.7313
Length   13/  13, alignment  0/ 0:	22.212	21.7117	22.4892	20.5597	17.7487
Length   13/  13, alignment  0/ 5:	22.6815	21.711	22.3722	20.6466	16.859
Length   13/  13, alignment  5/ 0:	22.168	21.27	22.508	20.5363	18.6517
Length   14/  14, alignment  0/ 0:	22.1354	21.6799	22.4349	20.5341	18.4594
Length   14/  14, alignment  0/ 0:	22.2513	21.5406	22.5316	20.5467	18.8562
Length   14/  14, alignment  0/ 6:	22.7836	21.711	22.629	20.4822	17.5106
Length   14/  14, alignment  6/ 0:	22.4279	21.5528	22.1753	20.1094	18.9198
Length   15/  15, alignment  0/ 0:	22.3579	21.7894	22.4398	19.9072	18.5612
Length   15/  15, alignment  0/ 0:	22.6693	21.7117	22.4396	19.8885	18.5892
Length   15/  15, alignment  0/ 7:	22.6975	21.7114	22.518	19.6714	18.1753
Length   15/  15, alignment  7/ 0:	22.2463	21.7117	22.3381	19.4667	18.7688
Length   16/  16, alignment  0/ 0:	22.5883	21.7979	22.4708	21.3749	15.8988
Length   16/  16, alignment  7/ 2:	22.2439	21.7744	22.4461	21.4931	18.9587
Length   16/   4, alignment  0/ 0:	22.2696	21.7356	22.4621	20.5658	17.076
Length   16/   4, alignment  7/ 2:	22.5036	21.7357	22.4098	20.5584	15.8169
Length   32/  32, alignment  0/ 0:	23.3175	23.7175	23.9873	22.5858	17.8813
Length   32/  32, alignment  6/ 4:	27.6264	26.4746	26.7708	25.7146	26.2155
Length   32/   8, alignment  0/ 0:	23.408	22.7127	23.5408	22.1888	17.243
Length   32/   8, alignment  6/ 4:	23.159	22.3737	23.355	22.7544	22.3517
Length   64/  64, alignment  0/ 0:	24.985	25.2896	25.3449	24.1679	25.1561
Length   64/  64, alignment  5/ 6:	29.3624	28.8624	29.556	27.7072	34.4313
Length   64/  16, alignment  0/ 0:	28.2355	28.1003	27.1714	24.2499	21.8191
Length   64/  16, alignment  5/ 6:	28.2942	28.4505	28.8111	26.6463	31.7567
Length  128/ 128, alignment  0/ 0:	26.0507	25.8738	26.7505	38.1578	44.5518
Length  128/ 128, alignment  4/ 0:	29.4278	28.8533	29.1772	38.8962	51.7193
Length  128/  32, alignment  0/ 0:	26.8172	26.3895	26.5651	46.6029	38.5685
Length  128/  32, alignment  4/ 0:	31.5361	30.8797	31.5961	46.5937	50.971
Length  256/ 256, alignment  0/ 0:	34.3	29.7667	30.4312	31.8635	91.8192
Length  256/ 256, alignment  3/ 2:	39.7324	35.4044	37.1155	37.0241	103.915
Length  256/  64, alignment  0/ 0:	31.2276	30.1812	31.0043	45.8926	70.4818
Length  256/  64, alignment  3/ 2:	35.9341	35.413	35.9162	49.5344	84.2702
Length  512/ 512, alignment  0/ 0:	46.1719	32.5192	34.2554	47.9765	182.262
Length  512/ 512, alignment  2/ 4:	49.5507	43.788	44.3053	51.6203	195.749
Length  512/ 128, alignment  0/ 0:	34.0731	32.9547	33.7995	44.6284	122.106
Length  512/ 128, alignment  2/ 4:	45.3596	43.9525	44.4361	56.3558	132.643
Length 1024/1024, alignment  0/ 0:	53.3316	50.0669	55.8926	81.9518	402.145
Length 1024/1024, alignment  1/ 6:	60.1767	59.1843	59.7982	84.9602	418.429
Length 1024/ 256, alignment  0/ 0:	46.0659	41.0619	43.0522	69.9465	262.396
Length 1024/ 256, alignment  1/ 6:	66.9687	62.046	61.3687	84.7196	273.948
Length   16/   1, alignment  1/ 2:	23.1911	22.7812	23.3531	21.039	19.8929
Length   16/   1, alignment  2/ 1:	22.8418	22.2166	22.7893	20.5555	15.3419
Length   16/  10, alignment  1/ 1:	22.6286	21.7981	22.4678	20.5637	28.1012
Length   16/  10, alignment  1/ 1:	22.6526	21.725	22.4565	20.5651	28.0327
Length   32/   1, alignment  2/ 4:	23.1417	22.3498	22.9892	22.0124	23.5907
Length   32/   1, alignment  4/ 2:	23.2416	22.368	23.2241	21.8115	16.6568
Length   32/  10, alignment  2/ 2:	23.4354	22.3501	22.9885	21.9905	30.9016
Length   32/  10, alignment  2/ 2:	22.6419	22.8136	23.0563	22.2548	31.2471
Length   64/   1, alignment  3/ 6:	28.1055	26.2581	27.1321	25.3548	28.272
Length   64/   1, alignment  6/ 3:	26.3326	27.0827	27.3099	25.0385	20.2816
Length   64/  10, alignment  3/ 3:	27.8165	35.9336	27.486	25.1736	36.7298
Length   64/  10, alignment  3/ 3:	27.4436	26.1963	26.6667	25.0184	37.521
Length  128/   1, alignment  4/ 0:	30.9686	30.6574	30.6862	30.2943	34.4434
Length  128/   1, alignment  0/ 4:	28.6312	28.3402	29.1877	28.4545	35.4396
Length  128/  10, alignment  4/ 4:	31.2078	30.5473	30.8789	30.113	54.3521
Length  128/  10, alignment  4/ 4:	31.03	30.3917	30.9144	29.8955	54.4189
Length  256/   1, alignment  5/ 2:	32.6063	32.1311	33.1741	43.9597	58.0632
Length  256/   1, alignment  2/ 5:	35.6474	34.3581	35.4021	45.267	79.3943
Length  256/  10, alignment  5/ 5:	35.6621	35.009	34.923	43.9451	90.8695
Length  256/  10, alignment  5/ 5:	34.7808	34.2169	34.9961	44.2871	91.2034
Length  512/   1, alignment  6/ 4:	41.6885	40.5611	41.2486	52.1453	106.683
Length  512/   1, alignment  4/ 6:	44.4298	43.2071	44.1668	54.8342	142.695
Length  512/  10, alignment  6/ 6:	44.7413	43.4756	44.1234	54.2311	167.23
Length  512/  10, alignment  6/ 6:	43.6263	42.378	42.7892	53.9262	166.878
Length 1024/   1, alignment  7/ 6:	39.6633	39.2986	40.4226	54.9292	235.304
Length 1024/   1, alignment  6/ 7:	62.675	62.0769	61.5643	70.4773	292.404
Length 1024/  10, alignment  7/ 7:	60.7548	60.9279	62.2186	66.2111	348.211
Length 1024/  10, alignment  7/ 7:	60.5036	61.3519	61.5037	70.2962	347.801
