                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	11.8819	7.18779	7.93884	6.68573	10.8562
Length   16, n   16, alignment  1/ 1:	12.3658	7.45309	8.24117	6.85303	11.2187
Length   16, n   16, alignment  1/ 2:	14.5858	7.55894	8.22361	6.9279	11.2194
Length   16, n   16, alignment  2/ 1:	12.4878	7.53829	8.37964	7.20144	11.2927
Length    2, n    4, alignment  7/ 2:	13.7065	11.9699	11.0115	10.9788	13.9437
Length    4, n    2, alignment  2/ 7:	12.3553	8.22362	8.23864	6.85311	11.3797
Length    2, n    4, alignment  7/ 2:	13.5545	11.7697	11.0661	10.973	14.1585
Length    4, n    2, alignment  2/ 7:	12.0197	8.26109	8.22891	6.85307	11.5084
Length   16, n   16, alignment  2/ 2:	12.5132	7.55555	8.22865	6.85303	12.9601
Length   16, n   16, alignment  2/ 2:	15.1383	7.73553	8.29158	6.85292	11.4363
Length   16, n   16, alignment  2/ 4:	12.9666	7.7267	8.23188	6.86195	11.436
Length   16, n   16, alignment  4/ 2:	12.5884	7.65906	8.34492	6.85291	11.2173
Length    4, n    8, alignment  6/ 4:	14.5068	12.2002	12.0868	10.9709	14.2181
Length    8, n    4, alignment  4/ 6:	12.7277	7.64146	8.37794	6.85316	11.1795
Length    4, n    8, alignment  6/ 4:	14.1899	12.0214	12.0763	11.0073	14.065
Length    8, n    4, alignment  4/ 6:	12.6121	8.54478	8.35738	6.85302	11.3338
Length   16, n   16, alignment  3/ 3:	12.8156	7.73507	8.42925	6.88389	11.3543
Length   16, n   16, alignment  3/ 3:	12.906	7.74417	8.33403	6.8588	11.3209
Length   16, n   16, alignment  3/ 6:	12.7721	7.72675	8.31424	6.93569	11.4303
Length   16, n   16, alignment  6/ 3:	12.9628	7.53822	8.23049	6.853	11.1789
Length    8, n   16, alignment  5/ 6:	14.273	11.1894	10.9649	10.9696	13.7656
Length   16, n    8, alignment  6/ 5:	12.3844	8.22371	9.04986	6.90576	11.1636
Length    8, n   16, alignment  5/ 6:	13.8631	11.2614	11.1331	10.9713	13.7725
Length   16, n    8, alignment  6/ 5:	12.4806	8.43445	9.00268	6.8531	11.0658
Length   16, n   16, alignment  4/ 4:	12.6906	7.58258	8.36323	6.99741	11.3349
Length   16, n   16, alignment  4/ 4:	12.9318	7.72677	8.32892	6.85964	11.3307
Length   16, n   16, alignment  4/ 0:	12.6551	7.62778	8.22824	6.8529	11.3763
Length   16, n   16, alignment  0/ 4:	12.6905	7.53831	8.40996	6.86717	11.0912
Length   16, n   32, alignment  4/ 0:	14.4701	10.8214	11.8889	11.6548	14.2987
Length   32, n   16, alignment  0/ 4:	12.6472	6.85317	6.90707	6.95324	11.3244
Length   16, n   32, alignment  4/ 0:	14.7397	10.6436	11.8362	11.6549	14.2809
Length   32, n   16, alignment  0/ 4:	12.644	6.85321	6.85809	6.85294	11.2229
Length   16, n   16, alignment  5/ 5:	12.958	7.70393	8.22376	6.85294	11.2195
Length   16, n   16, alignment  5/ 5:	12.9275	7.67415	8.2236	6.85928	11.0687
Length   16, n   16, alignment  5/ 2:	12.5265	7.74403	8.24131	6.99195	11.2409
Length   16, n   16, alignment  2/ 5:	12.6413	7.53823	8.32492	7.02421	11.505
Length   32, n   64, alignment  3/ 2:	17.002	10.0938	10.5214	13.5393	16.8851
Length   64, n   32, alignment  2/ 3:	11.2555	7.73853	7.61275	7.53827	11.3536
Length   32, n   64, alignment  3/ 2:	17.3327	9.86886	10.5419	13.776	16.8432
Length   64, n   32, alignment  2/ 3:	11.404	7.73226	7.74381	7.73197	11.4316
Length   16, n   16, alignment  6/ 6:	12.916	7.58735	8.40879	6.85764	11.22
Length   16, n   16, alignment  6/ 6:	12.776	7.7268	8.43457	6.89146	11.452
Length   16, n   16, alignment  6/ 4:	15.485	7.5631	8.22384	6.85289	11.3394
Length   16, n   16, alignment  4/ 6:	12.563	7.74165	8.42712	6.8529	11.1265
Length   64, n  128, alignment  2/ 4:	15.8042	14.8831	14.0608	16.3824	16.6842
