                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.7738	6.396	6.36597	6.25415	6.25366
Length    0, alignments in bytes  0/ 0:	11.8058	7.04724	7.04395	6.25366	6.26221
Length    0, alignments in bytes  0/ 0:	11.7833	6.4165	6.28711	5.23999	5.23303
Length    0, alignments in bytes  0/ 0:	9.80542	5.88904	5.89172	5.23108	5.23511
Length    1, alignments in bytes  0/ 0:	10.0143	5.88757	5.3219	5.22986	5.2605
Length    1, alignments in bytes  0/ 0:	10.8718	5.89282	5.8927	5.24414	5.23975
Length    1, alignments in bytes  0/ 1:	9.50488	6.54517	5.30774	5.23999	5.22607
Length    1, alignments in bytes  1/ 0:	9.30835	5.37463	5.88086	5.2373	4.86792
Length    2, alignments in bytes  0/ 0:	9.57227	6.02393	6.03015	6.26929	6.55591
Length    2, alignments in bytes  0/ 0:	9.72876	5.87769	5.89917	6.10754	6.40125
Length    2, alignments in bytes  0/ 2:	9.24585	5.81494	5.8385	6.12878	6.38953
Length    2, alignments in bytes  2/ 0:	9.24927	5.12085	5.10999	5.11865	6.39844
Length    3, alignments in bytes  0/ 0:	9.63123	5.1239	5.12292	5.11719	6.40637
Length    3, alignments in bytes  0/ 0:	9.77747	5.75391	5.12537	5.11597	6.4093
Length    3, alignments in bytes  0/ 3:	9.97632	4.99792	5.00903	4.99536	6.26025
Length    3, alignments in bytes  3/ 0:	9.38171	4.9967	5.00903	4.995	8.1394
Length    4, alignments in bytes  0/ 0:	9.38721	7.82324	7.81726	5.73279	8.13513
Length    4, alignments in bytes  0/ 0:	9.39062	7.81946	7.81006	5.75513	8.13208
Length    4, alignments in bytes  0/ 4:	9.37122	5.91089	5.97815	5.7334	8.12598
Length    4, alignments in bytes  4/ 0:	9.38062	5.00635	4.99451	5.00647	9.2561
Length    5, alignments in bytes  0/ 0:	9.42603	7.8042	7.81201	6.49524	8.93188
Length    5, alignments in bytes  0/ 0:	9.38367	7.8064	7.81311	6.50085	8.90564
Length    5, alignments in bytes  0/ 5:	9.38086	5.91772	5.96521	5.70715	8.13586
Length    5, alignments in bytes  5/ 0:	9.37231	4.99719	5.00317	4.99597	9.17603
Length    6, alignments in bytes  0/ 0:	9.66052	7.81165	7.8186	7.17053	12.1594
Length    6, alignments in bytes  0/ 0:	10.4042	8.17029	8.16833	7.51086	11.7714
Length    6, alignments in bytes  0/ 6:	9.80945	6.20215	6.24121	5.84033	11.7639
Length    6, alignments in bytes  6/ 0:	9.80823	5.23633	5.229	5.23608	9.16138
Length    7, alignments in bytes  0/ 0:	9.95642	7.1615	7.05933	5.23083	11.786
Length    7, alignments in bytes  0/ 0:	9.88123	7.16919	7.0542	5.23706	11.7902
Length    7, alignments in bytes  0/ 7:	9.83789	6.1853	6.24963	5.2262	11.7644
Length    7, alignments in bytes  7/ 0:	9.90515	5.23584	5.23059	5.23438	11.7822
Length    8, alignments in bytes  0/ 0:	10.1943	8.41833	8.18188	5.99426	5.29443
Length    8, alignments in bytes  0/ 0:	9.90576	8.43091	8.17847	6.00659	5.26794
Length    8, alignments in bytes  0/ 0:	9.86365	8.49023	8.17261	6.00952	5.25562
Length    8, alignments in bytes  0/ 0:	10.2557	8.46863	8.17725	5.99963	5.24243
Length    9, alignments in bytes  0/ 0:	9.81726	8.48511	8.17419	6.77271	6.12329
Length    9, alignments in bytes  0/ 0:	9.81018	8.40198	8.17468	6.78333	6.08777
Length    9, alignments in bytes  0/ 1:	9.86584	8.63989	8.17126	7.20215	6.85437
Length    9, alignments in bytes  1/ 0:	9.82251	8.3728	8.22424	7.14197	15.5015
Length   10, alignments in bytes  0/ 0:	9.86292	8.47571	8.17322	7.50183	6.95447
Length   10, alignments in bytes  0/ 0:	9.83496	8.56042	8.17407	7.51941	6.89404
Length   10, alignments in bytes  0/ 2:	9.80835	8.49133	8.17224	7.35291	7.56982
Length   10, alignments in bytes  2/ 0:	10.0005	8.48816	8.22937	7.25513	15.7072
Length   11, alignments in bytes  0/ 0:	10.01	8.59412	8.17749	6.85925	7.76013
Length   11, alignments in bytes  0/ 0:	9.84827	8.8241	8.17432	6.86304	7.73877
Length   11, alignments in bytes  0/ 3:	9.86438	8.92493	8.17737	7.35339	8.47449
Length   11, alignments in bytes  3/ 0:	9.80884	8.47498	8.20715	7.2522	17.0161
Length   12, alignments in bytes  0/ 0:	9.948	8.53149	8.17004	7.50916	8.70642
Length   12, alignments in bytes  0/ 0:	9.90552	8.46631	8.17371	7.51453	8.69507
Length   12, alignments in bytes  0/ 4:	9.82227	8.06726	7.97253	7.55042	8.94983
Length   12, alignments in bytes  4/ 0:	10.0015	8.05981	8.40076	7.25671	11.2133
Length   13, alignments in bytes  0/ 0:	9.86462	8.48315	8.1687	7.48914	11.375
Length   13, alignments in bytes  0/ 0:	9.89038	8.71118	8.18787	7.51184	11.3669
Length   13, alignments in bytes  0/ 5:	9.82251	8.03735	7.98975	7.56482	10.119
Length   13, alignments in bytes  5/ 0:	9.84631	8.06506	8.03833	7.24988	12.2399
Length   14, alignments in bytes  0/ 0:	9.89136	8.53442	8.177	7.50342	12.6018
Length   14, alignments in bytes  0/ 0:	9.8512	8.41211	8.19031	7.49878	12.6543
Length   14, alignments in bytes  0/ 6:	9.83618	8.03711	8.03076	7.547	11.7684
Length   14, alignments in bytes  6/ 0:	10.205	8.06433	8.03625	7.25024	12.6558
Length   15, alignments in bytes  0/ 0:	9.8988	7.18884	7.40198	5.23682	11.7892
Length   15, alignments in bytes  0/ 0:	9.89563	7.27502	7.38733	5.24146	11.7783
Length   15, alignments in bytes  0/ 7:	9.82568	8.11511	8.00049	5.24023	11.7686
Length   15, alignments in bytes  7/ 0:	9.85034	8.03589	8.02844	5.23413	12.384
Length   16, alignments in bytes  0/ 0:	9.86316	8.38428	8.18457	5.2417	6.67944
Length   16, alignments in bytes  7/ 2:	9.8656	8.34949	8.21033	5.60278	13.2119
Length   32, alignments in bytes  0/ 0:	10.1428	6.55981	6.56653	6.90442	9.41711
Length   32, alignments in bytes  6/ 4:	10.5612	7.20264	6.11865	10.9376	15.4127
Length   64, alignments in bytes  0/ 0:	12.2701	7.90369	7.87024	8.5116	14.6479
Length   64, alignments in bytes  5/ 6:	14.2437	13.2013	13.7412	11.9115	24.2794
Length  128, alignments in bytes  0/ 0:	15.9073	9.82776	9.2334	13.4934	24.8824
Length  128, alignments in bytes  4/ 0:	17.6903	10.1326	11.5845	14.4922	31.3101
Length  256, alignments in bytes  0/ 0:	21.9166	14.7859	15.8125	17.5164	52.4796
Length  256, alignments in bytes  3/ 2:	25.1158	15.0417	17.1672	19.0161	57.3075
Length  512, alignments in bytes  0/ 0:	38.5867	25.345	26.9213	27.8933	100.674
Length  512, alignments in bytes  2/ 4:	32.5656	21.7036	23.4464	28.8374	144.263
Length 1024, alignments in bytes  0/ 0:	51.7448	27.6538	27.3171	46.6359	221.893
Length 1024, alignments in bytes  1/ 6:	60.387	39.484	34.6812	46.6459	302.223
Length   16, alignments in bytes  1/ 2:	17.4883	8.56702	8.40845	5.67114	17.245
Length   16, alignments in bytes  2/ 1:	10.0419	11.3125	8.40967	5.71252	16.0338
Length   16, alignments in bytes  1/ 1:	10.3	8.53333	8.40747	5.35706	14.7644
Length   16, alignments in bytes  1/ 1:	10.0428	8.54944	8.39062	5.35413	14.7568
Length   32, alignments in bytes  2/ 4:	10.8181	8.01782	8.1626	10.0226	20.9971
Length   32, alignments in bytes  4/ 2:	10.8201	6.09045	7.37195	11.3043	16.6245
Length   32, alignments in bytes  2/ 2:	10.7728	6.42102	7.375	9.5592	16.1586
Length   32, alignments in bytes  2/ 2:	10.7808	6.70312	6.69922	9.53223	16.167
Length   64, alignments in bytes  3/ 6:	14.5811	9.63098	9.35217	10.8322	27.9595
Length   64, alignments in bytes  6/ 3:	14.7906	11.4161	11.426	12.3817	19.9
Length   64, alignments in bytes  3/ 3:	14.3085	8.52795	8.73657	9.48486	20.9949
Length   64, alignments in bytes  3/ 3:	14.3043	8.51758	8.72693	9.53772	21.0105
Length  128, alignments in bytes  4/ 0:	18.1367	10.3547	11.8422	14.8702	32.6105
Length  128, alignments in bytes  0/ 4:	20.1661	10.9889	10.5726	14.2882	34.4384
Length  128, alignments in bytes  4/ 4:	19.9359	13.8149	12.7415	14.3978	32.5863
Length  128, alignments in bytes  4/ 4:	19.9258	13.4999	12.7535	14.4167	32.6027
Length  256, alignments in bytes  5/ 2:	24.314	15.2281	19.071	20.4296	56.9506
Length  256, alignments in bytes  2/ 5:	25.9259	17.6414	21.0662	20.8162	80.9371
Length  256, alignments in bytes  5/ 5:	25.0051	14.7742	37.8788	19.033	58.193
Length  256, alignments in bytes  5/ 5:	24.9709	14.7622	18.2073	19.0334	58.3508
Length  512, alignments in bytes  6/ 4:	33.1066	24.7903	23.5526	28.4453	108.638
Length  512, alignments in bytes  4/ 6:	33.6036	28.4703	27.4675	28.2957	146.381
Length  512, alignments in bytes  6/ 6:	41.8418	28.9612	28.7057	35.5118	310.162
Length  512, alignments in bytes  6/ 6:	40.6558	28.8418	27.9062	38.5142	131.332
Length 1024, alignments in bytes  7/ 6:	58.4033	40.2482	36.578	47.4355	229.565
Length 1024, alignments in bytes  6/ 7:	62.8245	39.5117	34.877	79.3324	299.214
Length 1024, alignments in bytes  7/ 7:	56.655	27.0701	28.1718	47.1832	241.203
Length 1024, alignments in bytes  7/ 7:	67.3684	27.86	29.0399	47.6757	231.232
Length   16, alignments in bytes  0/ 4:	13.1023	8.55786	8.39258	5.67493	9.10791
Length   16, alignments in bytes  4/ 0:	10.101	8.57959	8.42871	5.73853	15.4232
Length   16, alignments in bytes  4/ 4:	10.0421	8.56055	8.38391	5.35681	15.3496
