                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length   64/  64, alignment  0/ 0:	24.8247	24.82	25.2752	23.91	24.5905
Length   64/  64, alignment  5/ 6:	29.6268	29.3892	29.4954	27.5691	34.3197
Length   64/  16, alignment  0/ 0:	28.2192	27.7037	26.1822	24.145	21.4389
Length   64/  16, alignment  5/ 6:	27.8275	27.8158	28.2608	26.8256	32.2867
Length  128/ 128, alignment  0/ 0:	25.9382	25.2625	26.1292	27.715	45.2016
Length  128/ 128, alignment  4/ 0:	29.2627	28.7553	29.137	31.1543	51.703
Length  128/  32, alignment  0/ 0:	26.8858	25.8035	26.8663	27.9347	38.5723
Length  128/  32, alignment  4/ 0:	31.6674	30.9437	31.5508	30.6178	51.4498
Length  256/ 256, alignment  0/ 0:	34.9317	29.6644	30.2549	31.321	89.7719
Length  256/ 256, alignment  3/ 2:	40.1427	35.3806	37.4885	36.4821	103.724
Length  256/  64, alignment  0/ 0:	30.3404	30.4131	30.2619	31.0458	69.8277
Length  256/  64, alignment  3/ 2:	35.2673	35.434	35.786	35.7471	84.4927
Length  512/ 512, alignment  0/ 0:	46.6547	32.5328	34.3876	47.9742	181.245
Length  512/ 512, alignment  2/ 4:	50.2475	43.5283	44.2773	52.4742	249.272
Length  512/ 128, alignment  0/ 0:	43.7142	40.5608	41.5366	72.2474	130.786
Length  512/ 128, alignment  2/ 4:	44.5139	43.9249	44.1542	46.8837	133.975
Length 1024/1024, alignment  0/ 0:	52.4582	50.7112	56.7677	80.4954	398.489
Length 1024/1024, alignment  1/ 6:	60.1799	59.1221	59.4434	83.1948	409.573
Length 1024/ 256, alignment  0/ 0:	46.2752	40.8807	43.128	70.036	261.257
Length 1024/ 256, alignment  1/ 6:	65.673	61.4933	62.6362	83.4081	271.24
Length   16/   1, alignment  1/ 2:	23.6178	22.7663	23.2118	20.6321	19.5825
Length   16/   1, alignment  2/ 1:	22.5514	21.7908	22.414	20.2542	15.1938
Length   16/  10, alignment  1/ 1:	22.5808	21.731	22.4671	20.3289	27.2031
Length   16/  10, alignment  1/ 1:	22.0847	21.8387	22.4483	20.5611	27.3205
Length   32/   1, alignment  2/ 4:	22.951	22.3499	22.9892	22.0088	23.4154
Length   32/   1, alignment  4/ 2:	23.7331	22.3504	23.2185	21.8189	16.6037
Length   32/  10, alignment  2/ 2:	23.1515	22.5472	22.9882	21.9917	30.1782
Length   32/  10, alignment  2/ 2:	23.0942	22.3497	22.9889	21.8469	30.477
Length   64/   1, alignment  3/ 6:	27.8453	25.624	26.6003	24.6793	28.5631
Length   64/   1, alignment  6/ 3:	26.7534	26.4671	26.916	25.1892	20.3364
Length   64/  10, alignment  3/ 3:	27.8333	25.6429	26.545	24.9527	36.7584
Length   64/  10, alignment  3/ 3:	27.765	25.6189	26.5661	25.0276	37.3002
Length  128/   1, alignment  4/ 0:	31.0321	30.7822	30.6655	30.434	33.7066
Length  128/   1, alignment  0/ 4:	29.0027	28.2839	28.8856	28.0124	34.985
