                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.6725	7.35893	7.35879	6.02713	11.6475
Length   16, n   16, alignment  1/ 1:	17.4356	7.88809	7.51196	6.02083	11.5255
Length   16, n   16, alignment  1/ 2:	11.3309	7.53835	7.54414	6.16773	11.7247
Length   16, n   16, alignment  2/ 1:	13.1642	8.25216	7.53842	6.16767	11.7786
Length    2, n    4, alignment  7/ 2:	14.9372	10.9826	11.6293	11.4365	14.0048
Length    4, n    2, alignment  2/ 7:	10.623	7.66217	8.22366	6.7077	11.4762
Length    2, n    4, alignment  7/ 2:	13.023	10.9514	11.5188	10.7594	13.5848
Length    4, n    2, alignment  2/ 7:	10.6345	7.53839	8.20236	6.68998	11.3301
Length   16, n   16, alignment  2/ 2:	11.2107	7.55494	7.53837	6.16767	11.7597
Length   16, n   16, alignment  2/ 2:	11.2097	7.54528	7.53829	6.16775	11.6688
Length   16, n   16, alignment  2/ 4:	11.0523	7.58821	7.53828	6.16771	11.8307
Length   16, n   16, alignment  4/ 2:	11.0869	7.58541	7.74432	6.22797	11.7002
Length    4, n    8, alignment  6/ 4:	14.3332	12.0159	11.9633	10.9648	14.7467
Length    8, n    4, alignment  4/ 6:	11.0141	7.56379	8.22374	6.85326	11.8868
Length    4, n    8, alignment  6/ 4:	14.249	11.8532	11.91	10.7038	14.7001
Length    8, n    4, alignment  4/ 6:	11.1868	7.55565	8.2236	6.85819	11.9369
Length   16, n   16, alignment  3/ 3:	11.1931	7.53821	7.5383	6.18387	11.7329
Length   16, n   16, alignment  3/ 3:	11.1857	7.53836	7.53825	6.17212	11.766
Length   16, n   16, alignment  3/ 6:	11.109	7.53827	7.5434	6.16765	11.754
Length   16, n   16, alignment  6/ 3:	11.2195	7.59915	7.73198	6.34266	11.9466
Length    8, n   16, alignment  5/ 6:	14.2246	11.028	10.1756	10.9698	14.4514
Length   16, n    8, alignment  6/ 5:	11.2404	8.30462	7.54309	6.16775	11.9578
Length    8, n   16, alignment  5/ 6:	14.0007	11.1759	10.1755	10.9697	14.4217
Length   16, n    8, alignment  6/ 5:	11.1134	8.22356	7.54346	6.16778	11.7265
Length   16, n   16, alignment  4/ 4:	11.4738	7.57294	7.54325	6.16761	11.7947
Length   16, n   16, alignment  4/ 4:	11.3908	7.7267	7.59697	6.16766	11.7137
Length   16, n   16, alignment  4/ 0:	11.2471	7.66843	7.56906	6.16766	11.6973
Length   16, n   16, alignment  0/ 4:	11.3664	7.70285	7.72676	6.21369	11.6705
Length   16, n   32, alignment  4/ 0:	14.2576	10.6412	10.5624	10.9696	14.8928
Length   32, n   16, alignment  0/ 4:	11.4455	6.85302	6.85818	6.16773	11.7322
Length   16, n   32, alignment  4/ 0:	14.5103	10.7114	10.5266	10.9868	14.8523
Length   32, n   16, alignment  0/ 4:	11.0566	6.85318	6.85966	6.28597	11.6865
Length   16, n   16, alignment  5/ 5:	11.2651	7.66143	7.71413	6.16768	11.775
Length   16, n   16, alignment  5/ 5:	11.5224	7.72053	7.54337	6.16766	11.6577
Length   16, n   16, alignment  5/ 2:	11.2529	7.54359	7.53825	6.16763	11.66
Length   16, n   16, alignment  2/ 5:	11.3741	7.62501	7.72675	6.26612	11.7574
Length   32, n   64, alignment  3/ 2:	18.341	9.82899	11.6549	12.5352	17.9084
Length   64, n   32, alignment  2/ 3:	10.2836	7.68688	7.72686	7.53821	10.5566
Length   32, n   64, alignment  3/ 2:	18.6903	9.72385	11.793	12.6597	19.6195
Length   64, n   32, alignment  2/ 3:	10.3759	7.55422	7.57397	7.64468	10.5361
Length   16, n   16, alignment  6/ 6:	11.5592	7.6455	7.68358	6.16767	11.8127
Length   16, n   16, alignment  6/ 6:	11.0678	7.61667	7.62504	6.16766	11.8075
Length   16, n   16, alignment  6/ 4:	11.2412	7.68596	7.69479	6.16764	11.8209
Length   16, n   16, alignment  4/ 6:	11.3406	7.69837	7.53821	6.16764	11.8122
Length   64, n  128, alignment  2/ 4:	16.5451	14.0795	13.7041	15.9375	16.8316
Length  128, n   64, alignment  4/ 2:	12.4497	9.1303	10.3607	11.6305	12.8628
Length   64, n  128, alignment  2/ 4:	16.2247	14.1785	13.5913	16.0561	17.0559
Length  128, n   64, alignment  4/ 2:	12.72	10.1289	10.3339	11.6048	12.6629
Length   16, n   16, alignment  7/ 7:	11.3961	7.74409	7.59425	6.16761	11.8158
Length   16, n   16, alignment  7/ 7:	11.2196	7.5383	7.69872	6.16763	11.8191
Length   16, n   16, alignment  7/ 6:	11.1792	7.69562	7.53826	6.16762	11.6651
Length   16, n   16, alignment  6/ 7:	11.2576	7.66926	7.53823	6.16767	11.7778
Length  128, n  256, alignment  1/ 6:	22.025	17.6201	17.0223	24.5186	21.0726
Length  256, n  128, alignment  6/ 1:	15.8762	13.5538	13.0643	19.707	15.8963
Length  128, n  256, alignment  1/ 6:	21.4901	17.6024	17.4462	24.7047	20.9178
Length  256, n  128, alignment  6/ 1:	15.9338	13.5219	13.0923	19.5475	16.057
