                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.1388	7.20949	7.84124	6.62887	10.9951
Length   16, n   16, alignment  1/ 1:	12.6	7.55699	8.2237	6.90635	11.3061
Length   16, n   16, alignment  1/ 2:	12.5825	7.53828	8.2341	6.85298	11.1847
Length   16, n   16, alignment  2/ 1:	18.2721	7.60216	8.2055	6.68985	11.2549
Length    2, n    4, alignment  7/ 2:	13.6493	11.6793	11.6101	11.906	13.8427
Length    4, n    2, alignment  2/ 7:	11.851	8.65109	8.22358	6.85303	11.1382
Length    2, n    4, alignment  7/ 2:	13.6138	11.6874	10.9775	10.7529	13.5154
Length    4, n    2, alignment  2/ 7:	12.4676	8.2295	8.22367	6.84542	11.1639
Length   16, n   16, alignment  2/ 2:	12.6243	7.53837	8.22359	6.86156	11.3223
Length   16, n   16, alignment  2/ 2:	12.6376	7.55553	8.22358	6.85815	11.3465
Length   16, n   16, alignment  2/ 4:	12.7591	7.55125	8.22873	6.85294	11.1092
Length   16, n   16, alignment  4/ 2:	12.6905	7.69741	8.42432	6.85291	11.3061
Length    4, n    8, alignment  6/ 4:	14.6774	12.1795	11.9973	10.9649	14.2379
Length    8, n    4, alignment  4/ 6:	12.6884	7.54323	8.22358	6.85299	11.2031
Length    4, n    8, alignment  6/ 4:	14.3295	11.8919	11.9429	10.9647	14.2146
Length    8, n    4, alignment  4/ 6:	12.3356	7.58247	8.22358	6.85306	11.4218
Length   16, n   16, alignment  3/ 3:	12.6381	7.55622	8.22359	6.85921	11.1641
Length   16, n   16, alignment  3/ 3:	12.6955	7.72665	8.24182	6.85297	11.1995
Length   16, n   16, alignment  3/ 6:	12.505	7.53826	8.22862	6.95924	11.3137
Length   16, n   16, alignment  6/ 3:	12.4514	7.72668	8.40474	6.93085	11.35
Length    8, n   16, alignment  5/ 6:	14.0239	11.123	10.9649	10.9698	14.1767
