                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.7278	7.25104	7.35888	6.02706	11.5744
Length   16, n   16, alignment  1/ 1:	11.2721	7.40407	7.35888	6.23461	11.6573
Length   16, n   16, alignment  1/ 2:	13.6354	7.55959	7.54618	6.1677	11.7151
Length   16, n   16, alignment  2/ 1:	11.0566	7.53825	7.54718	6.16765	11.6967
Length    2, n    4, alignment  7/ 2:	13.9151	10.9943	12.8808	10.8039	13.695
Length    4, n    2, alignment  2/ 7:	10.3749	7.4941	8.23557	6.75098	11.0747
Length    2, n    4, alignment  7/ 2:	13.9363	10.9624	12.8937	10.7155	13.5248
Length    4, n    2, alignment  2/ 7:	10.3795	8.00924	8.20964	6.68999	11.2132
Length   16, n   16, alignment  2/ 2:	11.0621	7.44025	7.54407	6.0676	11.6012
Length   16, n   16, alignment  2/ 2:	11.2231	7.53834	7.54314	6.16776	11.6679
Length   16, n   16, alignment  2/ 4:	11.1418	7.53825	7.54304	6.16775	11.74
Length   16, n   16, alignment  4/ 2:	11.2766	7.61196	7.53827	6.18152	11.9034
Length    4, n    8, alignment  6/ 4:	13.9608	11.866	11.8539	10.9529	14.8522
Length    8, n    4, alignment  4/ 6:	11.2574	7.44921	8.2238	6.88534	11.8595
Length    4, n    8, alignment  6/ 4:	14.0183	11.8661	11.9886	10.7839	14.4026
Length    8, n    4, alignment  4/ 6:	11.0273	7.56249	8.22367	6.86777	11.7759
Length   16, n   16, alignment  3/ 3:	11.0114	7.54341	7.53827	6.16767	11.6802
Length   16, n   16, alignment  3/ 3:	11.1947	7.53869	7.53829	6.17315	11.74
Length   16, n   16, alignment  3/ 6:	11.1231	7.53833	7.53824	6.17243	11.7605
Length   16, n   16, alignment  6/ 3:	11.3716	7.53828	7.71895	6.22838	11.8311
Length    8, n   16, alignment  5/ 6:	14.1135	10.9648	10.1737	10.9649	14.5512
Length   16, n    8, alignment  6/ 5:	11.2378	8.22371	7.53843	6.19892	11.9653
Length    8, n   16, alignment  5/ 6:	13.8885	10.9647	10.1731	10.965	14.5696
Length   16, n    8, alignment  6/ 5:	11.2153	8.22367	7.53842	6.17268	11.747
Length   16, n   16, alignment  4/ 4:	11.1462	7.53853	7.53822	6.17223	11.676
Length   16, n   16, alignment  4/ 4:	11.3312	7.53822	7.53826	6.17241	11.7047
Length   16, n   16, alignment  4/ 0:	11.2373	7.53826	7.54429	6.16769	11.6601
Length   16, n   16, alignment  0/ 4:	11.1091	7.53829	7.54356	6.16765	11.6591
Length   16, n   32, alignment  4/ 0:	14.2019	10.5076	10.5384	10.9694	14.9884
Length   32, n   16, alignment  0/ 4:	11.1391	6.85299	6.85318	6.17248	11.7045
Length   16, n   32, alignment  4/ 0:	14.0511	10.5091	10.5263	10.965	14.7961
Length   32, n   16, alignment  0/ 4:	11.0322	6.85314	6.85317	6.17253	11.6698
Length   16, n   16, alignment  5/ 5:	11.1666	7.53835	7.53837	6.17373	11.6574
Length   16, n   16, alignment  5/ 5:	11.1798	7.53832	7.53824	6.17211	11.7212
Length   16, n   16, alignment  5/ 2:	11.2541	7.53831	7.53827	6.33014	11.9367
Length   16, n   16, alignment  2/ 5:	11.0242	7.53827	7.54342	6.21932	11.7652
Length   32, n   64, alignment  3/ 2:	18.481	9.72455	10.2798	12.5705	18.7906
Length   64, n   32, alignment  2/ 3:	10.21	7.53853	7.73578	7.56718	10.3809
Length   32, n   64, alignment  3/ 2:	19.6582	9.68971	10.2843	12.5772	18.2541
Length   64, n   32, alignment  2/ 3:	10.5747	7.73505	7.66873	7.4637	10.3974
Length   16, n   16, alignment  6/ 6:	11.2749	7.74533	7.75156	6.17358	11.6499
