                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.9546	7.40967	7.3589	6.07626	11.6936
Length   16, n   16, alignment  1/ 1:	11.2813	7.97349	7.5384	6.13534	11.7121
Length   16, n   16, alignment  1/ 2:	11.3503	14.2696	7.62923	6.07093	12.6457
Length   16, n   16, alignment  2/ 1:	11.2797	7.53828	7.55378	6.16773	11.6501
Length    2, n    4, alignment  7/ 2:	15.4769	11.1327	11.65	10.9103	13.7538
Length    4, n    2, alignment  2/ 7:	10.8161	7.53838	8.09973	6.75495	11.2661
Length    2, n    4, alignment  7/ 2:	14.3566	10.9943	11.4878	10.7091	13.4964
Length    4, n    2, alignment  2/ 7:	10.7487	8.50772	8.27958	6.729	11.009
Length   16, n   16, alignment  2/ 2:	11.1504	7.53834	7.54522	6.18992	11.782
Length   16, n   16, alignment  2/ 2:	11.1218	7.53823	7.54399	6.16775	11.8082
Length   16, n   16, alignment  2/ 4:	11.1846	7.55342	7.55313	6.16763	11.6855
Length   16, n   16, alignment  4/ 2:	11.2309	7.53827	7.61794	6.3218	11.778
Length    4, n    8, alignment  6/ 4:	14.1708	11.8637	11.9613	10.9826	14.9737
Length    8, n    4, alignment  4/ 6:	10.9649	7.54443	8.22367	6.8531	11.8948
Length    4, n    8, alignment  6/ 4:	14.4779	11.8588	12.0138	10.9447	14.7636
Length    8, n    4, alignment  4/ 6:	11.1608	7.54346	8.22371	6.85299	11.7351
Length   16, n   16, alignment  3/ 3:	11.3276	7.54301	7.53833	6.16774	11.6671
Length   16, n   16, alignment  3/ 3:	11.114	7.55557	7.56007	6.31716	11.8287
Length   16, n   16, alignment  3/ 6:	11.3605	7.63267	7.53829	6.17362	11.7839
Length   16, n   16, alignment  6/ 3:	11.3136	7.76508	7.55098	6.18488	11.9473
Length    8, n   16, alignment  5/ 6:	15.4839	10.9649	10.174	10.9647	14.9327
Length   16, n    8, alignment  6/ 5:	11.283	8.24071	7.64197	6.17312	11.8484
Length    8, n   16, alignment  5/ 6:	13.9825	11.069	10.2029	10.9647	14.7426
Length   16, n    8, alignment  6/ 5:	11.3212	8.2238	7.5384	6.17251	11.7314
Length   16, n   16, alignment  4/ 4:	11.0881	7.53827	7.53826	6.17462	11.7148
Length   16, n   16, alignment  4/ 4:	11.2254	7.5383	7.54301	6.16759	11.7146
Length   16, n   16, alignment  4/ 0:	11.1423	7.56406	7.68429	6.16765	11.673
Length   16, n   16, alignment  0/ 4:	11.0375	7.68812	7.54294	6.16766	11.8608
Length   16, n   32, alignment  4/ 0:	14.2438	10.7305	10.5279	10.9698	14.8542
Length   32, n   16, alignment  0/ 4:	11.1775	6.85307	6.88017	6.31018	11.7512
Length   16, n   32, alignment  4/ 0:	14.3374	10.7741	10.528	10.9697	14.9393
Length   32, n   16, alignment  0/ 4:	11.2761	6.87043	6.8531	6.17265	11.6602
Length   16, n   16, alignment  5/ 5:	11.4049	7.66241	7.54308	6.16763	11.6678
Length   16, n   16, alignment  5/ 5:	11.2463	7.61986	7.54288	6.16766	11.9081
Length   16, n   16, alignment  5/ 2:	11.3497	7.5653	7.7314	6.32194	11.8099
Length   16, n   16, alignment  2/ 5:	11.1409	7.53826	7.54282	6.16767	11.9263
Length   32, n   64, alignment  3/ 2:	20.1241	9.72633	11.8082	12.5707	18.985
Length   64, n   32, alignment  2/ 3:	10.3907	7.59445	7.72694	7.50233	10.5869
Length   32, n   64, alignment  3/ 2:	18.6806	10.4291	10.5008	12.6369	18.1186
Length   64, n   32, alignment  2/ 3:	10.3676	7.64298	7.54299	7.54645	10.5526
Length   16, n   16, alignment  6/ 6:	11.4692	7.70715	7.54324	6.16769	11.9683
Length   16, n   16, alignment  6/ 6:	11.437	7.61885	7.61224	6.16762	11.656
Length   16, n   16, alignment  6/ 4:	11.2517	7.55598	7.71453	6.16767	11.8032
Length   16, n   16, alignment  4/ 6:	11.2759	7.59311	7.53821	6.16765	11.9204
Length   64, n  128, alignment  2/ 4:	16.7201	14.0537	13.5761	15.8838	16.6475
Length  128, n   64, alignment  4/ 2:	12.7109	9.13174	10.3906	11.6007	12.8118
Length   64, n  128, alignment  2/ 4:	16.3486	13.9035	13.635	15.8997	16.8373
Length  128, n   64, alignment  4/ 2:	12.6791	9.70032	10.4761	11.61	12.6559
Length   16, n   16, alignment  7/ 7:	11.3934	7.74925	7.62861	6.16768	11.6859
Length   16, n   16, alignment  7/ 7:	11.501	7.60144	7.6039	6.25579	11.9091
Length   16, n   16, alignment  7/ 6:	11.3298	7.55063	7.5433	6.16763	11.6701
Length   16, n   16, alignment  6/ 7:	11.1429	7.53823	7.66171	6.27635	11.8087
Length  128, n  256, alignment  1/ 6:	21.827	17.3215	17.231	24.6668	21.3373
Length  256, n  128, alignment  6/ 1:	15.8614	13.5308	13.2304	19.6919	16.1405
Length  128, n  256, alignment  1/ 6:	21.7489	17.5086	17.3138	24.8032	22.0365
Length  256, n  128, alignment  6/ 1:	15.8438	13.5517	13.1757	19.6097	15.8351
Length    8, n   16, alignment  0/ 0:	14.3831	11.2623	10.3039	10.9695	14.5667
Length   32, n   16, alignment  0/ 0:	11.1167	6.85313	6.8577	6.16768	11.7333
Length    8, n   16, alignment  7/ 2:	14.2364	11.5668	11.4427	10.9698	14.8877
Length   32, n   16, alignment  7/ 2:	11.1433	7.55457	7.54325	6.16763	11.65
Length   16, n   32, alignment  0/ 0:	14.2248	9.67636	9.69734	11.1213	14.5646
Length   64, n   32, alignment  0/ 0:	11.3079	7.74333	7.63929	6.17301	11.7149
Length   16, n   32, alignment  6/ 4:	14.4697	10.5223	10.5347	10.9646	14.9055
Length   64, n   32, alignment  6/ 4:	11.4707	7.88301	7.53826	6.38484	10.6209
Length   32, n   64, alignment  0/ 0:	21.036	10.1035	10.2795	12.2104	15.9356
Length  128, n   64, alignment  0/ 0:	12.2165	8.44594	8.40309	9.13556	12.9007
Length   32, n   64, alignment  5/ 6:	17.6505	11.645	11.7088	13.1843	17.8513
Length  128, n   64, alignment  5/ 6:	12.736	10.5365	10.4122	12.5265	12.6407
Length   64, n  128, alignment  0/ 0:	16.1327	13.3497	13.1354	14.5677	16.4085
Length  256, n  128, alignment  0/ 0:	15.6532	10.2687	9.89213	14.0972	15.7711
Length   64, n  128, alignment  4/ 0:	16.3088	13.6037	13.3529	15.6936	16.4465
Length  256, n  128, alignment  4/ 0:	15.8965	13.3277	12.2407	18.7343	16.0432
Length  128, n  256, alignment  0/ 0:	18.952	16.06	15.5607	23.1903	18.9021
Length  512, n  256, alignment  0/ 0:	18.1596	15.6519	14.9202	18.9281	18.4979
Length  128, n  256, alignment  3/ 2:	22.1277	17.1427	16.9198	23.462	21.3031
Length  512, n  256, alignment  3/ 2:	23.7846	20.6212	20.6136	23.4329	23.5479
Length  256, n  512, alignment  0/ 0:	27.4198	23.8727	23.3172	28.8345	26.8733
Length 1024, n  512, alignment  0/ 0:	29.1883	19.4963	19.7045	29.4578	29.2487
Length  256, n  512, alignment  2/ 4:	29.7935	26.7494	25.9508	30.4765	29.432
Length 1024, n  512, alignment  2/ 4:	31.4094	25.7875	26.6391	33.0411	31.5971
Length  512, n 1024, alignment  0/ 0:	44.9085	29.9414	28.0196	43.6573	44.3991
Length 2048, n 1024, alignment  0/ 0:	46.6789	28.2125	29.7538	51.7879	47.4039
Length  512, n 1024, alignment  1/ 6:	54.493	31.9359	29.3504	44.5237	54.6297
Length 2048, n 1024, alignment  1/ 6:	49.7625	41.3014	36.3348	56.6895	50.646
