                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9774	5.67236	6.17761	5.49219	5.49646
Length    0, alignments in bytes  0/ 0:	10.9758	6.17273	6.18066	5.48804	5.49255
Length    0, alignments in bytes  0/ 0:	10.9741	6.18433	6.17407	5.49365	5.4845
Length    0, alignments in bytes  0/ 0:	10.9711	6.17371	6.86902	5.48499	5.49866
Length    1, alignments in bytes  0/ 0:	10.7173	9.54468	6.86584	5.51648	5.50488
Length    1, alignments in bytes  0/ 0:	10.733	6.8623	6.85901	5.49536	5.48804
Length    1, alignments in bytes  0/ 1:	10.6218	6.18225	6.85889	5.48328	5.49365
Length    1, alignments in bytes  1/ 0:	10.2914	6.172	6.86487	5.49597	5.04688
Length    2, alignments in bytes  0/ 0:	10.2893	6.87	6.8606	6.61108	6.91785
Length    2, alignments in bytes  0/ 0:	10.2902	6.85852	6.85962	6.59998	6.85754
Length    2, alignments in bytes  0/ 2:	10.2905	6.8656	6.87256	6.59949	6.86328
Length    2, alignments in bytes  2/ 0:	10.2943	6.86377	6.85742	5.48486	6.22278
Length    3, alignments in bytes  0/ 0:	10.9801	6.17493	6.86353	5.54858	6.87122
Length    3, alignments in bytes  0/ 0:	10.9753	6.17542	6.86731	5.48584	6.87048
Length    3, alignments in bytes  0/ 3:	10.9735	6.18359	6.85632	5.49573	6.86084
Length    3, alignments in bytes  3/ 0:	10.9758	6.16748	6.86377	5.48633	8.24902
Length    4, alignments in bytes  0/ 0:	10.9747	8.5769	8.52148	6.29456	8.91479
Length    4, alignments in bytes  0/ 0:	10.9722	8.57324	8.52075	6.27991	8.91626
Length    4, alignments in bytes  0/ 4:	10.9718	6.4917	6.85889	6.28357	8.92517
Length    4, alignments in bytes  4/ 0:	10.9751	6.16724	6.85779	5.49597	8.93933
Length    5, alignments in bytes  0/ 0:	10.9727	8.56787	8.51562	7.12024	9.8783
Length    5, alignments in bytes  0/ 0:	10.9723	8.57458	8.5238	7.08484	9.91162
Length    5, alignments in bytes  0/ 5:	10.9718	6.50195	6.86804	6.18628	8.9165
Length    5, alignments in bytes  5/ 0:	10.9703	6.17712	6.86133	6.16907	8.94604
