                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.6916	21.936	22.4965	20.3385	13.0872
Length    0/   0, alignment  0/ 0:	22.3503	21.0725	21.6315	19.4616	12.7865
Length    0/   0, alignment  0/ 0:	21.9768	20.6046	21.4962	19.8307	12.7761
Length    0/   0, alignment  0/ 0:	21.7516	20.2708	21.5423	19.4299	12.5636
Length    1/   1, alignment  0/ 0:	21.7907	34.0493	21.3482	19.1751	13.4381
Length    1/   1, alignment  0/ 0:	21.5012	20.6435	21.3714	19.0828	13.4376
Length    1/   1, alignment  0/ 1:	21.85	20.5851	21.2286	19.4924	6.97121
Length    1/   1, alignment  1/ 0:	22.2915	20.6044	21.3359	20.1966	14.1715
Length    2/   2, alignment  0/ 0:	22.2051	21.2291	21.9303	20.2447	14.4111
Length    2/   2, alignment  0/ 0:	22.0874	21.2291	21.9282	20.1068	14.4106
Length    2/   2, alignment  0/ 2:	22.0038	21.2289	22.2098	20.107	8.74244
Length    2/   2, alignment  2/ 0:	21.8529	21.2876	22.1655	20.1224	14.4125
Length    3/   3, alignment  0/ 0:	22.38	20.9008	21.5171	19.8032	14.5356
Length    3/   3, alignment  0/ 0:	22.0743	20.9999	21.7115	19.4884	14.6821
Length    3/   3, alignment  0/ 3:	22.3295	20.6044	21.2287	19.5029	10.7115
Length    3/   3, alignment  3/ 0:	21.853	20.6044	21.2291	19.7695	16.2968
Length    4/   4, alignment  0/ 0:	22.3342	21.233	22.1047	20.0831	16.3917
Length    4/   4, alignment  0/ 0:	22.2066	21.2709	22.3692	20.0822	16.3986
Length    4/   4, alignment  0/ 4:	21.9888	21.2584	22.0762	20.0841	13.738
Length    4/   4, alignment  4/ 0:	22.0402	21.2688	22.0762	20.2321	18.0787
Length    5/   5, alignment  0/ 0:	22.1007	21.2629	22.0762	20.1475	17.2239
Length    5/   5, alignment  0/ 0:	22.651	21.2697	22.117	20.5878	17.4862
Length    5/   5, alignment  0/ 5:	22.6328	21.7119	22.2153	20.1199	14.987
Length    5/   5, alignment  5/ 0:	22.2275	21.2808	22.0762	20.1452	17.7443
Length    6/   6, alignment  0/ 0:	22.637	21.2735	22.0763	20.0993	17.8159
Length    6/   6, alignment  0/ 0:	22.0155	21.3497	22.6012	20.12	17.8027
Length    6/   6, alignment  0/ 6:	22.0053	21.3372	22.5531	20.1024	16.8587
Length    6/   6, alignment  6/ 0:	22.616	21.2836	22.0762	20.462	18.7815
Length    7/   7, alignment  0/ 0:	22.4441	21.2895	22.0763	19.4626	17.4048
Length    7/   7, alignment  0/ 0:	22.0215	21.2613	22.0763	19.4517	17.4627
Length    7/   7, alignment  0/ 7:	21.9881	21.2289	22.3381	20.1543	17.6687
Length    7/   7, alignment  7/ 0:	22.0103	21.7417	22.1677	19.4538	18.3241
Length    8/   8, alignment  0/ 0:	22.0895	21.54	21.6823	20.0677	14.9881
Length    8/   8, alignment  0/ 0:	22.0524	21.2564	22.1478	20.0729	14.9857
Length    8/   8, alignment  0/ 0:	22.5115	21.229	22.1165	20.0693	15.0163
Length    8/   8, alignment  0/ 0:	22.2339	21.2287	21.9428	20.0813	14.9853
Length    9/   9, alignment  0/ 0:	22.1491	21.2292	21.7101	19.6534	14.6611
Length    9/   9, alignment  0/ 0:	21.8176	21.2286	22.1267	20.1144	14.9869
Length    9/   9, alignment  0/ 1:	22.2053	21.2552	21.8535	20.116	15.6111
Length    9/   9, alignment  1/ 0:	22.1892	21.2288	21.909	20.1042	20.8908
Length   10/  10, alignment  0/ 0:	21.6955	21.6149	22.5313	20.2341	15.5162
Length   10/  10, alignment  0/ 0:	21.9957	21.7714	22.6456	20.5573	15.8885
Length   10/  10, alignment  0/ 2:	22.2113	21.7114	22.484	20.09	16.2409
Length   10/  10, alignment  2/ 0:	22.0834	21.2608	22.0033	20.5756	20.4255
Length   11/  11, alignment  0/ 0:	22.3841	21.7114	22.3423	20.0875	16.2895
Length   11/  11, alignment  0/ 0:	22.1476	21.3162	22.6217	20.1169	16.2711
Length   11/  11, alignment  0/ 3:	22.1827	21.229	22.1415	20.0776	16.9692
Length   11/  11, alignment  3/ 0:	22.4235	21.7117	22.2732	20.0901	20.5041
Length   12/  12, alignment  0/ 0:	22.3434	21.7447	22.3544	20.0903	16.9759
Length   12/  12, alignment  0/ 0:	22.1697	21.229	21.9094	20.0903	16.9996
Length   12/  12, alignment  0/ 4:	22.2814	21.229	22.1218	20.2721	16.2347
Length   12/  12, alignment  4/ 0:	22.1119	21.2287	22.0479	20.0863	18.2201
Length   13/  13, alignment  0/ 0:	22.2393	21.2558	22.1217	20.0898	17.7096
Length   13/  13, alignment  0/ 0:	22.1014	21.5945	22.6308	20.2998	17.7539
Length   13/  13, alignment  0/ 5:	22.155	21.2286	21.8746	20.0647	16.8857
Length   13/  13, alignment  5/ 0:	22.2106	21.2289	21.9417	20.1201	18.6018
Length   14/  14, alignment  0/ 0:	22.0446	21.4362	22.4732	20.3845	18.4834
Length   14/  14, alignment  0/ 0:	22.7155	21.7381	22.6502	20.4384	18.4215
Length   14/  14, alignment  0/ 6:	22.1619	21.7181	22.3724	20.4498	17.5865
Length   14/  14, alignment  6/ 0:	22.1021	21.2287	22.087	20.1117	18.9035
Length   15/  15, alignment  0/ 0:	22.1115	21.3351	22.5008	19.4642	18.1075
Length   15/  15, alignment  0/ 0:	22.2634	21.7377	22.4888	19.5045	18.1266
Length   15/  15, alignment  0/ 7:	22.1349	21.5124	22.5207	19.4754	18.207
Length   15/  15, alignment  7/ 0:	22.4932	21.5472	22.0368	19.4625	18.7652
Length   16/  16, alignment  0/ 0:	22.1828	21.4941	22.2879	20.9372	15.6109
Length   16/  16, alignment  7/ 2:	22.0615	21.4897	22.4474	20.9908	19.3536
Length   16/   4, alignment  0/ 0:	22.2413	21.8001	22.4674	20.5638	16.6814
Length   16/   4, alignment  7/ 2:	22.5118	21.7118	22.3252	20.0846	16.235
Length   32/  32, alignment  0/ 0:	23.6276	23.6912	23.7956	22.061	17.4842
Length   32/  32, alignment  6/ 4:	27.2986	25.87	26.2047	25.1419	24.9219
Length   32/   8, alignment  0/ 0:	23.1553	22.7895	22.9892	21.8769	17.2782
Length   32/   8, alignment  6/ 4:	23.3088	22.3502	22.9385	22.1025	21.8469
Length   64/  64, alignment  0/ 0:	24.2937	24.6592	25.2769	23.8774	24.5822
Length   64/  64, alignment  5/ 6:	29.3811	28.8441	29.5119	27.6128	34.2776
Length   64/  16, alignment  0/ 0:	27.6062	28.1932	26.4568	24.0614	21.5705
Length   64/  16, alignment  5/ 6:	27.9034	27.8049	28.5085	40.1842	31.7609
Length  128/ 128, alignment  0/ 0:	27.1009	25.2161	26.306	28.5581	44.7772
Length  128/ 128, alignment  4/ 0:	29.6122	28.3101	29.1429	31.1562	51.8137
Length  128/  32, alignment  0/ 0:	26.6994	26.2876	27.0324	27.8679	38.7914
Length  128/  32, alignment  4/ 0:	31.6067	31.1412	31.6896	30.7776	51.6868
Length  256/ 256, alignment  0/ 0:	34.5685	29.6822	30.0251	31.3445	92.3759
Length  256/ 256, alignment  3/ 2:	39.0264	35.2335	37.2615	37.0087	102.091
Length  256/  64, alignment  0/ 0:	30.3928	30.0726	30.2315	30.9956	70.278
Length  256/  64, alignment  3/ 2:	34.9318	35.2889	35.9278	35.7777	84.0237
Length  512/ 512, alignment  0/ 0:	46.5009	32.444	34.1595	47.569	181.13
Length  512/ 512, alignment  2/ 4:	49.5826	43.803	44.3397	52.682	192.894
Length  512/ 128, alignment  0/ 0:	33.3082	32.9707	33.7737	40.6848	121.604
Length  512/ 128, alignment  2/ 4:	44.4857	43.7009	43.6836	52.2375	136.687
Length 1024/1024, alignment  0/ 0:	54.0128	50.5873	56.5692	81.9558	402.497
Length 1024/1024, alignment  1/ 6:	60.2309	58.6811	59.4582	84.1479	414.182
Length 1024/ 256, alignment  0/ 0:	47.7872	40.2649	43.1169	72.7298	258.278
Length 1024/ 256, alignment  1/ 6:	65.7017	61.197	62.4946	79.1142	271.756
Length   16/   1, alignment  1/ 2:	23.1649	22.3052	22.935	20.5685	19.4571
Length   16/   1, alignment  2/ 1:	22.6071	21.7477	22.3008	20.0997	15.6134
Length   16/  10, alignment  1/ 1:	22.6106	21.7632	22.4481	20.5383	27.1588
Length   16/  10, alignment  1/ 1:	22.1704	21.7318	22.4475	20.5896	27.8728
Length   32/   1, alignment  2/ 4:	23.1319	22.3499	23.0167	22.0005	23.0848
Length   32/   1, alignment  4/ 2:	22.8455	22.3504	23.1799	21.8412	16.2447
Length   32/  10, alignment  2/ 2:	23.0264	22.2814	22.9886	22.0391	30.7996
Length   32/  10, alignment  2/ 2:	23.3069	22.3499	23.2383	22.0015	30.2018
Length   64/   1, alignment  3/ 6:	27.7291	25.6254	26.6056	24.9994	27.8649
Length   64/   1, alignment  6/ 3:	26.5844	26.3798	26.9878	25.0333	20.2248
Length   64/  10, alignment  3/ 3:	27.748	25.6204	26.6483	25.0441	37.3494
Length   64/  10, alignment  3/ 3:	27.8039	26.2493	26.8386	24.8194	37.1907
Length  128/   1, alignment  4/ 0:	30.111	30.6582	30.7005	30.2595	34.2182
Length  128/   1, alignment  0/ 4:	28.5283	27.6755	28.502	27.9695	35.0446
Length  128/  10, alignment  4/ 4:	30.5918	29.6997	30.1628	29.844	54.4392
Length  128/  10, alignment  4/ 4:	31.0774	30.4403	30.3098	29.9645	54.3169
Length  256/   1, alignment  5/ 2:	32.1515	31.4774	32.8485	35.5869	57.693
Length  256/   1, alignment  2/ 5:	35.4623	34.7108	34.8606	35.5915	78.3857
Length  256/  10, alignment  5/ 5:	34.9822	34.1967	34.8558	35.9273	90.39
Length  256/  10, alignment  5/ 5:	34.6993	34.2843	34.9243	35.12	90.3496
Length  512/   1, alignment  6/ 4:	41.6951	40.4394	40.7353	47.6605	106.584
Length  512/   1, alignment  4/ 6:	43.8969	43.068	43.7405	52.0137	141.823
Length  512/  10, alignment  6/ 6:	43.4435	42.4121	42.9412	51.9185	163.51
Length  512/  10, alignment  6/ 6:	43.4487	42.4019	43.0598	52.1043	163.768
Length 1024/   1, alignment  7/ 6:	38.9374	40.1839	40.4938	56.6211	229.19
Length 1024/   1, alignment  6/ 7:	62.6633	60.7902	62.0247	70.7251	293.008
Length 1024/  10, alignment  7/ 7:	60.3162	61.2598	61.7091	70.3728	344.855
Length 1024/  10, alignment  7/ 7:	60.0147	60.4581	62.1193	65.0432	345.992
