                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9768	5.67102	6.17542	5.49231	5.49792
Length    0, alignments in bytes  0/ 0:	10.9795	5.66174	6.18896	5.49292	5.49841
Length    0, alignments in bytes  0/ 0:	10.9711	6.18079	6.224	5.49548	5.48608
Length    0, alignments in bytes  0/ 0:	10.9716	5.64868	6.18079	5.48438	5.49231
Length    1, alignments in bytes  0/ 0:	10.699	6.18408	6.86133	5.495	5.48828
Length    1, alignments in bytes  0/ 0:	10.684	6.18799	6.86584	5.49316	5.50415
Length    1, alignments in bytes  0/ 1:	10.5857	6.17615	6.87146	5.49292	5.49451
Length    1, alignments in bytes  1/ 0:	10.2874	6.18042	6.85901	5.4906	5.06152
Length    2, alignments in bytes  0/ 0:	10.3058	6.86206	6.87073	6.60449	6.86816
Length    2, alignments in bytes  0/ 0:	10.3068	6.8717	6.86377	6.58337	6.87939
Length    2, alignments in bytes  0/ 2:	10.2911	6.86426	6.85815	6.59875	6.86328
Length    2, alignments in bytes  2/ 0:	10.2865	6.85364	6.86255	5.48669	6.23071
Length    3, alignments in bytes  0/ 0:	10.9833	6.18701	6.86072	5.4967	6.88208
Length    3, alignments in bytes  0/ 0:	10.9805	6.17542	6.86401	5.49597	6.87122
Length    3, alignments in bytes  0/ 3:	10.9795	6.17932	6.86401	5.48352	6.87866
Length    3, alignments in bytes  3/ 0:	10.9712	6.17847	6.85217	5.49316	8.93066
Length    4, alignments in bytes  0/ 0:	10.973	8.57727	8.53613	6.28406	8.93115
Length    4, alignments in bytes  0/ 0:	10.9722	8.57996	8.52393	6.27905	10.1404
Length    4, alignments in bytes  0/ 4:	10.9719	6.4989	6.87024	6.2793	8.91284
Length    4, alignments in bytes  4/ 0:	10.9698	6.18005	6.85791	5.48254	10.3073
Length    5, alignments in bytes  0/ 0:	10.9725	8.57446	8.52222	7.10657	9.90662
Length    5, alignments in bytes  0/ 0:	10.9725	8.57056	8.51855	7.10266	9.88672
Length    5, alignments in bytes  0/ 5:	10.9703	6.50269	6.85535	6.17896	8.91956
Length    5, alignments in bytes  5/ 0:	10.9698	6.17651	6.85413	6.18054	10.9882
Length    6, alignments in bytes  0/ 0:	10.9717	8.57642	8.5343	7.87415	12.3513
Length    6, alignments in bytes  0/ 0:	10.9725	8.5708	8.51587	7.87671	12.3506
Length    6, alignments in bytes  0/ 6:	10.9716	6.49719	6.86584	6.12964	12.3455
Length    6, alignments in bytes  6/ 0:	10.9963	6.16943	6.86133	5.48853	10.9828
Length    7, alignments in bytes  0/ 0:	10.99	7.53809	7.51782	5.49792	12.3475
Length    7, alignments in bytes  0/ 0:	10.9783	7.5376	7.39453	5.49451	12.3439
Length    7, alignments in bytes  0/ 7:	10.9714	6.50732	6.85974	5.48328	12.3414
Length    7, alignments in bytes  7/ 0:	10.9716	6.17493	6.86377	5.48169	11.6934
Length    8, alignments in bytes  0/ 0:	10.9713	8.77942	8.60474	6.29846	6.18359
Length    8, alignments in bytes  0/ 0:	10.9729	8.74622	8.58984	6.29529	6.17737
Length    8, alignments in bytes  0/ 0:	10.9728	8.80762	8.5968	6.28833	6.1731
Length    8, alignments in bytes  0/ 0:	10.9711	8.74561	8.60095	6.29297	6.16821
Length    9, alignments in bytes  0/ 0:	10.9733	8.7334	8.59729	7.1106	6.8717
Length    9, alignments in bytes  0/ 0:	10.9723	8.75488	8.59412	7.09399	6.37097
Length    9, alignments in bytes  0/ 1:	10.9706	8.73657	8.58862	7.54114	7.14771
Length    9, alignments in bytes  1/ 0:	10.9705	8.72742	8.6145	7.474	14.5063
Length   10, alignments in bytes  0/ 0:	10.9847	8.7406	8.59302	7.88806	7.55664
Length   10, alignments in bytes  0/ 0:	10.9708	8.75391	8.59827	7.86694	7.55493
Length   10, alignments in bytes  0/ 2:	10.9718	8.74634	8.59973	7.72986	8.01721
Length   10, alignments in bytes  2/ 0:	10.9706	8.74854	8.61487	7.61633	14.8643
Length   11, alignments in bytes  0/ 0:	10.9713	8.74695	8.59607	7.18958	8.18628
Length   11, alignments in bytes  0/ 0:	10.9716	8.72852	8.59985	7.18811	8.17102
Length   11, alignments in bytes  0/ 3:	10.9724	8.72571	8.59827	7.71777	8.91882
Length   11, alignments in bytes  3/ 0:	10.9857	8.72424	8.60791	7.61658	16.2151
Length   12, alignments in bytes  0/ 0:	10.9718	8.75989	8.59973	7.85815	9.61145
Length   12, alignments in bytes  0/ 0:	10.9716	8.77161	8.58948	7.86609	9.61292
Length   12, alignments in bytes  0/ 4:	10.972	8.43542	8.28345	7.91003	9.60217
Length   12, alignments in bytes  4/ 0:	10.9716	8.39795	8.22302	7.62659	12.0111
Length   13, alignments in bytes  0/ 0:	10.7104	8.5304	8.38721	7.68713	11.6741
Length   13, alignments in bytes  0/ 0:	10.7102	8.51807	8.40417	7.69031	11.6753
Length   13, alignments in bytes  0/ 5:	10.7098	8.3324	8.052	7.71753	10.3177
