                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	24.5131	22.8725	23.4377	21.1095	24.687
Length    4/   4, alignment  0/ 0, N    2:	24.2741	22.869	23.4797	21.0992	24.8559
Length    4/   4, alignment  4/ 0, N    2:	24.8478	22.9192	22.5647	20.6357	24.1595
Length    8/   8, alignment  0/ 0, N    2:	24.2095	22.446	22.6692	20.6399	24.1414
Length    8/   8, alignment  0/ 0, N    2:	24.0182	22.3515	22.3507	20.6325	24.1308
Length   16/  16, alignment  0/ 0, N    2:	24.2477	22.3487	22.3515	21.119	23.9735
Length   16/  16, alignment  7/ 2, N    2:	24.244	22.4343	22.9439	22.5503	24.244
Length   16/   4, alignment  0/ 0, N    2:	24.1224	22.3502	22.6202	21.2715	23.9265
Length   16/   4, alignment  7/ 2, N    2:	24.012	22.3488	22.3595	20.434	23.5274
Length   32/  32, alignment  0/ 0, N    2:	23.8444	22.9789	22.4794	20.6072	23.8202
Length   32/  32, alignment  6/ 4, N    2:	23.8334	21.9791	22.477	20.6062	23.8373
Length   32/   8, alignment  0/ 0, N    2:	23.6388	21.6878	22.3513	20.453	23.643
Length   32/   8, alignment  6/ 4, N    2:	23.9482	21.7118	22.5202	20.4586	23.9445
Length   64/  64, alignment  0/ 0, N    2:	24.4863	22.5383	22.9906	21.1904	24.4788
Length   64/  64, alignment  5/ 6, N    2:	24.476	22.4804	22.9884	21.2716	24.3751
Length   64/  16, alignment  0/ 0, N    2:	23.5905	21.2302	21.9879	20.6646	23.5315
Length   64/  16, alignment  5/ 6, N    2:	24.4416	22.0702	22.8167	71.1139	27.4553
Length  128/ 128, alignment  0/ 0, N    2:	27.1708	23.4303	23.1655	20.6248	25.2398
Length  128/ 128, alignment  4/ 0, N    2:	24.3414	22.0167	24.718	21.0789	24.3604
Length  128/  32, alignment  0/ 0, N    2:	24.4005	22.3508	22.9912	21.0739	24.4017
Length  128/  32, alignment  4/ 0, N    2:	24.3248	22.413	22.9907	21.1214	25.9621
Length  256/ 256, alignment  0/ 0, N    2:	27.5308	21.857	22.481	20.6082	27.5256
Length  256/ 256, alignment  3/ 2, N    2:	27.5788	22.3497	22.9914	21.0754	27.3181
Length  256/  64, alignment  0/ 0, N    2:	24.4803	22.5353	22.9899	22.0363	24.714
Length  256/  64, alignment  3/ 2, N    2:	24.4228	22.6001	22.9908	21.3022	24.33
Length  512/ 512, alignment  0/ 0, N    2:	27.4781	22.3544	22.99	24.9452	27.4491
Length  512/ 512, alignment  2/ 4, N    2:	27.5583	22.8982	24.1001	25.353	28.1593
Length  512/ 128, alignment  0/ 0, N    2:	25.016	22.9226	23.9161	21.5926	26.9892
Length  512/ 128, alignment  2/ 4, N    2:	27.0584	23.211	23.8172	21.5792	25.2067
Length 1024/1024, alignment  0/ 0, N    2:	29.7413	28.37	27.4563	36.6728	30.7238
Length 1024/1024, alignment  1/ 6, N    2:	32.2378	27.2317	28.0846	37.5623	30.6267
Length 1024/ 256, alignment  0/ 0, N    2:	28.6091	23.4162	24.3396	22.3674	29.461
Length 1024/ 256, alignment  1/ 6, N    2:	29.2998	23.9867	24.6723	22.4983	28.6451
Length   16/   1, alignment  1/ 2, N    2:	24.7637	23.4171	24.0403	21.4146	25.3018
Length   16/   1, alignment  2/ 1, N    2:	25.3601	23.888	23.5999	21.4742	25.0431
Length   16/  10, alignment  1/ 1, N    2:	25.0441	23.4149	24.0388	21.4802	24.8618
Length   32/   1, alignment  2/ 4, N    2:	25.0115	22.3252	22.872	20.9426	24.3489
Length   32/   1, alignment  4/ 2, N    2:	24.362	22.8683	22.8712	20.9105	24.2112
Length   32/  10, alignment  2/ 2, N    2:	24.2737	22.5366	22.8714	20.9288	24.4554
Length   64/   1, alignment  3/ 6, N    2:	23.9342	21.7119	22.3505	20.4686	24.1483
Length   64/   1, alignment  6/ 3, N    2:	23.7953	22.3496	22.3516	20.4335	23.931
Length   64/  10, alignment  3/ 3, N    2:	24.1632	22.0291	22.3741	20.5463	23.9909
Length  128/   1, alignment  4/ 0, N    2:	23.873	22.3493	22.3506	20.4349	23.3736
Length  128/   1, alignment  0/ 4, N    2:	23.1956	21.4546	21.8543	20.0391	23.5527
Length  128/  10, alignment  4/ 4, N    2:	23.1038	21.3332	22.4317	20.5142	24.0817
Length  256/   1, alignment  5/ 2, N    2:	23.7657	21.7119	22.3494	20.4363	24.0875
Length  256/   1, alignment  2/ 5, N    2:	23.466	21.3109	21.8537	20.0126	23.6829
Length  256/  10, alignment  5/ 5, N    2:	23.4085	21.2296	21.8528	20.0491	23.5625
Length  512/   1, alignment  6/ 4, N    2:	23.6266	22.3122	22.3494	20.436	24.295
Length  512/   1, alignment  4/ 6, N    2:	23.7277	21.7971	22.3509	20.4543	23.7795
Length  512/  10, alignment  6/ 6, N    2:	23.7198	21.2296	21.8529	20.0531	23.5605
Length 1024/   1, alignment  7/ 6, N    2:	23.5941	21.9254	22.351	20.5266	24.0966
Length 1024/   1, alignment  6/ 7, N    2:	23.8287	21.7895	22.3493	20.5062	23.5417
Length 1024/  10, alignment  7/ 7, N    2:	23.6364	21.2292	21.8547	20.0441	23.656
Length    2/   2, alignment  0/ 2, N    8:	23.6942	21.543	22.5396	20.5848	23.9107
Length    4/   4, alignment  0/ 0, N    8:	23.9472	21.7127	22.5804	20.5524	23.2737
Length    4/   4, alignment  4/ 0, N    8:	23.2633	21.2299	21.9601	20.5872	23.948
Length    8/   8, alignment  0/ 0, N    8:	23.7048	21.886	22.3513	20.5922	23.7067
Length    8/   8, alignment  0/ 0, N    8:	23.8251	21.8856	22.4241	20.5911	23.7182
Length   16/  16, alignment  0/ 0, N    8:	23.7697	21.8857	22.3497	21.2124	23.2018
Length   16/  16, alignment  7/ 2, N    8:	23.1714	21.3978	21.8548	20.8327	23.1801
Length   16/   4, alignment  0/ 0, N    8:	23.2256	21.3984	21.9212	20.0302	23.235
Length   16/   4, alignment  7/ 2, N    8:	23.2209	21.2299	21.8532	19.9822	23.8195
Length   32/  32, alignment  0/ 0, N    8:	24.3257	22.761	23.0717	21.1153	24.3536
Length   32/  32, alignment  6/ 4, N    8:	24.411	22.7071	23.0953	21.2131	24.5015
Length   32/   8, alignment  0/ 0, N    8:	23.7664	21.7139	22.3546	20.4554	23.7594
Length   32/   8, alignment  6/ 4, N    8:	23.2071	21.2303	21.8534	20.0205	23.1959
Length   64/  64, alignment  0/ 0, N    8:	23.903	21.9614	22.4818	20.8055	23.7973
Length   64/  64, alignment  5/ 6, N    8:	23.7723	21.8548	22.4781	20.7688	23.8823
Length   64/  16, alignment  0/ 0, N    8:	23.1479	21.2306	22.343	21.1249	23.7672
Length   64/  16, alignment  5/ 6, N    8:	23.7217	21.7127	22.351	21.3347	23.7434
Length  128/ 128, alignment  0/ 0, N    8:	24.3624	22.354	22.9937	21.0025	23.8779
Length  128/ 128, alignment  4/ 0, N    8:	23.9331	21.8537	22.6626	21.0933	24.4347
Length  128/  32, alignment  0/ 0, N    8:	24.3197	22.7902	23.205	21.1442	24.4099
Length  128/  32, alignment  4/ 0, N    8:	24.42	22.7062	23.022	21.0738	24.2302
Length  256/ 256, alignment  0/ 0, N    8:	26.7902	21.8676	22.4929	21.0424	27.7309
Length  256/ 256, alignment  3/ 2, N    8:	27.7142	22.3541	23.0657	21.0741	27.7419
Length  256/  64, alignment  0/ 0, N    8:	24.4624	22.7761	22.9911	21.2735	24.4749
Length  256/  64, alignment  3/ 2, N    8:	24.3863	22.3773	22.9875	21.2189	24.452
Length  512/ 512, alignment  0/ 0, N    8:	29.4945	22.3544	23.1251	23.8824	29.1152
Length  512/ 512, alignment  2/ 4, N    8:	37.7354	22.3517	23.1458	23.9156	38.8468
Length  512/ 128, alignment  0/ 0, N    8:	25.0288	22.8714	23.5258	21.5682	24.8877
Length  512/ 128, alignment  2/ 4, N    8:	25.0776	22.8699	23.5243	21.5675	25.0255
Length 1024/1024, alignment  0/ 0, N    8:	28.625	25.674	28.2205	36.6629	28.7038
Length 1024/1024, alignment  1/ 6, N    8:	28.7189	26.1006	28.8108	38.422	29.38
Length 1024/ 256, alignment  0/ 0, N    8:	28.9337	23.4154	24.0855	22.08	29.2651
Length 1024/ 256, alignment  1/ 6, N    8:	29.1838	23.4139	24.095	22.0805	28.8948
Length   16/   1, alignment  1/ 2, N    8:	25.07	22.9283	23.6324	21.4356	24.8915
Length   16/   1, alignment  2/ 1, N    8:	24.903	22.9276	23.6296	21.4703	24.8952
Length   16/  10, alignment  1/ 1, N    8:	24.5518	22.3925	22.8715	20.9318	24.2571
Length   32/   1, alignment  2/ 4, N    8:	24.3965	22.2178	22.8737	20.9376	24.298
Length   32/   1, alignment  4/ 2, N    8:	24.3332	22.2156	22.8717	20.9103	24.6717
Length   32/  10, alignment  2/ 2, N    8:	24.2535	22.2157	22.9575	20.4523	23.7214
Length   64/   1, alignment  3/ 6, N    8:	23.8121	21.7127	22.3527	20.4356	23.7616
Length   64/   1, alignment  6/ 3, N    8:	24.0953	21.7124	22.3507	20.4358	23.8308
Length   64/  10, alignment  3/ 3, N    8:	23.8007	21.7127	22.3507	20.4533	23.8222
Length  128/   1, alignment  4/ 0, N    8:	23.9018	21.7127	22.3601	19.9813	23.2939
Length  128/   1, alignment  0/ 4, N    8:	23.2372	21.2294	21.8532	19.9833	23.2872
Length  128/  10, alignment  4/ 4, N    8:	23.4076	21.2296	21.8531	20.0084	23.2342
Length  256/   1, alignment  5/ 2, N    8:	23.3001	21.2997	21.8542	20.3626	23.7998
Length  256/   1, alignment  2/ 5, N    8:	23.7393	21.7117	22.3493	20.483	23.7386
Length  256/  10, alignment  5/ 5, N    8:	23.8012	21.5156	21.8535	20.0045	23.127
Length  512/   1, alignment  6/ 4, N    8:	23.3013	21.2951	21.8537	19.9821	23.3206
Length  512/   1, alignment  4/ 6, N    8:	23.2564	21.2299	21.853	20.0084	23.2144
Length  512/  10, alignment  6/ 6, N    8:	23.2924	21.2297	21.853	20.0005	23.21
Length 1024/   1, alignment  7/ 6, N    8:	23.1986	21.2297	21.9216	20.0071	23.2123
Length 1024/   1, alignment  6/ 7, N    8:	23.3511	21.2297	21.8538	20.0172	23.4403
Length 1024/  10, alignment  7/ 7, N    8:	23.7518	21.8292	22.3491	20.4561	23.7307
Length    2/   2, alignment  0/ 2, N   32:	23.7261	22.0339	22.8258	20.6418	23.6487
Length    4/   4, alignment  0/ 0, N   32:	23.2118	21.2301	21.8559	20.3264	23.799
Length    4/   4, alignment  4/ 0, N   32:	23.7565	21.8037	22.5119	20.547	23.8044
Length    8/   8, alignment  0/ 0, N   32:	23.8041	21.7572	22.6252	20.5168	23.8164
Length    8/   8, alignment  0/ 0, N   32:	23.7321	21.7563	22.4426	20.054	23.2998
Length   16/  16, alignment  0/ 0, N   32:	23.3416	21.4698	22.3505	21.8222	23.808
Length   16/  16, alignment  7/ 2, N   32:	23.7373	21.7124	22.4688	22.0679	23.8507
Length   16/   4, alignment  0/ 0, N   32:	23.8083	21.7913	22.4153	21.1658	23.7604
Length   16/   4, alignment  7/ 2, N   32:	23.6342	21.7122	22.3521	21.1529	23.7797
Length   32/  32, alignment  0/ 0, N   32:	24.3334	22.9913	23.7003	22.4921	24.3145
Length   32/  32, alignment  6/ 4, N   32:	28.4721	25.1263	25.5988	24.6393	28.1093
Length   32/   8, alignment  0/ 0, N   32:	23.3475	21.2323	21.8551	20.768	23.4324
Length   32/   8, alignment  6/ 4, N   32:	23.8472	21.7127	22.4492	21.2092	23.8661
Length   64/  64, alignment  0/ 0, N   32:	24.3358	22.3522	22.9926	21.7506	24.4033
Length   64/  64, alignment  5/ 6, N   32:	24.4626	22.3519	22.9883	21.7833	24.4522
Length   64/  16, alignment  0/ 0, N   32:	23.789	21.7137	22.4207	22.0453	23.8449
Length   64/  16, alignment  5/ 6, N   32:	23.7826	21.7124	22.3518	22.0478	23.8289
Length  128/ 128, alignment  0/ 0, N   32:	24.4326	22.6339	23.6875	21.7628	24.5108
Length  128/ 128, alignment  4/ 0, N   32:	24.4429	22.7473	23.3413	21.7625	24.4293
Length  128/  32, alignment  0/ 0, N   32:	24.2678	23.0219	23.6302	22.4243	24.2682
Length  128/  32, alignment  4/ 0, N   32:	24.3576	23.4793	24.1776	22.9716	24.8321
Length  256/ 256, alignment  0/ 0, N   32:	28.3786	22.5041	23.1336	21.7647	28.1807
Length  256/ 256, alignment  3/ 2, N   32:	28.184	22.5964	23.1935	21.7494	28.1695
Length  256/  64, alignment  0/ 0, N   32:	24.3527	22.3535	22.9889	21.7895	24.4451
Length  256/  64, alignment  3/ 2, N   32:	24.5524	22.3592	22.9901	21.7726	24.3344
Length  512/ 512, alignment  0/ 0, N   32:	37.6439	22.8906	23.5739	26.3684	38.2707
Length  512/ 512, alignment  2/ 4, N   32:	38.1952	23.2513	23.5778	26.4548	38.2119
Length  512/ 128, alignment  0/ 0, N   32:	25.0486	22.9377	23.7993	22.2478	24.9975
Length  512/ 128, alignment  2/ 4, N   32:	25.0123	23.2194	23.9941	22.2455	25.0099
Length 1024/1024, alignment  0/ 0, N   32:	30.0589	25.0125	28.4463	37.548	30.0597
Length 1024/1024, alignment  1/ 6, N   32:	30.0594	24.9352	28.4275	38.6629	30.0581
Length 1024/ 256, alignment  0/ 0, N   32:	28.9364	23.3541	24.1926	22.8747	30.1576
Length 1024/ 256, alignment  1/ 6, N   32:	29.6296	23.7097	24.21	22.7889	29.6256
Length   16/   1, alignment  1/ 2, N   32:	24.9656	22.8374	23.4638	22.1775	24.9566
Length   16/   1, alignment  2/ 1, N   32:	24.9675	22.8721	23.4139	22.1689	24.4772
Length   16/  10, alignment  1/ 1, N   32:	24.3606	22.216	22.9828	21.6593	24.3932
Length   32/   1, alignment  2/ 4, N   32:	24.4078	22.2183	22.8692	21.7229	24.3984
Length   32/   1, alignment  4/ 2, N   32:	24.6356	23.5512	23.0152	21.6136	24.6332
Length   32/  10, alignment  2/ 2, N   32:	24.3142	22.2174	22.869	21.732	24.3323
Length   64/   1, alignment  3/ 6, N   32:	23.9816	21.712	22.3494	21.2446	23.787
Length   64/   1, alignment  6/ 3, N   32:	23.8669	21.8024	22.352	21.1499	23.7645
Length   64/  10, alignment  3/ 3, N   32:	23.7686	21.7122	22.3517	21.234	23.7274
Length  128/   1, alignment  4/ 0, N   32:	23.8535	21.7122	22.3494	21.1277	23.8091
Length  128/   1, alignment  0/ 4, N   32:	23.8902	21.8127	22.3501	21.2378	23.831
Length  128/  10, alignment  4/ 4, N   32:	23.8308	21.7119	22.3517	21.2302	23.8442
Length  256/   1, alignment  5/ 2, N   32:	23.7394	21.7125	22.3499	21.1277	24.0333
Length  256/   1, alignment  2/ 5, N   32:	23.8368	21.7802	22.3502	21.2385	23.8367
Length  256/  10, alignment  5/ 5, N   32:	23.8822	21.712	22.3521	21.2394	23.8148
Length  512/   1, alignment  6/ 4, N   32:	23.8242	21.6808	21.8541	20.7123	23.8423
Length  512/   1, alignment  4/ 6, N   32:	23.8372	21.7865	22.3502	21.2062	23.982
Length  512/  10, alignment  6/ 6, N   32:	23.865	21.7115	22.3499	21.2302	23.7405
Length 1024/   1, alignment  7/ 6, N   32:	23.7913	21.7118	22.352	21.2363	23.9929
Length 1024/   1, alignment  6/ 7, N   32:	23.5951	21.2983	21.8547	20.7811	23.2245
Length 1024/  10, alignment  7/ 7, N   32:	23.3191	21.2296	22.4657	21.2415	23.8317
Length    2/   2, alignment  0/ 2, N  128:	23.6296	21.713	22.6723	20.5353	23.6299
Length    4/   4, alignment  0/ 0, N  128:	23.7703	21.846	22.6243	20.5517	23.7629
Length    4/   4, alignment  4/ 0, N  128:	23.765	21.8023	22.6255	20.5219	23.7746
Length    8/   8, alignment  0/ 0, N  128:	23.7686	21.713	22.3533	20.438	23.9785
Length    8/   8, alignment  0/ 0, N  128:	23.7688	21.7127	22.4214	20.5098	23.8292
Length   16/  16, alignment  0/ 0, N  128:	24.232	21.8193	22.4318	21.3296	23.3656
Length   16/  16, alignment  7/ 2, N  128:	23.3659	21.3672	22.084	21.0103	23.2976
Length   16/   4, alignment  0/ 0, N  128:	23.3181	21.3698	22.238	20.1316	23.6715
Length   16/   4, alignment  7/ 2, N  128:	23.9148	21.7914	22.4167	20.4967	23.7487
