                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9768	5.66748	6.18359	5.48633	5.50085
Length    0, alignments in bytes  0/ 0:	10.978	6.17969	6.17993	5.50037	5.48926
Length    0, alignments in bytes  0/ 0:	10.9741	6.18188	6.17847	5.48853	5.49304
Length    0, alignments in bytes  0/ 0:	10.9708	5.65552	6.17932	5.48608	5.48901
Length    1, alignments in bytes  0/ 0:	10.6995	6.18481	6.85864	5.49573	5.49194
Length    1, alignments in bytes  0/ 0:	10.6884	6.18042	6.87146	5.49097	5.50232
Length    1, alignments in bytes  0/ 1:	10.6447	6.17761	6.85632	5.49329	5.48413
Length    1, alignments in bytes  1/ 0:	10.2847	6.17773	6.86206	5.4845	5.01941
Length    2, alignments in bytes  0/ 0:	10.2883	6.8595	6.92627	6.61206	6.86426
Length    2, alignments in bytes  0/ 0:	10.2882	6.86719	6.87244	6.5979	6.86877
Length    2, alignments in bytes  0/ 2:	10.2881	6.86792	6.85754	6.58044	6.87146
Length    2, alignments in bytes  2/ 0:	10.2919	6.85791	6.8562	5.49524	6.18091
Length    3, alignments in bytes  0/ 0:	10.9807	6.17896	6.86902	5.49072	6.88123
Length    3, alignments in bytes  0/ 0:	10.9783	6.18555	6.86108	5.50195	6.86633
Length    3, alignments in bytes  0/ 3:	10.9761	6.172	6.86609	5.48767	6.87048
Length    3, alignments in bytes  3/ 0:	10.9719	6.18091	6.85901	5.4845	8.25562
Length    4, alignments in bytes  0/ 0:	10.9713	8.57922	8.53149	6.27722	8.23865
Length    4, alignments in bytes  0/ 0:	10.9718	8.58215	8.52893	6.27563	8.91748
Length    4, alignments in bytes  0/ 4:	10.9716	6.50024	6.86902	6.27637	8.91931
Length    4, alignments in bytes  4/ 0:	11.0068	6.17688	6.85742	5.48706	9.06189
Length    5, alignments in bytes  0/ 0:	10.9768	8.5769	8.5282	7.10168	9.875
Length    5, alignments in bytes  0/ 0:	10.9735	8.56763	8.5238	7.10583	9.89014
Length    5, alignments in bytes  0/ 5:	10.972	6.49646	6.85498	6.17957	8.9198
Length    5, alignments in bytes  5/ 0:	10.9691	6.16943	6.85474	6.17712	10.2926
Length    6, alignments in bytes  0/ 0:	10.9723	9.93872	8.52197	7.87256	12.3508
Length    6, alignments in bytes  0/ 0:	10.9725	8.56982	8.5332	7.87671	12.3475
Length    6, alignments in bytes  0/ 6:	10.9711	6.5061	6.86536	6.12512	12.344
Length    6, alignments in bytes  6/ 0:	10.9698	6.1665	6.86182	5.48792	10.9822
Length    7, alignments in bytes  0/ 0:	10.9797	7.53784	7.4054	5.49475	12.3528
Length    7, alignments in bytes  0/ 0:	10.9812	7.54346	7.38635	5.49792	12.3433
Length    7, alignments in bytes  0/ 7:	10.9708	6.50806	6.85938	5.48743	12.3385
Length    7, alignments in bytes  7/ 0:	10.9783	6.17505	6.85986	5.48254	11.6606
Length    8, alignments in bytes  0/ 0:	10.972	8.73242	8.61035	6.28088	6.18579
Length    8, alignments in bytes  0/ 0:	10.9711	8.78503	8.6051	6.29004	6.17163
Length    8, alignments in bytes  0/ 0:	10.9723	8.73047	8.59375	6.28235	6.58484
Length    8, alignments in bytes  0/ 0:	10.7134	8.52539	8.39062	6.11877	6.02808
Length    9, alignments in bytes  0/ 0:	10.7153	8.56897	8.39832	6.93738	7.14722
Length    9, alignments in bytes  0/ 0:	10.7109	8.53857	8.396	6.9314	6.18652
Length    9, alignments in bytes  0/ 1:	10.7117	8.56934	8.38904	7.36829	6.96558
Length    9, alignments in bytes  1/ 0:	10.7114	8.52319	8.41211	7.30737	14.1111
Length   10, alignments in bytes  0/ 0:	10.7097	8.56213	8.39648	7.69128	8.04492
Length   10, alignments in bytes  0/ 0:	10.7219	8.547	8.38818	7.67395	7.37842
Length   10, alignments in bytes  0/ 2:	10.7114	8.55139	8.38672	7.52698	8.03784
Length   10, alignments in bytes  2/ 0:	10.7104	8.52307	8.41235	7.43481	14.495
Length   11, alignments in bytes  0/ 0:	10.7102	8.53345	8.39648	7.01111	7.98254
Length   11, alignments in bytes  0/ 0:	10.7097	8.55786	8.39124	7.01404	8.04333
Length   11, alignments in bytes  0/ 3:	10.71	8.58118	8.39624	7.54321	8.71985
Length   11, alignments in bytes  3/ 0:	10.7107	8.53101	8.4104	7.44031	15.411
Length   12, alignments in bytes  0/ 0:	10.7112	8.54065	8.3866	7.68933	10.0688
Length   12, alignments in bytes  0/ 0:	10.972	8.75073	8.60266	7.86316	9.60742
Length   12, alignments in bytes  0/ 4:	10.972	8.40588	8.23938	7.91858	9.60376
Length   12, alignments in bytes  4/ 0:	10.9708	8.41504	8.24072	7.61829	11.6598
Length   13, alignments in bytes  0/ 0:	10.9854	8.75659	8.60034	7.87158	11.9503
Length   13, alignments in bytes  0/ 0:	10.973	8.78442	8.59949	7.87024	12.4291
Length   13, alignments in bytes  0/ 5:	10.9718	8.47083	8.24573	7.91882	10.5797
Length   13, alignments in bytes  5/ 0:	10.9709	8.45081	8.23657	7.6272	12.6516
Length   14, alignments in bytes  0/ 0:	10.9718	8.74438	8.60718	7.87256	13.2657
Length   14, alignments in bytes  0/ 0:	10.9727	8.74695	8.60168	7.8689	13.291
Length   14, alignments in bytes  0/ 6:	10.9706	8.40125	8.29138	7.91602	13.0272
Length   14, alignments in bytes  6/ 0:	10.9862	8.44275	8.2262	7.62024	13.2555
Length   15, alignments in bytes  0/ 0:	10.7155	7.42566	7.57031	5.36377	12.7365
Length   15, alignments in bytes  0/ 0:	10.7198	7.4425	7.56213	5.36768	12.7246
Length   15, alignments in bytes  0/ 7:	10.7094	8.26636	8.052	5.35669	12.7228
Length   15, alignments in bytes  7/ 0:	10.71	8.24524	8.03589	5.36377	12.3575
Length   16, alignments in bytes  0/ 0:	10.7114	8.61145	8.39478	6.02991	6.7821
Length   16, alignments in bytes  7/ 2:	10.7102	8.52344	8.40833	6.0293	13.3872
Length   32, alignments in bytes  0/ 0:	10.7218	6.70374	8.05237	7.37866	9.70374
Length   32, alignments in bytes  6/ 4:	10.7234	6.69849	7.37231	11.181	15.6388
Length   64, alignments in bytes  0/ 0:	12.739	8.71436	8.28088	8.72205	15.0247
Length   64, alignments in bytes  5/ 6:	15.163	13.5604	13.994	12.1996	24.6328
Length  128, alignments in bytes  0/ 0:	16.6342	10.0555	10.3538	14.0767	25.5082
Length  128, alignments in bytes  4/ 0:	18.7611	10.3512	12.0259	14.7733	32.298
Length  256, alignments in bytes  0/ 0:	27.6396	21.8903	17.4819	17.6069	50.7709
Length  256, alignments in bytes  3/ 2:	24.3967	15.3992	17.8911	19.4873	57.9904
Length  512, alignments in bytes  0/ 0:	29.9458	19.0619	20.7782	28.6948	100.722
Length  512, alignments in bytes  2/ 4:	33.4229	21.9098	23.6078	27.5973	144.412
Length 1024, alignments in bytes  0/ 0:	51.3787	27.7921	28.0815	47.3783	230.342
Length 1024, alignments in bytes  1/ 6:	65.4192	40.452	35.8267	51.4193	317.278
Length   16, alignments in bytes  1/ 2:	13.7316	8.51611	8.41663	6.04028	17.2168
