                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.1364	7.18772	7.92295	6.6797	11.0698
Length   16, n   16, alignment  1/ 1:	12.6363	7.59532	8.24537	6.88978	11.1692
Length   16, n   16, alignment  1/ 2:	12.6418	7.57779	13.8687	7.05011	11.5551
Length   16, n   16, alignment  2/ 1:	12.6046	7.55557	8.2379	6.85335	11.2876
Length    2, n    4, alignment  7/ 2:	14.7786	11.9227	11.0928	11.0387	14.0577
Length    4, n    2, alignment  2/ 7:	12.0946	8.2237	8.23731	6.8531	11.4664
Length    2, n    4, alignment  7/ 2:	14.1369	11.8539	11.0101	10.9705	14.0101
Length    4, n    2, alignment  2/ 7:	12.0016	8.22367	8.24338	6.85304	11.9702
Length   16, n   16, alignment  2/ 2:	12.6904	7.5433	8.22366	6.85306	11.2615
Length   16, n   16, alignment  2/ 2:	12.5432	7.56015	8.24064	6.85819	11.2627
Length   16, n   16, alignment  2/ 4:	13.0297	7.62976	8.37264	6.85764	11.331
Length   16, n   16, alignment  4/ 2:	12.9602	7.72668	8.30402	7.02425	11.2497
Length    4, n    8, alignment  6/ 4:	15.4832	11.8968	11.9288	10.9696	14.1664
Length    8, n    4, alignment  4/ 6:	12.5628	7.53845	8.2284	6.85303	12.0693
Length    4, n    8, alignment  6/ 4:	14.2712	12.1528	11.9715	10.9648	14.0031
Length    8, n    4, alignment  4/ 6:	12.893	7.72161	8.22371	6.85304	11.5045
Length   16, n   16, alignment  3/ 3:	12.6644	7.74402	8.37287	6.85804	11.2639
Length   16, n   16, alignment  3/ 3:	12.9486	7.63896	8.22351	6.85759	11.4789
Length   16, n   16, alignment  3/ 6:	12.7417	7.72678	8.43431	6.9781	11.3285
Length   16, n   16, alignment  6/ 3:	12.5314	7.53823	8.22831	6.8529	11.2551
Length    8, n   16, alignment  5/ 6:	14.308	11.2586	10.9649	10.9698	14.0958
Length   16, n    8, alignment  6/ 5:	12.6707	8.35601	8.90899	6.85313	11.336
Length    8, n   16, alignment  5/ 6:	13.9205	11.1809	11.0781	10.9647	13.9984
Length   16, n    8, alignment  6/ 5:	12.6703	8.27426	8.90901	6.85302	11.3729
Length   16, n   16, alignment  4/ 4:	12.3406	7.5382	8.33803	7.02039	11.3503
Length   16, n   16, alignment  4/ 4:	12.9367	7.53837	8.22353	6.93734	11.6306
Length   16, n   16, alignment  4/ 0:	12.9477	7.72665	8.30569	6.96603	11.2189
Length   16, n   16, alignment  0/ 4:	12.708	7.5432	8.2705	6.97211	11.3113
Length   16, n   32, alignment  4/ 0:	14.6069	10.6046	11.7328	11.6548	14.2395
Length   32, n   16, alignment  0/ 4:	12.6673	7.04697	6.88271	6.93291	11.4243
Length   16, n   32, alignment  4/ 0:	14.7388	10.8042	11.7184	11.6501	14.3754
Length   32, n   16, alignment  0/ 4:	12.6561	7.02685	6.98007	6.8529	11.398
Length   16, n   16, alignment  5/ 5:	12.7999	7.63754	8.40665	6.85759	11.2194
Length   16, n   16, alignment  5/ 5:	12.9067	7.72679	8.41737	6.85812	11.2251
Length   16, n   16, alignment  5/ 2:	12.5877	7.72668	8.34194	6.86295	11.5133
Length   16, n   16, alignment  2/ 5:	12.863	7.53822	8.39883	10.6855	12.798
