                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.5483	5.67383	6.18909	5.4917	5.49463
Length    0, alignments in bytes  0/ 0:	11.556	5.6853	6.17993	5.50012	5.49219
Length    0, alignments in bytes  0/ 0:	11.5538	5.48706	6.18408	5.48389	5.49561
Length    0, alignments in bytes  0/ 0:	11.5266	6.17786	6.17175	5.4939	5.48035
Length    1, alignments in bytes  0/ 0:	21.6552	6.19092	6.87939	5.48535	5.49915
Length    1, alignments in bytes  0/ 0:	21.6652	6.45984	8.19958	5.50269	5.49414
Length    1, alignments in bytes  0/ 1:	29.9454	6.18237	6.86035	5.48792	5.50012
Length    1, alignments in bytes  1/ 0:	29.8983	6.85376	6.8645	5.48877	5.71106
Length    2, alignments in bytes  0/ 0:	29.8942	6.86267	6.8573	7.01892	6.87415
Length    2, alignments in bytes  0/ 0:	29.9087	6.86511	6.87341	7.00793	6.8656
Length    2, alignments in bytes  0/ 2:	29.9449	6.87427	6.85925	6.97913	6.86755
Length    2, alignments in bytes  2/ 0:	29.8884	6.85217	6.86475	5.49524	7.07886
Length    3, alignments in bytes  0/ 0:	30.2966	6.18604	6.85938	5.51086	8.24036
Length    3, alignments in bytes  0/ 0:	30.2711	6.17566	6.87329	5.49048	8.23438
Length    3, alignments in bytes  0/ 3:	30.2952	6.18286	6.85632	5.48999	8.23669
Length    3, alignments in bytes  3/ 0:	30.4769	6.02429	6.69824	5.35779	8.04395
Length    4, alignments in bytes  0/ 0:	29.5698	20.7456	21.4062	6.17249	10.7178
Length    4, alignments in bytes  0/ 0:	29.5729	20.7415	21.4077	6.15881	10.7146
Length    4, alignments in bytes  0/ 4:	34.2576	20.7399	21.405	6.14648	10.7141
Length    4, alignments in bytes  4/ 0:	29.5649	16.0603	16.7471	5.36279	8.9458
Length    5, alignments in bytes  0/ 0:	29.559	20.7395	21.4043	7.3009	9.87952
Length    5, alignments in bytes  0/ 0:	25.4636	20.7394	21.4006	7.29102	9.84143
Length    5, alignments in bytes  0/ 5:	25.7732	20.7397	21.4023	6.63062	8.70569
Length    5, alignments in bytes  5/ 0:	21.4209	16.0656	16.7351	6.02661	8.83215
Length    6, alignments in bytes  0/ 0:	25.5802	20.9679	20.9055	8.26257	11.7798
Length    6, alignments in bytes  0/ 0:	24.99	20.2572	20.9038	7.50317	11.7789
Length    6, alignments in bytes  0/ 6:	25.0746	20.2589	20.9067	5.96033	11.7646
Length    6, alignments in bytes  6/ 0:	20.9302	15.688	16.3536	5.23083	9.82104
Length    7, alignments in bytes  0/ 0:	22.507	20.2588	20.9048	5.2511	11.7872
Length    7, alignments in bytes  0/ 0:	22.5021	20.26	20.907	5.23657	11.7742
Length    7, alignments in bytes  0/ 7:	22.6461	20.2579	20.9037	5.22961	9.24207
Length    7, alignments in bytes  7/ 0:	23.0991	15.6915	16.3384	5.23755	11.1387
Length    8, alignments in bytes  0/ 0:	23.1921	20.2625	21.1575	6.03577	5.89172
Length    8, alignments in bytes  0/ 0:	23.1022	20.2579	21.1506	6.01379	5.89868
