                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.0504	5.48059	5.44495	5.3573	5.36633
Length    0, alignments in bytes  0/ 0:	10.0474	5.50208	5.45825	5.36108	5.37146
Length    0, alignments in bytes  0/ 0:	10.0433	5.5094	5.37366	5.35742	5.36377
Length    0, alignments in bytes  0/ 0:	10.0411	5.49719	5.44006	5.3623	5.35486
Length    1, alignments in bytes  0/ 0:	19.9855	6.70789	5.43933	5.36621	5.3645
Length    1, alignments in bytes  0/ 0:	20.0488	5.49841	5.43127	5.37073	5.36304
Length    1, alignments in bytes  0/ 1:	19.9812	6.03528	5.43066	5.35718	5.36157
Length    1, alignments in bytes  1/ 0:	20.0416	6.69409	6.35388	5.10706	5.32959
Length    2, alignments in bytes  0/ 0:	19.2842	5.74146	5.78601	6.33777	6.26428
Length    2, alignments in bytes  0/ 0:	18.6503	5.76233	5.7793	6.36584	6.25232
Length    2, alignments in bytes  0/ 2:	18.652	5.69971	5.72607	6.36157	6.24707
Length    2, alignments in bytes  2/ 0:	18.7091	5.63293	4.99866	5.0094	6.30981
Length    3, alignments in bytes  0/ 0:	23.1362	4.42395	5.01404	4.99939	6.34412
Length    3, alignments in bytes  0/ 0:	23.1263	5.00549	5.00977	6.22791	6.32507
Length    3, alignments in bytes  0/ 3:	23.0854	5.00659	4.99939	5.00854	6.33215
Length    3, alignments in bytes  3/ 0:	23.0796	4.99561	5.01465	4.99524	8.14197
Length    4, alignments in bytes  0/ 0:	23.083	19.3649	19.9886	5.7804	8.13733
Length    4, alignments in bytes  0/ 0:	23.9611	19.7979	20.4362	5.92712	8.32397
Length    4, alignments in bytes  0/ 4:	23.6039	19.8	20.4386	5.90979	8.30298
Length    4, alignments in bytes  4/ 0:	19.1654	15.3336	15.9601	5.11963	8.54163
Length    5, alignments in bytes  0/ 0:	23.6536	19.7986	20.1945	6.8866	9.30664
Length    5, alignments in bytes  0/ 0:	23.6117	19.7953	20.4355	6.91724	9.31738
Length    5, alignments in bytes  0/ 5:	23.6083	19.7986	20.4377	6.297	8.25842
Length    5, alignments in bytes  5/ 0:	19.093	15.3356	16.0101	5.11914	8.5304
Length    6, alignments in bytes  0/ 0:	23.6036	19.7993	20.4368	7.33557	11.5167
Length    6, alignments in bytes  0/ 0:	23.6537	19.7983	20.4362	7.34802	11.5052
Length    6, alignments in bytes  0/ 6:	23.6281	19.7969	20.4352	5.77222	11.5026
Length    6, alignments in bytes  6/ 0:	19.1129	15.3322	15.9613	5.11853	8.65576
Length    7, alignments in bytes  0/ 0:	21.1177	19.7939	20.3619	5.12158	11.5112
Length    7, alignments in bytes  0/ 0:	21.2488	19.7996	20.4183	5.1189	11.5103
Length    7, alignments in bytes  0/ 7:	21.1204	19.3545	19.981	5.0072	11.2407
Length    7, alignments in bytes  7/ 0:	20.6469	14.9811	15.6174	4.99524	11.2596
Length    8, alignments in bytes  0/ 0:	21.3932	19.3588	19.9877	5.78284	5.50232
Length    8, alignments in bytes  0/ 0:	20.7576	19.3596	19.9857	5.7782	5.46326
Length    8, alignments in bytes  0/ 0:	20.6461	19.3606	19.9836	5.78601	5.48669
