                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	24.5766	22.8718	23.1966	21.0743	24.2758
Length    4/   4, alignment  0/ 0, N    2:	23.9898	22.3519	22.9447	20.6205	23.7323
Length    4/   4, alignment  4/ 0, N    2:	23.9401	22.6103	23.1708	20.6363	24.2315
Length    8/   8, alignment  0/ 0, N    2:	23.9395	22.3488	22.3512	20.6231	24.0463
Length    8/   8, alignment  0/ 0, N    2:	23.7244	22.3506	22.9454	20.5941	23.6616
Length   16/  16, alignment  0/ 0, N    2:	24.1443	22.4397	22.6706	21.1278	23.9866
Length   16/  16, alignment  7/ 2, N    2:	23.7527	21.8546	21.8543	22.045	23.5059
Length   16/   4, alignment  0/ 0, N    2:	23.4238	21.8539	22.5218	20.0507	23.5533
Length   16/   4, alignment  7/ 2, N    2:	23.1327	22.0756	21.8547	19.9803	23.3566
Length   32/  32, alignment  0/ 0, N    2:	23.8169	21.8539	22.4793	20.607	23.8559
Length   32/  32, alignment  6/ 4, N    2:	23.8219	21.8866	22.4798	20.6039	23.7908
Length   32/   8, alignment  0/ 0, N    2:	23.4386	21.3349	23.0279	20.4975	23.724
Length   32/   8, alignment  6/ 4, N    2:	24.2498	21.8886	21.8547	20.0575	23.2288
Length   64/  64, alignment  0/ 0, N    2:	23.905	21.9797	22.4797	20.7208	23.9315
Length   64/  64, alignment  5/ 6, N    2:	23.9676	21.8545	22.64	21.315	24.3287
Length   64/  16, alignment  0/ 0, N    2:	23.9206	21.7132	22.3509	21.1352	24.245
Length   64/  16, alignment  5/ 6, N    2:	23.3304	21.5413	21.8539	22.0339	23.5904
Length  128/ 128, alignment  0/ 0, N    2:	23.9185	21.9083	23.9789	20.6258	23.9515
Length  128/ 128, alignment  4/ 0, N    2:	23.8774	21.9066	22.9244	20.6098	23.9357
Length  128/  32, alignment  0/ 0, N    2:	26.4475	70.2193	24.2219	22.2689	26.9976
Length  128/  32, alignment  4/ 0, N    2:	26.6698	24.1926	22.4773	20.6842	23.8493
Length  256/ 256, alignment  0/ 0, N    2:	27.4332	21.8554	22.8777	21.0781	27.2744
Length  256/ 256, alignment  3/ 2, N    2:	27.6604	22.3527	22.9881	21.0754	27.7134
Length  256/  64, alignment  0/ 0, N    2:	24.5099	22.5336	22.9914	21.1852	24.3163
Length  256/  64, alignment  3/ 2, N    2:	24.3946	22.6035	22.989	21.2764	24.327
Length  512/ 512, alignment  0/ 0, N    2:	27.555	22.3553	22.9918	24.8711	27.7461
Length  512/ 512, alignment  2/ 4, N    2:	26.7519	21.8547	23.0352	25.0148	28.1681
Length  512/ 128, alignment  0/ 0, N    2:	24.9015	22.9256	23.9155	21.5716	25.2036
Length  512/ 128, alignment  2/ 4, N    2:	24.4136	22.4001	23.2632	21.077	24.3143
Length 1024/1024, alignment  0/ 0, N    2:	28.7505	26.1946	26.8557	36.6686	28.2108
Length 1024/1024, alignment  1/ 6, N    2:	28.2045	27.2222	27.3065	36.6579	28.6284
Length 1024/ 256, alignment  0/ 0, N    2:	28.7462	24.0099	26.2452	22.5256	28.8599
Length 1024/ 256, alignment  1/ 6, N    2:	28.8264	23.7222	24.0853	22.1214	28.5899
Length   16/   1, alignment  1/ 2, N    2:	25.1992	23.4164	24.0415	22.1942	24.7555
Length   16/   1, alignment  2/ 1, N    2:	25.1461	23.4156	24.0839	21.4281	24.7645
Length   16/  10, alignment  1/ 1, N    2:	24.9987	22.869	23.0897	20.9217	24.4432
Length   32/   1, alignment  2/ 4, N    2:	24.0607	21.8183	22.5311	20.6421	23.9386
Length   32/   1, alignment  4/ 2, N    2:	23.9889	22.3426	22.3517	20.4339	23.7313
Length   32/  10, alignment  2/ 2, N    2:	23.9811	21.7137	22.3514	20.4902	24.0863
Length   64/   1, alignment  3/ 6, N    2:	24.1021	22.0319	22.3492	21.6013	24.0862
Length   64/   1, alignment  6/ 3, N    2:	24.1165	21.4804	21.8545	19.9801	23.1034
Length   64/  10, alignment  3/ 3, N    2:	23.606	21.2289	21.8544	20.0447	23.2219
Length  128/   1, alignment  4/ 0, N    2:	23.1181	21.8541	21.8536	20.15	23.5458
Length  128/   1, alignment  0/ 4, N    2:	23.5013	21.5413	21.8536	20.0503	23.5798
Length  128/  10, alignment  4/ 4, N    2:	23.3647	21.3333	21.8546	20.0019	23.3792
Length  256/   1, alignment  5/ 2, N    2:	23.137	21.2291	21.8548	19.9796	24.3723
Length  256/   1, alignment  2/ 5, N    2:	23.108	21.2295	21.8531	20.001	23.4639
Length  256/  10, alignment  5/ 5, N    2:	23.5928	21.2351	21.8535	20.024	23.1953
Length  512/   1, alignment  6/ 4, N    2:	23.5414	21.8537	21.8534	19.9799	23.591
Length  512/   1, alignment  4/ 6, N    2:	23.5654	21.2298	21.8535	20.0417	23.7737
Length  512/  10, alignment  6/ 6, N    2:	23.1247	21.5374	21.8787	20.0443	23.7185
Length 1024/   1, alignment  7/ 6, N    2:	23.1145	21.4374	21.8536	20.0303	24.2412
Length 1024/   1, alignment  6/ 7, N    2:	24.0428	21.229	21.8546	20.0576	23.2712
Length 1024/  10, alignment  7/ 7, N    2:	23.4138	21.5414	21.8535	20.0576	23.1034
Length    2/   2, alignment  0/ 2, N    8:	23.5756	21.5425	21.96	20.1284	23.3403
Length    4/   4, alignment  0/ 0, N    8:	23.3625	21.2305	22.0907	20.0954	23.3261
Length    4/   4, alignment  4/ 0, N    8:	23.2125	21.2294	22.0106	20.1278	23.259
Length    8/   8, alignment  0/ 0, N    8:	23.1396	21.3992	21.8558	20.1364	23.1752
Length    8/   8, alignment  0/ 0, N    8:	23.318	21.3986	21.8539	20.1503	23.1886
Length   16/  16, alignment  0/ 0, N    8:	23.1748	21.3987	21.8537	20.6649	23.2403
Length   16/  16, alignment  7/ 2, N    8:	23.1387	21.3981	21.8538	20.8428	23.2693
Length   16/   4, alignment  0/ 0, N    8:	23.2486	21.5199	21.8543	20.0059	23.2083
Length   16/   4, alignment  7/ 2, N    8:	23.2412	21.3922	21.8541	19.9794	23.2118
Length   32/  32, alignment  0/ 0, N    8:	23.7836	22.0688	22.5863	20.6056	23.8345
Length   32/  32, alignment  6/ 4, N    8:	23.8637	22.2748	22.4788	20.7098	23.8665
Length   32/   8, alignment  0/ 0, N    8:	23.5618	21.7132	22.3524	20.4664	23.8228
Length   32/   8, alignment  6/ 4, N    8:	23.731	21.7127	22.3503	20.4859	23.7422
Length   64/  64, alignment  0/ 0, N    8:	24.5579	22.8061	23.3479	20.8619	23.8764
Length   64/  64, alignment  5/ 6, N    8:	23.9112	21.9697	22.4776	20.7219	23.7857
Length   64/  16, alignment  0/ 0, N    8:	23.1968	21.2305	21.8555	20.645	23.1972
Length   64/  16, alignment  5/ 6, N    8:	23.3001	21.2296	22.1467	21.2672	23.8604
Length  128/ 128, alignment  0/ 0, N    8:	24.2758	22.3543	22.9914	21.0915	24.4206
Length  128/ 128, alignment  4/ 0, N    8:	24.4377	22.3515	22.9882	21.0829	24.4161
Length  128/  32, alignment  0/ 0, N    8:	24.3297	22.8159	23.2055	21.0751	24.3305
Length  128/  32, alignment  4/ 0, N    8:	24.4678	22.7061	23.0959	21.1861	23.9305
Length  256/ 256, alignment  0/ 0, N    8:	26.951	21.8578	22.5818	20.6066	27.0698
Length  256/ 256, alignment  3/ 2, N    8:	27.0881	22.0607	22.9934	21.074	27.633
Length  256/  64, alignment  0/ 0, N    8:	24.3195	22.3772	23.1496	21.1947	24.3136
Length  256/  64, alignment  3/ 2, N    8:	24.3088	22.3518	22.9877	21.216	24.3125
Length  512/ 512, alignment  0/ 0, N    8:	27.8614	22.3533	22.9935	24.1065	27.9808
Length  512/ 512, alignment  2/ 4, N    8:	28.3978	22.8702	23.7205	24.41	27.8436
Length  512/ 128, alignment  0/ 0, N    8:	24.4516	22.3518	23.5933	21.584	25.0927
Length  512/ 128, alignment  2/ 4, N    8:	25.0314	22.8728	23.5241	21.5743	24.9567
Length 1024/1024, alignment  0/ 0, N    8:	28.1778	25.6983	28.8937	36.6646	28.1451
Length 1024/1024, alignment  1/ 6, N    8:	28.1813	25.765	28.9633	37.4929	28.8564
Length 1024/ 256, alignment  0/ 0, N    8:	29.5483	23.4164	24.1351	22.7893	28.9077
Length 1024/ 256, alignment  1/ 6, N    8:	28.743	23.4216	24.0954	22.0788	28.7297
Length   16/   1, alignment  1/ 2, N    8:	24.9488	22.9275	23.6324	21.4393	24.8437
Length   16/   1, alignment  2/ 1, N    8:	24.2475	22.3943	23.0795	20.9434	24.2485
Length   16/  10, alignment  1/ 1, N    8:	24.2528	22.3942	22.8693	20.931	24.3292
Length   32/   1, alignment  2/ 4, N    8:	24.0119	21.7126	22.3512	20.4431	23.7765
Length   32/   1, alignment  4/ 2, N    8:	23.796	21.7123	22.3513	20.4345	23.7454
Length   32/  10, alignment  2/ 2, N    8:	23.6641	21.712	22.3519	20.4544	23.7142
Length   64/   1, alignment  3/ 6, N    8:	23.8259	21.7119	22.3519	20.5456	23.2039
Length   64/   1, alignment  6/ 3, N    8:	23.2358	21.2293	21.8533	20.3072	23.7702
Length   64/  10, alignment  3/ 3, N    8:	23.7322	21.713	22.3513	20.4554	23.9927
Length  128/   1, alignment  4/ 0, N    8:	23.8561	21.5468	21.8553	19.9795	23.2466
Length  128/   1, alignment  0/ 4, N    8:	23.2137	21.2292	21.8552	20.0039	23.2128
Length  128/  10, alignment  4/ 4, N    8:	23.1725	21.2292	21.8542	20.0072	23.2264
Length  256/   1, alignment  5/ 2, N    8:	23.2506	21.3012	21.8537	19.9796	23.1939
Length  256/   1, alignment  2/ 5, N    8:	23.2027	21.2294	21.8537	20.0155	23.2155
Length  256/  10, alignment  5/ 5, N    8:	23.1729	21.2294	21.8537	19.9983	23.4215
Length  512/   1, alignment  6/ 4, N    8:	23.2211	21.3315	21.8532	19.981	23.243
Length  512/   1, alignment  4/ 6, N    8:	23.2231	21.2296	21.8529	20.0201	23.204
Length  512/  10, alignment  6/ 6, N    8:	23.1939	21.2296	21.8529	20.0077	23.4301
Length 1024/   1, alignment  7/ 6, N    8:	23.3369	21.2296	21.9215	20.0046	23.257
Length 1024/   1, alignment  6/ 7, N    8:	23.2561	21.2294	21.8539	20.0207	23.2362
Length 1024/  10, alignment  7/ 7, N    8:	23.2947	21.2293	21.8544	20.0066	23.2737
Length    2/   2, alignment  0/ 2, N   32:	23.5745	21.5441	22.2342	20.0838	23.2432
Length    4/   4, alignment  0/ 0, N   32:	23.2449	21.2319	21.8564	20.0636	23.264
Length    4/   4, alignment  4/ 0, N   32:	23.3248	21.2312	21.9588	20.0623	23.5187
Length    8/   8, alignment  0/ 0, N   32:	23.3421	21.273	22.0339	20.1346	23.1903
Length    8/   8, alignment  0/ 0, N   32:	23.2932	21.2743	22.0338	20.0559	23.1401
Length   16/  16, alignment  0/ 0, N   32:	23.5171	21.2633	21.855	21.6703	23.6044
Length   16/  16, alignment  7/ 2, N   32:	23.3115	21.2295	21.963	21.5599	23.4167
Length   16/   4, alignment  0/ 0, N   32:	23.3181	21.3075	21.9608	20.6922	23.1822
Length   16/   4, alignment  7/ 2, N   32:	23.3421	21.2293	22.3519	21.1493	23.7628
Length   32/  32, alignment  0/ 0, N   32:	24.3703	22.9918	23.6297	22.4193	24.3701
