                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length  128, alignments in bytes  0/ 0:	15.59	9.62805	10.1288	13.4779	26.8906
Length  128, alignments in bytes  4/ 0:	18.0846	10.6256	12.4253	14.4009	31.3162
Length  256, alignments in bytes  0/ 0:	21.6261	14.7561	15.7108	17.4921	49.5237
Length  256, alignments in bytes  3/ 2:	23.6934	14.7443	17.0829	19.0243	56.4188
Length  512, alignments in bytes  0/ 0:	29.2689	19.1379	21.2196	27.3112	100.757
Length  512, alignments in bytes  2/ 4:	33.052	22.3843	23.5625	28.8206	144.29
Length 1024, alignments in bytes  0/ 0:	52.4752	27.71	28.2377	46.6329	223.707
Length 1024, alignments in bytes  1/ 6:	61.8406	38.8099	34.8212	46.7646	300.943
Length   16, alignments in bytes  1/ 2:	13.3005	8.64209	8.40894	6.66028	18.0829
Length   16, alignments in bytes  2/ 1:	10.5111	8.74353	9.02722	5.70947	15.3474
Length   16, alignments in bytes  1/ 1:	10.1584	8.53186	8.40271	5.3667	14.6309
Length   16, alignments in bytes  1/ 1:	10.1456	8.6134	8.41406	5.35205	14.7626
Length   32, alignments in bytes  2/ 4:	11.6227	8.02344	8.07544	9.99927	21.0428
Length   32, alignments in bytes  4/ 2:	11.5305	6.69519	25.7279	11.3198	16.6318
Length   32, alignments in bytes  2/ 2:	10.7312	6.69556	8.03735	9.55469	16.026
Length   32, alignments in bytes  2/ 2:	10.8379	6.42322	6.64441	9.56287	16.0306
Length   64, alignments in bytes  3/ 6:	14.3241	9.6322	9.3551	10.8236	27.8951
Length   64, alignments in bytes  6/ 3:	14.7828	11.4176	11.4592	12.3793	19.8589
Length   64, alignments in bytes  3/ 3:	13.9308	8.5282	8.71704	9.56116	20.9879
Length   64, alignments in bytes  3/ 3:	13.9613	8.51697	8.72156	9.47327	28.1016
Length  128, alignments in bytes  4/ 0:	17.8232	10.3884	11.832	14.9054	32.618
Length  128, alignments in bytes  0/ 4:	20.2198	10.9836	10.5594	14.2827	34.4369
Length  128, alignments in bytes  4/ 4:	19.8701	13.5831	12.7017	14.3672	32.6024
Length  128, alignments in bytes  4/ 4:	19.869	13.9575	12.7697	15.751	33.3585
Length  256, alignments in bytes  5/ 2:	24.7097	15.2422	19.2458	20.4487	57.0009
Length  256, alignments in bytes  2/ 5:	24.9928	17.2126	20.5216	20.3187	78.9161
Length  256, alignments in bytes  5/ 5:	24.118	14.469	17.725	19.2028	58.2922
Length  256, alignments in bytes  5/ 5:	24.8497	14.814	18.1099	19.0253	58.9739
Length  512, alignments in bytes  6/ 4:	33.2843	24.613	23.8837	28.4586	108.803
Length  512, alignments in bytes  4/ 6:	33.972	28.5248	27.5674	28.4745	147.696
Length  512, alignments in bytes  6/ 6:	32.0391	20.626	22.8286	28.2206	108.743
Length  512, alignments in bytes  6/ 6:	32.2111	20.6094	22.8254	28.2408	108.645
Length 1024, alignments in bytes  7/ 6:	50.693	40.214	36.6132	47.7047	232.602
Length 1024, alignments in bytes  6/ 7:	70.2811	39.7793	35.9823	48.2167	303.635
Length 1024, alignments in bytes  7/ 7:	59.2842	28.1703	29.2634	47.7024	361.748
Length 1024, alignments in bytes  7/ 7:	59.3359	28.2468	29.0837	46.5474	233.061
Length   16, alignments in bytes  0/ 4:	14.6436	9.53833	8.3689	5.66479	9.13171
Length   16, alignments in bytes  4/ 0:	10.176	8.61157	8.4126	5.74121	15.163
Length   16, alignments in bytes  4/ 4:	10.0687	8.60303	8.4364	5.3634	14.8796
Length   16, alignments in bytes  2/ 2:	10.104	8.53955	8.40637	5.35327	14.7209
Length   16, alignments in bytes  2/ 6:	10.1029	8.54871	8.401	5.66772	17.974
