                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.1034	7.37939	7.35886	6.02082	11.5316
Length   16, n   16, alignment  1/ 1:	11.0002	7.61431	7.5383	6.16777	11.7157
Length   16, n   16, alignment  1/ 2:	10.9637	10.0505	7.39545	6.10544	11.8023
Length   16, n   16, alignment  2/ 1:	11.0576	7.54835	7.53824	6.16775	11.6071
Length    2, n    4, alignment  7/ 2:	13.4271	11.0194	11.6145	10.7037	13.6315
Length    4, n    2, alignment  2/ 7:	10.5729	7.90486	8.18672	6.76182	11.309
Length    2, n    4, alignment  7/ 2:	13.8401	10.9648	11.4895	10.7038	13.8968
Length    4, n    2, alignment  2/ 7:	11.3727	7.80392	8.22362	6.7969	11.0895
Length   16, n   16, alignment  2/ 2:	11.274	7.54318	7.53846	6.16775	11.6753
Length   16, n   16, alignment  2/ 2:	11.1983	7.54298	7.53831	6.1676	11.6562
Length   16, n   16, alignment  2/ 4:	11.2461	7.53824	7.53824	6.17227	11.651
Length   16, n   16, alignment  4/ 2:	11.1564	7.53825	7.53825	6.17282	11.6648
Length    4, n    8, alignment  6/ 4:	14.1897	11.8615	11.9659	10.8966	14.6055
Length    8, n    4, alignment  4/ 6:	11.1326	7.5384	8.22365	6.85945	11.6386
Length    4, n    8, alignment  6/ 4:	13.9369	11.8662	11.7201	10.7083	14.5712
Length    8, n    4, alignment  4/ 6:	11.1931	7.53845	8.22366	6.86147	11.546
Length   16, n   16, alignment  3/ 3:	11.395	7.57641	7.54353	6.21173	11.8418
Length   16, n   16, alignment  3/ 3:	11.0455	7.53834	7.61156	6.16774	11.7237
Length   16, n   16, alignment  3/ 6:	11.0671	7.55594	7.54337	6.16768	11.6794
Length   16, n   16, alignment  6/ 3:	11.0512	7.53827	7.55927	6.1676	11.6726
Length    8, n   16, alignment  5/ 6:	14.1727	10.98	10.1692	10.9765	14.6234
Length   16, n    8, alignment  6/ 5:	11.3121	8.22368	7.55721	6.16776	11.6931
Length    8, n   16, alignment  5/ 6:	13.7929	10.9382	10.1458	10.7343	14.5465
Length   16, n    8, alignment  6/ 5:	11.1182	8.14561	7.47717	6.02099	11.6664
Length   16, n   16, alignment  4/ 4:	11.2113	7.53839	7.5448	6.1676	11.6499
Length   16, n   16, alignment  4/ 4:	11.0949	7.55547	7.54459	6.16772	11.6594
Length   16, n   16, alignment  4/ 0:	11.195	7.53821	7.54339	6.16763	11.6586
Length   16, n   16, alignment  0/ 4:	11.1977	7.53827	7.54393	6.16758	11.7398
Length   16, n   32, alignment  4/ 0:	14.0894	10.5119	10.5058	10.9988	15.3285
Length   32, n   16, alignment  0/ 4:	11.0408	6.85303	6.86637	6.16772	11.6845
Length   16, n   32, alignment  4/ 0:	14.3416	10.5029	10.528	10.9694	14.807
Length   32, n   16, alignment  0/ 4:	11.1873	6.99976	7.00332	6.16768	11.8274
Length   16, n   16, alignment  5/ 5:	11.0543	7.53836	7.54325	6.1676	11.65
Length   16, n   16, alignment  5/ 5:	11.516	7.53832	7.54496	6.16759	11.6566
Length   16, n   16, alignment  5/ 2:	11.2498	7.63862	7.54293	6.16765	11.7513
Length   16, n   16, alignment  2/ 5:	11.1988	7.54329	7.53827	6.1676	11.7686
Length   32, n   64, alignment  3/ 2:	18.1969	10.4235	10.3705	12.5608	18.4681
Length   64, n   32, alignment  2/ 3:	10.2182	7.54329	7.53856	7.46208	10.4625
Length   32, n   64, alignment  3/ 2:	20.5691	10.9745	10.2842	12.6144	19.8871
Length   64, n   32, alignment  2/ 3:	10.1827	7.53836	7.54502	7.45713	10.6088
Length   16, n   16, alignment  6/ 6:	11.5061	7.72678	7.73529	6.1677	11.7129
Length   16, n   16, alignment  6/ 6:	11.2968	7.5432	7.53828	6.16761	11.6656
Length   16, n   16, alignment  6/ 4:	11.1685	7.71315	7.66063	6.1676	11.6679
Length   16, n   16, alignment  4/ 6:	11.0741	7.54329	7.5383	6.16762	11.6579
Length   64, n  128, alignment  2/ 4:	16.2671	14.2363	13.5807	15.6288	16.9263
Length  128, n   64, alignment  4/ 2:	12.6028	9.14692	10.3447	11.598	12.6452
Length   64, n  128, alignment  2/ 4:	16.4959	13.9557	13.8568	15.69	16.46
Length  128, n   64, alignment  4/ 2:	12.8534	9.83519	10.2794	11.6005	12.9394
Length   16, n   16, alignment  7/ 7:	11.3996	7.72696	7.71141	6.16774	11.7617
Length   16, n   16, alignment  7/ 7:	11.2405	7.53819	7.61823	6.25856	11.763
Length   16, n   16, alignment  7/ 6:	11.148	7.53838	7.54358	6.16765	12.3216
Length   16, n   16, alignment  6/ 7:	11.0735	7.53825	7.54414	6.16765	11.7729
Length  128, n  256, alignment  1/ 6:	22.085	17.114	17.014	24.8625	21.1366
Length  256, n  128, alignment  6/ 1:	15.5238	13.5146	13.0539	19.6523	16.0162
Length  128, n  256, alignment  1/ 6:	21.6756	17.5303	17.2266	25.0796	21.3997
Length  256, n  128, alignment  6/ 1:	16.0085	13.4861	13.0802	19.658	15.8131
Length    8, n   16, alignment  0/ 0:	14.4969	11.1483	10.1566	10.9694	14.5891
Length   32, n   16, alignment  0/ 0:	11.0782	6.85312	6.85803	6.16763	11.8051
Length    8, n   16, alignment  7/ 2:	14.0808	11.3437	11.4332	11.4289	15.0822
Length   32, n   16, alignment  7/ 2:	11.1679	7.53833	7.54292	6.16761	11.6595
Length   16, n   32, alignment  0/ 0:	14.0622	9.69124	9.69586	10.9694	14.4227
Length   64, n   32, alignment  0/ 0:	10.3572	7.53826	7.53841	6.17303	10.519
Length   16, n   32, alignment  6/ 4:	14.3298	10.4998	10.5419	10.9649	14.7502
Length   64, n   32, alignment  6/ 4:	10.4777	7.5382	7.5382	6.37936	10.3132
Length   32, n   64, alignment  0/ 0:	14.962	10.5541	10.4701	11.9125	14.9247
Length  128, n   64, alignment  0/ 0:	12.59	8.36073	8.36917	9.44516	12.6709
Length   32, n   64, alignment  5/ 6:	16.3248	11.8428	11.9089	13.2074	17.8172
Length  128, n   64, alignment  5/ 6:	12.5373	10.2999	10.2806	12.5417	12.6214
Length   64, n  128, alignment  0/ 0:	16.1025	12.8278	12.4189	14.8757	16.3631
Length  256, n  128, alignment  0/ 0:	14.8676	10.5914	10.2093	14.1573	15.3623
Length   64, n  128, alignment  4/ 0:	16.2889	13.4084	13.503	16.0679	16.2445
Length  256, n  128, alignment  4/ 0:	15.7358	13.3235	12.2316	18.682	15.489
Length  128, n  256, alignment  0/ 0:	19.218	15.7058	15.4446	23.0224	18.82
Length  512, n  256, alignment  0/ 0:	18.3384	18.4228	14.7083	18.6112	18.2472
Length  128, n  256, alignment  3/ 2:	21.6418	17.078	16.9636	29.3783	21.715
Length  512, n  256, alignment  3/ 2:	23.3961	20.4559	20.5762	23.3236	23.6179
Length  256, n  512, alignment  0/ 0:	27.705	23.7621	23.2363	28.6597	27.118
Length 1024, n  512, alignment  0/ 0:	29.124	19.4908	19.7314	29.4189	29.4412
Length  256, n  512, alignment  2/ 4:	29.4839	26.5058	25.8029	30.1712	29.1238
Length 1024, n  512, alignment  2/ 4:	31.3747	25.8163	26.5491	33.8571	31.1138
Length  512, n 1024, alignment  0/ 0:	44.6007	29.4819	28.1816	42.4496	44.0689
Length 2048, n 1024, alignment  0/ 0:	46.6199	28.0055	30.0243	51.1897	46.6247
Length  512, n 1024, alignment  1/ 6:	54.5046	32.2383	29.5432	43.3324	54.162
Length 2048, n 1024, alignment  1/ 6:	49.7675	40.5889	36.1311	56.765	49.8824
