                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.7621	7.37705	7.35889	6.03732	11.5522
Length   16, n   16, alignment  1/ 1:	11.1559	7.5133	7.5553	6.16773	11.6717
Length   16, n   16, alignment  1/ 2:	11.2423	7.60023	7.53824	6.26762	11.8081
Length   16, n   16, alignment  2/ 1:	11.3567	7.53827	7.53828	6.18789	11.65
Length    2, n    4, alignment  7/ 2:	14.0766	11.0208	11.7034	10.7858	13.6753
Length    4, n    2, alignment  2/ 7:	11.2118	7.53833	8.09103	6.73326	11.3463
Length    2, n    4, alignment  7/ 2:	13.707	10.9649	11.6301	10.7038	13.7278
Length    4, n    2, alignment  2/ 7:	10.6862	7.53845	8.22362	6.70983	11.0883
Length   16, n   16, alignment  2/ 2:	11.0685	7.53828	7.53833	6.17295	11.6502
Length   16, n   16, alignment  2/ 2:	11.211	7.53827	7.53845	6.17254	11.7134
Length   16, n   16, alignment  2/ 4:	11.2553	7.61128	7.65764	6.17234	11.7359
Length   16, n   16, alignment  4/ 2:	11.3292	7.72667	7.61143	6.16764	11.6978
Length    4, n    8, alignment  6/ 4:	14.2582	12.0067	11.9626	10.9694	14.8012
Length    8, n    4, alignment  4/ 6:	11.2308	7.5832	8.2283	6.85307	11.7907
Length    4, n    8, alignment  6/ 4:	13.7972	11.8805	11.9634	10.9751	14.6393
Length    8, n    4, alignment  4/ 6:	11.3815	7.53842	8.23014	6.85312	11.8868
Length   16, n   16, alignment  3/ 3:	11.0333	7.53829	7.54352	6.16805	11.7154
Length   16, n   16, alignment  3/ 3:	11.2032	7.54321	7.53828	6.16761	11.6727
Length   16, n   16, alignment  3/ 6:	11.5197	7.69567	7.53829	6.16761	11.8065
Length   16, n   16, alignment  6/ 3:	11.4563	7.54301	7.73243	6.26482	11.7275
Length    8, n   16, alignment  5/ 6:	14.2071	10.965	10.1782	10.9647	14.8807
Length   16, n    8, alignment  6/ 5:	11.3878	8.43367	7.56711	6.16783	11.9454
Length    8, n   16, alignment  5/ 6:	14.147	10.9648	10.2042	11.0892	14.6197
Length   16, n    8, alignment  6/ 5:	11.025	8.32384	7.74412	6.31768	11.762
Length   16, n   16, alignment  4/ 4:	11.3489	7.62312	7.53829	6.16764	11.7867
Length   16, n   16, alignment  4/ 4:	11.1121	7.57605	7.66462	6.16759	11.7388
Length   16, n   16, alignment  4/ 0:	11.1221	7.55543	7.53834	6.31882	12.0423
Length   16, n   16, alignment  0/ 4:	11.1819	7.53821	7.5382	6.17228	11.6513
