                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.0528	22.8737	23.3083	21.0983	24.3588
Length    4/   4, alignment  0/ 0, N    2:	24.6773	22.8688	23.5247	21.1115	24.3255
Length    4/   4, alignment  4/ 0, N    2:	25.046	22.8635	22.9186	20.6337	24.2001
Length    8/   8, alignment  0/ 0, N    2:	24.0798	22.3518	22.9874	20.5996	23.7268
Length    8/   8, alignment  0/ 0, N    2:	24.2908	22.3498	22.4583	20.6227	24.2029
Length   16/  16, alignment  0/ 0, N    2:	24.3198	22.3493	22.7771	21.1277	24.3524
Length   16/  16, alignment  7/ 2, N    2:	23.8999	22.3501	22.5627	22.5442	24.005
Length   16/   4, alignment  0/ 0, N    2:	23.3411	21.8539	21.8542	20.0629	24.4208
Length   16/   4, alignment  7/ 2, N    2:	24.3763	22.3489	22.3508	20.3116	23.568
Length   32/  32, alignment  0/ 0, N    2:	23.9008	21.8531	22.4796	20.6842	23.8344
Length   32/  32, alignment  6/ 4, N    2:	23.8161	21.9575	22.4799	20.6511	23.8211
Length   32/   8, alignment  0/ 0, N    2:	24.5676	21.3355	21.8559	19.9999	23.2022
Length   32/   8, alignment  6/ 4, N    2:	23.4672	21.3325	21.8538	20.0011	23.6877
Length   64/  64, alignment  0/ 0, N    2:	23.7744	23.1454	53.2086	20.7774	24.1257
Length   64/  64, alignment  5/ 6, N    2:	24.9642	22.1212	22.9906	21.1946	24.3336
Length   64/  16, alignment  0/ 0, N    2:	23.8729	22.7292	22.3527	21.111	23.9488
Length   64/  16, alignment  5/ 6, N    2:	23.3018	21.5413	21.8546	22.0255	23.548
Length  128/ 128, alignment  0/ 0, N    2:	25.1641	21.9057	23.1214	20.623	23.8622
Length  128/ 128, alignment  4/ 0, N    2:	23.9741	21.9084	23.0153	20.6347	24.2574
Length  128/  32, alignment  0/ 0, N    2:	24.4412	22.3533	22.9884	21.074	24.7458
Length  128/  32, alignment  4/ 0, N    2:	24.3995	22.456	22.9897	21.1207	24.3482
Length  256/ 256, alignment  0/ 0, N    2:	27.713	22.3526	23.0449	21.0771	27.601
Length  256/ 256, alignment  3/ 2, N    2:	27.317	22.3506	22.989	21.0742	27.7584
Length  256/  64, alignment  0/ 0, N    2:	24.4627	22.4786	22.9905	21.1858	24.3857
Length  256/  64, alignment  3/ 2, N    2:	24.3347	22.6714	22.988	21.273	24.4014
Length  512/ 512, alignment  0/ 0, N    2:	27.447	23.2554	23.9829	25.505	27.5451
Length  512/ 512, alignment  2/ 4, N    2:	27.4299	22.3511	22.9906	24.4735	27.5378
Length  512/ 128, alignment  0/ 0, N    2:	24.5473	24.2376	24.4185	21.5796	25.1718
Length  512/ 128, alignment  2/ 4, N    2:	25.7103	22.9227	24.3947	21.5763	25.0283
Length 1024/1024, alignment  0/ 0, N    2:	30.0248	26.5248	27.9463	36.6806	29.8282
Length 1024/1024, alignment  1/ 6, N    2:	29.9287	26.4797	27.9332	36.6745	31.1076
Length 1024/ 256, alignment  0/ 0, N    2:	28.4424	23.8913	24.6731	22.7867	29.2133
Length 1024/ 256, alignment  1/ 6, N    2:	28.5928	23.9558	24.3192	22.0778	29.1467
Length   16/   1, alignment  1/ 2, N    2:	25.243	23.4168	23.9451	21.4805	25.1421
Length   16/   1, alignment  2/ 1, N    2:	25.1384	23.4153	23.4142	21.4271	24.9834
Length   16/  10, alignment  1/ 1, N    2:	24.7551	22.8714	22.8687	20.9773	24.5583
Length   32/   1, alignment  2/ 4, N    2:	24.5085	22.218	23.7137	20.9633	24.289
Length   32/   1, alignment  4/ 2, N    2:	24.1838	22.2156	22.8693	20.4335	23.7311
Length   32/  10, alignment  2/ 2, N    2:	23.8013	21.7115	22.3515	20.5722	24.2017
Length   64/   1, alignment  3/ 6, N    2:	24.1138	22.0328	22.517	20.4977	24.1163
