                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.8887	7.35892	7.35896	6.07586	11.6057
Length   16, n   16, alignment  1/ 1:	11.0569	7.49792	7.62083	6.16777	14.6369
Length   16, n   16, alignment  1/ 2:	11.1753	7.56163	7.64347	6.16769	11.6797
Length   16, n   16, alignment  2/ 1:	11.0726	7.5383	7.5112	6.0821	11.7597
Length    2, n    4, alignment  7/ 2:	14.0113	10.9898	11.6502	10.9781	13.901
Length    4, n    2, alignment  2/ 7:	10.9677	7.53842	8.27315	6.853	11.105
Length    2, n    4, alignment  7/ 2:	13.0588	10.9823	11.5845	10.744	13.6242
Length    4, n    2, alignment  2/ 7:	10.7291	7.59765	8.25745	6.84938	11.2515
Length   16, n   16, alignment  2/ 2:	11.1121	7.53832	7.55154	6.16778	11.7355
Length   16, n   16, alignment  2/ 2:	11.3772	7.5607	7.57677	6.16771	11.667
Length   16, n   16, alignment  2/ 4:	11.0366	7.7177	7.68029	6.16768	11.7224
Length   16, n   16, alignment  4/ 2:	11.4624	7.70664	7.53831	6.16763	11.6896
Length    4, n    8, alignment  6/ 4:	14.3561	12.1206	11.9679	10.8895	14.8598
Length    8, n    4, alignment  4/ 6:	11.0756	7.54333	8.22383	6.85304	11.8782
Length    4, n    8, alignment  6/ 4:	14.313	11.8484	11.9688	10.9497	14.6356
Length    8, n    4, alignment  4/ 6:	11.1751	7.55096	8.22368	6.8581	11.8107
Length   16, n   16, alignment  3/ 3:	11.2256	7.53825	7.55145	6.32666	11.7564
Length   16, n   16, alignment  3/ 3:	11.0826	7.53825	7.53841	6.17431	11.9051
Length   16, n   16, alignment  3/ 6:	11.1136	7.53827	7.53828	6.17447	11.7233
Length   16, n   16, alignment  6/ 3:	11.3415	7.72664	7.62657	6.16766	11.6691
Length    8, n   16, alignment  5/ 6:	14.1353	11.2442	10.2637	10.9699	14.5867
Length   16, n    8, alignment  6/ 5:	11.1994	8.2238	7.53844	6.17426	12.196
Length    8, n   16, alignment  5/ 6:	14.0701	10.9699	10.1689	10.9699	14.6086
Length   16, n    8, alignment  6/ 5:	11.1484	8.22368	7.53829	6.17277	11.9628
Length   16, n   16, alignment  4/ 4:	11.1917	7.53826	7.54304	6.16769	11.6924
Length   16, n   16, alignment  4/ 4:	11.1917	7.53824	7.54289	6.16765	11.6512
Length   16, n   16, alignment  4/ 0:	11.2094	7.55577	7.7496	6.23691	11.6522
Length   16, n   16, alignment  0/ 4:	11.0378	7.59621	7.63518	6.16763	11.6925
Length   16, n   32, alignment  4/ 0:	14.3559	10.6808	10.5386	10.9697	15.1254
Length   32, n   16, alignment  0/ 4:	11.1757	6.85304	6.85842	6.16769	12.0222
Length   16, n   32, alignment  4/ 0:	14.4754	10.5541	10.5273	10.9716	14.885
Length   32, n   16, alignment  0/ 4:	11.1686	6.97766	7.01497	6.16766	11.6624
Length   16, n   16, alignment  5/ 5:	11.2782	7.68233	7.70834	6.16768	11.6622
Length   16, n   16, alignment  5/ 5:	11.2339	7.53826	7.57782	6.1677	11.7038
Length   16, n   16, alignment  5/ 2:	11.2009	7.72665	7.73158	6.18397	11.6558
Length   16, n   16, alignment  2/ 5:	11.2179	7.72677	7.73216	6.23871	11.6871
Length   32, n   64, alignment  3/ 2:	18.5324	10.2798	10.3178	12.6736	19.0099
Length   64, n   32, alignment  2/ 3:	10.6028	7.56191	7.53864	7.63593	10.6348
Length   32, n   64, alignment  3/ 2:	18.5893	9.92629	10.3563	12.5759	18.1248
Length   64, n   32, alignment  2/ 3:	10.539	7.72679	7.62848	7.5151	10.9205
Length   16, n   16, alignment  6/ 6:	11.3781	7.56067	7.72897	6.32188	11.7081
Length   16, n   16, alignment  6/ 6:	11.3188	7.67974	7.54298	6.16762	11.6768
Length   16, n   16, alignment  6/ 4:	11.4466	7.74386	7.59219	6.16764	11.7533
Length   16, n   16, alignment  4/ 6:	11.2237	7.54342	7.5382	6.16765	11.6583
Length   64, n  128, alignment  2/ 4:	16.3847	14.1195	13.8911	15.7096	16.6392
Length  128, n   64, alignment  4/ 2:	14.4559	10.5306	10.3259	11.609	12.8208
Length   64, n  128, alignment  2/ 4:	16.3991	14.257	13.7847	15.5832	16.7062
Length  128, n   64, alignment  4/ 2:	12.5436	10.2809	10.5364	11.625	12.8881
Length   16, n   16, alignment  7/ 7:	11.5626	7.72678	7.73249	6.25071	11.8379
Length   16, n   16, alignment  7/ 7:	11.0628	7.53838	7.54315	6.20298	11.9613
Length   16, n   16, alignment  7/ 6:	11.397	7.53828	7.7373	6.25202	11.7639
Length   16, n   16, alignment  6/ 7:	11.2625	7.54441	7.53826	6.16762	11.973
Length  128, n  256, alignment  1/ 6:	21.7682	17.2238	17.4293	24.92	21.6187
Length  256, n  128, alignment  6/ 1:	15.6476	13.5593	13.2366	19.6421	16.0705
Length  128, n  256, alignment  1/ 6:	22.0768	17.3229	17.3691	25.1885	21.1873
Length  256, n  128, alignment  6/ 1:	15.8536	13.5846	13.1109	19.5828	16.1541
Length    8, n   16, alignment  0/ 0:	14.4922	11.0776	10.1965	10.9696	14.8005
Length   32, n   16, alignment  0/ 0:	11.3759	7.04209	6.91701	6.19507	11.7876
Length    8, n   16, alignment  7/ 2:	14.6023	11.326	11.4267	10.971	14.9233
Length   32, n   16, alignment  7/ 2:	11.1523	7.53824	7.54291	6.16768	11.6557
Length   16, n   32, alignment  0/ 0:	14.1106	9.81932	9.74286	10.9699	14.8141
Length   64, n   32, alignment  0/ 0:	10.2254	7.53829	7.54334	6.16777	10.6457
Length   16, n   32, alignment  6/ 4:	14.6373	10.5852	10.6198	10.9695	14.7305
Length   64, n   32, alignment  6/ 4:	10.3307	7.53827	7.53823	6.38292	10.6166
Length   32, n   64, alignment  0/ 0:	14.8544	10.5544	10.5555	11.9741	15.2928
Length  128, n   64, alignment  0/ 0:	13.3473	8.22363	10.7671	9.15846	12.7099
Length   32, n   64, alignment  5/ 6:	17.2809	11.7622	11.6526	13.2021	18.055
Length  128, n   64, alignment  5/ 6:	13.6223	10.2943	10.3057	12.5684	12.6276
Length   64, n  128, alignment  0/ 0:	15.979	12.953	13.2904	14.5278	16.2337
Length  256, n  128, alignment  0/ 0:	15.179	10.566	10.4522	14.02	15.4865
Length   64, n  128, alignment  4/ 0:	16.1703	13.6236	13.4305	15.989	16.4441
Length  256, n  128, alignment  4/ 0:	15.4281	13.3411	12.2321	18.5534	16.2072
Length  128, n  256, alignment  0/ 0:	20.2403	16.082	15.4532	23.0678	18.8328
Length  512, n  256, alignment  0/ 0:	18.4133	15.6584	14.9413	18.9692	18.7428
Length  128, n  256, alignment  3/ 2:	22.2597	17.2003	16.9073	23.8135	22.1572
Length  512, n  256, alignment  3/ 2:	23.467	20.8616	20.379	23.2768	23.738
Length  256, n  512, alignment  0/ 0:	27.6962	23.7219	23.4477	28.5736	28.0115
Length 1024, n  512, alignment  0/ 0:	29.5908	19.4525	19.7482	29.2241	29.2143
Length  256, n  512, alignment  2/ 4:	29.5389	26.6632	25.8784	40.9069	28.4699
Length 1024, n  512, alignment  2/ 4:	30.6611	25.7783	26.6269	34.7066	31.5496
Length  512, n 1024, alignment  0/ 0:	44.4722	29.6292	27.9287	43.2317	43.9794
Length 2048, n 1024, alignment  0/ 0:	46.5768	28.356	29.5796	52.1232	47.6987
Length  512, n 1024, alignment  1/ 6:	54.4575	31.861	29.3536	51.0093	53.8817
Length 2048, n 1024, alignment  1/ 6:	51.0243	40.5115	36.1976	56.5214	50.8636
