                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.3871	5.63696	5.5791	5.50232	5.48596
Length    0, alignments in bytes  0/ 0:	10.3707	6.18481	6.1803	5.49463	5.50012
Length    0, alignments in bytes  0/ 0:	10.348	6.16992	5.58386	5.48682	5.49524
Length    0, alignments in bytes  0/ 0:	10.4594	6.17798	5.56384	5.49634	5.47961
Length    1, alignments in bytes  0/ 0:	10.3708	6.18811	5.5741	5.49487	5.49744
Length    1, alignments in bytes  0/ 0:	10.7097	6.17444	5.57568	5.49084	5.50391
Length    1, alignments in bytes  0/ 1:	9.927	6.17444	5.56946	5.49121	5.48657
Length    1, alignments in bytes  1/ 0:	10.079	6.18176	6.1687	5.49561	5.1748
Length    2, alignments in bytes  0/ 0:	9.97656	6.37244	5.90295	6.12073	7.68091
Length    2, alignments in bytes  0/ 0:	9.40601	5.87451	5.89465	6.55469	7.50122
Length    2, alignments in bytes  0/ 2:	9.04138	5.69824	5.7019	5.995	7.50586
Length    2, alignments in bytes  2/ 0:	8.8512	4.99792	5.00879	4.99402	6.26636
Length    3, alignments in bytes  0/ 0:	9.40381	5.62341	5.01672	4.99585	7.51355
Length    3, alignments in bytes  0/ 0:	9.63025	5.63184	5.0083	5.00403	7.50244
Length    3, alignments in bytes  0/ 3:	9.37476	5.00757	4.99768	5.00952	7.49329
Length    3, alignments in bytes  3/ 0:	9.39832	5.0083	4.99573	5.00464	8.13062
Length    4, alignments in bytes  0/ 0:	9.86914	7.81433	7.81787	5.73828	8.12378
Length    4, alignments in bytes  0/ 0:	9.38611	7.81274	7.82202	5.73474	8.12817
Length    4, alignments in bytes  0/ 4:	9.39929	5.92517	5.98254	5.73621	8.125
Length    4, alignments in bytes  4/ 0:	9.3717	4.99841	5.00928	4.99365	8.77234
Length    5, alignments in bytes  0/ 0:	9.6156	7.98718	7.9873	6.6272	9.12427
Length    5, alignments in bytes  0/ 0:	9.5957	7.99377	7.98608	6.63257	9.13123
Length    5, alignments in bytes  0/ 5:	10.0406	6.05737	6.0907	5.84106	8.32056
Length    5, alignments in bytes  5/ 0:	9.58337	5.10876	5.11914	5.11243	9.61121
Length    6, alignments in bytes  0/ 0:	9.64087	7.98889	7.98926	7.33301	11.5233
Length    6, alignments in bytes  0/ 0:	9.66907	7.98218	7.99402	7.35376	11.5074
Length    6, alignments in bytes  0/ 6:	9.96436	6.04797	6.10388	5.72168	11.5033
Length    6, alignments in bytes  6/ 0:	9.58411	5.10901	5.11841	5.10828	8.95508
Length    7, alignments in bytes  0/ 0:	9.68909	7.01331	8.16455	5.1167	11.5134
Length    7, alignments in bytes  0/ 0:	9.79675	7.01099	6.88928	5.12439	11.5052
Length    7, alignments in bytes  0/ 7:	9.68445	6.05737	6.10461	5.1217	11.5006
Length    7, alignments in bytes  7/ 0:	9.86438	5.10889	5.11938	5.10779	11.5117
Length    8, alignments in bytes  0/ 0:	9.61023	8.23389	7.9967	5.87024	5.14685
Length    8, alignments in bytes  0/ 0:	9.73389	8.31384	7.99622	5.86719	5.14893
Length    8, alignments in bytes  0/ 0:	9.98413	8.26233	7.9906	5.87048	5.12073
Length    8, alignments in bytes  0/ 0:	9.62878	8.60327	7.99426	5.86475	5.146
Length    9, alignments in bytes  0/ 0:	9.89465	8.22424	7.99255	6.63428	5.97241
Length    9, alignments in bytes  0/ 0:	9.62354	8.21558	7.98657	6.64001	5.97095
Length    9, alignments in bytes  0/ 1:	9.73193	8.41394	7.99426	7.0542	6.6925
Length    9, alignments in bytes  1/ 0:	9.70496	8.17517	8.00415	6.99548	14.0746
Length   10, alignments in bytes  0/ 0:	10.8601	8.35291	7.995	7.33167	6.79248
Length   10, alignments in bytes  0/ 0:	10.8605	8.604	7.9928	7.34644	6.76477
Length   10, alignments in bytes  0/ 2:	10.8599	8.28479	7.99133	7.18591	7.43799
Length   10, alignments in bytes  2/ 0:	10.8604	8.1853	8.03577	7.09131	15.3346
Length   11, alignments in bytes  0/ 0:	10.8596	8.95251	8.18311	6.85242	7.76013
Length   11, alignments in bytes  0/ 0:	11.1127	8.47253	8.17603	6.86365	7.74573
Length   11, alignments in bytes  0/ 3:	11.1132	8.63293	8.17676	7.34851	8.48547
Length   11, alignments in bytes  3/ 0:	11.1117	8.47742	8.23218	7.24988	17.0211
Length   12, alignments in bytes  0/ 0:	11.1122	8.64648	8.17029	7.50708	8.70154
Length   12, alignments in bytes  0/ 0:	11.1117	8.52478	8.18213	7.51086	8.69214
Length   12, alignments in bytes  0/ 4:	11.1132	8.04077	7.91968	7.55884	8.94604
Length   12, alignments in bytes  4/ 0:	11.1117	8.0415	8.05615	7.25085	11.2208
Length   13, alignments in bytes  0/ 0:	11.1154	8.61279	8.18567	7.52942	11.379
Length   13, alignments in bytes  0/ 0:	9.87427	8.49036	8.17273	7.51074	11.3633
Length   13, alignments in bytes  0/ 5:	9.83655	8.04419	7.99768	7.54431	10.1062
Length   13, alignments in bytes  5/ 0:	9.86743	8.04272	8.01453	7.25464	12.2551
Length   14, alignments in bytes  0/ 0:	9.8783	8.51904	8.1748	7.5155	12.6259
Length   14, alignments in bytes  0/ 0:	9.86267	8.43726	8.17383	7.51575	12.629
Length   14, alignments in bytes  0/ 6:	10.1057	8.04602	7.91406	7.54724	11.7709
Length   14, alignments in bytes  6/ 0:	10.547	8.02344	8.05017	7.2666	12.6387
Length   15, alignments in bytes  0/ 0:	9.875	7.24182	7.3916	5.24255	11.7743
Length   15, alignments in bytes  0/ 0:	9.84387	7.20068	7.39453	5.23523	11.7706
Length   15, alignments in bytes  0/ 7:	9.87927	8.0437	8.06482	5.22888	11.7701
Length   15, alignments in bytes  7/ 0:	9.90332	8.01929	8.03662	5.23181	12.3641
Length   16, alignments in bytes  0/ 0:	9.83472	8.84155	8.17371	5.25415	6.66992
Length   16, alignments in bytes  7/ 2:	9.81958	8.42407	8.2146	5.59204	13.2498
Length   32, alignments in bytes  0/ 0:	11.1179	6.55957	6.5575	6.93188	9.4613
Length   32, alignments in bytes  6/ 4:	11.2771	5.94299	6.54028	10.9224	15.4269
Length   64, alignments in bytes  0/ 0:	12.3076	7.90869	7.52148	8.50745	14.6537
Length   64, alignments in bytes  5/ 6:	13.925	13.1635	13.7402	11.9183	24.1527
Length  128, alignments in bytes  0/ 0:	15.5991	9.65845	9.17725	13.512	24.9841
Length  128, alignments in bytes  4/ 0:	19.7733	10.6243	12.0204	15.297	31.3149
Length  256, alignments in bytes  0/ 0:	21.7197	14.7831	15.7375	17.3649	49.5317
Length  256, alignments in bytes  3/ 2:	23.5798	14.7551	17.1522	19.0352	60.7445
Length  512, alignments in bytes  0/ 0:	40.3152	26.0433	20.2664	26.6517	98.2595
Length  512, alignments in bytes  2/ 4:	31.458	21.1943	22.8185	28.1498	144.335
Length 1024, alignments in bytes  0/ 0:	51.3972	28.1132	27.3295	46.619	223.341
Length 1024, alignments in bytes  1/ 6:	59.7509	39.4827	34.6687	46.651	305.509
Length   16, alignments in bytes  1/ 2:	13.3645	8.5387	8.42896	5.68103	17.2664
Length   16, alignments in bytes  2/ 1:	10.1033	8.52625	8.40234	5.71326	15.3351
Length   16, alignments in bytes  1/ 1:	10.2805	8.53345	8.4032	5.35193	14.6261
Length   16, alignments in bytes  1/ 1:	10.2642	8.54834	8.40771	5.3634	14.7477
Length   32, alignments in bytes  2/ 4:	11.703	8.00146	8.18958	10.0042	21.0284
