                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.7246	6.41284	6.36707	6.25281	6.25488
Length    0, alignments in bytes  0/ 0:	11.7263	7.04089	6.36707	6.25415	6.26306
Length    0, alignments in bytes  0/ 0:	11.8951	5.89795	5.88232	5.24451	5.23132
Length    0, alignments in bytes  0/ 0:	9.80737	5.89075	5.31995	5.23718	5.23389
Length    1, alignments in bytes  0/ 0:	19.5134	6.55066	5.90564	5.23035	5.25708
Length    1, alignments in bytes  0/ 0:	19.5262	5.89502	5.3175	5.23669	5.2489
Length    1, alignments in bytes  0/ 1:	19.5099	5.88379	5.89392	5.22559	5.24023
Length    1, alignments in bytes  1/ 0:	19.5194	6.5354	5.89587	5.23486	5.44751
Length    2, alignments in bytes  0/ 0:	19.5927	5.75024	7.17749	6.36975	6.25488
Length    2, alignments in bytes  0/ 0:	18.7028	5.76147	5.78308	6.33264	6.26331
Length    2, alignments in bytes  0/ 2:	18.7008	5.68896	5.73315	6.32446	6.25391
Length    2, alignments in bytes  2/ 0:	18.7074	4.99719	5.00549	4.99744	6.33386
Length    3, alignments in bytes  0/ 0:	23.1041	4.41919	5.01428	4.9989	6.27002
Length    3, alignments in bytes  0/ 0:	23.0831	5.63745	5.00159	5.01575	6.32812
Length    3, alignments in bytes  0/ 3:	23.0875	5.62073	5.01099	4.99866	6.33435
Length    3, alignments in bytes  3/ 0:	23.0925	5.00281	5.00037	4.99951	7.89844
Length    4, alignments in bytes  0/ 0:	23.084	19.3607	19.739	5.79053	7.51208
Length    4, alignments in bytes  0/ 0:	23.1287	19.3567	19.7384	5.78015	8.13684
Length    4, alignments in bytes  0/ 4:	23.1206	19.3616	19.6512	5.77222	8.12073
Length    4, alignments in bytes  4/ 0:	18.7502	14.9839	15.9113	4.995	8.35742
Length    5, alignments in bytes  0/ 0:	23.1343	19.3562	19.1971	6.7605	9.10767
Length    5, alignments in bytes  0/ 0:	23.0811	19.3602	19.2355	6.74927	9.10266
Length    5, alignments in bytes  0/ 5:	23.1244	19.3586	19.5612	6.15063	8.12378
Length    5, alignments in bytes  5/ 0:	18.6804	15.0002	15.6064	5.0188	9.69385
Length    6, alignments in bytes  0/ 0:	23.1343	19.3577	19.2079	7.17371	11.2572
Length    6, alignments in bytes  0/ 0:	23.1294	19.3547	19.2292	7.18787	11.2517
Length    6, alignments in bytes  0/ 6:	23.1278	19.3608	19.7245	5.66101	11.2476
Length    6, alignments in bytes  6/ 0:	18.7397	14.995	15.6582	5.00854	10.0077
Length    7, alignments in bytes  0/ 0:	20.7902	19.3578	19.4768	5.00562	11.2535
Length    7, alignments in bytes  0/ 0:	20.7798	19.3612	21.7706	5.49646	12.3503
Length    7, alignments in bytes  0/ 7:	21.6134	19.3574	19.5636	5.00208	11.2466
Length    7, alignments in bytes  7/ 0:	20.7805	14.9912	15.9026	5.00439	11.2552
Length    8, alignments in bytes  0/ 0:	20.7576	19.3585	19.9829	5.78796	5.48779
Length    8, alignments in bytes  0/ 0:	20.7748	19.3577	19.983	5.77832	5.46777
Length    8, alignments in bytes  0/ 0:	20.783	19.3596	19.9824	5.79382	5.45605
Length    8, alignments in bytes  0/ 0:	20.6416	19.3608	19.9847	5.78284	5.4801
Length    9, alignments in bytes  0/ 0:	20.78	19.3615	19.983	6.74878	6.39331
Length    9, alignments in bytes  0/ 0:	20.7552	19.3607	19.9844	6.73779	6.38538
Length    9, alignments in bytes  0/ 1:	20.7524	19.361	19.9862	7.09021	6.97485
Length    9, alignments in bytes  1/ 0:	20.7617	19.3607	19.9841	7.0343	13.7615
Length   10, alignments in bytes  0/ 0:	20.6483	19.3605	19.9819	7.18896	7.1532
Length   10, alignments in bytes  0/ 0:	20.7748	19.3624	19.9845	7.19153	7.23694
