                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	15.5975	7.22802	7.84114	6.53431	16.0113
Length   16, n   16, alignment  1/ 1:	15.8954	7.39946	10.9247	6.84344	16.1455
Length   16, n   16, alignment  1/ 2:	16.0625	7.49157	8.22365	6.87709	16.3756
Length   16, n   16, alignment  2/ 1:	16.3145	7.56969	8.22352	6.85293	16.5727
Length    2, n    4, alignment  7/ 2:	17.2758	13.0198	10.719	10.7042	16.8527
Length    4, n    2, alignment  2/ 7:	15.2443	8.16596	8.08065	6.73403	15.3975
Length    2, n    4, alignment  7/ 2:	17.1779	11.6976	10.9141	10.7037	16.8814
Length    4, n    2, alignment  2/ 7:	15.0708	8.90906	8.1113	6.72173	15.4905
Length   16, n   16, alignment  2/ 2:	15.9586	7.42808	8.22367	6.83041	16.2476
Length   16, n   16, alignment  2/ 2:	16.1234	7.35882	8.23952	6.86879	16.4315
Length   16, n   16, alignment  2/ 4:	16.2189	7.5441	8.22351	6.8529	16.4771
Length   16, n   16, alignment  4/ 2:	16.3216	7.53835	8.22821	6.85292	16.3254
Length    4, n    8, alignment  6/ 4:	16.9371	12.2649	12.3318	10.9649	16.9965
Length    8, n    4, alignment  4/ 6:	15.9255	7.5384	8.04468	6.77786	15.9366
Length    4, n    8, alignment  6/ 4:	16.7156	12.2655	12.291	10.9922	16.7942
Length    8, n    4, alignment  4/ 6:	15.8489	7.53842	8.22371	6.85804	16.0217
Length   16, n   16, alignment  3/ 3:	16.3354	7.54189	8.10417	6.85303	16.4491
Length   16, n   16, alignment  3/ 3:	16.3126	7.53828	8.22359	6.85746	16.4623
Length   16, n   16, alignment  3/ 6:	15.9486	7.54296	8.22354	6.85291	16.3057
Length   16, n   16, alignment  6/ 3:	16.2891	7.53836	8.22808	6.8529	16.4734
Length    8, n   16, alignment  5/ 6:	18.8943	10.965	10.9999	10.9648	18.8345
Length   16, n    8, alignment  6/ 5:	15.7102	8.22367	8.94	6.85303	15.8541
Length    8, n   16, alignment  5/ 6:	18.662	10.8366	10.9884	10.9861	18.7756
Length   16, n    8, alignment  6/ 5:	15.5813	8.22367	8.90892	6.85755	15.8432
Length   16, n   16, alignment  4/ 4:	16.5535	7.54306	8.26072	6.85289	16.3108
Length   16, n   16, alignment  4/ 4:	16.4174	7.53827	8.22997	6.85291	18.9953
Length   16, n   16, alignment  4/ 0:	16.2022	7.53827	8.22348	6.93761	16.1862
Length   16, n   16, alignment  0/ 4:	14.8747	7.53825	8.22831	6.8529	15.0818
Length   16, n   32, alignment  4/ 0:	18.6342	11.0125	11.9316	11.6501	18.651
Length   32, n   16, alignment  0/ 4:	14.8012	6.85314	6.88743	6.9698	15.4278
Length   16, n   32, alignment  4/ 0:	18.8243	10.8755	11.6558	11.65	18.5824
Length   32, n   16, alignment  0/ 4:	14.7375	6.85307	6.88284	7.00151	15.2523
Length   16, n   16, alignment  5/ 5:	16.4218	7.5898	8.22836	6.8529	16.3449
Length   16, n   16, alignment  5/ 5:	16.2607	7.53825	8.22356	6.85757	16.5238
Length   16, n   16, alignment  5/ 2:	16.1126	7.54333	8.22356	6.85291	16.6208
Length   16, n   16, alignment  2/ 5:	16.2027	7.55547	8.38026	6.85291	16.4209
Length   32, n   64, alignment  3/ 2:	19.7939	11.1616	11.265	14.9555	20.1623
Length   64, n   32, alignment  2/ 3:	17.1172	7.72686	7.56115	7.53829	17.7663
Length   32, n   64, alignment  3/ 2:	19.6558	11.2605	11.4504	15.0292	20.0314
Length   64, n   32, alignment  2/ 3:	17.2207	8.05441	7.53846	7.55548	18.1291
Length   16, n   16, alignment  6/ 6:	16.2586	7.53838	8.22864	6.85291	16.3841
Length   16, n   16, alignment  6/ 6:	16.2431	7.53822	8.22355	7.0319	16.4709
Length   16, n   16, alignment  6/ 4:	16.2613	7.54461	8.2235	6.87345	16.561
Length   16, n   16, alignment  4/ 6:	16.3137	7.53824	8.22831	6.88467	16.7484
Length   64, n  128, alignment  2/ 4:	18.0712	15.4073	14.7242	16.905	17.9107
Length  128, n   64, alignment  4/ 2:	16.8128	10.556	10.4528	12.6617	17.3116
Length   64, n  128, alignment  2/ 4:	18.139	15.3842	14.7935	17.0426	17.6922
Length  128, n   64, alignment  4/ 2:	16.8594	10.5603	10.5364	12.9623	17.098
Length   16, n   16, alignment  7/ 7:	16.6564	7.53846	8.30944	7.00811	16.4103
Length   16, n   16, alignment  7/ 7:	16.257	7.54326	8.3723	6.86181	16.5777
Length   16, n   16, alignment  7/ 6:	16.2599	7.56765	8.34908	6.85294	16.6135
Length   16, n   16, alignment  6/ 7:	16.2122	7.56294	8.22348	6.8529	16.3797
Length  128, n  256, alignment  1/ 6:	22.3738	19.0399	18.2841	24.8809	22.2107
Length  256, n  128, alignment  6/ 1:	22.2923	14.6693	13.7916	20.0927	22.4671
Length  128, n  256, alignment  1/ 6:	22.6776	18.9496	18.3108	25.5028	22.4406
Length  256, n  128, alignment  6/ 1:	21.9767	14.58	13.8282	20.0284	22.3349
Length    8, n   16, alignment  0/ 0:	15.9713	11.2565	11.2446	11.0534	15.5654
Length   32, n   16, alignment  0/ 0:	14.7484	6.90459	7.02438	7.02902	15.0164
Length    8, n   16, alignment  7/ 2:	18.6547	11.7191	11.8259	10.9696	18.6506
Length   32, n   16, alignment  7/ 2:	16.4455	7.53823	7.53825	6.85775	16.5738
Length   16, n   32, alignment  0/ 0:	17.6965	9.80073	11.6501	11.6549	17.8203
Length   64, n   32, alignment  0/ 0:	16.0061	7.54325	7.53829	7.53825	16.5142
Length   16, n   32, alignment  6/ 4:	18.9935	10.858	11.6501	11.6551	18.6163
Length   64, n   32, alignment  6/ 4:	16.8505	7.54314	7.53826	7.61633	17.847
Length   32, n   64, alignment  0/ 0:	18.6544	11.0852	10.9954	14.2226	18.7739
Length  128, n   64, alignment  0/ 0:	13.9136	8.39705	8.38762	10.5214	13.5607
Length   32, n   64, alignment  5/ 6:	20.3677	12.6934	12.8624	15.696	19.4898
Length  128, n   64, alignment  5/ 6:	16.224	11.9549	11.8306	13.1745	16.6225
Length   64, n  128, alignment  0/ 0:	16.5497	13.8759	13.3641	16.3208	16.5927
Length  256, n  128, alignment  0/ 0:	16.2683	11.6254	11.2439	15.0274	15.9851
Length   64, n  128, alignment  4/ 0:	18.4033	15.1776	14.1666	17.2422	18.18
Length  256, n  128, alignment  4/ 0:	19.6981	14.082	13.3554	18.9998	21.3143
Length  128, n  256, alignment  0/ 0:	21.3801	16.8058	16.4925	23.6645	20.0746
Length  512, n  256, alignment  0/ 0:	23.3712	16.0451	15.5591	19.7903	21.7337
