                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.5471	6.3479	5.72473	5.6333	5.63403
Length    0, alignments in bytes  0/ 0:	10.6755	5.76746	6.34229	5.62878	5.63501
Length    0, alignments in bytes  0/ 0:	10.6078	5.77734	5.70215	5.63574	5.62512
Length    0, alignments in bytes  0/ 0:	10.6929	6.32983	5.71875	5.62341	5.63257
Length    1, alignments in bytes  0/ 0:	11.5669	6.33215	5.70764	5.63135	5.62939
Length    1, alignments in bytes  0/ 0:	11.6619	6.34033	6.33752	5.63037	5.64172
Length    1, alignments in bytes  0/ 1:	11.2629	6.33008	6.32935	5.63403	5.62292
Length    1, alignments in bytes  1/ 0:	11.244	6.33423	6.33118	5.61987	5.32153
Length    2, alignments in bytes  0/ 0:	11.6923	6.45679	6.48267	6.76172	7.03882
Length    2, alignments in bytes  0/ 0:	11.2351	5.88379	5.90198	6.11682	6.40515
Length    2, alignments in bytes  0/ 2:	10.2242	5.80859	6.23877	6.00806	6.24756
Length    2, alignments in bytes  2/ 0:	9.99292	5.00928	5.62183	5.00244	6.26233
Length    3, alignments in bytes  0/ 0:	9.76868	5.00415	5.00708	5.00195	6.27368
Length    3, alignments in bytes  0/ 0:	10.6284	4.99988	5.01477	5.00342	6.2699
Length    3, alignments in bytes  0/ 3:	10.6211	5.62415	5.00598	4.99915	6.25732
Length    3, alignments in bytes  3/ 0:	9.83093	5.00366	5.00232	4.99939	8.13562
Length    4, alignments in bytes  0/ 0:	9.81958	7.81531	7.82849	5.73206	8.71704
Length    4, alignments in bytes  0/ 0:	9.84094	7.99524	7.99524	5.86914	8.31934
Length    4, alignments in bytes  0/ 4:	9.94165	6.05774	6.10559	5.87683	8.30933
Length    4, alignments in bytes  4/ 0:	9.58313	5.10925	5.12122	5.11047	8.95923
Length    5, alignments in bytes  0/ 0:	9.61621	7.98865	7.99097	6.63037	9.14001
Length    5, alignments in bytes  0/ 0:	9.68762	7.99133	7.98938	6.63159	9.12524
Length    5, alignments in bytes  0/ 5:	9.97083	6.05884	6.08826	5.82312	8.30969
Length    5, alignments in bytes  5/ 0:	9.58386	5.10815	5.12244	5.11011	8.33313
Length    6, alignments in bytes  0/ 0:	9.70129	7.98608	7.98706	7.31384	11.5183
Length    6, alignments in bytes  0/ 0:	9.96741	7.99011	7.99219	7.34802	11.5127
Length    6, alignments in bytes  0/ 6:	9.60999	7.14307	6.77588	6.13525	12.3352
Length    6, alignments in bytes  6/ 0:	10.2877	5.48645	5.64648	5.11475	8.95386
