                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.7216	7.35891	7.36553	6.02087	11.3855
Length   16, n   16, alignment  1/ 1:	11.3421	7.49283	7.63624	6.03986	11.5586
Length   16, n   16, alignment  1/ 2:	11.2695	7.53832	8.75064	6.1531	11.8625
Length   16, n   16, alignment  2/ 1:	12.1789	7.64882	7.53823	6.16828	11.6823
Length    2, n    4, alignment  7/ 2:	14.8617	12.0052	11.5307	10.8075	13.8782
Length    4, n    2, alignment  2/ 7:	11.1274	8.075	8.02793	6.68983	11.1531
Length    2, n    4, alignment  7/ 2:	13.3165	11.0091	11.4846	10.7162	13.7426
Length    4, n    2, alignment  2/ 7:	11.2393	7.38024	8.02786	6.68983	11.0279
Length   16, n   16, alignment  2/ 2:	10.966	7.54482	7.41948	6.06392	11.7262
Length   16, n   16, alignment  2/ 2:	11.1999	7.5431	7.53832	6.16778	11.6715
Length   16, n   16, alignment  2/ 4:	11.2	7.54292	7.53826	6.16761	11.6674
Length   16, n   16, alignment  4/ 2:	11.2231	7.54611	7.53827	6.16771	11.6546
Length    4, n    8, alignment  6/ 4:	13.9693	11.8603	11.8155	10.7038	14.352
Length    8, n    4, alignment  4/ 6:	10.9089	7.54323	8.2609	6.84451	11.584
Length    4, n    8, alignment  6/ 4:	14.1083	11.8523	11.9604	10.9647	14.6202
Length    8, n    4, alignment  4/ 6:	11.086	7.54361	8.2237	6.81595	11.5233
Length   16, n   16, alignment  3/ 3:	11.1019	7.53823	7.53826	6.09061	11.7682
Length   16, n   16, alignment  3/ 3:	11.136	7.53824	7.53826	6.17249	11.6636
Length   16, n   16, alignment  3/ 6:	11.176	7.53823	7.53829	6.17452	11.7623
Length   16, n   16, alignment  6/ 3:	11.227	7.53839	7.54306	6.1676	11.5822
Length    8, n   16, alignment  5/ 6:	13.8271	10.97	10.1753	10.9319	14.4016
