                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.9062	13.0871	7.46481	6.02093	11.602
Length   16, n   16, alignment  1/ 1:	11.2078	7.54187	7.55561	6.16767	11.7148
Length   16, n   16, alignment  1/ 2:	12.2488	7.58243	7.65702	6.23347	11.6517
Length   16, n   16, alignment  2/ 1:	12.4088	7.53827	7.53825	6.1925	11.7367
Length    2, n    4, alignment  7/ 2:	15.2515	11.0947	11.6795	10.9977	13.9114
Length    4, n    2, alignment  2/ 7:	11.3407	7.5384	8.22362	6.86681	11.2399
Length    2, n    4, alignment  7/ 2:	13.639	10.9648	11.5774	10.7038	13.6029
Length    4, n    2, alignment  2/ 7:	10.5617	8.12646	8.24095	6.87954	11.4842
Length   16, n   16, alignment  2/ 2:	11.1889	7.53831	7.53835	6.18404	11.8727
Length   16, n   16, alignment  2/ 2:	11.1115	7.53831	7.54326	6.16772	11.7313
Length   16, n   16, alignment  2/ 4:	11.2123	7.5383	7.54325	6.16763	11.7558
Length   16, n   16, alignment  4/ 2:	11.3903	7.72669	7.65833	6.16763	11.7944
Length    4, n    8, alignment  6/ 4:	14.2402	12.159	11.9654	10.9712	14.9243
Length    8, n    4, alignment  4/ 6:	11.0325	7.53843	8.22878	6.85712	11.8239
Length    4, n    8, alignment  6/ 4:	14.3187	11.8637	11.9604	10.8895	14.4344
Length    8, n    4, alignment  4/ 6:	11.044	7.58226	8.22357	6.85308	11.7983
Length   16, n   16, alignment  3/ 3:	11.251	7.54365	7.53838	6.16776	11.6605
Length   16, n   16, alignment  3/ 3:	11.0626	7.56494	7.69873	6.28962	11.8594
Length   16, n   16, alignment  3/ 6:	11.4228	7.72903	7.53828	6.16761	11.9124
Length   16, n   16, alignment  6/ 3:	11.4658	7.67047	7.53827	6.1723	11.6513
Length    8, n   16, alignment  5/ 6:	14.3274	11.0822	10.1757	10.9647	14.5757
Length   16, n    8, alignment  6/ 5:	11.28	8.22843	7.53855	6.17253	12.022
Length    8, n   16, alignment  5/ 6:	14.2419	11.2389	10.1946	10.9648	14.5024
Length   16, n    8, alignment  6/ 5:	11.0802	8.2286	7.53851	6.16768	11.7296
Length   16, n   16, alignment  4/ 4:	11.2383	7.60151	7.71221	6.20488	11.9072
Length   16, n   16, alignment  4/ 4:	11.0631	7.53823	7.53822	6.1722	11.9236
Length   16, n   16, alignment  4/ 0:	11.3867	7.58097	7.72669	6.20691	11.651
Length   16, n   16, alignment  0/ 4:	11.3414	7.72672	7.59011	6.16765	11.702
Length   16, n   32, alignment  4/ 0:	14.4231	10.6498	10.5385	10.9696	14.8337
Length   32, n   16, alignment  0/ 4:	11.0423	6.85302	6.85308	6.17227	11.6585
Length   16, n   32, alignment  4/ 0:	14.3453	10.7748	10.7457	10.9648	14.8414
Length   32, n   16, alignment  0/ 4:	11.4502	7.04197	6.90948	6.22248	11.8438
Length   16, n   16, alignment  5/ 5:	11.3511	7.53839	7.53818	6.17242	11.6512
Length   16, n   16, alignment  5/ 5:	11.156	7.57327	7.72677	6.33986	11.7974
Length   16, n   16, alignment  5/ 2:	11.3844	7.53822	7.60867	6.31946	11.6621
Length   16, n   16, alignment  2/ 5:	11.4102	7.72791	7.54302	6.16761	12.0069
Length   32, n   64, alignment  3/ 2:	17.8043	11.1432	10.4841	12.6368	18.9573
Length   64, n   32, alignment  2/ 3:	10.44	7.7502	7.72683	7.64639	10.5705
Length   32, n   64, alignment  3/ 2:	19.7779	11.1563	10.4055	12.5682	18.7611
Length   64, n   32, alignment  2/ 3:	10.4778	7.72676	7.72694	7.50584	10.9156
Length   16, n   16, alignment  6/ 6:	11.2585	7.7268	7.58031	6.16766	11.6693
Length   16, n   16, alignment  6/ 6:	11.3619	7.74405	7.66069	6.16767	11.912
Length   16, n   16, alignment  6/ 4:	11.7159	7.65911	7.54314	6.16763	12.0514
Length   16, n   16, alignment  4/ 6:	11.3086	7.54322	7.7233	6.22465	11.7662
Length   64, n  128, alignment  2/ 4:	16.6544	14.1571	13.6786	16.0531	17.6126
Length  128, n   64, alignment  4/ 2:	14.0254	9.13171	10.3186	11.5846	12.8953
Length   64, n  128, alignment  2/ 4:	16.5505	14.0728	13.5465	15.791	16.8228
Length  128, n   64, alignment  4/ 2:	12.7794	9.13638	10.4106	11.7615	12.6932
Length   16, n   16, alignment  7/ 7:	11.6122	7.74423	7.73165	6.32185	11.6951
Length   16, n   16, alignment  7/ 7:	11.3339	7.72667	7.65344	6.16777	11.7434
Length   16, n   16, alignment  7/ 6:	11.4124	7.66163	7.54316	6.16763	11.7292
Length   16, n   16, alignment  6/ 7:	11.1717	7.65807	7.73187	6.2724	11.788
Length  128, n  256, alignment  1/ 6:	21.6441	17.6773	17.2651	25.0609	21.6156
Length  256, n  128, alignment  6/ 1:	15.8625	13.5115	13.2331	19.6469	16.3942
Length  128, n  256, alignment  1/ 6:	21.2027	17.7142	17.2812	24.9234	21.4211
Length  256, n  128, alignment  6/ 1:	15.9927	13.5667	13.2845	19.7132	16.1035
Length    8, n   16, alignment  0/ 0:	14.5307	11.2438	10.3024	10.9695	14.6949
Length   32, n   16, alignment  0/ 0:	11.2228	6.85321	6.8577	6.16764	11.8214
Length    8, n   16, alignment  7/ 2:	14.4348	11.3142	11.4353	10.9701	14.8756
Length   32, n   16, alignment  7/ 2:	11.0747	7.53818	7.71411	6.16765	11.7086
Length   16, n   32, alignment  0/ 0:	14.1269	9.9475	10.1796	16.0673	14.5612
Length   64, n   32, alignment  0/ 0:	11.2738	7.56823	7.59015	6.16875	10.566
Length   16, n   32, alignment  6/ 4:	14.2106	10.82	10.5394	10.9715	15.0903
Length   64, n   32, alignment  6/ 4:	10.4934	7.5532	7.55432	6.37863	10.7404
Length   32, n   64, alignment  0/ 0:	15.0564	10.3522	10.5522	12.2211	15.2059
Length  128, n   64, alignment  0/ 0:	11.9594	8.44425	8.41717	9.11521	12.7101
Length   32, n   64, alignment  5/ 6:	17.3619	11.7372	11.6238	13.2032	16.8202
Length  128, n   64, alignment  5/ 6:	13.6981	10.52	10.2895	12.4919	12.9505
Length   64, n  128, alignment  0/ 0:	16.0245	12.7281	13.3515	14.6116	16.1628
Length  256, n  128, alignment  0/ 0:	16.1086	10.2129	10.467	14.1738	15.3614
Length   64, n  128, alignment  4/ 0:	16.2722	13.6235	13.4432	15.7101	16.5195
Length  256, n  128, alignment  4/ 0:	15.8203	13.3167	12.141	18.5671	15.7013
Length  128, n  256, alignment  0/ 0:	19.525	16.0705	15.5322	23.0377	18.7606
Length  512, n  256, alignment  0/ 0:	18.7203	15.6736	14.9066	18.966	18.3068
Length  128, n  256, alignment  3/ 2:	22.0751	17.1411	16.9029	23.6166	22.2933
Length  512, n  256, alignment  3/ 2:	23.3568	20.638	20.6303	23.4257	23.7395
Length  256, n  512, alignment  0/ 0:	27.2843	23.9852	23.5171	28.6943	27.2153
Length 1024, n  512, alignment  0/ 0:	29.3807	19.4433	19.9129	29.6396	29.1419
Length  256, n  512, alignment  2/ 4:	29.3929	26.6642	25.9573	30.0901	29.1977
Length 1024, n  512, alignment  2/ 4:	31.4358	25.7872	26.6246	34.5713	31.4042
Length  512, n 1024, alignment  0/ 0:	44.9359	29.4957	28.2994	42.6521	44.5689
Length 2048, n 1024, alignment  0/ 0:	47.2099	28.4522	29.6307	51.9642	47.3599
Length  512, n 1024, alignment  1/ 6:	55.5707	31.9045	29.3693	44.4441	72.2682
Length 2048, n 1024, alignment  1/ 6:	55.8173	39.9405	38.0044	58.3418	56.332
