                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   64, n  128, alignment  4/ 0:	21.9571	21.7845	21.8188	20.1578	21.029
Length  256, n  128, alignment  4/ 0:	14.803	15.2971	16.7194	20.3856	15.3239
Length  128, n  256, alignment  0/ 0:	23.7353	21.014	21.3364	24.6011	23.2039
Length  512, n  256, alignment  0/ 0:	18.1669	16.721	16.4938	19.9585	18.3794
Length  128, n  256, alignment  3/ 2:	26.259	23.1792	22.5886	25.1462	25.6694
Length  512, n  256, alignment  3/ 2:	23.2853	23.2767	23.0006	23.7186	23.7469
Length  256, n  512, alignment  0/ 0:	29.1505	24.3797	23.9832	28.9626	28.8106
Length 1024, n  512, alignment  0/ 0:	29.4606	19.9261	20.5961	29.505	30.0287
Length  256, n  512, alignment  2/ 4:	34.2079	29.6437	29.5392	32.1492	33.7176
Length 1024, n  512, alignment  2/ 4:	30.6821	26.5994	28.2277	33.6962	31.417
Length  512, n 1024, alignment  0/ 0:	45.826	29.5812	28.4141	43.2604	45.9974
Length 2048, n 1024, alignment  0/ 0:	51.6981	27.8517	29.5845	51.3572	47.82
Length  512, n 1024, alignment  1/ 6:	54.976	34.9808	33.3862	53.0951	53.4838
Length 2048, n 1024, alignment  1/ 6:	49.4951	40.4153	37.2531	56.7504	50.171
