                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.1199	6.64661	6.18762	6.09204	6.08203
Length    0, alignments in bytes  0/ 0:	11.5468	6.84717	6.19006	6.0863	6.09241
Length    0, alignments in bytes  0/ 0:	11.5221	6.85156	6.84399	6.08374	6.08777
Length    0, alignments in bytes  0/ 0:	10.4453	5.75098	5.2074	5.11121	5.12
Length    1, alignments in bytes  0/ 0:	10.0101	5.23975	5.20117	5.1123	5.1311
Length    1, alignments in bytes  0/ 0:	9.94946	5.7572	5.19421	5.12537	5.12292
Length    1, alignments in bytes  0/ 1:	9.30273	5.75781	5.18311	5.11548	5.11621
Length    1, alignments in bytes  1/ 0:	9.34436	5.24658	5.75085	5.12024	4.81543
Length    2, alignments in bytes  0/ 0:	9.37	5.87549	5.88953	6.14001	7.67126
Length    2, alignments in bytes  0/ 0:	9.33325	5.88477	5.90295	6.1239	6.4115
Length    2, alignments in bytes  0/ 2:	9.43127	5.81287	5.83154	6.13135	6.3938
Length    2, alignments in bytes  2/ 0:	9.32031	5.12048	5.11072	5.12024	6.39868
Length    3, alignments in bytes  0/ 0:	9.5874	5.76331	5.11377	5.12219	6.40125
Length    3, alignments in bytes  0/ 0:	9.78943	5.12708	5.11877	5.12476	6.86084
Length    3, alignments in bytes  0/ 3:	9.3783	5.62292	5.0105	5.00061	6.26404
Length    3, alignments in bytes  3/ 0:	9.44128	4.99817	5.0061	4.99414	8.13867
Length    4, alignments in bytes  0/ 0:	9.86121	7.8175	7.81055	5.74414	8.1344
Length    4, alignments in bytes  0/ 0:	9.50671	7.81311	7.8136	5.74792	8.13
Length    4, alignments in bytes  0/ 4:	9.38342	5.91309	5.96826	5.72913	8.12122
Length    4, alignments in bytes  4/ 0:	9.38489	5.00256	7.53809	5.00757	8.13708
Length    5, alignments in bytes  0/ 0:	9.38367	7.80811	7.81335	6.48486	8.90527
Length    5, alignments in bytes  0/ 0:	9.37	7.80835	7.8158	6.4906	8.93323
Length    5, alignments in bytes  0/ 5:	9.3916	5.91248	5.96887	5.6991	8.12805
Length    5, alignments in bytes  5/ 0:	9.37549	4.99658	5.00391	5.56384	9.38806
Length    6, alignments in bytes  0/ 0:	9.65918	7.98901	7.99829	7.32544	11.5161
Length    6, alignments in bytes  0/ 0:	9.77795	7.98608	7.98657	7.34888	11.5065
Length    6, alignments in bytes  0/ 6:	9.59924	6.05591	6.10828	5.73376	11.4995
Length    6, alignments in bytes  6/ 0:	9.58594	5.10925	5.11963	5.10913	8.95496
Length    7, alignments in bytes  0/ 0:	9.91064	7.0105	7.02515	5.11316	11.5115
Length    7, alignments in bytes  0/ 0:	9.72571	7.01746	6.8866	5.11743	11.5068
Length    7, alignments in bytes  0/ 7:	9.65491	6.06433	6.09448	5.12195	11.5028
Length    7, alignments in bytes  7/ 0:	9.66748	5.11133	5.1167	5.11218	8.96265
Length    8, alignments in bytes  0/ 0:	10.022	8.28247	7.99756	5.86292	5.17114
Length    8, alignments in bytes  0/ 0:	9.65784	8.29736	7.99133	5.86902	5.14587
Length    8, alignments in bytes  0/ 0:	9.89062	8.27075	7.98877	5.87122	5.15137
