                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length   32/   8, alignment  0/ 0, N    8:	23.1622	21.2298	22.4016	20.4595	23.8685
Length   32/   8, alignment  6/ 4, N    8:	23.8009	21.8329	22.3503	20.476	23.8622
Length   64/  64, alignment  0/ 0, N    8:	24.4711	22.3533	22.9954	21.2165	24.4598
Length   64/  64, alignment  5/ 6, N    8:	24.3263	22.3755	22.9925	21.2162	24.3249
Length   64/  16, alignment  0/ 0, N    8:	23.7211	22.0782	22.3517	21.1136	23.8419
Length   64/  16, alignment  5/ 6, N    8:	24.0663	21.3956	21.8547	20.8087	23.217
Length  128/ 128, alignment  0/ 0, N    8:	23.884	21.8566	22.4839	20.6221	23.7717
Length  128/ 128, alignment  4/ 0, N    8:	23.8328	22.1667	22.9889	21.0876	24.442
Length  128/  32, alignment  0/ 0, N    8:	24.3264	22.7648	23.0972	21.0742	24.3849
Length  128/  32, alignment  4/ 0, N    8:	24.4335	22.7436	22.9917	21.0741	24.4204
Length  256/ 256, alignment  0/ 0, N    8:	27.5506	22.4717	23.0057	21.076	27.5418
Length  256/ 256, alignment  3/ 2, N    8:	27.522	22.3514	23.0385	21.0745	27.5936
Length  256/  64, alignment  0/ 0, N    8:	24.3732	22.3776	22.991	21.2119	24.455
Length  256/  64, alignment  3/ 2, N    8:	25.0974	22.8694	23.5258	21.6855	24.4456
Length  512/ 512, alignment  0/ 0, N    8:	27.9738	22.3567	23.2038	24.0065	28.0398
Length  512/ 512, alignment  2/ 4, N    8:	28.0162	22.3545	23.1756	24.0473	28.3942
Length  512/ 128, alignment  0/ 0, N    8:	25.5859	23.4168	24.0883	21.9458	24.9908
Length  512/ 128, alignment  2/ 4, N    8:	24.9954	22.869	23.525	21.5801	25.0237
Length 1024/1024, alignment  0/ 0, N    8:	30.213	25.6529	29.0153	36.7446	30.3313
Length 1024/1024, alignment  1/ 6, N    8:	30.2988	26.0896	29.7018	37.5348	31.3359
Length 1024/ 256, alignment  0/ 0, N    8:	28.9434	24.1836	24.0955	22.0796	29.5109
Length 1024/ 256, alignment  1/ 6, N    8:	29.0107	23.4165	24.1369	22.0777	28.7903
Length   16/   1, alignment  1/ 2, N    8:	24.9144	22.9295	23.6318	21.4092	24.8749
Length   16/   1, alignment  2/ 1, N    8:	24.9935	22.5257	23.0797	20.9568	24.3563
Length   16/  10, alignment  1/ 1, N    8:	24.3193	22.3944	22.8699	20.9331	24.2852
Length   32/   1, alignment  2/ 4, N    8:	24.3372	22.2181	22.87	20.9146	24.3266
Length   32/   1, alignment  4/ 2, N    8:	23.7423	21.7118	22.3518	20.5834	24.4481
Length   32/  10, alignment  2/ 2, N    8:	24.3203	22.2167	22.8704	20.6707	23.661
Length   64/   1, alignment  3/ 6, N    8:	23.7025	21.712	22.351	20.4746	23.657
Length   64/   1, alignment  6/ 3, N    8:	23.7461	21.7118	22.351	20.4357	23.8185
Length   64/  10, alignment  3/ 3, N    8:	23.7181	21.7114	22.3498	20.2418	23.2514
Length  128/   1, alignment  4/ 0, N    8:	23.3764	21.2297	21.8553	19.981	23.1902
Length  128/   1, alignment  0/ 4, N    8:	23.3824	21.2297	21.8557	20.0192	23.3261
Length  128/  10, alignment  4/ 4, N    8:	23.3914	21.2292	21.8544	20.0169	23.1185
Length  256/   1, alignment  5/ 2, N    8:	23.3414	21.2299	21.9979	20.4361	23.7494
Length  256/   1, alignment  2/ 5, N    8:	23.732	21.7131	22.3516	20.436	23.5196
Length  256/  10, alignment  5/ 5, N    8:	23.3001	21.2297	21.8543	20.0088	23.1292
Length  512/   1, alignment  6/ 4, N    8:	23.2719	21.2302	21.8535	19.9828	23.2403
Length  512/   1, alignment  4/ 6, N    8:	23.2278	21.2302	21.8536	20.0266	23.2198
Length  512/  10, alignment  6/ 6, N    8:	23.3065	21.3132	21.8546	20.0045	23.1813
Length 1024/   1, alignment  7/ 6, N    8:	23.6776	21.7127	22.3511	20.4579	23.7172
Length 1024/   1, alignment  6/ 7, N    8:	23.7759	21.6581	21.8549	20.0188	23.2036
Length 1024/  10, alignment  7/ 7, N    8:	23.2028	21.2969	21.8549	20.0027	23.2722
Length    2/   2, alignment  0/ 2, N   32:	23.4589	21.5448	21.8558	20.0751	23.3738
Length    4/   4, alignment  0/ 0, N   32:	23.4155	21.2322	22.3991	20.4955	23.8081
Length    4/   4, alignment  4/ 0, N   32:	23.7502	21.9629	22.4803	20.5235	23.6865
Length    8/   8, alignment  0/ 0, N   32:	23.7589	21.7571	22.6284	20.5362	23.7567
Length    8/   8, alignment  0/ 0, N   32:	23.8242	21.7567	22.4534	20.0048	23.1407
Length   16/  16, alignment  0/ 0, N   32:	23.2823	21.2301	21.9333	21.7047	23.337
Length   16/  16, alignment  7/ 2, N   32:	23.2192	21.3074	21.925	21.5665	23.2426
Length   16/   4, alignment  0/ 0, N   32:	23.358	21.3149	21.9597	20.8323	23.7784
Length   16/   4, alignment  7/ 2, N   32:	23.7929	21.7115	23.66	21.2657	23.714
Length   32/  32, alignment  0/ 0, N   32:	24.2735	23.009	23.6284	22.4612	24.2708
Length   32/  32, alignment  6/ 4, N   32:	28.8445	25.6927	26.1833	25.1689	28.8326
Length   32/   8, alignment  0/ 0, N   32:	23.8058	21.8357	22.3531	21.2398	23.4421
Length   32/   8, alignment  6/ 4, N   32:	23.2774	21.23	21.854	21.2141	23.778
Length   64/  64, alignment  0/ 0, N   32:	24.4375	22.3557	22.9914	21.8068	24.3727
Length   64/  64, alignment  5/ 6, N   32:	24.3855	22.4218	22.9915	21.7797	24.4617
Length   64/  16, alignment  0/ 0, N   32:	23.7755	21.7125	22.3503	21.9684	23.7497
Length   64/  16, alignment  5/ 6, N   32:	23.8202	21.7126	22.3501	22.0463	23.6935
Length  128/ 128, alignment  0/ 0, N   32:	24.4502	22.7512	22.7338	21.2823	23.9519
Length  128/ 128, alignment  4/ 0, N   32:	23.9261	21.8912	22.7285	21.2751	24.5764
Length  128/  32, alignment  0/ 0, N   32:	24.2986	22.9918	23.63	22.4867	24.2857
Length  128/  32, alignment  4/ 0, N   32:	24.3765	23.1029	23.6284	22.4687	24.3536
Length  256/ 256, alignment  0/ 0, N   32:	28.2274	22.4279	23.1161	21.7599	28.4877
Length  256/ 256, alignment  3/ 2, N   32:	28.3694	22.3783	23.1641	21.7479	28.5284
Length  256/  64, alignment  0/ 0, N   32:	24.517	22.353	22.9899	21.7857	24.4247
Length  256/  64, alignment  3/ 2, N   32:	24.4613	22.3497	23.5077	22.2519	24.9146
Length  512/ 512, alignment  0/ 0, N   32:	29.6351	23.1382	23.6311	26.3966	30.041
Length  512/ 512, alignment  2/ 4, N   32:	29.6349	23.1583	23.6028	26.6974	29.1601
Length  512/ 128, alignment  0/ 0, N   32:	24.9998	23.2004	24.0525	22.2643	25.0843
Length  512/ 128, alignment  2/ 4, N   32:	24.9874	23.21	23.9245	22.2556	25.0912
Length 1024/1024, alignment  0/ 0, N   32:	30.5174	25.0147	28.929	37.4609	31.4732
Length 1024/1024, alignment  1/ 6, N   32:	30.4076	24.9568	28.919	38.0932	32.7898
Length 1024/ 256, alignment  0/ 0, N   32:	29.7744	23.69	24.184	22.7845	29.8826
Length 1024/ 256, alignment  1/ 6, N   32:	30.0655	23.4481	24.313	22.7853	29.3286
Length   16/   1, alignment  1/ 2, N   32:	24.9258	22.7498	23.6548	22.1627	24.9604
Length   16/   1, alignment  2/ 1, N   32:	24.8986	22.7444	23.4157	22.161	25.1421
Length   16/  10, alignment  1/ 1, N   32:	24.9805	22.7463	23.8006	22.1765	24.5645
Length   32/   1, alignment  2/ 4, N   32:	24.7961	22.2179	22.9485	21.7483	24.4201
Length   32/   1, alignment  4/ 2, N   32:	24.3696	21.712	22.3494	21.1337	23.756
Length   32/  10, alignment  2/ 2, N   32:	24.0324	21.7112	22.3502	21.2365	23.7482
Length   64/   1, alignment  3/ 6, N   32:	23.8768	21.7125	22.4301	21.2403	23.8745
Length   64/   1, alignment  6/ 3, N   32:	23.8201	21.7126	22.3499	21.1385	23.8285
Length   64/  10, alignment  3/ 3, N   32:	23.8174	21.7112	22.3446	20.7585	23.2986
Length  128/   1, alignment  4/ 0, N   32:	23.1817	21.438	22.4254	21.1256	23.8557
Length  128/   1, alignment  0/ 4, N   32:	24.0601	21.712	22.3508	21.242	23.8803
Length  128/  10, alignment  4/ 4, N   32:	23.5941	21.2296	21.8541	20.7738	23.3484
Length  256/   1, alignment  5/ 2, N   32:	23.2704	21.2296	22.0473	21.1313	24.0073
Length  256/   1, alignment  2/ 5, N   32:	23.8514	21.713	22.3502	21.2351	23.7742
Length  256/  10, alignment  5/ 5, N   32:	23.8911	21.7114	22.3506	21.2498	24.0786
Length  512/   1, alignment  6/ 4, N   32:	23.8693	21.7128	22.4292	21.1234	23.8448
Length  512/   1, alignment  4/ 6, N   32:	23.8273	21.7128	22.3492	21.2078	23.8382
Length  512/  10, alignment  6/ 6, N   32:	23.7509	21.2296	21.8529	20.7699	23.2953
Length 1024/   1, alignment  7/ 6, N   32:	23.2654	21.2301	21.9257	20.7797	23.2602
Length 1024/   1, alignment  6/ 7, N   32:	23.9321	21.7121	22.3511	21.2501	23.7929
Length 1024/  10, alignment  7/ 7, N   32:	24.0796	21.7125	22.3518	21.2214	23.8056
Length    2/   2, alignment  0/ 2, N  128:	23.6435	21.7166	22.3815	20.6898	23.1057
Length    4/   4, alignment  0/ 0, N  128:	23.2267	21.3668	22.1243	20.0645	23.2608
Length    4/   4, alignment  4/ 0, N  128:	24.1546	21.8016	22.6241	20.5538	23.7667
Length    8/   8, alignment  0/ 0, N  128:	23.803	21.7116	22.3708	20.1349	23.3154
Length    8/   8, alignment  0/ 0, N  128:	23.3714	21.2299	22.1321	20.529	23.9154
Length   16/  16, alignment  0/ 0, N  128:	23.8534	21.82	22.439	21.4412	24.0214
Length   16/  16, alignment  7/ 2, N  128:	23.8466	21.8524	22.4798	21.5666	23.8246
Length   16/   4, alignment  0/ 0, N  128:	23.8763	21.833	21.9501	20.1478	23.2605
Length   16/   4, alignment  7/ 2, N  128:	23.2743	21.3078	21.9001	20.0352	23.2185
Length   32/  32, alignment  0/ 0, N  128:	23.8346	23.356	24.2639	22.9745	23.8019
Length   32/  32, alignment  6/ 4, N  128:	28.2524	24.9749	26.0673	25.7988	28.8861
Length   32/   8, alignment  0/ 0, N  128:	23.7706	22.545	22.9898	22.1439	23.8211
Length   32/   8, alignment  6/ 4, N  128:	23.743	22.4859	23.2405	22.6554	23.7685
Length   64/  64, alignment  0/ 0, N  128:	24.8561	24.2719	24.9398	24.6668	24.5969
Length   64/  64, alignment  5/ 6, N  128:	27.9169	28.3515	29.0183	27.9176	27.8041
Length   64/  16, alignment  0/ 0, N  128:	27.1133	27.7825	26.3901	24.4666	27.1461
Length   64/  16, alignment  5/ 6, N  128:	26.9833	27.8022	28.2449	26.7961	27.2233
Length  128/ 128, alignment  0/ 0, N  128:	25.7165	25.8369	26.8471	27.2674	25.7375
Length  128/ 128, alignment  4/ 0, N  128:	26.018	29.5591	30.1215	31.4562	26.2205
Length  128/  32, alignment  0/ 0, N  128:	27.4586	26.2497	27.0437	26.9139	27.4473
Length  128/  32, alignment  4/ 0, N  128:	27.8202	30.3974	30.9411	32.3724	27.7781
Length  256/ 256, alignment  0/ 0, N  128:	34.63	26.4395	27.1158	28.0335	34.6342
Length  256/ 256, alignment  3/ 2, N  128:	38.1527	30.8154	31.8	32.9739	37.7806
Length  256/  64, alignment  0/ 0, N  128:	26.2852	26.3307	27.0106	27.5151	26.2633
Length  256/  64, alignment  3/ 2, N  128:	28.4753	31.0717	31.3677	32.8842	28.9261
Length  512/ 512, alignment  0/ 0, N  128:	31.7599	28.1772	28.0633	34.308	32.0575
Length  512/ 512, alignment  2/ 4, N  128:	32.7432	32.4063	32.176	39.4547	33.138
Length  512/ 128, alignment  0/ 0, N  128:	26.999	27.2111	28.0124	28.4527	26.9424
Length  512/ 128, alignment  2/ 4, N  128:	28.8708	31.5553	32.5505	33.2088	28.9295
Length 1024/1024, alignment  0/ 0, N  128:	33.45	32.8679	34.1522	47.4768	33.1431
Length 1024/1024, alignment  1/ 6, N  128:	35.3008	34.3941	34.7109	51.5081	35.3165
Length 1024/ 256, alignment  0/ 0, N  128:	36.1192	26.8987	27.7069	28.6581	35.7884
Length 1024/ 256, alignment  1/ 6, N  128:	38.9803	31.4712	32.3467	32.6228	39.0674
Length   16/   1, alignment  1/ 2, N  128:	25.149	22.898	23.6658	21.5786	24.9798
Length   16/   1, alignment  2/ 1, N  128:	24.9448	22.946	23.5844	21.5887	24.9755
Length   16/  10, alignment  1/ 1, N  128:	25.1988	22.8943	23.5815	21.6614	24.5867
Length   32/   1, alignment  2/ 4, N  128:	24.3247	23.0883	23.6309	22.5616	23.7807
Length   32/   1, alignment  4/ 2, N  128:	23.8288	22.3947	22.9877	22.5455	23.898
Length   32/  10, alignment  2/ 2, N  128:	23.8352	22.4861	23.1866	22.5562	23.8527
Length   64/   1, alignment  3/ 6, N  128:	27.2246	25.9261	26.7177	25.2634	26.9904
Length   64/   1, alignment  6/ 3, N  128:	27.0339	26.4765	27.2222	25.0563	26.9814
Length   64/  10, alignment  3/ 3, N  128:	27.045	25.8986	26.3072	24.5809	26.4376
Length  128/   1, alignment  4/ 0, N  128:	27.8207	28.5094	29.145	28.9584	27.368
Length  128/   1, alignment  0/ 4, N  128:	27.1261	27.3987	28.2888	27.7161	27.7263
Length  128/  10, alignment  4/ 4, N  128:	28.2208	29.0115	29.8856	30.9753	27.7494
Length  256/   1, alignment  5/ 2, N  128:	28.1317	28.7594	29.3934	30.9873	28.1658
Length  256/   1, alignment  2/ 5, N  128:	28.1686	29.6781	31.9311	77.2139	28.5349
Length  256/  10, alignment  5/ 5, N  128:	28.5584	30.8305	31.5385	31.5381	27.9342
Length  512/   1, alignment  6/ 4, N  128:	27.6892	30.5501	30.0146	30.997	27.8171
Length  512/   1, alignment  4/ 6, N  128:	27.9129	28.9654	29.6081	30.193	28.0499
Length  512/  10, alignment  6/ 6, N  128:	28.1872	29.0391	29.3752	32.2416	27.6984
Length 1024/   1, alignment  7/ 6, N  128:	28.1562	26.4417	26.9022	28.5822	28.7519
Length 1024/   1, alignment  6/ 7, N  128:	28.364	29.8321	30.0615	31.6947	28.8727
Length 1024/  10, alignment  7/ 7, N  128:	28.8119	29.6384	30.1989	31.7188	28.4971
Length    2/   2, alignment  0/ 2, N  512:	24.1953	22.2203	23.0881	21.0057	24.1806
Length    4/   4, alignment  0/ 0, N  512:	24.4915	22.356	22.6619	20.5664	23.7873
Length    4/   4, alignment  4/ 0, N  512:	23.7653	21.8011	22.5327	20.5476	23.9294
Length    8/   8, alignment  0/ 0, N  512:	23.9425	21.7129	22.3533	20.5076	24.0522
Length    8/   8, alignment  0/ 0, N  512:	23.7638	21.7119	22.3795	20.1559	23.4136
Length   16/  16, alignment  0/ 0, N  512:	23.365	21.6292	22.4783	21.3788	23.8648
Length   16/  16, alignment  7/ 2, N  512:	23.8203	21.8553	22.4317	21.4901	23.8561
Length   16/   4, alignment  0/ 0, N  512:	24.0374	21.852	22.4548	20.8163	23.5639
Length   16/   4, alignment  7/ 2, N  512:	23.2938	21.3076	21.8767	20.0571	23.2346
Length   32/  32, alignment  0/ 0, N  512:	23.8488	23.2817	24.266	22.9235	24.4567
Length   32/  32, alignment  6/ 4, N  512:	28.9116	25.545	26.3428	26.8581	28.879
Length   32/   8, alignment  0/ 0, N  512:	23.7913	22.4785	22.9916	21.9719	23.7523
Length   32/   8, alignment  6/ 4, N  512:	23.821	22.4822	23.1059	22.6251	23.7283
Length   64/  64, alignment  0/ 0, N  512:	24.4474	24.2709	25.0983	24.6161	24.4733
Length   64/  64, alignment  5/ 6, N  512:	27.7766	28.295	29.3548	27.9958	27.6635
Length   64/  16, alignment  0/ 0, N  512:	27.134	27.7793	26.7468	24.4423	26.8229
Length   64/  16, alignment  5/ 6, N  512:	28.5416	27.7768	28.3054	26.8632	26.9677
Length  128/ 128, alignment  0/ 0, N  512:	26.3269	25.6405	26.2419	28.3513	26.2359
Length  128/ 128, alignment  4/ 0, N  512:	26.3241	27.8065	29.0063	32.0184	26.8606
Length  128/  32, alignment  0/ 0, N  512:	28.1877	26.3205	27.0754	28.878	28.1388
Length  128/  32, alignment  4/ 0, N  512:	28.1928	31.3338	32.3947	31.7891	29.0597
Length  256/ 256, alignment  0/ 0, N  512:	36.4202	30.2443	30.8964	33.787	36.85
Length  256/ 256, alignment  3/ 2, N  512:	40.453	35.6746	35.865	38.1558	41.4461
Length  256/  64, alignment  0/ 0, N  512:	32.6728	30.8847	31.4986	32.7225	32.6512
Length  256/  64, alignment  3/ 2, N  512:	35.9247	35.1591	35.7353	37.1618	36.0353
Length  512/ 512, alignment  0/ 0, N  512:	46.013	33.5038	34.7791	48.7498	46.7384
Length  512/ 512, alignment  2/ 4, N  512:	49.3863	45.0742	48.1554	54.6837	48.7615
Length  512/ 128, alignment  0/ 0, N  512:	42.3702	33.03	34.2056	39.5864	43.3611
Length  512/ 128, alignment  2/ 4, N  512:	46.5422	44.6015	45.5146	49.3588	46.5456
Length 1024/1024, alignment  0/ 0, N  512:	50.4845	41.1464	43.4497	61.4081	50.6488
Length 1024/1024, alignment  1/ 6, N  512:	53.0792	47.0793	48.0043	64.6337	52.8705
Length 1024/ 256, alignment  0/ 0, N  512:	50.7385	33.9148	34.9018	42.7724	50.5916
Length 1024/ 256, alignment  1/ 6, N  512:	59.8821	44.6502	45.3539	49.4614	60.0061
Length   16/   1, alignment  1/ 2, N  512:	25.5904	23.4523	24.1264	22.11	25.5974
Length   16/   1, alignment  2/ 1, N  512:	25.4074	23.0248	23.5062	21.5863	25.2191
Length   16/  10, alignment  1/ 1, N  512:	25.2603	22.8977	23.4983	21.5832	24.9214
Length   32/   1, alignment  2/ 4, N  512:	24.9343	23.5565	23.9483	23.0736	24.3559
Length   32/   1, alignment  4/ 2, N  512:	24.309	22.8701	23.5867	23.0402	24.2703
Length   32/  10, alignment  2/ 2, N  512:	24.2724	23.0072	23.3333	22.5611	23.7971
Length   64/   1, alignment  3/ 6, N  512:	26.8236	25.8281	26.5903	25.1147	27.1386
Length   64/   1, alignment  6/ 3, N  512:	27.4582	26.4337	27.1262	25.0592	26.9382
Length   64/  10, alignment  3/ 3, N  512:	26.9682	25.8314	26.9474	25.0957	27.1503
Length  128/   1, alignment  4/ 0, N  512:	27.8488	30.3852	31.5163	31.7139	28.1772
Length  128/   1, alignment  0/ 4, N  512:	28.3472	28.8624	29.5627	30.5427	27.7927
Length  128/  10, alignment  4/ 4, N  512:	27.8564	29.8119	30.163	30.4504	27.9571
Length  256/   1, alignment  5/ 2, N  512:	33.8167	31.9248	32.1631	33.7117	34.0636
Length  256/   1, alignment  2/ 5, N  512:	33.8616	34.4379	35.3569	35.938	34.7715
Length  256/  10, alignment  5/ 5, N  512:	34.6824	35.6582	35.4135	36.1514	34.5818
Length  512/   1, alignment  6/ 4, N  512:	45.6295	42.237	42.8375	47.4512	45.844
Length  512/   1, alignment  4/ 6, N  512:	44.3116	42.2789	43.4512	47.8447	45.4122
Length  512/  10, alignment  6/ 6, N  512:	45.4664	42.5812	43.4022	47.083	45.3798
Length 1024/   1, alignment  7/ 6, N  512:	44.5645	33.893	34.5421	40.5446	44.535
Length 1024/   1, alignment  6/ 7, N  512:	45.2392	42.442	43.2161	46.9025	45.961
Length 1024/  10, alignment  7/ 7, N  512:	46.348	43.642	44.25	47.4457	45.2393
Length    2/   2, alignment  0/ 2, N 2048:	24.7613	22.7489	23.7492	21.4757	24.754
Length    4/   4, alignment  0/ 0, N 2048:	24.8676	22.8116	23.6956	21.5061	24.8434
Length    4/   4, alignment  4/ 0, N 2048:	24.9379	22.8407	23.6064	21.4453	25.103
Length    8/   8, alignment  0/ 0, N 2048:	24.4387	22.2978	22.8709	20.9236	24.3492
Length    8/   8, alignment  0/ 0, N 2048:	24.2543	22.2184	22.9412	20.9841	24.3542
Length   16/  16, alignment  0/ 0, N 2048:	24.3823	22.3272	23.0121	22.0425	23.9018
Length   16/  16, alignment  7/ 2, N 2048:	23.8606	21.8568	22.4298	21.4897	23.9225
Length   16/   4, alignment  0/ 0, N 2048:	23.8555	21.8558	22.601	20.5863	23.8645
Length   16/   4, alignment  7/ 2, N 2048:	23.7898	21.792	22.4117	20.5132	23.7406
Length   32/  32, alignment  0/ 0, N 2048:	24.4115	23.8851	24.6935	22.8918	23.8875
Length   32/  32, alignment  6/ 4, N 2048:	28.2481	25.1157	26.1324	25.8392	28.8661
Length   32/   8, alignment  0/ 0, N 2048:	23.7797	22.4818	22.9884	21.9435	23.7135
Length   32/   8, alignment  6/ 4, N 2048:	23.7473	22.4473	23.1844	22.5023	23.8013
Length   64/  64, alignment  0/ 0, N 2048:	24.6169	24.2682	24.9262	24.7346	24.4296
Length   64/  64, alignment  5/ 6, N 2048:	27.7072	28.3087	29.1414	27.8723	27.6899
Length   64/  16, alignment  0/ 0, N 2048:	27.1796	27.696	26.7077	24.7348	27.4358
Length   64/  16, alignment  5/ 6, N 2048:	27.3963	27.9834	28.2858	26.8362	27.4557
Length  128/ 128, alignment  0/ 0, N 2048:	26.2746	25.6343	26.2399	28.3562	26.2689
Length  128/ 128, alignment  4/ 0, N 2048:	26.3293	28.1635	28.7042	30.8538	26.9758
Length  128/  32, alignment  0/ 0, N 2048:	28.2075	26.3049	26.934	29.2153	28.1894
