                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.6567	22.0327	22.5663	20.3256	13.3725
Length    0/   0, alignment  0/ 0:	22.8693	21.5627	22.5326	20.3367	13.3352
Length    0/   0, alignment  0/ 0:	23.0538	21.5899	22.4961	20.3232	13.2829
Length    0/   0, alignment  0/ 0:	23.224	21.5631	22.4959	20.3204	13.6388
Length    1/   1, alignment  0/ 0:	30.5813	21.5629	22.5216	20.6097	14.3757
Length    1/   1, alignment  0/ 0:	23.194	21.7492	22.6369	20.3716	14.376
Length    1/   1, alignment  0/ 1:	23.1013	21.563	22.4653	20.3513	6.93968
Length    1/   1, alignment  1/ 0:	22.8699	21.762	22.4873	20.4049	14.3755
Length    2/   2, alignment  0/ 0:	23.4193	22.2649	22.8699	21.0439	15.0826
Length    2/   2, alignment  0/ 0:	23.3061	22.2161	22.8698	21.0931	15.0828
Length    2/   2, alignment  0/ 2:	23.0464	22.2165	22.8699	21.2481	9.80288
Length    2/   2, alignment  2/ 0:	22.8699	22.2164	22.9258	21.0522	15.087
Length    3/   3, alignment  0/ 0:	23.0929	21.6098	22.2169	20.3593	15.2123
Length    3/   3, alignment  0/ 0:	23.1816	21.5627	22.2162	20.4453	15.2114
Length    3/   3, alignment  0/ 3:	23.0818	21.5631	22.2162	20.3425	11.2092
Length    3/   3, alignment  3/ 0:	22.8698	21.563	22.216	20.384	17.0497
Length    4/   4, alignment  0/ 0:	23.7346	22.2558	23.1238	21.0211	17.1491
Length    4/   4, alignment  0/ 0:	23.0327	22.3739	23.1033	21.0111	17.147
Length    4/   4, alignment  0/ 4:	23.1828	22.2167	23.1026	21.0098	14.3965
Length    4/   4, alignment  4/ 0:	24.1042	22.2475	23.1028	21.0215	18.4629
Length    5/   5, alignment  0/ 0:	23.0407	22.2612	23.1287	21.067	18.0572
Length    5/   5, alignment  0/ 0:	23.0341	22.2776	23.1027	21.0688	18.0344
Length    5/   5, alignment  0/ 5:	23.0514	22.2169	23.1026	21.0661	15.7121
Length    5/   5, alignment  5/ 0:	23.0475	22.2396	23.1034	21.1028	18.5827
Length    6/   6, alignment  0/ 0:	23.0496	22.2529	23.124	21.015	18.624
Length    6/   6, alignment  0/ 0:	23.2224	22.273	23.1031	20.9863	18.5983
Length    6/   6, alignment  0/ 6:	23.2224	22.2186	23.1031	21.0136	17.8135
Length    6/   6, alignment  6/ 0:	23.0392	22.2465	23.1033	21.0536	19.2578
Length    7/   7, alignment  0/ 0:	23.0253	22.2604	23.1212	20.3379	18.3901
Length    7/   7, alignment  0/ 0:	23.043	22.2731	23.103	20.3404	18.2144
Length    7/   7, alignment  0/ 7:	23.149	22.2166	23.1028	20.3554	18.6123
Length    7/   7, alignment  7/ 0:	23.8003	22.2191	23.1027	20.3736	19.1773
Length    8/   8, alignment  0/ 0:	23.2842	22.2166	22.9911	21.0084	15.6827
Length    8/   8, alignment  0/ 0:	23.2695	22.2447	23.1701	21.0008	15.6834
Length    8/   8, alignment  0/ 0:	23.1885	22.216	22.9287	20.9957	15.7108
Length    8/   8, alignment  0/ 0:	23.1434	22.2164	22.9284	21.0209	15.6827
Length    9/   9, alignment  0/ 0:	23.1417	22.2164	23.1827	21.0314	15.6835
Length    9/   9, alignment  0/ 0:	23.1169	22.2342	23.0561	21.041	15.6842
Length    9/   9, alignment  0/ 1:	23.3119	22.2162	22.8699	21.0734	16.3893
Length    9/   9, alignment  1/ 0:	23.1685	22.2165	22.9245	21.0684	21.7838
Length   10/  10, alignment  0/ 0:	23.1514	22.216	23.0011	21.041	16.4403
Length   10/  10, alignment  0/ 0:	23.0981	22.2346	22.9295	21.024	16.4411
Length   10/  10, alignment  0/ 2:	23.1826	22.216	22.8699	21.032	17.5183
Length   10/  10, alignment  2/ 0:	23.2103	22.2162	23.1115	21.0596	21.3968
Length   11/  11, alignment  0/ 0:	23.1381	22.2164	23.1644	21.0255	16.8613
Length   11/  11, alignment  0/ 0:	22.602	21.867	22.5891	20.5462	16.6337
Length   11/  11, alignment  0/ 3:	23.1359	21.711	22.372	20.5504	17.3665
Length   11/  11, alignment  3/ 0:	22.7516	21.711	22.4893	20.5691	32.6913
Length   12/  12, alignment  0/ 0:	23.2854	21.9889	22.5348	20.549	17.381
Length   12/  12, alignment  0/ 0:	22.7169	21.7522	22.4892	20.5335	17.3881
Length   12/  12, alignment  0/ 4:	22.6857	21.7116	22.3527	20.4874	16.6205
Length   12/  12, alignment  4/ 0:	22.8103	21.7117	22.5303	20.5796	18.6259
Length   13/  13, alignment  0/ 0:	22.6244	21.7116	22.5879	20.5585	18.1392
Length   13/  13, alignment  0/ 0:	22.6623	21.7479	22.4894	20.5294	18.1657
Length   13/  13, alignment  0/ 5:	22.6974	21.711	22.3722	20.4993	17.2865
Length   13/  13, alignment  5/ 0:	22.6327	21.7115	22.4082	20.8118	19.0735
Length   14/  14, alignment  0/ 0:	22.7876	21.7115	22.5932	20.5504	18.854
Length   14/  14, alignment  0/ 0:	22.6632	21.7325	22.394	20.5532	18.8703
Length   14/  14, alignment  0/ 6:	22.7381	21.7116	22.3497	20.5141	17.9246
Length   14/  14, alignment  6/ 0:	22.6232	21.7111	22.5348	20.561	19.3805
Length   15/  15, alignment  0/ 0:	22.5782	21.9905	22.6403	19.8899	18.5111
Length   15/  15, alignment  0/ 0:	22.8242	21.7289	22.442	19.9072	18.5528
Length   15/  15, alignment  0/ 7:	22.6867	21.7113	22.609	19.8641	18.5996
Length   15/  15, alignment  7/ 0:	22.678	21.7113	22.4415	19.9464	19.2708
Length   16/  16, alignment  0/ 0:	22.6804	21.751	22.4345	21.4481	15.9655
Length   16/  16, alignment  7/ 2:	22.6263	21.8154	22.4471	21.4946	19.3747
Length   16/   4, alignment  0/ 0:	22.5499	21.7465	22.4462	20.577	17.0779
Length   16/   4, alignment  7/ 2:	22.8218	21.7361	22.3695	20.5382	17.244
Length   32/  32, alignment  0/ 0:	24.1384	23.8417	23.8922	22.6146	17.8813
Length   32/  32, alignment  6/ 4:	27.6642	26.1782	26.4474	25.745	25.8407
Length   32/   8, alignment  0/ 0:	23.2395	22.4563	22.9891	21.9036	17.2434
Length   32/   8, alignment  6/ 4:	23.4356	22.3502	23.0074	22.6146	22.6027
Length   64/  64, alignment  0/ 0:	24.8097	24.8288	25.2803	23.881	24.5596
Length   64/  64, alignment  5/ 6:	28.9615	28.2498	28.83	27.63	34.41
Length   64/  16, alignment  0/ 0:	27.9653	27.4589	26.1828	24.1211	21.5924
Length   64/  16, alignment  5/ 6:	27.9462	27.7829	28.2757	26.7296	31.9026
Length  128/ 128, alignment  0/ 0:	26.3449	25.2835	26.0485	27.7597	44.1868
