Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9674465599435252

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
   2,  2051,    3,        23,          0,     0.999
   2,  2051,    3,         0,          0,     0.999
   2,  4081,    3,        23,          0,     1.136
   2,  4081,    3,         0,          0,     1.139
   4,  4081,    3,        23,          0,       1.0
   4,  4081,    3,         0,          0,     0.998
   5,     0,    4,        23,          0,     0.875
   5,     0,    4,         0,          0,     0.858
   5,     4,    4,        23,          0,     0.887
   5,     4,    4,         0,          0,     0.913
   3,     0,    4,        23,          0,     1.001
   3,     0,    4,         0,          0,       1.0
   3,     4,    4,        23,          0,     1.002
   3,     4,    4,         0,          0,       1.0
   5,  2048,    4,        23,          0,     0.883
   5,  2048,    4,         0,          0,     0.906
   5,  2052,    4,        23,          0,      0.88
   5,  2052,    4,         0,          0,     0.881
   3,  2048,    4,        23,          0,     0.999
   3,  2048,    4,         0,          0,       1.0
   3,  2052,    4,        23,          0,     0.999
   3,  2052,    4,         0,          0,     0.999
   3,  4081,    4,        23,          0,     1.145
   3,  4081,    4,         0,          0,     1.139
   5,  4081,    4,        23,          0,     0.995
   5,  4081,    4,         0,          0,     0.997
   6,     0,    5,        23,          0,     0.878
   6,     0,    5,         0,          0,     0.891
   6,     5,    5,        23,          0,     0.901
   6,     5,    5,         0,          0,     0.882
   4,     0,    5,        23,          0,     1.003
   4,     0,    5,         0,          0,       1.0
   4,     5,    5,        23,          0,     0.999
   4,     5,    5,         0,          0,     0.999
   6,  2048,    5,        23,          0,     0.878
   6,  2048,    5,         0,          0,     0.878
   6,  2053,    5,        23,          0,      0.87
   6,  2053,    5,         0,          0,     0.907
   4,  2048,    5,        23,          0,       1.0
   4,  2048,    5,         0,          0,     1.002
   4,  2053,    5,        23,          0,     1.002
   4,  2053,    5,         0,          0,       1.0
   4,  4081,    5,        23,          0,     1.143
   4,  4081,    5,         0,          0,     1.143
   6,  4081,    5,        23,          0,     0.997
   6,  4081,    5,         0,          0,       1.0
   7,     0,    6,        23,          0,     0.887
   7,     0,    6,         0,          0,     0.855
   7,     6,    6,        23,          0,     0.903
   7,     6,    6,         0,          0,     0.898
   5,     0,    6,        23,          0,     0.999
   5,     0,    6,         0,          0,     1.002
   5,     6,    6,        23,          0,     1.001
   5,     6,    6,         0,          0,     0.996
   7,  2048,    6,        23,          0,     0.866
   7,  2048,    6,         0,          0,     0.884
   7,  2054,    6,        23,          0,     0.912
   7,  2054,    6,         0,          0,     0.899
   5,  2048,    6,        23,          0,     0.998
   5,  2048,    6,         0,          0,       1.0
   5,  2054,    6,        23,          0,     0.998
   5,  2054,    6,         0,          0,     1.001
   5,  4081,    6,        23,          0,     1.142
   5,  4081,    6,         0,          0,     1.145
   7,  4081,    6,        23,          0,     1.009
   7,  4081,    6,         0,          0,     1.005
   8,     0,    7,        23,          0,     0.845
   8,     0,    7,         0,          0,     0.867
   8,     7,    7,        23,          0,     0.864
   8,     7,    7,         0,          0,     0.875
   6,     0,    7,        23,          0,       1.0
   6,     0,    7,         0,          0,     0.997
   6,     7,    7,        23,          0,       1.0
   6,     7,    7,         0,          0,     1.001
   8,  2048,    7,        23,          0,     0.896
   8,  2048,    7,         0,          0,     0.878
   8,  2055,    7,        23,          0,     0.864
   8,  2055,    7,         0,          0,     0.937
   6,  2048,    7,        23,          0,       1.0
   6,  2048,    7,         0,          0,       1.0
   6,  2055,    7,        23,          0,     1.002
   6,  2055,    7,         0,          0,     0.998
   6,  4081,    7,        23,          0,     1.136
   6,  4081,    7,         0,          0,     1.136
   8,  4081,    7,        23,          0,     1.001
   8,  4081,    7,         0,          0,     0.998
   9,     0,    8,        23,          0,     0.902
   9,     0,    8,         0,          0,     0.868
   9,     8,    8,        23,          0,     0.874
   9,     8,    8,         0,          0,     0.913
   7,     0,    8,        23,          0,       1.0
   7,     0,    8,         0,          0,     0.998
   7,     8,    8,        23,          0,     1.005
   7,     8,    8,         0,          0,     1.002
   9,  2048,    8,        23,          0,     0.891
   9,  2048,    8,         0,          0,     0.903
   9,  2056,    8,        23,          0,     0.901
   9,  2056,    8,         0,          0,     0.883
   7,  2048,    8,        23,          0,       1.0
   7,  2048,    8,         0,          0,     0.996
   7,  2056,    8,        23,          0,     0.997
   7,  2056,    8,         0,          0,     0.994
   7,  4081,    8,        23,          0,     1.141
   7,  4081,    8,         0,          0,     1.146
   9,  4081,    8,        23,          0,     0.999
   9,  4081,    8,         0,          0,     1.002
  10,     0,    9,        23,          0,     0.885
  10,     0,    9,         0,          0,     0.847
  10,     9,    9,        23,          0,     0.888
  10,     9,    9,         0,          0,     0.863
   8,     0,    9,        23,          0,     1.001
   8,     0,    9,         0,          0,     1.001
   8,     9,    9,        23,          0,     0.998
   8,     9,    9,         0,          0,     1.002
  10,  2048,    9,        23,          0,     0.858
  10,  2048,    9,         0,          0,     0.859
  10,  2057,    9,        23,          0,     0.878
