                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.0163	7.21491	7.90859	6.55064	10.9442
Length   16, n   16, alignment  1/ 1:	12.3805	7.51919	8.22356	6.90789	11.2809
Length   16, n   16, alignment  1/ 2:	12.718	7.53838	8.30283	6.98228	11.367
Length   16, n   16, alignment  2/ 1:	13.015	7.72675	8.48525	6.97232	11.287
Length    2, n    4, alignment  7/ 2:	14.5345	11.9632	11.2391	10.9875	14.0735
Length    4, n    2, alignment  2/ 7:	12.1274	8.41737	8.34996	6.85305	11.4088
Length    2, n    4, alignment  7/ 2:	14.8988	11.6602	10.9697	10.9648	13.3543
Length    4, n    2, alignment  2/ 7:	12.2151	8.39267	8.22366	6.85303	10.9976
Length   16, n   16, alignment  2/ 2:	12.9392	7.75729	8.42931	7.185	11.6809
Length   16, n   16, alignment  2/ 2:	12.9058	7.68827	8.29705	7.06787	11.5398
Length   16, n   16, alignment  2/ 4:	12.8521	7.72673	8.43477	6.98781	11.3219
Length   16, n   16, alignment  4/ 2:	12.9474	7.76016	8.49952	6.99495	11.3387
Length    4, n    8, alignment  6/ 4:	14.467	12.2621	12.2556	11.0505	13.9225
Length    8, n    4, alignment  4/ 6:	12.7663	7.59337	8.41404	6.93249	11.8811
Length    4, n    8, alignment  6/ 4:	14.4403	12.0601	11.9435	10.965	14.4033
Length    8, n    4, alignment  4/ 6:	12.9205	7.74447	8.42922	7.0297	11.3258
Length   16, n   16, alignment  3/ 3:	12.7176	7.72675	8.41883	7.11086	11.4794
Length   16, n   16, alignment  3/ 3:	12.8573	7.72663	8.43741	7.02429	11.3935
Length   16, n   16, alignment  3/ 6:	13.0191	7.73339	8.42925	7.02422	11.4267
Length   16, n   16, alignment  6/ 3:	13.0222	7.73425	8.40762	6.8581	11.4101
Length    8, n   16, alignment  5/ 6:	14.4445	11.255	11.2451	11.197	14.426
Length   16, n    8, alignment  6/ 5:	12.5842	8.44599	9.13188	6.86953	11.2544
Length    8, n   16, alignment  5/ 6:	14.5489	11.2561	11.0877	10.9648	14.3306
Length   16, n    8, alignment  6/ 5:	12.5539	8.42934	9.06496	6.85307	11.1493
Length   16, n   16, alignment  4/ 4:	12.6752	7.744	8.43428	6.93381	11.0545
Length   16, n   16, alignment  4/ 4:	12.7483	7.7497	8.42924	7.02427	11.4958
Length   16, n   16, alignment  4/ 0:	12.9636	7.6051	8.42051	6.91008	11.3328
Length   16, n   16, alignment  0/ 4:	12.5844	7.6896	8.22353	7.12184	11.6761
Length   16, n   32, alignment  4/ 0:	14.5817	10.7975	11.905	11.6547	14.3163
Length   32, n   16, alignment  0/ 4:	12.7519	7.04138	7.02448	7.02951	11.6056
Length   16, n   32, alignment  4/ 0:	14.4709	10.8337	11.9415	11.7784	14.6637
Length   32, n   16, alignment  0/ 4:	12.8297	7.02457	7.21075	6.85289	11.5618
Length   16, n   16, alignment  5/ 5:	12.8156	7.72685	8.44904	7.02435	11.4815
Length   16, n   16, alignment  5/ 5:	12.8792	7.76029	8.42919	7.02429	11.4718
Length   16, n   16, alignment  5/ 2:	12.8202	7.76721	8.44481	7.1095	11.3471
Length   16, n   16, alignment  2/ 5:	12.8458	7.72661	8.42921	7.03618	11.5986
Length   32, n   64, alignment  3/ 2:	17.344	10.0037	10.5759	13.8695	17.8683
Length   64, n   32, alignment  2/ 3:	11.5264	7.742	7.75798	7.58501	11.4011
Length   32, n   64, alignment  3/ 2:	17.3706	9.86936	10.5757	13.8722	17.7787
Length   64, n   32, alignment  2/ 3:	11.5023	7.76545	7.74403	7.73337	11.4845
Length   16, n   16, alignment  6/ 6:	12.7404	7.74464	8.43437	7.02423	11.3306
Length   16, n   16, alignment  6/ 6:	12.7208	7.72676	8.43387	7.04412	11.4721
Length   16, n   16, alignment  6/ 4:	12.8536	7.74851	8.42907	7.02422	11.2725
Length   16, n   16, alignment  4/ 6:	12.7178	7.75003	8.42231	6.8529	11.3489
Length   64, n  128, alignment  2/ 4:	16.1794	14.9677	14.3663	16.6997	16.5232
Length  128, n   64, alignment  4/ 2:	14.3628	9.15067	10.5502	12.2393	14.36
Length   64, n  128, alignment  2/ 4:	16.6349	15.4052	14.113	16.6737	16.5166
Length  128, n   64, alignment  4/ 2:	14.2821	9.98535	10.6852	12.193	14.2205
Length   16, n   16, alignment  7/ 7:	12.945	7.7268	8.42933	7.0293	11.4497
Length   16, n   16, alignment  7/ 7:	12.8061	7.74896	8.45191	7.02423	11.4757
Length   16, n   16, alignment  7/ 6:	13.001	7.74934	8.42924	7.02422	11.4663
Length   16, n   16, alignment  6/ 7:	13.0397	7.74901	8.42924	7.0242	11.458
Length  128, n  256, alignment  1/ 6:	20.5938	18.4412	17.4101	25.4343	20.9088
Length  256, n  128, alignment  6/ 1:	16.6847	14.0592	13.3724	20.3094	17.5423
Length  128, n  256, alignment  1/ 6:	21.1138	18.8119	17.3922	25.2674	20.3456
Length  256, n  128, alignment  6/ 1:	17.0518	13.9513	12.9984	20.2914	17.2042
Length    8, n   16, alignment  0/ 0:	14.5749	11.3674	11.2389	11.244	14.4908
Length   32, n   16, alignment  0/ 0:	12.8004	6.97137	7.01487	6.85771	11.1707
Length    8, n   16, alignment  7/ 2:	14.498	11.6819	11.7733	11.2441	14.1191
Length   32, n   16, alignment  7/ 2:	12.7208	7.74303	7.75831	7.00457	11.2902
Length   16, n   32, alignment  0/ 0:	14.1513	10.0031	11.9576	11.8187	14.3345
Length   64, n   32, alignment  0/ 0:	11.7523	7.72685	7.74943	7.72685	11.3826
Length   16, n   32, alignment  6/ 4:	14.5423	10.8184	11.9413	11.9463	13.9547
Length   64, n   32, alignment  6/ 4:	11.614	7.72675	7.73191	7.72666	11.3973
Length   32, n   64, alignment  0/ 0:	14.6104	9.98707	11.9577	13.2491	15.7174
Length  128, n   64, alignment  0/ 0:	14.6333	7.75013	7.72685	10.1077	13.6884
Length   32, n   64, alignment  5/ 6:	19.7229	11.5144	11.8733	14.3223	15.6051
Length  128, n   64, alignment  5/ 6:	14.6315	10.8264	10.459	14.4319	13.491
Length   64, n  128, alignment  0/ 0:	16.7755	13.6349	12.6883	15.3621	18.9875
Length  256, n  128, alignment  0/ 0:	16.1877	11.1678	10.4026	14.4024	16.0907
Length   64, n  128, alignment  4/ 0:	16.7263	14.81	13.4475	16.4258	17.6343
Length  256, n  128, alignment  4/ 0:	16.4183	13.7254	12.7002	18.9473	15.9139
Length  128, n  256, alignment  0/ 0:	20.4258	16.7417	15.9362	23.8211	20.4789
Length  512, n  256, alignment  0/ 0:	19.7776	15.7587	15.148	18.7849	19.559
Length  128, n  256, alignment  3/ 2:	21.912	17.9406	17.4455	24.0747	21.7304
Length  512, n  256, alignment  3/ 2:	24.0014	21.4773	20.9813	23.7968	25.2543
Length  256, n  512, alignment  0/ 0:	28.6955	24.7845	23.7872	30.17	27.7313
Length 1024, n  512, alignment  0/ 0:	30.1255	20.5285	20.1889	30.7117	30.4606
Length  256, n  512, alignment  2/ 4:	30.9888	28.305	26.3425	31.7905	30.369
Length 1024, n  512, alignment  2/ 4:	33.1944	26.943	27.3787	34.5901	33.8454
Length  512, n 1024, alignment  0/ 0:	44.3864	30.9104	29.2998	45.3844	43.4646
Length 2048, n 1024, alignment  0/ 0:	48.6701	28.5519	30.3521	53.4137	48.6858
Length  512, n 1024, alignment  1/ 6:	52.4091	33.3451	30.313	46.445	51.4658
Length 2048, n 1024, alignment  1/ 6:	54.9991	41.1996	36.6668	56.8183	56.0658
