                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length   64/  64, alignment  0/ 0:	25.0001	24.8083	25.2747	23.9626	24.5679
Length   64/  64, alignment  5/ 6:	28.8842	28.2107	28.8461	27.571	34.3835
Length   64/  16, alignment  0/ 0:	27.9529	27.6721	26.5366	24.0613	21.4077
Length   64/  16, alignment  5/ 6:	27.8585	27.8291	28.3103	26.9741	31.5832
Length  128/ 128, alignment  0/ 0:	26.0316	25.27	26.0579	27.7804	44.3434
Length  128/ 128, alignment  4/ 0:	29.1622	27.6904	28.5251	30.2817	50.5341
Length  128/  32, alignment  0/ 0:	27.1234	25.3508	25.797	27.2169	37.9841
Length  128/  32, alignment  4/ 0:	31.3678	31.296	31.7286	30.7469	51.809
Length  256/ 256, alignment  0/ 0:	34.9152	29.4895	30.2728	31.3981	90.8655
Length  256/ 256, alignment  3/ 2:	38.9984	35.4078	37.0111	36.7299	102.194
Length  256/  64, alignment  0/ 0:	30.9858	30.1446	30.7293	30.8106	70.3823
Length  256/  64, alignment  3/ 2:	35.6753	35.1718	35.192	36.1831	84.5482
Length  512/ 512, alignment  0/ 0:	46.8584	32.778	33.9969	47.7161	181.17
Length  512/ 512, alignment  2/ 4:	49.914	43.804	44.705	53.1603	192.878
Length  512/ 128, alignment  0/ 0:	33.1169	33.1307	33.7256	40.2659	119.416
Length  512/ 128, alignment  2/ 4:	44.1588	43.7968	44.4441	47.2342	134.622
Length 1024/1024, alignment  0/ 0:	52.7536	50.2127	55.938	81.0813	399.991
Length 1024/1024, alignment  1/ 6:	59.9336	59.4811	59.4196	82.2388	412
Length 1024/ 256, alignment  0/ 0:	46.0999	41.5697	42.5132	65.6497	263.031
Length 1024/ 256, alignment  1/ 6:	65.6813	61.7949	61.2257	80.3532	274.19
Length   16/   1, alignment  1/ 2:	23.1265	22.2271	22.9989	20.7457	19.5502
Length   16/   1, alignment  2/ 1:	22.6697	21.7832	22.405	20.5661	15.3355
Length   16/  10, alignment  1/ 1:	22.6183	21.7317	22.46	20.5641	27.905
Length   16/  10, alignment  1/ 1:	22.5882	21.731	22.4559	20.5883	27.8957
Length   32/   1, alignment  2/ 4:	23.2606	22.3673	22.9888	21.9987	23.3718
Length   32/   1, alignment  4/ 2:	23.2832	22.3503	23.2011	21.8342	16.6193
Length   32/  10, alignment  2/ 2:	23.2431	22.3499	22.9884	22.0363	31.0357
Length   32/  10, alignment  2/ 2:	23.4746	22.5083	22.9888	21.9882	30.8566
Length   64/   1, alignment  3/ 6:	27.9686	25.6205	26.8297	25.0257	28.238
Length   64/   1, alignment  6/ 3:	26.9619	26.3781	26.9754	33.5764	21.6181
Length   64/  10, alignment  3/ 3:	28.2916	25.6208	26.672	25.0806	37.7251
Length   64/  10, alignment  3/ 3:	27.9649	25.6253	26.5796	25.037	37.6284
Length  128/   1, alignment  4/ 0:	30.6191	30.3121	30.6972	30.2597	34.5417
Length  128/   1, alignment  0/ 4:	28.6436	27.7373	28.5622	27.9677	34.8899
Length  128/  10, alignment  4/ 4:	30.4561	29.7495	30.2066	29.8974	54.4051
Length  128/  10, alignment  4/ 4:	30.7378	29.8531	30.2325	29.7241	54.8167
Length  256/   1, alignment  5/ 2:	32.2609	31.4248	32.735	35.5511	57.3022
Length  256/   1, alignment  2/ 5:	34.379	34.2774	34.2438	36.345	78.2577
Length  256/  10, alignment  5/ 5:	35.4429	34.2098	34.8822	35.8399	90.9455
Length  256/  10, alignment  5/ 5:	35.2359	34.1856	34.7946	35.3457	89.7791
Length  512/   1, alignment  6/ 4:	41.3037	40.4442	40.9492	47.6213	106.769
Length  512/   1, alignment  4/ 6:	44.5428	43.5011	43.7374	52.0351	141.082
Length  512/  10, alignment  6/ 6:	43.3937	42.3664	43.0989	45.9118	184.895
Length  512/  10, alignment  6/ 6:	43.1568	42.3655	43.2552	50.7481	164.019
Length 1024/   1, alignment  7/ 6:	39.4816	40.1511	40.7327	57.0914	232.44
Length 1024/   1, alignment  6/ 7:	61.4644	61.9017	61.7646	68.0947	292.024
Length 1024/  10, alignment  7/ 7:	60.9407	60.81	61.473	69.6782	343.749
Length 1024/  10, alignment  7/ 7:	59.5543	60.4414	62.0645	67.8921	345.126
