                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.1935	22.871	22.8724	21.1001	24.2729
Length    4/   4, alignment  0/ 0, N    2:	25.4231	22.8694	23.48	21.1089	24.2752
Length    4/   4, alignment  4/ 0, N    2:	24.6443	22.8713	22.869	21.1313	24.8975
Length    8/   8, alignment  0/ 0, N    2:	24.0964	22.3507	22.5623	20.5995	24.2247
Length    8/   8, alignment  0/ 0, N    2:	24.2393	22.3513	22.3506	20.5983	24.0846
Length   16/  16, alignment  0/ 0, N    2:	24.1094	22.3491	22.9465	21.1173	24.3499
Length   16/  16, alignment  7/ 2, N    2:	24.3396	22.3488	22.3524	22.5506	24.2357
Length   16/   4, alignment  0/ 0, N    2:	23.8399	22.3496	23.405	20.0498	23.1197
Length   16/   4, alignment  7/ 2, N    2:	23.5367	21.8539	21.8546	19.9821	23.7991
Length   32/  32, alignment  0/ 0, N    2:	23.8386	21.8542	22.4793	20.606	24.1755
Length   32/  32, alignment  6/ 4, N    2:	25.3061	22.4768	22.9902	21.0732	24.371
Length   32/   8, alignment  0/ 0, N    2:	23.9391	21.7125	22.3503	20.4586	24.1726
Length   32/   8, alignment  6/ 4, N    2:	23.3333	21.2291	23.4184	53.592	23.4772
Length   64/  64, alignment  0/ 0, N    2:	23.8423	22.5904	22.4794	20.7413	23.8512
Length   64/  64, alignment  5/ 6, N    2:	23.933	22.0013	23.8656	20.8342	23.8647
Length   64/  16, alignment  0/ 0, N    2:	23.3891	21.3345	21.8553	20.8685	24.9371
Length   64/  16, alignment  5/ 6, N    2:	23.7667	21.3332	21.8546	22.0325	23.2474
Length  128/ 128, alignment  0/ 0, N    2:	23.8065	21.9053	22.9246	20.6209	23.8084
Length  128/ 128, alignment  4/ 0, N    2:	23.8729	21.9045	23.0107	20.8785	25.0046
Length  128/  32, alignment  0/ 0, N    2:	24.6942	21.8564	23.1025	21.0755	24.4484
Length  128/  32, alignment  4/ 0, N    2:	24.3809	22.1407	22.4768	20.6061	23.8015
Length  256/ 256, alignment  0/ 0, N    2:	26.8592	21.8551	22.6617	21.5756	28.1996
Length  256/ 256, alignment  3/ 2, N    2:	27.5833	22.3515	22.9886	21.0737	27.6434
Length  256/  64, alignment  0/ 0, N    2:	24.3292	22.3514	22.9923	21.1851	24.4131
Length  256/  64, alignment  3/ 2, N    2:	24.3218	22.5008	23.2157	22.1382	24.6771
Length  512/ 512, alignment  0/ 0, N    2:	27.5987	22.3545	22.9927	24.4257	27.4537
Length  512/ 512, alignment  2/ 4, N    2:	27.4439	22.3498	22.993	25.7882	28.1939
Length  512/ 128, alignment  0/ 0, N    2:	24.9981	23.2296	24.1195	21.5836	25.025
Length  512/ 128, alignment  2/ 4, N    2:	25.0557	22.9211	23.6541	21.5675	24.9103
Length 1024/1024, alignment  0/ 0, N    2:	29.4088	26.5682	26.8912	36.665	30.297
Length 1024/1024, alignment  1/ 6, N    2:	29.6368	26.8201	27.6851	37.4929	28.9257
Length 1024/ 256, alignment  0/ 0, N    2:	28.941	23.417	24.6308	22.621	29.5991
Length 1024/ 256, alignment  1/ 6, N    2:	29.6295	24.0334	24.255	22.0778	28.9211
Length   16/   1, alignment  1/ 2, N    2:	25.2788	23.416	23.6395	21.4443	25.2906
Length   16/   1, alignment  2/ 1, N    2:	25.0992	22.7489	23.4139	21.4743	24.8004
Length   16/  10, alignment  1/ 1, N    2:	25.242	24.0229	24.0367	21.4825	25.1756
Length   32/   1, alignment  2/ 4, N    2:	24.4874	22.2173	22.8979	20.9422	24.513
Length   32/   1, alignment  4/ 2, N    2:	24.5453	22.8704	22.869	20.9115	24.6983
Length   32/  10, alignment  2/ 2, N    2:	24.2754	23.159	22.8712	20.9795	24.2212
Length   64/   1, alignment  3/ 6, N    2:	24.0191	21.7125	22.35	20.4544	23.7253
Length   64/   1, alignment  6/ 3, N    2:	24.1534	21.7122	22.3491	20.4374	23.822
Length   64/  10, alignment  3/ 3, N    2:	23.7222	23.0069	22.3516	20.4553	23.5045
Length  128/   1, alignment  4/ 0, N    2:	23.1037	21.8534	21.8535	19.982	23.102
Length  128/   1, alignment  0/ 4, N    2:	23.2833	21.3334	22.2679	20.4474	24.0876
Length  128/  10, alignment  4/ 4, N    2:	23.7252	22.3825	22.3512	20.5013	23.9459
Length  256/   1, alignment  5/ 2, N    2:	23.5799	21.2298	21.8531	19.9832	23.6244
Length  256/   1, alignment  2/ 5, N    2:	23.2471	21.5414	21.8544	19.9898	23.6685
Length  256/  10, alignment  5/ 5, N    2:	23.2081	21.4424	21.8543	20.0012	23.5676
Length  512/   1, alignment  6/ 4, N    2:	23.8292	21.2296	21.8539	19.983	23.783
Length  512/   1, alignment  4/ 6, N    2:	23.5964	21.2292	21.9935	20.4991	24.1374
Length  512/  10, alignment  6/ 6, N    2:	24.3109	21.7121	22.4324	20.4981	23.5324
Length 1024/   1, alignment  7/ 6, N    2:	23.4879	21.229	21.8547	20.0276	23.7575
Length 1024/   1, alignment  6/ 7, N    2:	23.2993	21.2293	21.8535	20.0468	23.8256
Length 1024/  10, alignment  7/ 7, N    2:	23.6866	21.8449	22.4333	20.4534	23.9258
Length    2/   2, alignment  0/ 2, N    8:	23.9695	21.5438	21.9593	20.1189	23.7762
Length    4/   4, alignment  0/ 0, N    8:	23.1422	21.2314	22.165	20.3537	23.7825
Length    4/   4, alignment  4/ 0, N    8:	24.0341	22.0313	22.5483	20.5718	23.7849
Length    8/   8, alignment  0/ 0, N    8:	23.6686	21.6173	21.8546	20.1367	23.2272
Length    8/   8, alignment  0/ 0, N    8:	23.1863	21.3987	21.8537	20.1373	23.7932
Length   16/  16, alignment  0/ 0, N    8:	23.7249	21.8856	22.3501	21.1877	23.7472
Length   16/  16, alignment  7/ 2, N    8:	23.8678	21.884	22.3512	21.3248	23.4471
Length   16/   4, alignment  0/ 0, N    8:	23.2385	21.398	21.8532	20.0078	23.2356
Length   16/   4, alignment  7/ 2, N    8:	23.3022	21.23	21.853	20.0609	23.2144
Length   32/  32, alignment  0/ 0, N    8:	23.8341	22.4863	23.0973	21.1102	24.34
Length   32/  32, alignment  6/ 4, N    8:	24.4546	22.7056	23.0244	21.073	24.4698
Length   32/   8, alignment  0/ 0, N    8:	23.7169	21.7154	22.036	20.0744	23.1714
Length   32/   8, alignment  6/ 4, N    8:	23.2066	21.2308	21.8537	20.0201	23.201
Length   64/  64, alignment  0/ 0, N    8:	23.9267	21.8557	22.4816	20.7567	24.2615
Length   64/  64, alignment  5/ 6, N    8:	24.3275	22.3494	22.9911	21.3388	24.312
Length   64/  16, alignment  0/ 0, N    8:	23.701	21.713	22.3497	21.1274	23.7459
Length   64/  16, alignment  5/ 6, N    8:	23.7636	21.712	22.3511	21.2744	23.2516
Length  128/ 128, alignment  0/ 0, N    8:	23.8818	21.856	22.4822	20.6189	23.9678
Length  128/ 128, alignment  4/ 0, N    8:	23.844	22.2752	22.9878	21.0859	24.419
Length  128/  32, alignment  0/ 0, N    8:	24.3691	22.572	23.097	21.0735	24.3659
Length  128/  32, alignment  4/ 0, N    8:	24.4983	22.7803	23.2042	21.1494	24.4856
Length  256/ 256, alignment  0/ 0, N    8:	27.6985	22.4269	22.4818	20.6099	26.989
Length  256/ 256, alignment  3/ 2, N    8:	27.2568	22.3523	22.9984	21.0736	27.6032
Length  256/  64, alignment  0/ 0, N    8:	24.4461	22.494	22.9908	21.3499	24.4535
Length  256/  64, alignment  3/ 2, N    8:	24.4665	22.3507	23.1497	21.3479	25.086
Length  512/ 512, alignment  0/ 0, N    8:	28.2455	22.8748	23.7805	24.2915	27.6394
Length  512/ 512, alignment  2/ 4, N    8:	27.5794	22.7621	24.279	25.2246	28.8806
Length  512/ 128, alignment  0/ 0, N    8:	25.2055	22.871	23.5248	21.5811	24.9839
Length  512/ 128, alignment  2/ 4, N    8:	24.9904	22.8708	23.5233	21.5704	25.0245
Length 1024/1024, alignment  0/ 0, N    8:	28.7538	25.8214	28.787	36.6647	28.7539
Length 1024/1024, alignment  1/ 6, N    8:	29.0777	26.4803	28.9716	36.6598	28.7724
Length 1024/ 256, alignment  0/ 0, N    8:	28.7441	23.4165	24.1937	22.1664	28.8748
Length 1024/ 256, alignment  1/ 6, N    8:	29.6844	23.4149	24.1504	22.0789	29.013
Length   16/   1, alignment  1/ 2, N    8:	24.873	22.9281	23.6311	21.4351	24.8968
Length   16/   1, alignment  2/ 1, N    8:	24.8529	23.0191	23.4146	21.4174	24.9469
Length   16/  10, alignment  1/ 1, N    8:	24.8477	22.9279	23.3042	20.9322	24.2945
Length   32/   1, alignment  2/ 4, N    8:	24.2877	22.218	22.8688	20.9512	24.3045
Length   32/   1, alignment  4/ 2, N    8:	24.3322	22.2917	22.8689	20.9063	23.7294
Length   32/  10, alignment  2/ 2, N    8:	23.7333	21.7112	22.3498	20.4618	23.7053
Length   64/   1, alignment  3/ 6, N    8:	23.7557	21.7117	22.35	20.4398	23.7537
Length   64/   1, alignment  6/ 3, N    8:	23.7609	21.8163	22.3492	20.4365	24.4013
Length   64/  10, alignment  3/ 3, N    8:	23.74	21.7115	22.3508	20.5694	23.2085
Length  128/   1, alignment  4/ 0, N    8:	23.3496	21.2298	21.855	20.541	23.8309
Length  128/   1, alignment  0/ 4, N    8:	23.7332	21.7122	22.4364	20.4353	23.8687
Length  128/  10, alignment  4/ 4, N    8:	23.664	21.7127	22.351	20.3177	23.1391
Length  256/   1, alignment  5/ 2, N    8:	23.328	21.2297	21.853	19.9813	23.2334
Length  256/   1, alignment  2/ 5, N    8:	23.2358	21.2298	21.9398	20.0063	23.2368
Length  256/  10, alignment  5/ 5, N    8:	23.1472	21.2298	21.8528	20.0101	23.2278
