                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.8159	6.40918	6.35657	6.25049	6.25977
Length    0, alignments in bytes  0/ 0:	15.9937	5.92834	5.88525	5.77319	5.78076
Length    0, alignments in bytes  0/ 0:	10.8193	6.49817	5.8551	5.77441	5.76392
Length    0, alignments in bytes  0/ 0:	10.8998	6.48853	5.86768	5.76636	5.77234
Length    1, alignments in bytes  0/ 0:	11.076	5.91455	6.49524	5.77832	5.78687
Length    1, alignments in bytes  0/ 0:	11.2234	6.49719	5.85962	5.77039	5.78772
Length    1, alignments in bytes  0/ 1:	10.4199	6.49573	5.85107	5.78186	5.76953
Length    1, alignments in bytes  1/ 0:	10.1406	6.495	6.49316	5.76697	5.41125
Length    2, alignments in bytes  0/ 0:	10.4584	6.63489	6.64722	6.90759	8.66357
Length    2, alignments in bytes  0/ 0:	10.4771	6.63281	6.65137	6.91614	7.21875
Length    2, alignments in bytes  0/ 2:	10.6671	6.55151	6.58752	6.91211	27.468
Length    2, alignments in bytes  2/ 0:	10.4092	6.49512	6.48486	5.77222	8.26135
Length    3, alignments in bytes  0/ 0:	14.4828	5.78455	5.77393	5.77466	7.2312
Length    3, alignments in bytes  0/ 0:	10.853	5.77295	5.78333	5.77893	7.2229
Length    3, alignments in bytes  0/ 3:	10.9215	6.4978	5.77307	5.7655	7.22266
Length    3, alignments in bytes  3/ 0:	10.8273	6.4895	5.76746	5.77588	9.11072
Length    4, alignments in bytes  0/ 0:	10.8152	9.0144	9.01404	11.5265	9.38
Length    4, alignments in bytes  0/ 0:	11.0167	9.01343	9.01758	6.63635	9.38501
Length    4, alignments in bytes  0/ 4:	10.8674	6.83765	6.87341	6.61609	9.37402
Length    4, alignments in bytes  4/ 0:	10.8129	5.77161	5.76721	5.77612	9.3894
Length    5, alignments in bytes  0/ 0:	10.8304	9.0105	9.01538	7.49023	10.2891
Length    5, alignments in bytes  0/ 0:	11.1228	9.00891	9.01721	7.4884	10.2941
Length    5, alignments in bytes  0/ 5:	10.828	6.81824	6.8739	6.57898	9.38
Length    5, alignments in bytes  5/ 0:	10.8137	5.76868	5.77014	5.77612	10.83
Length    6, alignments in bytes  0/ 0:	10.8191	9.01135	9.01013	8.27759	12.9941
Length    6, alignments in bytes  0/ 0:	11.3574	9.00647	9.01453	8.27246	12.9901
Length    6, alignments in bytes  0/ 6:	10.826	6.80835	6.88831	6.45508	12.9746
Length    6, alignments in bytes  6/ 0:	10.8141	5.77136	5.76526	5.77441	10.1061
Length    7, alignments in bytes  0/ 0:	11.1315	7.89746	7.77393	5.77869	12.9812
Length    7, alignments in bytes  0/ 0:	10.9847	7.90515	7.77832	5.77246	12.9912
Length    7, alignments in bytes  0/ 7:	11.0874	6.81226	6.88342	5.77612	12.9689
Length    7, alignments in bytes  7/ 0:	10.9812	5.77319	5.76697	5.77771	12.9884
Length    8, alignments in bytes  0/ 0:	11.1132	9.26636	11.3164	7.24561	10.4535
Length    8, alignments in bytes  0/ 0:	10.9963	9.69958	9.01758	6.62292	5.82166
Length    8, alignments in bytes  0/ 0:	11.1936	9.21851	9.0166	6.62024	5.81201
Length    8, alignments in bytes  0/ 0:	10.8904	9.2804	9.01489	6.61926	5.79175
Length    9, alignments in bytes  0/ 0:	11.1071	9.25476	9.0188	7.48779	6.77966
Length    9, alignments in bytes  0/ 0:	10.9315	9.26208	9.01038	7.48193	6.72314
Length    9, alignments in bytes  0/ 1:	11.0852	9.3147	9.01392	7.94177	7.53088
Length    9, alignments in bytes  1/ 0:	11.183	9.33472	9.05493	7.88513	15.8744
Length   10, alignments in bytes  0/ 0:	10.8752	9.29871	9.01404	8.28516	7.94873
Length   10, alignments in bytes  0/ 0:	11.0105	9.32288	9.01538	8.29309	7.9425
Length   10, alignments in bytes  0/ 2:	10.9374	9.35107	9.00916	8.10046	8.38013
Length   10, alignments in bytes  2/ 0:	11.13	9.23193	9.0542	7.995	17.3085
Length   11, alignments in bytes  0/ 0:	11.1481	9.38855	9.01086	7.5625	8.54785
Length   11, alignments in bytes  0/ 0:	10.8572	9.62671	9.01257	7.55688	8.53357
Length   11, alignments in bytes  0/ 3:	10.875	9.69897	9.01611	8.1084	9.34277
Length   11, alignments in bytes  3/ 0:	11.1832	9.22058	9.05396	8.00171	18.7502
Length   12, alignments in bytes  0/ 0:	11.1893	9.23767	9.01184	8.27368	9.59949
Length   12, alignments in bytes  0/ 0:	11.1389	9.37048	9.02173	8.28137	9.58276
Length   12, alignments in bytes  0/ 4:	10.9963	8.94446	8.84387	8.31885	9.87231
Length   12, alignments in bytes  4/ 0:	10.8966	8.8678	8.80725	8.00049	12.359
Length   13, alignments in bytes  0/ 0:	10.8903	9.3949	9.01807	8.29822	12.5377
Length   13, alignments in bytes  0/ 0:	11.248	9.24902	9.0144	8.28162	12.5221
Length   13, alignments in bytes  0/ 5:	11.116	8.86731	8.6698	8.31702	11.1565
Length   13, alignments in bytes  5/ 0:	10.8667	8.92053	8.88196	7.9989	13.533
Length   14, alignments in bytes  0/ 0:	10.9053	9.2832	9.01709	8.26648	13.9194
Length   14, alignments in bytes  0/ 0:	10.9924	9.40918	9.01733	8.28979	13.9192
Length   14, alignments in bytes  0/ 6:	10.9365	8.86536	8.68713	8.32703	12.9749
Length   14, alignments in bytes  6/ 0:	10.8805	8.87854	8.81335	7.99731	15.0757
Length   15, alignments in bytes  0/ 0:	11.0784	7.9447	8.20178	5.77917	12.9895
Length   15, alignments in bytes  0/ 0:	10.938	7.948	8.15051	5.77515	12.9803
Length   15, alignments in bytes  0/ 7:	10.8275	8.86987	8.83289	5.78064	12.9706
Length   15, alignments in bytes  7/ 0:	10.8687	8.89185	8.80615	5.76306	13.6165
Length   16, alignments in bytes  0/ 0:	10.8284	9.40784	11.3655	5.77441	7.30713
Length   16, alignments in bytes  7/ 2:	10.9922	9.23425	9.04529	6.16797	14.5647
Length   32, alignments in bytes  0/ 0:	11.3665	6.56824	7.22522	7.63928	10.4238
Length   32, alignments in bytes  6/ 4:	11.4346	10.1624	11.1379	16.2942	21.9382
Length   64, alignments in bytes  0/ 0:	22.288	12.3862	12.2241	13.8922	19.6609
Length   64, alignments in bytes  5/ 6:	21.4838	17.3358	16.3945	13.1379	26.78
Length  128, alignments in bytes  0/ 0:	18.7404	10.705	10.0111	14.8992	27.3926
Length  128, alignments in bytes  4/ 0:	19.0354	11.1699	12.7637	15.9952	34.663
Length  256, alignments in bytes  0/ 0:	24.0405	16.2783	17.3806	19.0208	54.6376
Length  256, alignments in bytes  3/ 2:	25.9723	16.3341	18.9545	20.9839	62.1182
Length  512, alignments in bytes  0/ 0:	31.3815	20.3525	22.7345	29.3861	108.397
Length  512, alignments in bytes  2/ 4:	34.6682	23.3867	32.6533	31.0724	155.523
Length 1024, alignments in bytes  0/ 0:	56.6556	30.2843	29.9949	50.2556	242.4
Length 1024, alignments in bytes  1/ 6:	67.7018	42.5111	37.3352	53.3948	348.445
Length   16, alignments in bytes  1/ 2:	14.8719	9.2019	9.07056	6.11084	18.6202
Length   16, alignments in bytes  2/ 1:	10.9469	9.18762	13.6044	6.15466	17.6154
Length   16, alignments in bytes  1/ 1:	10.8307	9.19263	9.05225	5.77246	20.2102
Length   16, alignments in bytes  1/ 1:	10.8926	9.20178	9.05237	5.77222	15.7527
Length   32, alignments in bytes  2/ 4:	11.4258	8.62573	8.81213	10.7285	22.6779
Length   32, alignments in bytes  4/ 2:	11.486	7.20862	6.74146	12.1764	17.9114
Length   32, alignments in bytes  2/ 2:	11.4166	7.22021	7.13904	10.2654	18.7458
Length   32, alignments in bytes  2/ 2:	11.4644	6.9104	7.21875	10.2946	17.2673
Length   64, alignments in bytes  3/ 6:	15.4011	10.373	10.0828	11.6331	30.0872
Length   64, alignments in bytes  6/ 3:	15.7922	12.2853	12.3112	13.3298	21.3605
Length   64, alignments in bytes  3/ 3:	14.9738	9.19336	9.3988	10.1986	22.5981
Length   64, alignments in bytes  3/ 3:	14.994	9.18933	9.38782	10.2168	22.5948
Length  128, alignments in bytes  4/ 0:	19.0549	11.1689	12.6194	15.9808	35.0795
Length  128, alignments in bytes  0/ 4:	21.7622	11.7834	11.5775	15.3932	37.0609
Length  128, alignments in bytes  4/ 4:	21.3947	14.6292	13.738	15.5208	35.0995
Length  128, alignments in bytes  4/ 4:	21.5212	14.8054	13.6814	15.5143	35.1566
Length  256, alignments in bytes  5/ 2:	25.922	16.3918	20.5753	22.0074	61.3373
Length  256, alignments in bytes  2/ 5:	26.9326	18.5978	22.1603	21.874	84.9961
Length  256, alignments in bytes  5/ 5:	26.0046	15.5415	54.5117	19.9951	61.2719
Length  256, alignments in bytes  5/ 5:	26.0913	15.5439	19.0686	20.0096	61.3326
Length  512, alignments in bytes  6/ 4:	34.5077	26.0508	24.8136	29.9048	114.286
