                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.8926	5.90442	5.87537	5.77698	5.77222
Length    0, alignments in bytes  0/ 0:	10.8213	5.93555	5.86316	5.77686	5.78015
Length    0, alignments in bytes  0/ 0:	10.9573	5.89819	5.86646	5.77014	5.76965
Length    0, alignments in bytes  0/ 0:	10.8191	5.92297	6.48779	5.77441	5.76648
Length    1, alignments in bytes  0/ 0:	10.9612	6.49072	6.50684	5.77271	5.78064
Length    1, alignments in bytes  0/ 0:	11.1562	6.5061	6.49451	5.77832	5.78381
Length    1, alignments in bytes  0/ 1:	10.4592	6.48779	6.49817	5.77271	5.76892
Length    1, alignments in bytes  1/ 0:	10.5492	5.77832	5.8623	5.77344	5.38928
Length    2, alignments in bytes  0/ 0:	10.583	6.6322	6.65466	6.93701	7.54382
Length    2, alignments in bytes  0/ 0:	9.36987	5.88464	5.89075	6.13013	6.40137
Length    2, alignments in bytes  0/ 2:	9.35645	5.79834	6.16821	5.98547	6.2561
Length    2, alignments in bytes  2/ 0:	9.08557	5.0011	5.00903	4.99451	6.26453
Length    3, alignments in bytes  0/ 0:	9.40649	4.41602	5.01599	4.99719	6.26965
Length    3, alignments in bytes  0/ 0:	9.3811	5.00305	5.00732	5.00342	6.26453
Length    3, alignments in bytes  0/ 3:	9.3772	5.00024	5.00757	4.99866	6.25439
Length    3, alignments in bytes  3/ 0:	9.38416	5.00391	5.00513	5.0022	8.13318
Length    4, alignments in bytes  0/ 0:	9.66736	7.82056	7.82056	5.74109	8.13928
Length    4, alignments in bytes  0/ 0:	9.68225	7.81506	7.81482	5.73706	8.13757
Length    4, alignments in bytes  0/ 4:	9.67383	5.90588	5.97229	5.73608	8.11877
Length    4, alignments in bytes  4/ 0:	9.36743	5.00403	4.99744	5.00281	8.1488
Length    5, alignments in bytes  0/ 0:	9.78516	7.80286	7.81006	6.48779	8.91846
Length    5, alignments in bytes  0/ 0:	9.45251	7.80579	7.81042	6.50037	8.92566
Length    5, alignments in bytes  0/ 5:	9.36951	5.90881	5.96252	5.6936	8.12488
Length    5, alignments in bytes  5/ 0:	9.37146	5.00439	4.99646	5.00269	9.80701
Length    6, alignments in bytes  0/ 0:	9.89954	7.80566	7.81531	7.16882	11.2637
Length    6, alignments in bytes  0/ 0:	9.3866	7.8092	8.89905	7.78186	12.3503
Length    6, alignments in bytes  0/ 6:	10.3352	6.86829	7.61707	6.12854	12.3164
Length    6, alignments in bytes  6/ 0:	9.58191	5.11121	5.11755	5.10828	8.9574
Length    7, alignments in bytes  0/ 0:	9.7146	7.01257	6.87915	5.12195	11.5055
Length    7, alignments in bytes  0/ 0:	10.0862	7.01721	6.97241	5.1261	11.5043
Length    7, alignments in bytes  0/ 7:	9.72778	6.03809	6.09644	5.1189	11.4979
Length    7, alignments in bytes  7/ 0:	9.72034	5.10901	5.12219	5.10779	12.7917
