                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.4016	6.25488	6.19128	6.08276	6.09521
Length    0, alignments in bytes  0/ 0:	11.4031	6.09741	6.18262	6.09473	6.0885
Length    0, alignments in bytes  0/ 0:	9.86902	5.88477	5.89673	5.23706	5.23694
Length    0, alignments in bytes  0/ 0:	9.81677	5.35632	5.32788	5.22607	5.23596
Length    1, alignments in bytes  0/ 0:	17.9255	5.37634	5.31494	5.2395	5.25317
Length    1, alignments in bytes  0/ 0:	17.9425	5.89453	5.31799	5.23633	5.24609
Length    1, alignments in bytes  0/ 1:	17.9465	6.54578	5.89233	5.24023	5.25098
Length    1, alignments in bytes  1/ 0:	17.8784	5.89197	5.88647	5.24219	5.44348
Length    2, alignments in bytes  0/ 0:	17.8086	6.01636	6.03503	6.64575	6.55249
Length    2, alignments in bytes  0/ 0:	17.7544	6.01477	6.04468	6.61523	6.55273
Length    2, alignments in bytes  0/ 2:	17.8629	5.94397	6.00024	6.63672	6.54053
Length    2, alignments in bytes  2/ 0:	17.7577	5.23511	5.23608	5.24146	6.64819
Length    3, alignments in bytes  0/ 0:	23.483	5.24438	5.24609	5.23682	6.70837
Length    3, alignments in bytes  0/ 0:	23.4937	5.23706	5.24414	5.2489	6.6781
Length    3, alignments in bytes  0/ 3:	23.5011	5.24146	5.23376	5.23694	6.68579
Length    3, alignments in bytes  3/ 0:	23.4849	4.72583	5.24146	5.22668	8.80054
Length    4, alignments in bytes  0/ 0:	23.6123	21.9095	21.3435	6.73633	11.3209
Length    4, alignments in bytes  0/ 0:	25.0093	19.681	20.3658	6.06079	8.51245
Length    4, alignments in bytes  0/ 4:	23.6575	19.7141	20.3655	6.08875	8.49951
Length    4, alignments in bytes  4/ 0:	18.958	15.1212	15.7618	5.24866	8.63159
Length    5, alignments in bytes  0/ 0:	23.4828	19.692	20.3557	6.99548	9.60315
Length    5, alignments in bytes  0/ 0:	23.4854	19.6869	20.3337	6.97363	9.57593
Length    5, alignments in bytes  0/ 5:	23.5529	19.7152	20.3765	6.31555	8.12183
Length    5, alignments in bytes  5/ 0:	18.9475	15.1234	15.7635	5.27234	9.9126
Length    6, alignments in bytes  0/ 0:	23.4677	19.6926	20.3444	7.53162	11.7903
Length    6, alignments in bytes  0/ 0:	23.6091	19.6903	20.3411	7.53687	11.8414
Length    6, alignments in bytes  0/ 6:	23.5413	19.7218	20.4381	5.91125	11.7678
Length    6, alignments in bytes  6/ 0:	18.9763	15.1224	15.759	5.24792	9.23596
Length    7, alignments in bytes  0/ 0:	21.0486	19.6826	20.3396	5.23364	11.7844
Length    7, alignments in bytes  0/ 0:	21.057	19.6809	20.3285	5.24524	11.7759
Length    7, alignments in bytes  0/ 7:	21.0366	19.7185	20.4347	5.22717	11.7629
Length    7, alignments in bytes  7/ 0:	21.0553	15.1279	15.7631	5.24768	11.781
Length    8, alignments in bytes  0/ 0:	21.0469	19.6837	20.3547	6.07861	6.56274
Length    8, alignments in bytes  0/ 0:	21.03	19.6722	20.309	193.413	5.8197
Length    8, alignments in bytes  0/ 0:	21.0281	19.6688	20.3075	6.06702	5.78748
Length    8, alignments in bytes  0/ 0:	21.0288	19.6652	20.349	6.06079	5.82166
Length    9, alignments in bytes  0/ 0:	21.058	19.6698	20.3456	6.98584	6.73425
Length    9, alignments in bytes  0/ 0:	21.036	19.6656	20.3494	6.98877	6.72571
Length    9, alignments in bytes  0/ 1:	21.0659	19.6755	20.3132	7.3623	7.36182
Length    9, alignments in bytes  1/ 0:	21.0645	19.6709	20.3105	7.30078	15.6843
Length   10, alignments in bytes  0/ 0:	21.0599	19.6674	20.3116	7.53833	8.80823
Length   10, alignments in bytes  0/ 0:	22.293	20.5813	20.9023	7.52588	8.82349
Length   10, alignments in bytes  0/ 2:	22.7699	20.1738	20.3441	7.36169	8.2887
Length   10, alignments in bytes  2/ 0:	21.0632	19.6726	20.314	7.27502	15.7537
Length   11, alignments in bytes  0/ 0:	21.0344	19.6753	20.3119	6.88623	9.23193
Length   11, alignments in bytes  0/ 0:	21.0291	19.6621	20.3063	6.89136	8.41431
Length   11, alignments in bytes  0/ 3:	21.0282	19.6681	20.3441	7.37256	9.23022
Length   11, alignments in bytes  3/ 0:	21.0269	19.675	20.3523	7.28833	17.042
Length   12, alignments in bytes  0/ 0:	22.932	21.6179	24.863	8.51709	11.0706
Length   12, alignments in bytes  0/ 0:	21.053	19.6785	20.3571	7.52417	9.25
Length   12, alignments in bytes  0/ 4:	21.1018	19.6808	20.3296	7.57275	9.32971
Length   12, alignments in bytes  4/ 0:	21.0459	19.6589	20.3517	7.28381	11.957
Length   13, alignments in bytes  0/ 0:	21.0662	19.6731	20.3159	7.54358	12.2677
Length   13, alignments in bytes  0/ 0:	21.0228	19.6733	20.3092	7.52905	12.0107
Length   13, alignments in bytes  0/ 5:	21.083	19.6813	20.3292	7.57043	11.2528
Length   13, alignments in bytes  5/ 0:	21.0659	19.671	20.353	7.30078	12.9221
Length   14, alignments in bytes  0/ 0:	21.0269	19.6702	20.3551	7.5116	13.0853
Length   14, alignments in bytes  0/ 0:	21.0271	19.6621	20.3147	7.51831	13.0172
Length   14, alignments in bytes  0/ 6:	21.1033	19.6794	20.3296	7.5658	11.8466
Length   14, alignments in bytes  6/ 0:	21.036	19.6709	20.3112	7.2865	13.6865
Length   15, alignments in bytes  0/ 0:	21.0331	19.6813	20.3315	5.23706	11.8397
Length   15, alignments in bytes  0/ 0:	21.0315	19.6827	20.3252	5.23706	11.8198
Length   15, alignments in bytes  0/ 7:	21.0327	19.6815	20.3312	5.24048	11.8348
Length   15, alignments in bytes  7/ 0:	21.0201	19.673	20.309	5.25317	14.0825
Length   16, alignments in bytes  0/ 0:	21.0254	19.678	20.329	5.27026	7.53162
Length   16, alignments in bytes  7/ 2:	27.5162	20.6362	21.3123	6.6311	20.2852
Length   32, alignments in bytes  0/ 0:	18.033	6.58508	6.55237	7.89844	10.8973
Length   32, alignments in bytes  6/ 4:	22.3424	6.90955	6.57886	11.9274	17.4755
Length   64, alignments in bytes  0/ 0:	20.0857	8.51221	8.63867	9.74927	14.684
Length   64, alignments in bytes  5/ 6:	24.6017	20.0033	20.552	12.1191	25.7235
Length  128, alignments in bytes  0/ 0:	21.2184	11.365	11.6755	14.817	24.9788
Length  128, alignments in bytes  4/ 0:	22.1909	16.3567	19.3612	15.3284	31.2952
Length  256, alignments in bytes  0/ 0:	25.7054	15.5297	16.462	17.4213	49.556
Length  256, alignments in bytes  3/ 2:	29.2926	14.9264	18.7275	19.0134	57.7159
Length  512, alignments in bytes  0/ 0:	34.429	18.4777	20.8889	26.6571	98.3665
Length  512, alignments in bytes  2/ 4:	37.7664	21.2397	24.1558	28.2144	151.232
Length 1024, alignments in bytes  0/ 0:	49.8895	28.2208	28.4879	46.1725	218.354
Length 1024, alignments in bytes  1/ 6:	58.6425	38.5674	34.179	45.569	311.493
Length   16, alignments in bytes  1/ 2:	22.9606	19.6849	21.2275	6.40613	17.9318
Length   16, alignments in bytes  2/ 1:	22.495	19.6772	22.432	6.59399	15.6603
Length   16, alignments in bytes  1/ 1:	21.0265	19.672	20.3153	5.49365	14.5303
Length   16, alignments in bytes  1/ 1:	21.024	19.6743	20.3145	5.25183	14.5863
Length   32, alignments in bytes  2/ 4:	22.3541	7.81665	8.02356	10.5381	21.7687
Length   32, alignments in bytes  4/ 2:	22.3411	6.21179	6.54871	11.0931	16.6705
Length   32, alignments in bytes  2/ 2:	22.3409	6.2793	7.18945	10.0762	16.1694
Length   32, alignments in bytes  2/ 2:	22.34	7.74976	7.11694	10.6084	16.953
