                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.3539	22.8721	22.984	21.1037	24.73
Length    4/   4, alignment  0/ 0, N    2:	24.8751	22.8719	23.4802	21.1009	24.8058
Length    4/   4, alignment  4/ 0, N    2:	24.9316	24.3432	23.6077	21.121	24.2281
Length    8/   8, alignment  0/ 0, N    2:	24.5432	22.3516	22.9436	20.6187	23.6316
Length    8/   8, alignment  0/ 0, N    2:	23.6526	22.349	22.7774	20.6311	24.3508
Length   16/  16, alignment  0/ 0, N    2:	23.7716	22.4503	22.5619	21.112	23.9348
Length   16/  16, alignment  7/ 2, N    2:	24.1867	22.3513	22.6691	22.5506	23.7538
Length   16/   4, alignment  0/ 0, N    2:	25.1446	22.9907	24.3544	21.485	74.0583
Length   16/   4, alignment  7/ 2, N    2:	27.1643	23.5829	23.0933	19.9875	23.6187
Length   32/  32, alignment  0/ 0, N    2:	23.9024	21.8561	22.4792	20.9515	23.8375
Length   32/  32, alignment  6/ 4, N    2:	23.819	21.9166	22.8739	22.5114	25.0984
Length   32/   8, alignment  0/ 0, N    2:	24.758	21.8206	22.3514	20.4663	24.0207
Length   32/   8, alignment  6/ 4, N    2:	23.1948	21.3339	21.8548	20.0127	23.513
Length   64/  64, alignment  0/ 0, N    2:	23.7911	21.9794	22.482	23.1853	24.1165
Length   64/  64, alignment  5/ 6, N    2:	23.9458	22.3529	22.9883	21.2475	24.3982
Length   64/  16, alignment  0/ 0, N    2:	23.7415	21.7132	22.3525	20.8769	23.1969
Length   64/  16, alignment  5/ 6, N    2:	23.3975	21.2296	22.1141	22.6611	23.9586
Length  128/ 128, alignment  0/ 0, N    2:	24.3556	22.4033	22.9933	21.0848	24.3574
Length  128/ 128, alignment  4/ 0, N    2:	24.3504	22.3978	23.7621	21.7223	27.1701
Length  128/  32, alignment  0/ 0, N    2:	26.0672	23.5992	23.0797	22.4041	24.4772
Length  128/  32, alignment  4/ 0, N    2:	24.3787	22.4544	23.0226	21.073	24.3375
Length  256/ 256, alignment  0/ 0, N    2:	27.5966	22.3515	22.992	21.0782	28.2126
Length  256/ 256, alignment  3/ 2, N    2:	27.4411	22.3492	24.1134	21.0752	29.4031
Length  256/  64, alignment  0/ 0, N    2:	24.4456	22.4799	22.9884	21.2734	24.4204
Length  256/  64, alignment  3/ 2, N    2:	24.487	22.5992	22.9902	21.3015	24.4061
Length  512/ 512, alignment  0/ 0, N    2:	27.4881	22.9119	23.1272	24.5617	28.1108
Length  512/ 512, alignment  2/ 4, N    2:	28.0471	22.8688	23.9619	26.2212	28.2692
Length  512/ 128, alignment  0/ 0, N    2:	25.0176	22.8878	23.9126	21.5804	24.9875
Length  512/ 128, alignment  2/ 4, N    2:	25.8187	22.9232	23.5238	21.5752	24.983
Length 1024/1024, alignment  0/ 0, N    2:	30.7145	26.4797	27.0446	36.9666	28.8646
Length 1024/1024, alignment  1/ 6, N    2:	28.8752	27.1194	27.5828	38.5919	29.8044
Length 1024/ 256, alignment  0/ 0, N    2:	28.5741	23.7916	24.3835	22.081	28.5678
Length 1024/ 256, alignment  1/ 6, N    2:	28.6931	23.415	24.0837	22.0797	29.0034
Length   16/   1, alignment  1/ 2, N    2:	25.6595	23.7039	23.8644	21.41	25.0801
Length   16/   1, alignment  2/ 1, N    2:	25.347	22.5459	22.873	21.9611	25.0678
Length   16/  10, alignment  1/ 1, N    2:	24.5989	22.8702	23.0889	20.9907	24.2784
Length   32/   1, alignment  2/ 4, N    2:	25.4633	22.5468	22.871	20.9933	24.5687
Length   32/   1, alignment  4/ 2, N    2:	24.693	22.5476	22.3497	20.4364	24.1472
Length   32/  10, alignment  2/ 2, N    2:	23.7244	21.8181	22.3502	20.4562	23.793
Length   64/   1, alignment  3/ 6, N    2:	25.1829	22.4006	22.3498	20.4575	24.022
Length   64/   1, alignment  6/ 3, N    2:	23.6301	21.7126	22.349	20.4368	24.1151
Length   64/  10, alignment  3/ 3, N    2:	23.9962	21.7113	22.3497	20.5167	24.0423
Length  128/   1, alignment  4/ 0, N    2:	24.6447	21.7135	22.334	19.9799	23.2663
