                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.0428	5.50708	5.45728	5.36121	5.36426
Length    0, alignments in bytes  0/ 0:	10.0471	6.03894	6.02856	5.37195	5.3595
Length    0, alignments in bytes  0/ 0:	10.1835	6.03821	6.38135	5.23572	5.23779
Length    0, alignments in bytes  0/ 0:	9.91736	5.88477	5.3175	5.22864	5.23975
Length    1, alignments in bytes  0/ 0:	10.1367	5.88574	5.31445	5.22925	5.24841
Length    1, alignments in bytes  0/ 0:	10.2139	5.89001	5.3103	5.24268	5.24182
Length    1, alignments in bytes  0/ 1:	9.67505	5.89282	5.30188	5.24219	5.22986
Length    1, alignments in bytes  1/ 0:	9.34387	5.89417	5.88306	5.23743	4.88623
Length    2, alignments in bytes  0/ 0:	9.6958	6.03381	6.02588	6.27197	6.55322
Length    2, alignments in bytes  0/ 0:	9.6228	6.01501	6.04272	6.26355	6.54944
Length    2, alignments in bytes  0/ 2:	9.67419	5.9613	5.9679	6.27441	6.54236
Length    2, alignments in bytes  2/ 0:	9.48621	5.88904	5.89172	5.23035	6.55933
Length    3, alignments in bytes  0/ 0:	9.85498	5.88855	5.24438	5.23108	6.55249
Length    3, alignments in bytes  0/ 0:	9.9917	5.00928	5.00891	5.01001	6.26025
Length    3, alignments in bytes  0/ 3:	9.63416	5.00732	4.99915	5.00806	6.24939
Length    3, alignments in bytes  3/ 0:	9.38647	5.63	4.99561	5.0083	8.125
Length    4, alignments in bytes  0/ 0:	9.41089	7.83984	7.82373	5.73999	7.50537
Length    4, alignments in bytes  0/ 0:	9.7832	7.81873	7.82031	5.7395	8.13367
Length    4, alignments in bytes  0/ 4:	9.3988	5.91992	5.96228	5.73706	8.12317
Length    4, alignments in bytes  4/ 0:	9.36914	5.00061	4.99963	5.00208	11.2589
Length    5, alignments in bytes  0/ 0:	9.37622	7.81384	7.81079	6.48657	8.92029
Length    5, alignments in bytes  0/ 0:	9.5	7.81433	7.80884	6.49036	8.92896
Length    5, alignments in bytes  0/ 5:	9.8269	5.92334	5.96326	5.69495	7.49854
Length    5, alignments in bytes  5/ 0:	9.36951	5.00562	4.99622	5.00684	9.91394
Length    6, alignments in bytes  0/ 0:	9.86658	9.3551	8.17419	7.50024	11.7783
Length    6, alignments in bytes  0/ 0:	9.82324	8.17395	8.17773	7.50439	11.7758
Length    6, alignments in bytes  0/ 6:	9.82227	6.19055	6.25366	5.84814	11.7706
Length    6, alignments in bytes  6/ 0:	9.80872	5.22754	5.23804	5.22888	9.16541
Length    7, alignments in bytes  0/ 0:	9.92944	7.1554	7.04919	5.23157	11.7742
Length    7, alignments in bytes  0/ 0:	9.96008	7.18115	7.05286	5.23547	11.7828
Length    7, alignments in bytes  0/ 7:	10.0178	6.19897	6.24622	5.23254	11.7612
Length    7, alignments in bytes  7/ 0:	9.81604	5.23901	5.22607	5.23975	11.7822
Length    8, alignments in bytes  0/ 0:	9.86353	8.50769	8.1814	6.00757	5.28479
Length    8, alignments in bytes  0/ 0:	9.84814	8.51196	8.1886	6.00842	5.27161
Length    8, alignments in bytes  0/ 0:	10.1678	8.39624	8.18311	5.99634	5.25928
Length    8, alignments in bytes  0/ 0:	10.0142	8.55823	8.17932	5.9895	5.26074
Length    9, alignments in bytes  0/ 0:	9.93396	8.58044	8.17029	6.79028	6.10413
Length    9, alignments in bytes  0/ 0:	10.0181	8.47888	8.17224	6.79675	6.10693
Length    9, alignments in bytes  0/ 1:	9.87524	8.49133	8.17419	7.22266	6.84021
Length    9, alignments in bytes  1/ 0:	9.88953	8.48645	8.23779	7.15833	15.545
Length   10, alignments in bytes  0/ 0:	10.3102	8.48999	8.17944	7.52075	6.92749
Length   10, alignments in bytes  0/ 0:	9.89709	8.47595	8.17603	7.50146	6.94482
Length   10, alignments in bytes  0/ 2:	10.0563	8.46155	8.17676	7.34985	7.58472
Length   10, alignments in bytes  2/ 0:	9.89856	8.36292	8.23267	7.26208	15.6956
Length   11, alignments in bytes  0/ 0:	10.0416	8.47302	8.18323	6.85706	7.75293
Length   11, alignments in bytes  0/ 0:	10.1045	8.5022	8.18042	6.86279	7.74646
Length   11, alignments in bytes  0/ 3:	9.86121	8.49377	8.17554	7.34924	8.46912
Length   11, alignments in bytes  3/ 0:	9.86951	8.4762	8.19824	7.26306	17.0077
Length   12, alignments in bytes  0/ 0:	9.8894	8.53198	8.17908	7.51672	8.70752
Length   12, alignments in bytes  0/ 0:	9.88574	8.37988	8.16858	7.50964	8.69641
Length   12, alignments in bytes  0/ 4:	10.1132	8.04749	7.96851	7.547	8.95142
Length   12, alignments in bytes  4/ 0:	9.94128	8.06262	8.00195	7.2522	11.2264
Length   13, alignments in bytes  0/ 0:	9.98413	8.52332	8.18188	7.52222	11.3478
Length   13, alignments in bytes  0/ 0:	10.0886	8.53918	8.17603	7.49768	11.379
Length   13, alignments in bytes  0/ 5:	9.94507	8.03979	7.92761	7.55139	10.118
Length   13, alignments in bytes  5/ 0:	10.2001	8.05273	8.04041	7.2489	12.2338
Length   14, alignments in bytes  0/ 0:	10.1483	8.48779	8.17773	7.49731	12.6224
Length   14, alignments in bytes  0/ 0:	9.8772	8.4342	8.17004	7.51562	12.5587
Length   14, alignments in bytes  0/ 6:	10.0934	8.03784	7.99329	7.55066	11.7684
Length   14, alignments in bytes  6/ 0:	9.87256	8.04492	8.03931	7.25586	12.6678
Length   15, alignments in bytes  0/ 0:	10.1765	7.27991	7.39673	5.22961	11.7799
Length   15, alignments in bytes  0/ 0:	9.81763	7.21985	7.39453	5.23901	11.78
Length   15, alignments in bytes  0/ 7:	10.2953	8.1626	7.97766	5.23926	11.7759
Length   15, alignments in bytes  7/ 0:	9.97375	8.02771	8.03528	5.23694	12.3768
Length   16, alignments in bytes  0/ 0:	10.0122	8.38672	8.18433	5.2373	6.68909
Length   16, alignments in bytes  7/ 2:	9.86414	8.35071	8.20935	5.58704	13.1917
Length   32, alignments in bytes  0/ 0:	10.0647	6.5603	6.5658	6.9198	9.474
Length   32, alignments in bytes  6/ 4:	10.2661	5.92615	6.54456	10.9491	15.443
Length   64, alignments in bytes  0/ 0:	12.5815	7.91626	7.51953	8.50439	14.6492
Length   64, alignments in bytes  5/ 6:	13.9585	13.2108	13.7195	11.9005	24.2269
Length  128, alignments in bytes  0/ 0:	15.6068	9.82874	10.124	13.4937	24.9817
Length  128, alignments in bytes  4/ 0:	17.2507	10.1248	11.5129	14.4348	31.3207
Length  256, alignments in bytes  0/ 0:	21.8018	15.0728	15.7635	17.817	50.6868
Length  256, alignments in bytes  3/ 2:	24.2284	15.0861	17.568	19.4778	57.7224
Length  512, alignments in bytes  0/ 0:	30.0508	19.3711	21.2776	27.9585	104.479
Length  512, alignments in bytes  2/ 4:	33.5394	22.2422	24.364	28.8528	144.453
Length 1024, alignments in bytes  0/ 0:	52.9049	28.1835	27.441	46.6228	355.209
Length 1024, alignments in bytes  1/ 6:	64.1072	39.4818	34.6836	48.0905	304.112
Length   16, alignments in bytes  1/ 2:	14.3314	8.55518	8.39624	5.66577	17.283
Length   16, alignments in bytes  2/ 1:	10.1367	8.53442	8.39905	5.72437	15.4271
Length   16, alignments in bytes  1/ 1:	10.2975	8.54871	11.4386	5.4967	15.4462
Length   16, alignments in bytes  1/ 1:	10.1307	8.52844	8.39575	5.36621	14.7614
Length   32, alignments in bytes  2/ 4:	10.6149	8.02795	9.06042	10.0154	22.0844
Length   32, alignments in bytes  4/ 2:	10.9924	6.85767	7.26941	11.2941	16.6578
Length   32, alignments in bytes  2/ 2:	10.7666	6.41602	8.0282	9.52576	16.1193
Length   32, alignments in bytes  2/ 2:	10.631	6.42004	7.35962	9.54224	16.0453
Length   64, alignments in bytes  3/ 6:	14.2935	9.6322	9.34912	10.8369	27.7958
Length   64, alignments in bytes  6/ 3:	14.6405	11.4161	11.4292	12.385	19.7178
Length   64, alignments in bytes  3/ 3:	13.99	8.53662	8.72009	9.58521	20.9806
Length   64, alignments in bytes  3/ 3:	13.9984	8.51953	8.71094	9.55469	23.3878
Length  128, alignments in bytes  4/ 0:	17.7777	10.3711	11.7028	14.8339	32.5604
Length  128, alignments in bytes  0/ 4:	20.1639	10.9919	12.0577	14.2865	34.4427
Length  128, alignments in bytes  4/ 4:	19.9065	13.8053	12.7504	14.4146	32.6005
Length  128, alignments in bytes  4/ 4:	19.9353	14.0256	12.6895	14.4247	32.6061
Length  256, alignments in bytes  5/ 2:	24.0699	15.1898	19.2107	20.4496	57.0231
Length  256, alignments in bytes  2/ 5:	25.0292	17.2806	20.4872	20.2858	79.0234
Length  256, alignments in bytes  5/ 5:	24.3392	14.4529	17.6792	18.5685	59.9507
Length  256, alignments in bytes  5/ 5:	27.604	14.4872	17.683	18.5737	56.778
Length  512, alignments in bytes  6/ 4:	32.043	24.2267	22.9598	27.5701	106.068
Length  512, alignments in bytes  4/ 6:	32.2159	27.7631	26.8196	27.6394	143.071
Length  512, alignments in bytes  6/ 6:	30.5406	19.7533	21.9821	27.5876	106.038
Length  512, alignments in bytes  6/ 6:	30.5623	19.7418	24.1111	28.1869	106.626
Length 1024, alignments in bytes  7/ 6:	48.6567	39.2629	35.7805	46.5574	242.398
Length 1024, alignments in bytes  6/ 7:	63.4159	39.509	36.0381	49.2494	306.203
Length 1024, alignments in bytes  7/ 7:	57.8053	27.7805	28.9872	47.6777	232.777
Length 1024, alignments in bytes  7/ 7:	57.3619	27.7844	28.9911	47.6793	232.065
Length   16, alignments in bytes  0/ 4:	13.0088	9.13818	8.36804	5.66028	9.05139
Length   16, alignments in bytes  4/ 0:	10.4681	8.56018	8.40735	5.7207	15.1687
Length   16, alignments in bytes  4/ 4:	10.0529	8.56311	8.41125	5.36328	14.7997
Length   16, alignments in bytes  2/ 2:	10.1355	8.6405	8.42004	5.35779	14.813
Length   16, alignments in bytes  2/ 6:	10.1444	8.5387	8.39941	5.6604	17.9406
Length   16, alignments in bytes  6/ 2:	10.2389	8.57605	8.40857	5.72046	15.0781
Length   16, alignments in bytes  1/ 7:	10.1086	8.58899	8.40076	5.66382	18.5359
Length   16, alignments in bytes  7/ 1:	10.2052	8.57153	8.39697	5.72168	13.3992
Length   16, alignments in bytes  3/ 4:	10.5563	8.54187	8.39258	5.65283	15.2012
Length   16, alignments in bytes  4/ 3:	10.1515	8.57715	8.4126	5.7262	14.2722
Length   16, alignments in bytes  5/ 7:	10.2136	8.54553	8.39331	5.64941	14.6995
Length   16, alignments in bytes  7/ 5:	10.1071	8.5918	8.40393	5.71204	13.5088
Length   20, alignments in bytes  0/ 4:	10.1824	8.59399	8.37183	7.77185	11.2107
Length   20, alignments in bytes  4/ 0:	10.415	8.56775	8.41064	6.19617	13.7407
Length   20, alignments in bytes  4/ 4:	10.0696	8.54407	8.71387	7.5968	13.7295
Length   20, alignments in bytes  2/ 2:	10.1302	8.52795	8.40393	7.09106	20.0894
Length   20, alignments in bytes  2/ 6:	10.2473	8.59229	8.92432	8.11975	20.0421
Length   20, alignments in bytes  6/ 2:	10.0554	8.54126	8.39905	6.19714	13.2036
Length   20, alignments in bytes  1/ 7:	10.2661	8.59119	8.42322	7.7522	20.3624
Length   20, alignments in bytes  7/ 1:	10.1079	8.625	8.40466	7.2489	12.9558
Length   20, alignments in bytes  3/ 4:	10.0431	8.54077	8.39258	8.20923	18.0883
Length   20, alignments in bytes  4/ 3:	10.0936	8.55042	8.38489	7.4436	13.637
Length   20, alignments in bytes  5/ 7:	10.1696	8.56311	8.40295	8.21118	14.6511
Length   20, alignments in bytes  7/ 5:	10.1057	8.59729	8.41016	7.45886	12.5602
Length   24, alignments in bytes  0/ 4:	10.0688	8.62268	8.37097	8.21484	10.8389
Length   24, alignments in bytes  4/ 0:	10.2318	8.60645	8.40479	7.46826	16.2643
Length   24, alignments in bytes  4/ 4:	10.093	10.5248	9.29773	7.60767	15.3784
Length   24, alignments in bytes  2/ 2:	10.0924	8.56702	8.40039	7.0752	15.5126
Length   24, alignments in bytes  2/ 6:	10.5055	8.56873	8.41309	8.21216	19.3102
Length   24, alignments in bytes  6/ 2:	10.2096	8.54431	8.40674	7.44458	16.0861
Length   24, alignments in bytes  1/ 7:	10.1423	8.58252	8.40369	8.20715	19.9003
Length   24, alignments in bytes  7/ 1:	10.1715	8.56714	8.41162	7.45605	14.5887
