                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	24.377	22.0767	22.8316	20.3646	13.286
Length    0/   0, alignment  0/ 0:	22.3862	21.0725	21.9849	19.896	12.9822
Length    0/   0, alignment  0/ 0:	22.565	21.0729	22.1982	19.8745	12.9806
Length    0/   0, alignment  0/ 0:	22.3498	21.0728	22.1761	19.8742	12.9769
Length    1/   1, alignment  0/ 0:	22.3854	21.0922	21.8381	19.9079	14.0488
Length    1/   1, alignment  0/ 0:	22.8168	29.0096	22.594	20.2331	14.4801
Length    1/   1, alignment  0/ 1:	22.5269	21.073	21.711	19.9729	6.71487
Length    1/   1, alignment  1/ 0:	22.3846	21.0724	21.8256	19.9374	14.0493
Length    2/   2, alignment  0/ 0:	22.7188	21.7114	22.619	20.7114	14.7819
Length    2/   2, alignment  0/ 0:	22.5895	21.7544	22.6169	20.571	14.739
Length    2/   2, alignment  0/ 2:	22.6904	21.7931	22.3499	20.5547	8.94109
Length    2/   2, alignment  2/ 0:	22.6064	21.7117	22.3496	20.5658	14.7966
Length    3/   3, alignment  0/ 0:	22.6533	21.0731	21.7113	20.0819	14.9796
Length    3/   3, alignment  0/ 0:	22.5478	21.0727	21.7116	19.9188	14.8666
Length    3/   3, alignment  0/ 3:	22.5455	21.0726	22.0034	19.8859	11.1354
Length    3/   3, alignment  3/ 0:	22.3493	21.2423	21.9084	19.882	16.6635
Length    4/   4, alignment  0/ 0:	22.522	22.0012	22.5784	20.5457	16.7529
Length    4/   4, alignment  0/ 0:	22.9576	21.746	22.5779	20.5404	17.0012
Length    4/   4, alignment  0/ 4:	22.5195	21.7143	22.5782	20.8071	14.0503
Length    4/   4, alignment  4/ 0:	22.6476	21.7403	22.5973	20.5641	18.0816
Length    5/   5, alignment  0/ 0:	23.0124	21.7791	22.5777	20.5508	17.6176
Length    5/   5, alignment  0/ 0:	22.7634	21.7529	22.578	20.5905	17.731
Length    5/   5, alignment  0/ 5:	23.3631	21.7137	22.5781	20.6159	15.3302
Length    5/   5, alignment  5/ 0:	22.6202	21.7344	22.5958	20.6042	18.1618
Length    6/   6, alignment  0/ 0:	22.5981	21.7638	22.5779	20.5419	18.2145
Length    6/   6, alignment  0/ 0:	22.631	21.7662	22.5781	20.5298	18.2553
Length    6/   6, alignment  0/ 6:	22.9346	21.7115	22.5782	20.5289	17.4082
Length    6/   6, alignment  6/ 0:	22.5036	21.7409	22.5782	20.6018	18.7915
Length    7/   7, alignment  0/ 0:	22.8468	21.7472	22.5972	19.8987	17.7983
Length    7/   7, alignment  0/ 0:	22.5505	21.765	22.578	19.9065	17.7682
Length    7/   7, alignment  0/ 7:	22.7207	21.7113	22.5781	19.869	18.0714
Length    7/   7, alignment  7/ 0:	22.5801	21.7138	22.5781	19.9238	18.7278
Length    8/   8, alignment  0/ 0:	22.6154	21.7112	22.4444	20.5189	15.3268
Length    8/   8, alignment  0/ 0:	22.6611	21.7421	22.5325	20.518	15.3265
Length    8/   8, alignment  0/ 0:	22.6461	21.9187	22.6515	20.5146	15.3259
Length    8/   8, alignment  0/ 0:	23.0523	21.711	22.4417	20.5202	15.3481
Length    9/   9, alignment  0/ 0:	22.6415	21.7113	22.5327	20.5886	15.3282
Length    9/   9, alignment  0/ 0:	22.6714	21.7709	22.6528	20.5715	15.3279
Length    9/   9, alignment  0/ 1:	22.645	21.7724	22.3719	20.5827	15.9668
Length    9/   9, alignment  1/ 0:	22.6832	21.711	22.5348	20.5748	21.3169
Length   10/  10, alignment  0/ 0:	22.7359	21.771	22.627	20.5519	16.0413
Length   10/  10, alignment  0/ 0:	22.7022	21.951	22.822	20.5737	16.0583
Length   10/  10, alignment  0/ 2:	22.7567	21.7508	22.5188	20.5531	16.6277
Length   10/  10, alignment  2/ 0:	34.3634	21.9262	22.4413	20.7538	21.216
Length   11/  11, alignment  0/ 0:	22.6403	21.7116	22.5874	20.5962	16.6325
Length   11/  11, alignment  0/ 0:	22.681	21.7117	22.4343	20.4873	16.6385
Length   11/  11, alignment  0/ 3:	22.6584	21.7297	22.3707	20.5419	17.3565
Length   11/  11, alignment  3/ 0:	22.7701	21.7113	22.4884	20.5509	20.9327
Length   12/  12, alignment  0/ 0:	22.7071	21.7117	22.0738	20.401	17.0058
Length   12/  12, alignment  0/ 0:	22.0945	21.2291	21.9643	20.0384	17.0143
Length   12/  12, alignment  0/ 4:	22.2178	21.2286	22.4244	20.0377	16.2351
Length   12/  12, alignment  4/ 0:	22.1831	21.2687	21.9082	20.1125	18.216
Length   13/  13, alignment  0/ 0:	22.5921	21.4825	21.9079	20.0919	17.7436
Length   13/  13, alignment  0/ 0:	22.1862	21.2287	22.0868	20.113	17.7268
Length   13/  13, alignment  0/ 5:	22.4031	21.2288	21.929	20.0346	16.8605
Length   13/  13, alignment  5/ 0:	22.1855	21.3893	22.2253	20.1137	18.6604
Length   14/  14, alignment  0/ 0:	22.243	21.2533	22.3781	20.5421	18.8487
Length   14/  14, alignment  0/ 0:	22.168	21.7117	22.2655	20.0861	18.4353
Length   14/  14, alignment  0/ 6:	22.684	21.6336	22.1059	20.0677	17.5407
Length   14/  14, alignment  6/ 0:	22.1062	21.229	21.9848	20.4857	19.3699
Length   15/  15, alignment  0/ 0:	22.6375	21.729	22.6517	19.9246	18.567
Length   15/  15, alignment  0/ 0:	22.4661	21.6945	22.1718	19.4378	18.1856
Length   15/  15, alignment  0/ 7:	22.4528	21.7111	22.3532	19.8985	18.5578
Length   15/  15, alignment  7/ 0:	22.3064	21.7111	22.2023	19.4454	18.7195
Length   16/  16, alignment  0/ 0:	22.2961	21.8149	22.4129	21.4449	15.806
Length   16/  16, alignment  7/ 2:	22.1771	21.3133	21.9516	21.1184	19.8777
Length   16/   4, alignment  0/ 0:	22.5888	21.7908	22.4188	20.5796	17.0607
Length   16/   4, alignment  7/ 2:	22.1911	21.3681	22.3697	20.5409	17.1721
Length   32/  32, alignment  0/ 0:	23.6261	23.4082	23.8829	22.4738	17.524
Length   32/  32, alignment  6/ 4:	27.665	25.6464	26.2952	25.6986	25.3712
Length   32/   8, alignment  0/ 0:	23.0204	22.4567	23.0549	21.879	17.2439
Length   32/   8, alignment  6/ 4:	23.3428	22.4898	22.9886	22.5861	21.967
Length   64/  64, alignment  0/ 0:	24.6581	24.8021	25.2149	23.991	24.7481
Length   64/  64, alignment  5/ 6:	29.3004	28.8768	28.9462	27.5748	34.1278
Length   64/  16, alignment  0/ 0:	27.8571	28.0974	26.6687	24.0327	21.3189
Length   64/  16, alignment  5/ 6:	28.2382	27.8205	28.3104	26.6543	31.6783
Length  128/ 128, alignment  0/ 0:	25.8949	25.4543	26.6279	28.4265	44.6718
Length  128/ 128, alignment  4/ 0:	29.3465	28.4002	29.8449	30.9305	51.8267
Length  128/  32, alignment  0/ 0:	27.0687	26.4871	26.7445	27.883	38.5147
Length  128/  32, alignment  4/ 0:	31.546	30.8789	31.7453	30.7987	52.203
Length  256/ 256, alignment  0/ 0:	34.8542	30.4416	30.5883	31.7573	90.7598
Length  256/ 256, alignment  3/ 2:	40.1111	35.425	36.9972	36.876	103.404
Length  256/  64, alignment  0/ 0:	30.9162	30.0768	30.5671	31.8219	69.6227
Length  256/  64, alignment  3/ 2:	35.4765	35.6301	36.3067	36.1925	85.0837
Length  512/ 512, alignment  0/ 0:	46.3635	32.7368	34.0107	48.3899	182.604
Length  512/ 512, alignment  2/ 4:	49.838	43.9326	44.3802	51.5449	194.761
Length  512/ 128, alignment  0/ 0:	33.666	32.9335	33.8962	40.5283	121.873
Length  512/ 128, alignment  2/ 4:	44.622	43.8559	44.4792	52.9218	133.427
Length 1024/1024, alignment  0/ 0:	53.2984	50.6217	55.9044	80.3794	400.893
Length 1024/1024, alignment  1/ 6:	60.2906	59.5243	59.8444	82.9901	413.756
Length 1024/ 256, alignment  0/ 0:	48.4883	41.1608	43.7334	71.3076	263.068
Length 1024/ 256, alignment  1/ 6:	65.5533	61.5277	62.5618	79.3357	274.31
Length   16/   1, alignment  1/ 2:	23.2281	22.2476	22.9685	20.7616	19.4783
Length   16/   1, alignment  2/ 1:	22.8616	22.298	22.7399	20.5829	15.3337
Length   16/  10, alignment  1/ 1:	22.5176	21.7975	22.4739	20.5672	27.7794
Length   16/  10, alignment  1/ 1:	22.691	21.8154	22.4518	20.5679	28.1125
Length   32/   1, alignment  2/ 4:	22.9809	22.35	22.9889	21.9393	23.7532
Length   32/   1, alignment  4/ 2:	23.4715	22.3499	23.2465	21.8321	18.8698
Length   32/  10, alignment  2/ 2:	22.6735	22.2455	22.9887	21.999	30.8336
Length   32/  10, alignment  2/ 2:	23.0094	22.3504	22.9882	22.1302	30.7685
Length   64/   1, alignment  3/ 6:	27.2392	25.648	26.6149	24.99	28.3125
Length   64/   1, alignment  6/ 3:	26.8787	26.3639	26.9255	25.0262	20.3089
Length   64/  10, alignment  3/ 3:	27.9347	25.6397	27.0813	25.2044	37.5191
Length   64/  10, alignment  3/ 3:	28.3448	26.2157	27.2312	25.3394	37.4892
Length  128/   1, alignment  4/ 0:	30.6926	30.4808	31.1044	30.4397	34.442
Length  128/   1, alignment  0/ 4:	28.4397	28.1899	28.5252	28.0898	36.0686
Length  128/  10, alignment  4/ 4:	30.5254	30.6107	30.5348	29.8789	54.3734
Length  128/  10, alignment  4/ 4:	30.8035	30.6353	30.7639	29.8176	54.52
Length  256/   1, alignment  5/ 2:	32.2267	32.0937	33.1469	34.4202	58.2214
Length  256/   1, alignment  2/ 5:	35.8756	34.387	34.9546	37.1497	79.8302
Length  256/  10, alignment  5/ 5:	35.1826	34.2175	34.9067	35.6205	91.7963
Length  256/  10, alignment  5/ 5:	35.0381	34.151	34.8734	35.1763	91.3321
Length  512/   1, alignment  6/ 4:	41.7979	40.4222	40.9502	46.9422	106.579
Length  512/   1, alignment  4/ 6:	44.112	43.3387	43.6489	52.0953	142.191
Length  512/  10, alignment  6/ 6:	43.4078	42.397	43.3913	52.5659	165.858
Length  512/  10, alignment  6/ 6:	41.8461	42.3515	54.2105	52.461	164.825
Length 1024/   1, alignment  7/ 6:	40.1264	39.3034	40.6062	56.5618	231.302
Length 1024/   1, alignment  6/ 7:	61.8643	62.2624	61.7844	70.8146	289.864
Length 1024/  10, alignment  7/ 7:	60.8153	61.1223	61.7682	64.7102	347.264
Length 1024/  10, alignment  7/ 7:	60.5551	61.2806	61.8777	65.4497	349.25
