                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	24.8423	23.4152	24.0403	21.6137	24.8446
Length    4/   4, alignment  0/ 0, N    2:	24.6932	23.1902	22.8695	21.5313	24.8155
Length    4/   4, alignment  4/ 0, N    2:	24.639	22.2167	23.0886	21.0834	24.8073
Length    8/   8, alignment  0/ 0, N    2:	24.2744	22.3517	22.6684	20.5946	23.9178
Length    8/   8, alignment  0/ 0, N    2:	23.7261	22.3491	22.5638	21.1904	24.6679
Length   16/  16, alignment  0/ 0, N    2:	23.8427	22.3498	22.9444	21.1309	23.8527
Length   16/  16, alignment  7/ 2, N    2:	24.171	22.3516	22.9447	22.5479	23.8547
Length   16/   4, alignment  0/ 0, N    2:	24.0251	22.3713	23.1033	21.1611	23.8564
Length   16/   4, alignment  7/ 2, N    2:	23.6375	22.3495	22.3498	20.4356	24.2001
Length   32/  32, alignment  0/ 0, N    2:	24.1775	21.8549	22.4808	20.6443	24.3387
Length   32/  32, alignment  6/ 4, N    2:	24.3769	22.4768	22.9905	22.1953	24.3553
Length   32/   8, alignment  0/ 0, N    2:	23.8555	21.8195	22.3521	20.4635	23.7805
Length   32/   8, alignment  6/ 4, N    2:	23.9731	22.0313	22.3524	20.4943	24.0267
Length   64/  64, alignment  0/ 0, N    2:	24.3373	22.4954	22.9924	21.4052	24.4062
Length   64/  64, alignment  5/ 6, N    2:	24.4563	22.4785	22.99	21.3056	24.4164
Length   64/  16, alignment  0/ 0, N    2:	23.9888	21.8192	22.3536	21.1116	23.9947
Length   64/  16, alignment  5/ 6, N    2:	23.8491	21.8196	22.3498	22.7083	24.0703
Length  128/ 128, alignment  0/ 0, N    2:	24.5935	22.403	23.4498	21.0809	24.3247
Length  128/ 128, alignment  4/ 0, N    2:	24.6911	22.4025	23.3701	21.0849	24.734
Length  128/  32, alignment  0/ 0, N    2:	24.4748	23.2266	22.9911	22.3464	24.4784
