                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length  128, alignments in bytes  0/ 0:	17.035	9.67188	10.5731	14.4207	26.1229
Length  128, alignments in bytes  4/ 0:	19.1924	10.6023	12.0616	15.1152	33.1692
Length  256, alignments in bytes  0/ 0:	23.3154	14.5563	17.0826	18.427	51.9761
Length  256, alignments in bytes  3/ 2:	24.9789	15.2698	18.3173	19.9779	59.3652
Length  512, alignments in bytes  0/ 0:	32.1639	19.2986	21.7037	27.9067	103.688
Length  512, alignments in bytes  2/ 4:	36.1934	22.4956	24.2141	29.4911	148.089
Length 1024, alignments in bytes  0/ 0:	54.3606	28.3027	28.8278	47.5876	226.014
Length 1024, alignments in bytes  1/ 6:	68.8607	39.7714	35.9241	52.2587	309.937
Length   16, alignments in bytes  1/ 2:	14.1113	8.7561	8.62378	6.18359	17.6431
Length   16, alignments in bytes  2/ 1:	10.9703	8.7262	8.61475	6.17273	15.6436
Length   16, alignments in bytes  1/ 1:	10.9706	8.72314	8.62109	6.17542	20.1448
Length   16, alignments in bytes  1/ 1:	10.9785	8.74133	8.61328	6.17053	15.1161
Length   32, alignments in bytes  2/ 4:	12.3533	8.2655	8.375	10.3458	21.5835
Length   32, alignments in bytes  4/ 2:	12.3387	6.86902	8.22717	11.3689	16.9604
Length   32, alignments in bytes  2/ 2:	12.3417	6.86133	8.28088	9.91687	16.6208
Length   32, alignments in bytes  2/ 2:	12.3448	6.85522	6.98438	9.92896	17.1589
Length   64, alignments in bytes  3/ 6:	15.4897	9.89954	9.98511	11.0912	28.608
Length   64, alignments in bytes  6/ 3:	15.4486	11.5743	11.6725	12.6934	20.251
Length   64, alignments in bytes  3/ 3:	15.1708	8.6178	9.08594	9.79529	21.5288
Length   64, alignments in bytes  3/ 3:	15.177	8.61536	9.08093	9.84229	21.5435
Length  128, alignments in bytes  4/ 0:	19.1539	10.6187	12.1738	15.2311	33.7655
Length  128, alignments in bytes  0/ 4:	20.782	11.177	12.8679	14.5742	35.3955
Length  128, alignments in bytes  4/ 4:	20.4452	14.392	13.0649	14.8177	33.7233
Length  128, alignments in bytes  4/ 4:	20.4479	14.3496	13.1385	14.7903	33.7076
Length  256, alignments in bytes  5/ 2:	24.9017	15.7631	19.8903	20.9144	58.4291
Length  256, alignments in bytes  2/ 5:	26.0581	17.7046	21.1636	20.9352	81.0022
Length  256, alignments in bytes  5/ 5:	25.1638	15.4172	18.1559	18.8976	58.7427
Length  256, alignments in bytes  5/ 5:	25.1086	15.2078	18.1936	18.8721	58.4484
Length  512, alignments in bytes  6/ 4:	37.1168	24.6764	23.7269	28.1473	135.122
Length  512, alignments in bytes  4/ 6:	36.1257	28.7926	27.3136	30.1827	146.953
Length  512, alignments in bytes  6/ 6:	34.1593	20.781	22.8612	28.1755	141.877
Length  512, alignments in bytes  6/ 6:	34.1825	20.7966	22.7817	29.489	134.85
Length 1024, alignments in bytes  7/ 6:	52.3146	40.1885	36.6012	48.1907	232.437
Length 1024, alignments in bytes  6/ 7:	67.387	39.8137	35.7844	52.1145	304.445
Length 1024, alignments in bytes  7/ 7:	58.1198	28.2092	28.8966	47.8585	230.792
Length 1024, alignments in bytes  7/ 7:	59.3269	28.1045	28.9614	51.416	420.946
Length   16, alignments in bytes  0/ 4:	14.5541	8.82202	8.60693	6.17761	9.38391
Length   16, alignments in bytes  4/ 0:	10.9745	8.75403	8.60986	6.18311	15.3759
Length   16, alignments in bytes  4/ 4:	10.9742	8.7251	8.61523	6.18164	15.1268
Length   16, alignments in bytes  2/ 2:	10.9703	8.73938	8.61536	6.17444	15.1646
Length   16, alignments in bytes  2/ 6:	10.9708	8.72375	8.63416	6.16895	18.3705
Length   16, alignments in bytes  6/ 2:	10.9717	8.7406	8.62561	6.17468	14.9921
Length   16, alignments in bytes  1/ 7:	10.9706	8.73218	8.62317	6.16895	18.9918
Length   16, alignments in bytes  7/ 1:	10.9711	8.72632	8.62695	6.17615	13.5031
Length   16, alignments in bytes  3/ 4:	10.9698	8.72998	8.62195	6.16846	15.4628
Length   16, alignments in bytes  4/ 3:	10.9708	8.72864	8.61731	6.16943	14.5289
Length   16, alignments in bytes  5/ 7:	10.9718	8.72192	8.62805	6.17847	15.0658
Length   16, alignments in bytes  7/ 5:	11.2596	8.54529	8.41235	6.03357	13.5667
Length   20, alignments in bytes  0/ 4:	10.7104	8.53345	8.39478	7.77747	11.2148
Length   20, alignments in bytes  4/ 0:	10.7107	8.50366	8.41101	6.04248	13.6199
Length   20, alignments in bytes  4/ 4:	10.7097	8.52698	8.41772	7.08533	12.9929
Length   20, alignments in bytes  2/ 2:	10.7097	8.53564	8.40686	7.08313	19.4213
Length   20, alignments in bytes  2/ 6:	10.7091	8.55371	9.80688	7.94897	20.1565
Length   20, alignments in bytes  6/ 2:	11.3754	8.50476	8.40637	6.2002	13.0598
Length   20, alignments in bytes  1/ 7:	10.7155	8.51038	8.42334	7.77539	21.5067
Length   20, alignments in bytes  7/ 1:	10.7107	8.51294	8.40393	7.2561	12.8353
Length   20, alignments in bytes  3/ 4:	10.71	8.52222	8.40967	8.21313	17.3856
Length   20, alignments in bytes  4/ 3:	10.71	8.52075	8.396	7.45044	13.5131
Length   20, alignments in bytes  5/ 7:	10.7097	8.51807	8.41211	8.21655	14.6764
Length   20, alignments in bytes  7/ 5:	10.7102	8.53613	8.41467	7.46155	12.4708
Length   24, alignments in bytes  0/ 4:	10.7091	8.52625	8.39746	8.22327	10.865
Length   24, alignments in bytes  4/ 0:	10.7129	8.51184	8.40125	7.47131	16.134
Length   24, alignments in bytes  4/ 4:	10.7098	8.54773	8.41724	7.0636	15.3534
Length   24, alignments in bytes  2/ 2:	10.7102	8.50793	8.41187	7.08923	15.4843
Length   24, alignments in bytes  2/ 6:	10.7107	8.54248	8.41577	8.2146	19.3235
Length   24, alignments in bytes  6/ 2:	10.7112	8.51318	8.4176	7.45813	15.7836
Length   24, alignments in bytes  1/ 7:	10.7104	8.51807	8.4071	8.21399	19.981
Length   24, alignments in bytes  7/ 1:	10.7097	8.51599	8.42615	7.44824	14.4211
Length   24, alignments in bytes  3/ 4:	10.7098	8.51685	8.4032	8.20691	16.7595
Length   24, alignments in bytes  4/ 3:	10.7096	8.50842	8.41736	7.4541	15.124
Length   24, alignments in bytes  5/ 7:	10.7095	8.53638	8.41162	8.20837	16.0485
Length   24, alignments in bytes  7/ 5:	10.7095	8.52917	8.40747	7.4574	14.562
Length   28, alignments in bytes  0/ 4:	10.7213	8.85571	8.31763	8.80737	12.9226
Length   28, alignments in bytes  4/ 0:	10.9703	8.20984	8.2937	8.37317	15.4587
Length   28, alignments in bytes  4/ 4:	10.9718	8.71704	8.61462	7.88538	14.5427
Length   28, alignments in bytes  2/ 2:	10.9733	8.724	8.61951	7.88831	19.8971
Length   28, alignments in bytes  2/ 6:	10.9718	8.46936	8.5354	8.83032	22.1542
Length   28, alignments in bytes  6/ 2:	10.9706	8.26184	8.26184	8.37012	14.7301
Length   28, alignments in bytes  1/ 7:	10.9706	8.45972	8.52234	8.79822	22.9485
Length   28, alignments in bytes  7/ 1:	10.709	8.08142	8.07349	8.72998	13.8489
Length   28, alignments in bytes  3/ 4:	10.7096	9.06873	9.43542	8.69604	21.4204
Length   28, alignments in bytes  4/ 3:	10.71	8.51514	8.41882	8.02002	14.9408
Length   28, alignments in bytes  5/ 7:	10.7095	8.55713	8.41333	8.69629	16.0763
Length   28, alignments in bytes  7/ 5:	10.7157	8.52002	8.41687	8.0603	14.0059
Length   32, alignments in bytes  0/ 4:	12.0469	6.80688	8.04858	8.06848	12.4282
Length   32, alignments in bytes  4/ 0:	12.0497	6.69519	8.04053	9.49207	16.7872
Length   32, alignments in bytes  4/ 4:	12.0479	6.70117	8.03467	9.46912	15.801
Length   32, alignments in bytes  2/ 2:	12.045	6.70312	6.80017	9.67151	16.7505
Length   32, alignments in bytes  2/ 6:	12.0459	8.05811	8.17725	10.1105	21.2865
Length   32, alignments in bytes  6/ 2:	12.0458	6.69775	6.69617	9.89282	16.6073
Length   32, alignments in bytes  1/ 7:	12.0457	8.0542	8.17847	8.92517	21.6093
