                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.0026	7.18774	7.86785	6.68676	11.0944
Length   16, n   16, alignment  1/ 1:	12.3654	7.50824	8.22359	6.8691	11.3019
Length   16, n   16, alignment  1/ 2:	15.3456	7.57771	8.40382	6.92729	11.2611
Length   16, n   16, alignment  2/ 1:	12.8039	7.74301	8.36309	6.8529	11.3669
Length    2, n    4, alignment  7/ 2:	13.8081	11.9987	11.062	11.0333	13.2839
Length    4, n    2, alignment  2/ 7:	11.9627	8.26283	8.23643	6.85299	11.3361
Length    2, n    4, alignment  7/ 2:	13.4635	11.9707	11.017	10.9706	14.5895
Length    4, n    2, alignment  2/ 7:	12.008	8.24042	8.22931	6.85303	12.2503
Length   16, n   16, alignment  2/ 2:	12.6857	7.74988	8.41491	6.85299	11.2773
Length   16, n   16, alignment  2/ 2:	12.827	7.73879	8.31643	7.01623	11.3304
Length   16, n   16, alignment  2/ 4:	12.9629	7.73941	8.22349	6.85865	11.5037
Length   16, n   16, alignment  4/ 2:	12.9161	7.72676	8.34908	6.8529	11.5119
Length    4, n    8, alignment  6/ 4:	14.5011	12.1805	11.9425	10.9745	14.0708
Length    8, n    4, alignment  4/ 6:	12.6713	7.55584	8.26708	6.85303	11.3863
Length    4, n    8, alignment  6/ 4:	14.6796	12.2276	12.0948	10.97	14.2413
Length    8, n    4, alignment  4/ 6:	12.5555	7.58242	8.22371	6.85303	11.4793
Length   16, n   16, alignment  3/ 3:	12.983	7.77068	8.22352	6.853	11.3947
Length   16, n   16, alignment  3/ 3:	12.9744	7.749	8.44616	6.90867	11.2324
Length   16, n   16, alignment  3/ 6:	12.8574	7.72663	8.34671	6.8529	11.2144
Length   16, n   16, alignment  6/ 3:	12.8119	7.72671	8.43503	9.86448	11.2696
Length    8, n   16, alignment  5/ 6:	13.9301	11.2347	11.1054	10.9921	14.291
Length   16, n    8, alignment  6/ 5:	12.6608	8.44771	9.11067	6.8531	11.1292
Length    8, n   16, alignment  5/ 6:	14.3373	11.2769	11.0501	10.9647	14.084
Length   16, n    8, alignment  6/ 5:	12.7292	8.4249	8.90898	6.85304	11.2625
Length   16, n   16, alignment  4/ 4:	12.7574	7.76409	8.33982	6.85856	11.1846
Length   16, n   16, alignment  4/ 4:	12.7112	7.74429	8.43418	7.02429	11.3529
Length   16, n   16, alignment  4/ 0:	12.57	7.74885	8.45122	7.02423	11.4103
Length   16, n   16, alignment  0/ 4:	12.939	7.75142	8.36976	6.8529	11.2989
Length   16, n   32, alignment  4/ 0:	15.0244	10.7988	11.9466	11.6898	14.5348
Length   32, n   16, alignment  0/ 4:	12.6629	7.02203	6.97261	6.87264	11.448
Length   16, n   32, alignment  4/ 0:	14.6151	10.8404	11.9849	11.6626	14.3071
Length   32, n   16, alignment  0/ 4:	12.8154	7.07229	7.04163	7.02421	11.3953
Length   16, n   16, alignment  5/ 5:	12.8845	7.60266	8.3226	7.00974	11.2822
Length   16, n   16, alignment  5/ 5:	12.8406	7.74425	8.43433	7.02421	11.1689
Length   16, n   16, alignment  5/ 2:	12.8924	7.74394	8.43642	7.02423	11.3533
Length   16, n   16, alignment  2/ 5:	12.7433	7.73264	8.42912	7.02424	11.2518
Length   32, n   64, alignment  3/ 2:	18.7805	9.86937	11.9466	13.5991	17.8696
Length   64, n   32, alignment  2/ 3:	11.4385	7.72688	7.74401	7.75622	11.5331
Length   32, n   64, alignment  3/ 2:	17.7462	10.0954	10.5542	13.8798	18.0943
Length   64, n   32, alignment  2/ 3:	11.586	7.73251	7.67739	7.53835	11.2171
Length   16, n   16, alignment  6/ 6:	12.96	7.7492	8.42914	7.02946	11.4963
Length   16, n   16, alignment  6/ 6:	12.9656	7.72669	8.30602	6.85779	11.2554
Length   16, n   16, alignment  6/ 4:	12.8316	7.72678	8.29925	6.87274	11.4046
Length   16, n   16, alignment  4/ 6:	12.7585	7.7268	8.43414	7.02422	11.2195
Length   64, n  128, alignment  2/ 4:	16.3067	14.9788	14.15	16.6897	16.2907
Length  128, n   64, alignment  4/ 2:	15.5037	10.401	10.5501	11.9929	13.7645
Length   64, n  128, alignment  2/ 4:	16.2751	15.0402	14.0613	16.6897	16.3131
Length  128, n   64, alignment  4/ 2:	14.5225	10.5505	10.5422	12.2156	14.1821
Length   16, n   16, alignment  7/ 7:	12.8893	7.75645	8.44613	7.03123	11.68
Length   16, n   16, alignment  7/ 7:	12.9894	7.72672	8.42913	6.86537	11.3376
Length   16, n   16, alignment  7/ 6:	13.0134	7.60114	8.34068	6.85289	11.3423
Length   16, n   16, alignment  6/ 7:	13.0844	7.61462	8.45137	7.02422	11.2879
Length  128, n  256, alignment  1/ 6:	21.271	18.3827	17.3274	25.1373	21.2929
Length  256, n  128, alignment  6/ 1:	17.4215	13.9533	13.0303	19.8076	17.2258
Length  128, n  256, alignment  1/ 6:	21.0306	18.778	17.5303	25.2688	21.9016
Length  256, n  128, alignment  6/ 1:	16.612	13.926	13.0494	19.7486	17.4893
Length    8, n   16, alignment  0/ 0:	14.7631	11.4565	11.2453	11.2391	14.4183
Length   32, n   16, alignment  0/ 0:	12.4758	6.85341	6.85306	6.85788	11.4732
Length    8, n   16, alignment  7/ 2:	14.7639	11.6872	11.5423	10.9647	14.2872
Length   32, n   16, alignment  7/ 2:	12.5676	7.74353	7.7269	6.92155	11.2216
Length   16, n   32, alignment  0/ 0:	14.4956	9.99992	11.9468	11.8007	13.8347
Length   64, n   32, alignment  0/ 0:	11.1288	7.68628	7.74369	7.73214	11.408
Length   16, n   32, alignment  6/ 4:	14.5894	10.8251	11.9667	11.8226	14.3475
Length   64, n   32, alignment  6/ 4:	11.5277	7.7657	7.74376	7.73378	11.584
Length   32, n   64, alignment  0/ 0:	16.3114	10.5594	11.9285	13.0039	15.5439
Length  128, n   64, alignment  0/ 0:	14.3999	7.73153	7.72689	9.83894	12.3715
Length   32, n   64, alignment  5/ 6:	18.1924	11.8379	12.0046	14.5164	16.1479
Length  128, n   64, alignment  5/ 6:	14.6117	10.5581	10.5369	12.8984	14.0859
Length   64, n  128, alignment  0/ 0:	16.1023	13.8577	12.6755	15.342	16.9921
Length  256, n  128, alignment  0/ 0:	16.1879	11.0643	10.4051	14.4269	15.3178
Length   64, n  128, alignment  4/ 0:	16.8779	14.45	13.3263	16.4305	17.1101
Length  256, n  128, alignment  4/ 0:	16.3779	13.4513	12.7085	18.6302	15.7081
Length  128, n  256, alignment  0/ 0:	19.1897	16.7326	15.9571	23.5537	20.7948
Length  512, n  256, alignment  0/ 0:	19.2931	17.3779	15.1434	18.9891	18.8743
Length  128, n  256, alignment  3/ 2:	21.5917	17.9391	16.8499	24.0198	21.7808
Length  512, n  256, alignment  3/ 2:	24.2267	21.1404	20.6525	23.5133	24.7884
Length  256, n  512, alignment  0/ 0:	27.5683	24.4686	23.5358	29.7283	28.0162
Length 1024, n  512, alignment  0/ 0:	29.6495	19.6966	19.7825	30.5589	30.0506
Length  256, n  512, alignment  2/ 4:	30.6747	27.3459	26.2138	31.3615	30.2575
Length 1024, n  512, alignment  2/ 4:	32.6731	26.1562	26.9657	34.8524	33.3772
Length  512, n 1024, alignment  0/ 0:	44.4934	30.6066	29.885	44.5858	43.6611
Length 2048, n 1024, alignment  0/ 0:	47.9739	28.4128	29.5754	52.6814	49.5122
Length  512, n 1024, alignment  1/ 6:	51.0635	33.198	29.8093	45.97	50.6525
Length 2048, n 1024, alignment  1/ 6:	54.9215	41.3109	36.6851	56.5277	55.2152
