                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2543	5.80933	6.3396	5.62781	5.63574
Length    0, alignments in bytes  0/ 0:	11.2488	5.70581	6.3313	5.64001	5.63098
Length    0, alignments in bytes  0/ 0:	11.249	5.79504	6.33557	5.62097	5.63501
Length    0, alignments in bytes  0/ 0:	11.2455	6.33167	6.32349	5.63574	5.61963
Length    1, alignments in bytes  0/ 0:	11.0491	6.33215	7.03979	5.62122	5.65381
Length    1, alignments in bytes  0/ 0:	11.0033	6.34326	7.03137	5.63708	5.63501
Length    1, alignments in bytes  0/ 1:	10.9233	6.33142	7.04016	5.62463	5.63257
Length    1, alignments in bytes  1/ 0:	10.5432	6.33435	7.02563	5.63281	5.20483
Length    2, alignments in bytes  0/ 0:	10.5443	7.03479	7.04773	6.77771	7.03333
Length    2, alignments in bytes  0/ 0:	10.5842	7.04504	7.04077	6.73804	7.04431
Length    2, alignments in bytes  0/ 2:	10.5471	7.03735	7.03088	6.77356	7.04028
Length    2, alignments in bytes  2/ 0:	10.5555	7.03088	7.02844	5.63342	6.33777
Length    3, alignments in bytes  0/ 0:	11.2585	6.33215	7.04126	5.6239	7.04773
Length    3, alignments in bytes  0/ 0:	11.2565	6.34424	7.0365	5.63062	7.04541
Length    3, alignments in bytes  0/ 3:	11.2494	6.33228	7.02991	5.63599	7.03528
Length    3, alignments in bytes  3/ 0:	11.249	6.32397	7.0343	5.62292	9.14258
Length    4, alignments in bytes  0/ 0:	11.2471	8.78894	8.74255	6.43799	9.13818
Length    4, alignments in bytes  0/ 0:	11.2449	9.19202	8.53369	6.26599	8.92651
Length    4, alignments in bytes  0/ 4:	10.9716	6.50586	6.86011	6.27502	8.92358
Length    4, alignments in bytes  4/ 0:	10.9716	6.17993	6.85132	5.49182	8.9552
Length    5, alignments in bytes  0/ 0:	10.9717	8.57336	8.5238	7.0918	9.90173
Length    5, alignments in bytes  0/ 0:	10.9738	8.57275	8.52551	7.10632	9.88745
Length    5, alignments in bytes  0/ 5:	10.9716	6.49646	6.86328	6.17944	8.91638
Length    5, alignments in bytes  5/ 0:	10.9739	6.16724	6.86243	6.1687	10.8033
Length    6, alignments in bytes  0/ 0:	10.9736	8.56714	8.52844	7.88208	12.3496
Length    6, alignments in bytes  0/ 0:	10.9753	8.5686	8.53113	7.86707	12.3444
Length    6, alignments in bytes  0/ 6:	10.9707	6.50342	6.85583	6.12427	12.3414
Length    6, alignments in bytes  6/ 0:	10.973	6.17896	6.85645	5.48926	8.93298
Length    7, alignments in bytes  0/ 0:	10.9839	7.54797	7.51526	5.4895	12.353
