                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9751	5.56812	6.18872	5.4873	5.49597
Length    0, alignments in bytes  0/ 0:	10.9755	5.6615	6.18311	5.49707	5.49146
Length    0, alignments in bytes  0/ 0:	10.9763	5.67273	6.17102	5.49304	5.48804
Length    0, alignments in bytes  0/ 0:	10.9701	5.66003	6.18018	5.48438	5.49146
Length    1, alignments in bytes  0/ 0:	10.6782	6.17639	6.85706	5.49622	5.49084
Length    1, alignments in bytes  0/ 0:	10.7411	6.19177	6.87427	5.48877	5.50513
Length    1, alignments in bytes  0/ 1:	10.6154	6.17542	6.86206	5.50159	5.48535
Length    1, alignments in bytes  1/ 0:	10.2872	6.1803	6.85657	5.49524	5.04346
Length    2, alignments in bytes  0/ 0:	10.2878	6.85913	6.86951	6.60217	8.24011
Length    2, alignments in bytes  0/ 0:	10.2902	6.86548	6.87183	6.59961	6.86816
Length    2, alignments in bytes  0/ 2:	10.3066	6.86926	6.86035	6.60632	6.86511
Length    2, alignments in bytes  2/ 0:	10.2878	6.86182	6.8551	5.4967	6.21204
Length    3, alignments in bytes  0/ 0:	10.9817	6.17761	6.86975	5.5033	6.88525
Length    3, alignments in bytes  0/ 0:	10.9792	6.18872	6.86426	5.49915	6.88281
Length    3, alignments in bytes  0/ 3:	10.9751	6.17224	6.86609	5.49292	6.85657
Length    3, alignments in bytes  3/ 0:	10.9729	6.17786	6.86035	5.48462	8.93091
Length    4, alignments in bytes  0/ 0:	10.972	8.58142	8.53357	6.27368	8.91895
Length    4, alignments in bytes  0/ 0:	10.9728	8.57727	8.52649	6.28503	8.92078
Length    4, alignments in bytes  0/ 4:	10.9724	6.50342	6.86658	6.27783	8.92029
Length    4, alignments in bytes  4/ 0:	10.973	6.1687	6.86255	5.48206	8.96094
Length    5, alignments in bytes  0/ 0:	10.9771	8.57007	8.55249	7.10706	9.88562
Length    5, alignments in bytes  0/ 0:	10.9723	8.56958	8.52478	7.10193	9.89404
Length    5, alignments in bytes  0/ 5:	10.9717	6.50696	6.85754	6.17188	8.92151
Length    5, alignments in bytes  5/ 0:	10.9703	6.17737	6.85144	6.18079	8.25745
Length    6, alignments in bytes  0/ 0:	10.9731	8.57007	8.52185	7.91138	12.3547
Length    6, alignments in bytes  0/ 0:	10.9716	8.56555	8.52258	7.87964	12.3508
Length    6, alignments in bytes  0/ 6:	10.9711	6.50806	6.86206	6.12537	12.3436
Length    6, alignments in bytes  6/ 0:	10.9703	6.17041	6.86206	5.49158	8.93042
Length    7, alignments in bytes  0/ 0:	10.9772	7.54382	7.42041	5.49841	12.3645
Length    7, alignments in bytes  0/ 0:	10.9827	7.53711	7.48059	5.50012	12.3496
Length    7, alignments in bytes  0/ 7:	10.9713	6.5	6.85706	5.49744	12.3375
Length    7, alignments in bytes  7/ 0:	10.9708	6.17639	6.85144	5.49243	11.6779
Length    8, alignments in bytes  0/ 0:	10.9713	8.74329	8.599	6.28979	6.19031
