                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.0488	5.495	5.44543	5.36475	5.36829
Length    0, alignments in bytes  0/ 0:	10.0525	6.02966	5.4552	5.35925	5.3717
Length    0, alignments in bytes  0/ 0:	10.3423	5.8927	5.88977	5.23853	5.22986
Length    0, alignments in bytes  0/ 0:	9.80798	5.89026	5.30725	5.23755	5.22412
Length    1, alignments in bytes  0/ 0:	19.5211	6.55115	5.30835	5.24402	5.23608
Length    1, alignments in bytes  0/ 0:	19.5286	6.55042	5.88733	5.24524	5.24194
Length    1, alignments in bytes  0/ 1:	19.576	6.54761	5.89172	5.23486	5.24329
Length    1, alignments in bytes  1/ 0:	19.51	6.53748	5.33582	5.23108	5.45435
Length    2, alignments in bytes  0/ 0:	19.5824	6.01208	6.05579	6.65417	6.55164
Length    2, alignments in bytes  0/ 0:	19.5797	6.01746	6.04724	6.65234	6.55225
Length    2, alignments in bytes  0/ 2:	19.5723	5.94897	6.00293	6.65088	6.54993
Length    2, alignments in bytes  2/ 0:	19.5725	5.22986	5.23926	5.23181	6.62634
Length    3, alignments in bytes  0/ 0:	24.2142	5.89551	5.24292	5.23511	6.61902
Length    3, alignments in bytes  0/ 0:	24.1578	5.2428	5.23779	5.24341	6.63708
Length    3, alignments in bytes  0/ 3:	24.16	5.23157	5.23853	5.2323	6.61707
Length    3, alignments in bytes  3/ 0:	24.1978	5.80249	5.23059	5.24072	10.0894
Length    4, alignments in bytes  0/ 0:	25.3052	20.8248	21.7904	6.0542	7.86487
Length    4, alignments in bytes  0/ 0:	24.1757	20.26	20.0983	6.05664	8.51135
Length    4, alignments in bytes  0/ 4:	24.2051	20.2561	20.911	6.06531	8.50122
Length    4, alignments in bytes  4/ 0:	21.1123	15.6812	16.6344	5.23413	9.36096
Length    5, alignments in bytes  0/ 0:	25.1029	20.9771	21.0743	7.38855	9.98523
Length    5, alignments in bytes  0/ 0:	25.3817	21.2473	21.0736	7.41577	9.97998
Length    5, alignments in bytes  0/ 5:	24.8151	20.2601	20.4421	6.42737	8.49854
Length    5, alignments in bytes  5/ 0:	19.5529	15.6895	16.3326	5.23584	9.60449
Length    6, alignments in bytes  0/ 0:	24.1447	20.2595	20.0944	7.52051	11.7849
Length    6, alignments in bytes  0/ 0:	24.2045	20.2588	20.0999	7.53564	11.7723
Length    6, alignments in bytes  0/ 6:	24.1992	20.2583	20.9121	5.90283	11.77
Length    6, alignments in bytes  6/ 0:	19.6223	15.6787	16.6509	5.23352	9.15686
Length    7, alignments in bytes  0/ 0:	21.7345	20.256	20.7299	5.24121	11.7776
Length    7, alignments in bytes  0/ 0:	21.6123	20.26	32.6987	5.24634	12.2885
Length    7, alignments in bytes  0/ 7:	22.6571	21.2471	21.4585	5.49304	12.3402
Length    7, alignments in bytes  7/ 0:	22.7981	16.4514	17.4222	5.49377	12.3695
Length    8, alignments in bytes  0/ 0:	22.764	21.2526	23.7261	6.34875	6.03784
Length    8, alignments in bytes  0/ 0:	22.3118	20.26	20.9135	6.05432	5.75391
Length    8, alignments in bytes  0/ 0:	21.7169	20.2595	20.9128	6.04846	5.73645
Length    8, alignments in bytes  0/ 0:	21.7152	20.2577	20.9113	6.05066	5.70032
Length    9, alignments in bytes  0/ 0:	21.7493	20.256	20.9102	7.06897	6.69641
Length    9, alignments in bytes  0/ 0:	21.7343	20.2573	20.9105	7.0625	6.64124
Length    9, alignments in bytes  0/ 1:	21.7039	20.2604	20.9115	7.41992	7.26111
Length    9, alignments in bytes  1/ 0:	21.7379	20.2562	20.9097	7.35571	14.4136
Length   10, alignments in bytes  0/ 0:	21.7231	20.2567	20.9102	7.52234	7.52271
Length   10, alignments in bytes  0/ 0:	21.7446	20.2582	20.9132	7.52271	7.56311
Length   10, alignments in bytes  0/ 2:	21.7454	20.2567	20.911	7.37695	7.99951
Length   10, alignments in bytes  2/ 0:	21.7261	20.2585	20.911	7.30054	15.6942
Length   11, alignments in bytes  0/ 0:	21.7179	20.256	20.9103	6.8938	8.20959
Length   11, alignments in bytes  0/ 0:	21.7218	20.2594	20.9113	6.89221	8.1814
Length   11, alignments in bytes  0/ 3:	21.7244	20.2555	20.9109	7.38257	8.71912
Length   11, alignments in bytes  3/ 0:	21.7241	20.2596	20.9115	7.30103	17.0099
Length   12, alignments in bytes  0/ 0:	21.7229	20.2567	20.9108	7.53113	10.563
Length   12, alignments in bytes  0/ 0:	23.391	23.3043	28.8198	8.45972	13.5925
Length   12, alignments in bytes  0/ 4:	23.2385	24.7933	22.7716	8.48047	13.245
Length   12, alignments in bytes  4/ 0:	23.3088	22.0488	22.8528	7.8468	12.3674
Length   13, alignments in bytes  0/ 0:	23.407	21.9788	22.6915	8.23657	201.966
Length   13, alignments in bytes  0/ 0:	23.4509	22.1565	22.8303	7.89453	14.4818
Length   13, alignments in bytes  0/ 5:	23.4756	22.1555	22.8298	8.03711	12.8956
Length   13, alignments in bytes  5/ 0:	24.9529	23.1121	23.8701	7.87646	15.1766
Length   14, alignments in bytes  0/ 0:	23.8286	21.2463	22.1038	8.5426	13.6458
Length   14, alignments in bytes  0/ 0:	23.1095	21.2461	21.6107	7.54175	13.037
Length   14, alignments in bytes  0/ 6:	21.7178	20.2589	20.9139	7.55591	11.7699
Length   14, alignments in bytes  6/ 0:	21.6921	20.2596	20.9139	7.29272	13.7751
Length   15, alignments in bytes  0/ 0:	21.5724	20.2598	20.9122	5.23486	11.7793
Length   15, alignments in bytes  0/ 0:	21.5835	20.2567	20.9103	5.23608	11.7737
Length   15, alignments in bytes  0/ 7:	21.5768	24.1895	26.0323	5.49939	12.339
Length   15, alignments in bytes  7/ 0:	21.5756	20.2596	20.9117	5.2345	14.0831
Length   16, alignments in bytes  0/ 0:	21.5726	20.2632	20.9158	5.65784	7.34009
Length   16, alignments in bytes  7/ 2:	21.5719	20.2607	20.9127	6.42786	14.1964
Length   32, alignments in bytes  0/ 0:	18.5132	5.96594	6.55334	7.71973	10.1624
Length   32, alignments in bytes  6/ 4:	22.8599	6.55383	6.54565	10.9696	15.8676
Length   64, alignments in bytes  0/ 0:	20.3622	8.51453	8.59387	9.00293	15.4083
Length   64, alignments in bytes  5/ 6:	24.9081	20.2574	20.9183	12.0635	25.8086
Length  128, alignments in bytes  0/ 0:	20.9669	10.0089	10.6525	13.9874	27.2919
Length  128, alignments in bytes  4/ 0:	21.5382	18.0339	19.322	14.5951	33.6433
Length  256, alignments in bytes  0/ 0:	29.1238	15.0452	16.7893	17.8851	53.4526
Length  256, alignments in bytes  3/ 2:	29.4767	15.0511	17.929	19.0332	60.6658
Length  512, alignments in bytes  0/ 0:	36.5542	19.04	21.7039	26.697	105.725
Length  512, alignments in bytes  2/ 4:	40.515	21.213	23.5514	57.7903	151.284
Length 1024, alignments in bytes  0/ 0:	50.4821	27.4965	29.913	45.5166	228.184
Length 1024, alignments in bytes  1/ 6:	63.3685	38.5607	34.2466	45.7018	311.134
Length   16, alignments in bytes  1/ 2:	23.2063	20.2627	20.9154	6.22424	17.4196
Length   16, alignments in bytes  2/ 1:	21.5751	20.2595	20.9122	6.42944	15.7094
Length   16, alignments in bytes  1/ 1:	21.5736	20.26	20.9113	5.66431	14.6624
Length   16, alignments in bytes  1/ 1:	22.4409	21.6543	21.9301	6.35437	14.6672
Length   32, alignments in bytes  2/ 4:	22.8674	7.83679	7.95667	10.6926	21.8947
Length   32, alignments in bytes  4/ 2:	22.8156	7.20471	7.19824	11.1025	16.5378
Length   32, alignments in bytes  2/ 2:	22.8248	6.54126	7.20312	10.7423	17.7739
Length   32, alignments in bytes  2/ 2:	23.7238	7.78149	6.69763	10.1824	16.6588
Length   64, alignments in bytes  3/ 6:	24.2645	9.41711	9.90186	10.6312	29.0028
Length   64, alignments in bytes  6/ 3:	25.0844	20.2666	20.9308	12.0952	20.4142
Length   64, alignments in bytes  3/ 3:	24.285	8.38342	9.30896	9.72681	22.2399
Length   64, alignments in bytes  3/ 3:	24.265	8.37646	9.31384	9.63721	22.2208
Length  128, alignments in bytes  4/ 0:	21.4629	18.0284	19.4612	14.6034	34.4353
Length  128, alignments in bytes  0/ 4:	26.421	10.7273	13.3113	13.9573	36.7098
Length  128, alignments in bytes  4/ 4:	26.528	17.6534	18.3256	14.3256	34.4331
Length  128, alignments in bytes  4/ 4:	26.2339	17.6869	18.3307	14.3397	39.8824
Length  256, alignments in bytes  5/ 2:	35.6257	23.1006	23.95	25.9661	68.1338
Length  256, alignments in bytes  2/ 5:	31.1027	27.2515	24.7227	33.5072	87.1891
Length  256, alignments in bytes  5/ 5:	33.9598	22.006	21.3699	19.1879	63.5082
Length  256, alignments in bytes  5/ 5:	33.2202	20.5966	20.3624	18.2698	59.7565
Length  512, alignments in bytes  6/ 4:	34.8663	23.2152	22.9841	27.4723	111.676
Length  512, alignments in bytes  4/ 6:	40.5768	25.4338	25.8098	27.0985	152.882
Length  512, alignments in bytes  6/ 6:	42.9795	23.4972	23.0767	26.9629	111.401
Length  512, alignments in bytes  6/ 6:	41.0095	23.0507	23.1003	26.9774	115.848
Length 1024, alignments in bytes  7/ 6:	47.7906	37.343	34.8026	50.3123	228.729
Length 1024, alignments in bytes  6/ 7:	58.6653	38.3304	34.4453	76.4712	306.743
Length 1024, alignments in bytes  7/ 7:	56.7654	29.6584	30.6674	45.4797	241.982
Length 1024, alignments in bytes  7/ 7:	56.9198	29.5549	30.6707	45.4689	234.209
Length   16, alignments in bytes  0/ 4:	24.371	20.2598	20.9174	6.23523	9.52478
Length   16, alignments in bytes  4/ 0:	23.437	21.2483	22.088	6.43909	15.3698
Length   16, alignments in bytes  4/ 4:	21.5731	20.2574	20.9115	5.66382	14.6971
Length   16, alignments in bytes  2/ 2:	21.577	20.2562	20.9106	5.66748	14.6034
Length   16, alignments in bytes  2/ 6:	21.5752	20.2565	21.6849	6.8158	19.0898
