                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2504	5.8175	7.7417	5.62549	5.64355
Length    0, alignments in bytes  0/ 0:	11.2458	6.33118	7.72937	5.63208	5.62317
Length    0, alignments in bytes  0/ 0:	11.248	6.32593	7.73706	5.62598	5.63062
Length    0, alignments in bytes  0/ 0:	11.2451	6.33533	7.73083	5.62219	5.62952
Length    1, alignments in bytes  0/ 0:	10.9978	6.33032	8.43787	5.6333	5.64294
Length    1, alignments in bytes  0/ 0:	10.989	6.32715	7.12207	5.62195	5.63904
Length    1, alignments in bytes  0/ 1:	10.8649	6.33826	7.02734	5.63257	5.6217
Length    1, alignments in bytes  1/ 0:	10.5454	6.32568	7.04126	5.61877	5.18555
Length    2, alignments in bytes  0/ 0:	10.5651	7.03833	7.0321	6.77942	8.46167
Length    2, alignments in bytes  0/ 0:	10.5476	7.03259	7.02917	6.771	8.44434
Length    2, alignments in bytes  0/ 2:	10.5475	7.0304	7.02844	6.76843	8.43298
Length    2, alignments in bytes  2/ 0:	10.5582	7.02966	7.03491	5.63062	6.34058
Length    3, alignments in bytes  0/ 0:	11.2556	6.33313	7.05017	5.62634	8.44946
Length    3, alignments in bytes  0/ 0:	11.248	6.33484	7.03162	5.62048	8.44055
Length    3, alignments in bytes  0/ 3:	11.2461	6.33484	7.02625	5.62708	8.44568
Length    3, alignments in bytes  3/ 0:	11.2469	6.33386	7.47449	5.49329	8.2467
Length    4, alignments in bytes  0/ 0:	10.9735	8.57422	8.5376	6.28979	8.92102
Length    4, alignments in bytes  0/ 0:	10.9735	8.57654	8.52246	6.27368	8.91528
Length    4, alignments in bytes  0/ 4:	10.9713	6.50659	6.85889	6.26746	8.91699
Length    4, alignments in bytes  4/ 0:	10.9694	6.1781	6.85156	5.49011	8.94922
Length    5, alignments in bytes  0/ 0:	10.9719	8.5741	8.52454	7.10046	9.89954
Length    5, alignments in bytes  0/ 0:	10.9728	8.57275	8.53198	7.11609	9.88379
Length    5, alignments in bytes  0/ 5:	10.9733	6.49768	6.86401	6.22693	8.91711
Length    5, alignments in bytes  5/ 0:	10.9722	6.16992	6.87268	6.17102	8.93689
Length    6, alignments in bytes  0/ 0:	10.9735	8.56873	10.2473	7.87122	12.3522
Length    6, alignments in bytes  0/ 0:	10.973	8.56946	8.52917	7.86707	12.3412
Length    6, alignments in bytes  0/ 6:	10.9708	6.50293	6.85754	6.13135	12.3427
Length    6, alignments in bytes  6/ 0:	10.9703	6.17542	6.86377	5.48206	8.93762
Length    7, alignments in bytes  0/ 0:	10.9792	7.54553	7.4021	5.48499	11.15
Length    7, alignments in bytes  0/ 0:	10.9711	7.54346	7.48413	5.4823	12.3486
Length    7, alignments in bytes  0/ 7:	10.9708	6.48975	6.86377	5.48901	12.3448
Length    7, alignments in bytes  7/ 0:	10.9711	6.16821	6.85706	5.4917	11.707
Length    8, alignments in bytes  0/ 0:	10.9713	8.7522	8.60498	6.27148	6.18909
Length    8, alignments in bytes  0/ 0:	10.9718	8.74731	8.60022	6.27673	6.18286
Length    8, alignments in bytes  0/ 0:	10.9706	8.74976	8.60083	6.27014	6.18774
Length    8, alignments in bytes  0/ 0:	10.9706	8.75195	8.59253	6.27246	6.17981
Length    9, alignments in bytes  0/ 0:	10.9716	8.71753	8.59741	7.09741	7.33215
Length    9, alignments in bytes  0/ 0:	10.9711	8.75488	8.60046	7.10144	6.33582
Length    9, alignments in bytes  0/ 1:	10.9716	8.75098	8.60864	7.54358	7.10364
Length    9, alignments in bytes  1/ 0:	10.9718	8.72485	8.62036	7.48169	15.2715
Length   10, alignments in bytes  0/ 0:	10.9724	8.76465	8.59607	7.88379	7.55615
Length   10, alignments in bytes  0/ 0:	10.9713	8.74829	8.59314	7.87183	7.55286
Length   10, alignments in bytes  0/ 2:	10.9713	8.73792	8.60144	7.70886	7.96008
Length   10, alignments in bytes  2/ 0:	10.973	8.724	8.61658	7.62769	15.7826
Length   11, alignments in bytes  0/ 0:	10.972	8.74304	8.60193	7.19678	8.17004
Length   11, alignments in bytes  0/ 0:	10.9713	8.75366	8.59729	7.18909	8.17456
Length   11, alignments in bytes  0/ 3:	10.9708	8.73694	8.58801	7.71753	8.94165
Length   11, alignments in bytes  3/ 0:	10.9716	8.73816	8.61633	7.62817	15.569
Length   12, alignments in bytes  0/ 0:	10.9718	8.71973	8.59607	7.86609	9.6134
Length   12, alignments in bytes  0/ 0:	10.9713	8.7666	8.59558	7.87524	9.53186
Length   12, alignments in bytes  0/ 4:	10.9728	8.48889	8.25806	7.91357	9.59937
Length   12, alignments in bytes  4/ 0:	10.9711	8.41748	8.23889	7.6145	11.6555
Length   13, alignments in bytes  0/ 0:	10.9718	8.73682	8.59656	7.87646	11.9872
Length   13, alignments in bytes  0/ 0:	10.9716	8.72522	8.59558	7.86536	14.3588
Length   13, alignments in bytes  0/ 5:	10.9852	8.4281	8.29785	7.91748	10.5566
Length   13, alignments in bytes  5/ 0:	10.9718	8.45642	8.20984	7.63013	12.6543
