                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.6411	5.7887	5.72766	5.62805	5.63684
Length    0, alignments in bytes  0/ 0:	10.6595	5.78503	6.3385	5.63428	5.63098
Length    0, alignments in bytes  0/ 0:	10.5966	6.3363	6.32739	5.63062	5.62891
Length    0, alignments in bytes  0/ 0:	10.9989	6.16882	5.58179	5.48425	5.49072
Length    1, alignments in bytes  0/ 0:	10.4735	5.62537	5.57068	5.49353	5.49463
Length    1, alignments in bytes  0/ 0:	10.6724	6.1908	6.17639	5.50037	5.49817
Length    1, alignments in bytes  0/ 1:	10.1556	6.17114	6.18262	5.48291	5.49292
Length    1, alignments in bytes  1/ 0:	10.3523	6.85986	6.17017	5.49341	5.16223
Length    2, alignments in bytes  0/ 0:	12.3162	5.86951	5.89868	6.14819	6.41174
Length    2, alignments in bytes  0/ 0:	9.39941	5.88184	5.90063	6.14148	6.39722
Length    2, alignments in bytes  0/ 2:	9.39062	5.82214	5.82263	6.15234	6.39087
Length    2, alignments in bytes  2/ 0:	9.09058	5.11902	5.11279	5.11499	6.41418
Length    3, alignments in bytes  0/ 0:	9.60718	5.75635	5.1311	5.1123	6.41724
Length    3, alignments in bytes  0/ 0:	9.65112	5.11353	5.12769	5.11548	6.40955
Length    3, alignments in bytes  0/ 3:	9.60474	5.11255	5.1239	5.10974	6.39917
Length    3, alignments in bytes  3/ 0:	9.62915	5.11475	5.11609	5.1123	8.32141
Length    4, alignments in bytes  0/ 0:	9.96582	7.99329	7.99976	5.87463	8.32178
Length    4, alignments in bytes  0/ 0:	9.60132	7.99658	7.99646	5.86084	8.31812
Length    4, alignments in bytes  0/ 4:	9.63989	6.05676	6.09814	5.87219	8.30823
Length    4, alignments in bytes  4/ 0:	9.58533	5.10938	5.11902	5.10779	8.00244
Length    5, alignments in bytes  0/ 0:	10.1112	7.98804	7.98462	6.63135	9.12109
Length    5, alignments in bytes  0/ 0:	9.62744	7.98975	7.9928	6.64221	9.12183
Length    5, alignments in bytes  0/ 5:	9.599	6.0531	6.1012	5.8551	8.31262
Length    5, alignments in bytes  5/ 0:	9.58179	5.11035	5.11914	5.10913	9.38745
Length    6, alignments in bytes  0/ 0:	9.72974	7.99207	7.98608	7.3252	11.5165
Length    6, alignments in bytes  0/ 0:	9.6665	7.9856	7.99854	7.3418	11.5093
Length    6, alignments in bytes  0/ 6:	9.58459	6.03857	6.1012	5.70593	11.5023
Length    6, alignments in bytes  6/ 0:	9.5813	5.11401	5.11426	5.11206	8.96045
Length    7, alignments in bytes  0/ 0:	9.71143	6.99255	6.92847	5.12219	11.5137
Length    7, alignments in bytes  0/ 0:	9.82031	7.00684	6.88708	5.12708	11.5134
