                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length  128, alignments in bytes  0/ 0:	15.6074	9.82507	9.06482	13.4855	24.8267
Length  128, alignments in bytes  4/ 0:	17.2644	10.1426	11.5099	14.439	31.3311
Length  256, alignments in bytes  0/ 0:	21.7509	14.7688	15.7373	17.611	49.6212
Length  256, alignments in bytes  3/ 2:	23.6407	14.7418	17.1595	19.0271	61.2596
Length  512, alignments in bytes  0/ 0:	39.6843	25.7004	27.8536	36.2002	107.471
Length  512, alignments in bytes  2/ 4:	43.7148	237.665	28.5273	40.1714	153.976
Length 1024, alignments in bytes  0/ 0:	60.3807	28.3167	28.0676	47.7306	228.849
Length 1024, alignments in bytes  1/ 6:	63.5762	40.443	35.6957	47.8025	304.73
Length   16, alignments in bytes  1/ 2:	12.8649	8.63171	8.41565	5.67114	17.2817
Length   16, alignments in bytes  2/ 1:	10.1086	8.55078	8.40845	5.72888	15.3553
Length   16, alignments in bytes  1/ 1:	10.0673	8.57007	8.40271	5.36377	14.7383
Length   16, alignments in bytes  1/ 1:	10.0768	8.54309	8.42004	5.35229	14.7643
Length   32, alignments in bytes  2/ 4:	10.8241	11.2928	8.17346	9.9834	21.0233
Length   32, alignments in bytes  4/ 2:	10.7216	6.03113	6.70837	11.2936	16.595
Length   32, alignments in bytes  2/ 2:	10.7177	7.3645	7.36536	9.56091	16.4094
Length   32, alignments in bytes  2/ 2:	10.7856	6.69202	7.36621	9.5238	16.2664
Length   64, alignments in bytes  3/ 6:	14.2831	9.63611	9.36853	10.828	27.8555
Length   64, alignments in bytes  6/ 3:	14.6224	11.3969	11.4407	12.3818	19.7953
Length   64, alignments in bytes  3/ 3:	13.9615	8.53491	8.72754	9.50317	22.147
Length   64, alignments in bytes  3/ 3:	13.937	8.52747	8.71606	9.45117	22.0983
Length  128, alignments in bytes  4/ 0:	17.7722	10.3953	11.7849	14.9117	32.6085
Length  128, alignments in bytes  0/ 4:	20.23	10.9755	10.5151	14.2634	34.4071
Length  128, alignments in bytes  4/ 4:	19.7877	13.34	12.7478	14.3905	32.5947
Length  128, alignments in bytes  4/ 4:	19.7815	13.9766	12.7822	14.3707	32.6045
Length  256, alignments in bytes  5/ 2:	24.1249	15.2494	19.2208	20.4518	56.9327
Length  256, alignments in bytes  2/ 5:	25.0555	17.2042	20.5751	20.321	78.9694
