                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	26.2049	25.3403	25.8018	23.2193	14.2694
Length    0/   0, alignment  0/ 0:	25.3399	24.3606	24.7788	24.4086	13.7939
Length    0/   0, alignment  0/ 0:	25.4558	24.0865	25.1444	24.4529	13.5367
Length    0/   0, alignment  0/ 0:	26.8974	24.7986	25.1348	22.7457	13.6519
Length    1/   1, alignment  0/ 0:	25.3286	25.2001	24.9052	23.2636	14.742
Length    1/   1, alignment  0/ 0:	25.6901	24.0861	24.78	25.5058	15.3457
Length    1/   1, alignment  0/ 1:	25.4261	24.435	25.43	22.8716	7.02561
Length    1/   1, alignment  1/ 0:	26.686	24.5073	24.7802	22.8715	14.718
Length    2/   2, alignment  0/ 0:	25.4099	25.1413	24.9377	22.8593	15.4406
Length    2/   2, alignment  0/ 0:	25.134	24.5747	25.36	24.1683	15.4401
Length    2/   2, alignment  0/ 2:	25.0706	24.1403	24.8252	22.746	9.36716
Length    2/   2, alignment  2/ 0:	26.3362	24.1006	24.8242	22.7459	15.533
Length    3/   3, alignment  0/ 0:	25.0164	25.6063	24.9649	22.7844	15.5755
Length    3/   3, alignment  0/ 0:	25.5985	24.1099	24.7522	23.8983	15.5745
Length    3/   3, alignment  0/ 3:	25.7768	24.0876	24.7521	22.7475	11.9248
Length    3/   3, alignment  3/ 0:	26.2449	24.088	24.7522	22.8881	17.4436
Length    4/   4, alignment  0/ 0:	30.5614	30.7198	30.2296	22.7658	17.577
Length    4/   4, alignment  0/ 0:	30.284	30.6182	30.3537	22.7657	17.5611
Length    4/   4, alignment  0/ 4:	25.7532	24.7742	26.4986	22.8634	14.7186
Length    4/   4, alignment  4/ 0:	30.5045	29.4364	30.2305	24.0113	19.0011
Length    5/   5, alignment  0/ 0:	30.1557	29.4586	30.2319	22.7472	19.483
Length    5/   5, alignment  0/ 0:	30.4065	29.4365	30.2562	22.7486	18.4402
Length    5/   5, alignment  0/ 5:	26.6407	24.8795	25.472	22.7469	16.0877
Length    5/   5, alignment  5/ 0:	30.3254	30.4862	30.3312	22.7696	19.0684
Length    6/   6, alignment  0/ 0:	30.2595	29.4552	31.3795	22.7581	19.0436
Length    6/   6, alignment  0/ 0:	30.2831	29.4366	31.3382	22.8656	19.0583
Length    6/   6, alignment  0/ 6:	25.6763	24.7822	25.4735	23.8056	18.2595
Length    6/   6, alignment  6/ 0:	30.3618	29.4364	30.2305	22.77	20.668
Length    7/   7, alignment  0/ 0:	30.6279	29.4595	30.232	22.7475	18.4011
Length    7/   7, alignment  0/ 0:	31.5182	29.4363	30.2715	23.0646	18.8212
Length    7/   7, alignment  0/ 7:	25.8768	26.3048	25.4702	22.7505	19.0156
Length    7/   7, alignment  7/ 0:	25.984	24.7587	26.7742	23.1097	19.6524
Length    8/   8, alignment  0/ 0:	25.7234	24.0853	24.8975	23.9716	16.1677
Length    8/   8, alignment  0/ 0:	25.4834	24.0833	24.7642	22.7534	16.076
Length    8/   8, alignment  0/ 0:	26.7491	24.0834	24.7659	22.776	16.0557
Length    8/   8, alignment  0/ 0:	25.5604	25.134	24.9205	22.7531	16.0556
Length    9/   9, alignment  0/ 0:	25.6411	24.0832	24.7526	23.9147	16.084
Length    9/   9, alignment  0/ 0:	25.5833	24.0833	24.7685	22.7833	17.1083
Length    9/   9, alignment  0/ 1:	25.349	24.0833	24.7903	22.7665	16.7257
Length    9/   9, alignment  1/ 0:	25.5882	25.2343	24.7528	22.7675	23.4753
Length   10/  10, alignment  0/ 0:	25.5975	24.0834	25.8394	22.8534	16.8238
Length   10/  10, alignment  0/ 0:	25.5736	24.1065	24.7553	23.7914	16.9297
Length   10/  10, alignment  0/ 2:	25.6339	24.0833	24.7664	22.7506	17.4492
Length   10/  10, alignment  2/ 0:	27.9774	24.3151	24.795	22.7576	22.8733
Length   11/  11, alignment  0/ 0:	25.5642	25.2878	24.858	22.7553	17.4191
Length   11/  11, alignment  0/ 0:	25.6621	24.0832	24.7555	23.9933	17.4096
Length   11/  11, alignment  0/ 3:	26.3448	24.7663	24.9889	22.7955	19.6242
Length   11/  11, alignment  3/ 0:	25.9818	24.1323	24.8181	23.2805	23.259
Length   12/  12, alignment  0/ 0:	27.1311	24.3224	25.1212	22.7514	18.2275
Length   12/  12, alignment  0/ 0:	25.5868	24.2449	26.0431	22.7562	19.2828
Length   12/  12, alignment  0/ 4:	25.9263	24.0834	24.7636	24.861	17.3943
Length   12/  12, alignment  4/ 0:	25.6129	24.2518	25.4069	22.756	21.6112
Length   13/  13, alignment  0/ 0:	26.612	24.2377	24.7662	22.7508	19.0582
Length   13/  13, alignment  0/ 0:	25.5718	25.3682	25.7921	23.4382	19.2915
Length   13/  13, alignment  0/ 5:	25.4354	24.9368	27.6108	23.3024	18.6133
Length   13/  13, alignment  5/ 0:	26.2709	24.6706	25.3564	26.027	30.3763
Length   14/  14, alignment  0/ 0:	28.5311	26.3451	25.5303	26.347	27.5098
Length   14/  14, alignment  0/ 0:	27.3942	24.6876	25.3693	23.6246	21.2263
Length   14/  14, alignment  0/ 6:	27.4758	26.1125	25.0799	22.7457	19.8042
Length   14/  14, alignment  6/ 0:	31.0695	25.7999	25.3772	24.1115	21.1815
Length   15/  15, alignment  0/ 0:	26.3356	25.8311	25.7584	23.3018	19.7528
Length   15/  15, alignment  0/ 0:	26.1683	24.0832	27.2533	23.7366	21.2862
Length   15/  15, alignment  0/ 7:	26.423	24.6708	26.6822	26.6489	22.2678
Length   15/  15, alignment  7/ 0:	26.0647	24.3416	24.7563	22.7501	20.0716
Length   16/  16, alignment  0/ 0:	29.0217	24.6725	25.3727	25.5142	17.3776
Length   16/  16, alignment  7/ 2:	26.2997	26.1835	27.8834	26.6706	25.9433
Length   16/   4, alignment  0/ 0:	26.0866	25.9365	25.6693	24.3504	17.8589
Length   16/   4, alignment  7/ 2:	25.5467	25.4711	26.2972	25.4275	18.5042
Length   32/  32, alignment  0/ 0:	30.1388	28.0114	26.7952	39.5176	18.8032
Length   32/  32, alignment  6/ 4:	29.1196	27.0269	27.4925	37.981	32.875
Length   32/   8, alignment  0/ 0:	27.2415	25.5886	26.1316	37.0923	19.5314
Length   32/   8, alignment  6/ 4:	27.6278	26.0433	26.7495	33.6206	28.6925
Length   64/  64, alignment  0/ 0:	42.8076	42.3263	43.8458	40.8731	31.3962
Length   64/  64, alignment  5/ 6:	45.3407	43.8863	43.2022	39.2068	39.8515
Length   64/  16, alignment  0/ 0:	43.4483	41.9239	42.2096	39.2519	28.573
Length   64/  16, alignment  5/ 6:	45.2024	44.8057	49.6254	39.904	40.9455
Length  128/ 128, alignment  0/ 0:	46.2689	44.2117	43.782	44.2588	52.8637
Length  128/ 128, alignment  4/ 0:	51.6992	50.8002	53.6258	45.6116	74.0721
Length  128/  32, alignment  0/ 0:	44.3026	43.2368	44.5356	51.6619	43.8223
Length  128/  32, alignment  4/ 0:	49.8161	49.162	49.3071	50.2196	59.8252
Length  256/ 256, alignment  0/ 0:	47.9162	46.0039	47.0774	46.2955	100.189
Length  256/ 256, alignment  3/ 2:	50.8971	47.1154	48.5868	46.8332	113.489
Length  256/  64, alignment  0/ 0:	47.647	47.8754	50.6379	48.0043	76.4788
Length  256/  64, alignment  3/ 2:	52.357	50.9963	54.1604	53.0974	93.4575
Length  512/ 512, alignment  0/ 0:	51.3795	48.5098	50.9127	53.9646	194.23
Length  512/ 512, alignment  2/ 4:	52.6163	48.7804	48.7331	56.3742	208.128
Length  512/ 128, alignment  0/ 0:	49.0725	51.7564	49.1694	60.4278	130.943
Length  512/ 128, alignment  2/ 4:	58.7847	55.6918	57.8906	72.1666	145.174
Length 1024/1024, alignment  0/ 0:	56.7502	54.9121	57.1759	84.0668	417.224
Length 1024/1024, alignment  1/ 6:	65.0879	59.7009	63.5208	88.0058	430.969
Length 1024/ 256, alignment  0/ 0:	62.4697	59.8562	57.9812	80.1378	277.188
Length 1024/ 256, alignment  1/ 6:	69.7385	69.686	67.2889	101.348	290.853
Length   16/   1, alignment  1/ 2:	25.5498	24.0848	24.7694	24.1913	23.4149
Length   16/   1, alignment  2/ 1:	25.5532	24.107	24.7692	24.1661	16.8666
Length   16/  10, alignment  1/ 1:	27.0434	24.187	24.7688	25.445	34.3967
Length   16/  10, alignment  1/ 1:	26.7731	24.8302	25.5098	26.3492	35.8724
Length   32/   1, alignment  2/ 4:	27.0751	28.1717	26.3485	33.6297	26.9772
Length   32/   1, alignment  4/ 2:	26.8643	25.8074	25.5431	32.4762	18.4616
Length   32/  10, alignment  2/ 2:	26.6153	25.4232	27.5018	33.5675	36.7614
Length   32/  10, alignment  2/ 2:	26.5967	25.5436	27.4117	33.5784	36.2332
Length   64/   1, alignment  3/ 6:	40.0403	40.2428	40.3229	33.8006	32.5366
Length   64/   1, alignment  6/ 3:	39.4145	36.187	37.5344	33.2007	23.3535
Length   64/  10, alignment  3/ 3:	41.169	38.8231	40.336	35.1434	44.6588
Length   64/  10, alignment  3/ 3:	39.8171	38.9822	41.4243	33.6768	44.5916
