                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.255	5.81165	7.79358	5.91626	5.63135
Length    0, alignments in bytes  0/ 0:	11.2506	6.32483	6.33582	5.62708	5.63257
Length    0, alignments in bytes  0/ 0:	11.2463	5.81665	7.03113	5.63257	5.63184
Length    0, alignments in bytes  0/ 0:	11.2458	5.78699	7.03333	5.62744	5.62219
Length    1, alignments in bytes  0/ 0:	10.9614	6.34009	7.03955	5.63135	5.65186
Length    1, alignments in bytes  0/ 0:	10.9785	6.33289	7.03552	5.63159	5.64221
Length    1, alignments in bytes  0/ 1:	10.9042	6.64258	6.86707	5.49194	5.49768
Length    1, alignments in bytes  1/ 0:	10.2866	6.16968	6.86011	5.49243	5.05237
Length    2, alignments in bytes  0/ 0:	10.3018	6.87073	6.8623	6.63489	6.88232
Length    2, alignments in bytes  0/ 0:	10.2914	6.86658	6.85767	6.60437	6.85645
Length    2, alignments in bytes  0/ 2:	10.2904	6.8562	6.87195	6.57117	6.86401
Length    2, alignments in bytes  2/ 0:	10.2877	6.86475	6.86108	5.48279	6.21729
Length    3, alignments in bytes  0/ 0:	10.981	6.17786	6.86157	5.54004	8.23462
Length    3, alignments in bytes  0/ 0:	10.9764	6.1698	6.86523	5.49841	8.23315
Length    3, alignments in bytes  0/ 3:	10.9802	6.17883	6.86182	5.48853	8.2373
Length    3, alignments in bytes  3/ 0:	10.9739	6.18884	6.85815	5.49353	8.92871
Length    4, alignments in bytes  0/ 0:	10.9733	8.57825	8.52893	6.27173	8.92639
Length    4, alignments in bytes  0/ 0:	10.9728	8.578	8.53052	6.28333	8.92419
Length    4, alignments in bytes  0/ 4:	10.972	6.50049	6.87366	6.28479	8.91589
Length    4, alignments in bytes  4/ 0:	11.0072	6.18286	6.8573	5.49268	8.31116
Length    5, alignments in bytes  0/ 0:	10.972	8.5752	8.52246	7.10583	9.89111
Length    5, alignments in bytes  0/ 0:	10.9734	8.5686	8.52698	7.09399	9.89587
Length    5, alignments in bytes  0/ 5:	10.9713	6.50208	6.86328	6.18262	8.92249
Length    5, alignments in bytes  5/ 0:	11.0071	6.17017	6.8584	6.18762	10.2926
Length    6, alignments in bytes  0/ 0:	10.9727	8.5708	8.51538	7.9054	12.354
Length    6, alignments in bytes  0/ 0:	10.9744	8.56702	8.52612	7.87952	12.3479
Length    6, alignments in bytes  0/ 6:	10.9703	6.50635	6.86108	6.13977	12.3427
Length    6, alignments in bytes  6/ 0:	10.9741	6.17371	6.86072	5.48181	8.93689
Length    7, alignments in bytes  0/ 0:	10.98	7.54749	7.39197	5.49561	12.3558
Length    7, alignments in bytes  0/ 0:	10.9783	7.53882	7.44702	5.49597	12.3534
Length    7, alignments in bytes  0/ 7:	10.9708	6.48584	6.85925	5.49719	12.3503
Length    7, alignments in bytes  7/ 0:	10.9728	6.17371	6.85242	5.49353	11.6617
Length    8, alignments in bytes  0/ 0:	10.9711	8.74768	8.60461	6.28638	6.19055
Length    8, alignments in bytes  0/ 0:	10.9706	9.6344	8.60498	6.27417	6.17834
Length    8, alignments in bytes  0/ 0:	10.9696	8.80713	8.59875	6.27319	6.17346
Length    8, alignments in bytes  0/ 0:	10.9827	8.78284	8.59839	6.28259	6.18408
Length    9, alignments in bytes  0/ 0:	10.9713	8.73718	8.59802	7.14624	6.86731
Length    9, alignments in bytes  0/ 0:	10.9718	8.73218	8.60388	7.10754	6.34814
Length    9, alignments in bytes  0/ 1:	10.9718	8.74756	8.59924	7.53979	7.14429
Length    9, alignments in bytes  1/ 0:	10.9716	8.73462	8.60388	7.47253	15.8055
Length   10, alignments in bytes  0/ 0:	10.9723	8.74268	8.58813	7.8772	7.56189
Length   10, alignments in bytes  0/ 0:	10.9708	8.78003	8.59009	7.85144	7.55188
Length   10, alignments in bytes  0/ 2:	10.9802	8.74353	8.60217	7.72925	7.94727
Length   10, alignments in bytes  2/ 0:	10.9713	8.73022	8.6156	7.62415	15.7794
Length   11, alignments in bytes  0/ 0:	10.9723	8.73389	8.59399	7.21851	8.1886
Length   11, alignments in bytes  0/ 0:	10.9713	8.74011	8.59033	7.18384	8.17371
Length   11, alignments in bytes  0/ 3:	10.9716	8.72949	8.59595	7.7179	8.93396
Length   11, alignments in bytes  3/ 0:	10.9768	8.73694	8.60632	7.62	15.3849
Length   12, alignments in bytes  0/ 0:	10.972	8.74255	8.59875	7.88171	9.60583
Length   12, alignments in bytes  0/ 0:	10.9706	8.73059	8.59558	7.86304	9.60669
Length   12, alignments in bytes  0/ 4:	10.972	8.42371	8.29333	7.922	9.6084
Length   12, alignments in bytes  4/ 0:	10.9713	8.45691	8.22852	7.6134	11.6575
Length   13, alignments in bytes  0/ 0:	10.9728	8.74377	8.59302	7.91211	11.9563
Length   13, alignments in bytes  0/ 0:	10.9716	8.79968	8.59155	7.87842	11.9774
Length   13, alignments in bytes  0/ 5:	10.972	8.41431	8.25415	7.91943	10.5629
Length   13, alignments in bytes  5/ 0:	10.9725	8.38965	8.22083	7.61926	12.6627
Length   14, alignments in bytes  0/ 0:	10.9711	8.73096	8.60815	7.92798	13.28
Length   14, alignments in bytes  0/ 0:	10.9711	8.77197	8.60022	7.86365	13.3149
Length   14, alignments in bytes  0/ 6:	10.9713	8.51416	8.25305	7.91528	13.0321
Length   14, alignments in bytes  6/ 0:	10.9733	8.4104	8.21875	7.61804	12.9789
Length   15, alignments in bytes  0/ 0:	10.9799	7.6156	7.74182	5.49719	13.0488
Length   15, alignments in bytes  0/ 0:	10.9838	7.61255	7.75134	5.49768	13.6742
Length   15, alignments in bytes  0/ 7:	10.9738	8.47473	8.31506	5.48999	13.0308
Length   15, alignments in bytes  7/ 0:	10.9708	8.46362	8.22327	5.48828	12.6766
Length   16, alignments in bytes  0/ 0:	10.9711	8.73193	8.62073	6.19275	6.95801
Length   16, alignments in bytes  7/ 2:	10.9719	8.72876	8.62	6.18591	13.7152
Length   32, alignments in bytes  0/ 0:	10.9802	7.5769	6.8811	7.56775	9.87561
Length   32, alignments in bytes  6/ 4:	10.9797	6.86389	6.87122	11.4615	16.2679
Length   64, alignments in bytes  0/ 0:	13.0591	8.92773	8.45032	8.98828	15.391
Length   64, alignments in bytes  5/ 6:	15.4648	13.8038	14.324	12.5184	31.1901
Length  128, alignments in bytes  0/ 0:	26.0311	17.4691	14.5223	20.3451	34.2041
Length  128, alignments in bytes  4/ 0:	24.0997	10.3708	11.7939	14.7729	33.9333
Length  256, alignments in bytes  0/ 0:	22.6548	14.7644	16.714	18.1211	50.7635
Length  256, alignments in bytes  3/ 2:	24.6169	14.8756	17.7933	19.5065	57.848
Length  512, alignments in bytes  0/ 0:	31.1592	19.5315	21.2733	28.1305	103.175
Length  512, alignments in bytes  2/ 4:	34.2937	22.4348	24.1479	28.354	153.356
Length 1024, alignments in bytes  0/ 0:	53.8806	28.527	30.7345	51.4348	230.683
Length 1024, alignments in bytes  1/ 6:	74.9337	40.4635	40.0878	51.4442	328.977
Length   16, alignments in bytes  1/ 2:	14.4948	8.76648	8.62061	6.17688	17.6453
Length   16, alignments in bytes  2/ 1:	10.975	8.75745	8.62695	6.172	15.6255
Length   16, alignments in bytes  1/ 1:	10.9729	8.75708	8.61157	6.16724	14.9551
Length   16, alignments in bytes  1/ 1:	10.9703	8.71826	8.61731	6.17468	15.1335
Length   32, alignments in bytes  2/ 4:	10.9886	8.26758	8.3877	10.3634	21.4644
