                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9846	5.66772	6.18335	5.48999	5.49963
Length    0, alignments in bytes  0/ 0:	10.975	5.48926	6.17834	5.49866	5.48523
Length    0, alignments in bytes  0/ 0:	10.9741	5.66394	6.85913	5.4895	5.4917
Length    0, alignments in bytes  0/ 0:	10.9718	6.16846	6.18213	5.48608	5.48779
Length    1, alignments in bytes  0/ 0:	10.7201	6.18457	6.85522	5.49524	5.5011
Length    1, alignments in bytes  0/ 0:	10.7141	6.1759	6.86682	5.48633	5.49609
Length    1, alignments in bytes  0/ 1:	10.6134	6.18188	6.8584	5.49548	5.48291
Length    1, alignments in bytes  1/ 0:	10.3032	6.18066	6.87292	5.48511	5.14221
Length    2, alignments in bytes  0/ 0:	10.3076	6.85962	6.86755	6.61829	6.875
Length    2, alignments in bytes  0/ 0:	10.2902	6.86035	6.86707	6.58826	6.8656
Length    2, alignments in bytes  0/ 2:	10.2896	6.86658	6.85681	6.60889	6.87048
Length    2, alignments in bytes  2/ 0:	10.2887	6.85938	6.85852	5.50684	6.20459
Length    3, alignments in bytes  0/ 0:	10.9812	6.17786	6.86975	5.50183	6.88403
Length    3, alignments in bytes  0/ 0:	10.9749	6.1803	6.85632	5.49609	6.8678
Length    3, alignments in bytes  0/ 3:	10.9771	6.17004	6.86511	5.48657	6.86572
Length    3, alignments in bytes  3/ 0:	10.974	6.17859	6.85974	5.48413	8.25
Length    4, alignments in bytes  0/ 0:	10.9718	8.57971	8.52307	6.29102	8.92419
Length    4, alignments in bytes  0/ 0:	10.9718	8.578	8.5282	6.28235	8.91553
Length    4, alignments in bytes  0/ 4:	10.9738	6.50073	6.86926	6.26648	8.91174
Length    4, alignments in bytes  4/ 0:	10.9723	6.17639	6.86255	5.48181	8.26978
Length    5, alignments in bytes  0/ 0:	10.9728	8.57434	8.52429	7.1012	9.89832
Length    5, alignments in bytes  0/ 0:	10.974	8.56775	8.52075	7.10352	9.85669
Length    5, alignments in bytes  0/ 5:	10.9708	6.51306	6.85608	6.18384	8.92151
Length    5, alignments in bytes  5/ 0:	10.9701	6.1687	6.85742	6.17712	8.99231
Length    6, alignments in bytes  0/ 0:	11.1257	8.57703	8.51587	7.89819	12.3531
Length    6, alignments in bytes  0/ 0:	10.9728	8.56958	8.52405	7.8678	12.3417
Length    6, alignments in bytes  0/ 6:	10.9709	6.51526	6.86304	6.12781	12.3429
Length    6, alignments in bytes  6/ 0:	10.9728	6.16895	6.86658	5.48425	8.94653
Length    7, alignments in bytes  0/ 0:	10.9775	7.54102	7.44128	5.49841	12.3766
Length    7, alignments in bytes  0/ 0:	10.9766	7.5282	7.38953	5.49414	12.3495
Length    7, alignments in bytes  0/ 7:	10.9706	6.4978	6.8584	5.49548	12.3518
Length    7, alignments in bytes  7/ 0:	10.9701	6.17944	6.85364	5.49988	11.6613
Length    8, alignments in bytes  0/ 0:	10.9723	8.78613	8.599	6.32166	6.19946
Length    8, alignments in bytes  0/ 0:	10.9708	8.7478	8.59802	6.27759	6.18945
Length    8, alignments in bytes  0/ 0:	10.9718	8.74084	8.60913	6.28467	6.17419
Length    8, alignments in bytes  0/ 0:	10.9701	8.7666	8.59973	6.27673	6.17542
Length    9, alignments in bytes  0/ 0:	10.972	8.74353	8.60071	7.0979	7.32019
Length    9, alignments in bytes  0/ 0:	10.9725	8.74133	8.59668	7.14307	6.3407
Length    9, alignments in bytes  0/ 1:	10.972	8.745	8.58594	7.53418	7.13782
Length    9, alignments in bytes  1/ 0:	10.9728	8.74597	8.61243	7.46997	14.4449
Length   10, alignments in bytes  0/ 0:	10.9746	8.73901	8.60095	7.90051	7.56506
Length   10, alignments in bytes  0/ 0:	10.9709	8.73608	8.60718	7.87061	7.54688
Length   10, alignments in bytes  0/ 2:	10.9716	8.74304	8.60889	7.71411	8.0946
Length   10, alignments in bytes  2/ 0:	10.9722	8.72778	8.60913	7.61633	15.7819
Length   11, alignments in bytes  0/ 0:	10.9722	8.73877	8.59375	7.19727	8.24902
Length   11, alignments in bytes  0/ 0:	10.9717	8.74585	8.59497	7.18591	8.17749
Length   11, alignments in bytes  0/ 3:	10.9727	8.76611	8.59534	7.72681	8.92859
Length   11, alignments in bytes  3/ 0:	10.9858	8.73547	8.60986	7.62097	15.5764
Length   12, alignments in bytes  0/ 0:	10.9723	8.72864	8.59229	7.88245	9.61108
Length   12, alignments in bytes  0/ 0:	10.9703	8.75146	8.60132	7.87073	9.6012
Length   12, alignments in bytes  0/ 4:	10.9713	8.41907	8.23987	7.92102	9.61694
Length   12, alignments in bytes  4/ 0:	10.9711	8.43665	8.2334	7.61755	12.3607
Length   13, alignments in bytes  0/ 0:	10.9701	8.7666	8.58728	7.89648	11.953
Length   13, alignments in bytes  0/ 0:	10.9716	11.0177	8.59595	7.86755	11.9548
Length   13, alignments in bytes  0/ 5:	10.9708	8.41809	8.23242	7.93396	10.5653
Length   13, alignments in bytes  5/ 0:	10.9711	8.46375	8.22839	7.61426	12.6627
Length   14, alignments in bytes  0/ 0:	10.9708	8.75964	9.22546	8.11292	13.6238
Length   14, alignments in bytes  0/ 0:	11.2468	9.02246	8.81287	8.07397	13.6063
Length   14, alignments in bytes  0/ 6:	11.2476	8.72424	8.47302	8.13135	13.353
Length   14, alignments in bytes  6/ 0:	11.2466	8.66956	9.76355	7.82446	13.3068
Length   15, alignments in bytes  0/ 0:	11.2518	7.80542	7.9425	5.64001	13.3667
Length   15, alignments in bytes  0/ 0:	11.2533	7.8158	7.8175	5.62671	13.3607
