                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length   32/   8, alignment  6/ 4, N    8:	23.4338	21.7112	22.3502	20.4734	23.7349
Length   64/  64, alignment  0/ 0, N    8:	24.315	22.352	22.9916	21.2232	24.4532
Length   64/  64, alignment  5/ 6, N    8:	24.3239	22.459	23.0936	21.2158	24.419
Length   64/  16, alignment  0/ 0, N    8:	23.6656	21.2294	21.8549	20.6464	23.2742
Length   64/  16, alignment  5/ 6, N    8:	23.3112	21.229	21.8547	20.8144	23.6717
Length  128/ 128, alignment  0/ 0, N    8:	24.4278	22.3524	23.0745	21.0796	24.4725
Length  128/ 128, alignment  4/ 0, N    8:	24.3897	22.3491	22.9911	21.0785	24.4943
Length  128/  32, alignment  0/ 0, N    8:	24.3429	22.7926	23.0972	21.0751	24.3332
Length  128/  32, alignment  4/ 0, N    8:	24.4579	22.7845	23.1681	21.0881	24.4973
Length  256/ 256, alignment  0/ 0, N    8:	27.6445	22.353	23.0429	21.0767	27.7064
Length  256/ 256, alignment  3/ 2, N    8:	27.7394	22.351	23.0753	21.0746	27.7337
Length  256/  64, alignment  0/ 0, N    8:	24.4833	22.5083	22.9894	21.2139	24.3307
Length  256/  64, alignment  3/ 2, N    8:	24.3678	22.3528	22.9874	21.4289	24.3122
Length  512/ 512, alignment  0/ 0, N    8:	27.6644	22.3518	23.1762	24.0894	27.5901
Length  512/ 512, alignment  2/ 4, N    8:	27.7314	22.7794	23.7037	24.5999	28.3379
Length  512/ 128, alignment  0/ 0, N    8:	24.9178	22.8751	23.5259	21.5826	25.02
Length  512/ 128, alignment  2/ 4, N    8:	24.8671	22.8725	23.5246	21.5681	25.0807
Length 1024/1024, alignment  0/ 0, N    8:	28.7544	25.7303	28.8965	36.6573	28.7573
Length 1024/1024, alignment  1/ 6, N    8:	29.8074	26.2642	29.6303	39.4743	29.4441
Length 1024/ 256, alignment  0/ 0, N    8:	28.959	23.5638	24.0972	22.0805	28.7475
Length 1024/ 256, alignment  1/ 6, N    8:	28.8777	23.415	24.6557	22.1969	28.6804
Length   16/   1, alignment  1/ 2, N    8:	24.9004	23.4234	24.209	21.9579	25.4808
