                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2152	6.08557	6.02417	5.92468	5.93665
Length    0, alignments in bytes  0/ 0:	11.1055	6.09741	6.01746	5.93213	5.9259
Length    0, alignments in bytes  0/ 0:	11.1825	6.66113	6.03259	5.92114	5.73901
Length    0, alignments in bytes  0/ 0:	9.5874	5.75989	5.7533	5.11914	5.10852
Length    1, alignments in bytes  0/ 0:	9.91687	5.24402	5.18274	5.12085	5.13452
Length    1, alignments in bytes  0/ 0:	9.92371	5.76794	5.18958	5.12415	5.11499
Length    1, alignments in bytes  0/ 1:	9.43176	6.39868	5.18506	5.12488	5.10803
Length    1, alignments in bytes  1/ 0:	9.32629	6.39563	5.75171	5.11719	4.75928
Length    2, alignments in bytes  0/ 0:	9.33435	5.88477	5.89746	6.13904	6.40857
Length    2, alignments in bytes  0/ 0:	9.43396	5.88013	5.90491	6.12769	6.39941
Length    2, alignments in bytes  0/ 2:	9.17822	5.81421	5.83032	6.12805	6.39136
Length    2, alignments in bytes  2/ 0:	9.26221	5.75659	5.11279	5.12	6.40234
Length    3, alignments in bytes  0/ 0:	9.65247	4.52185	5.125	5.11682	6.41199
Length    3, alignments in bytes  0/ 0:	9.82812	4.53052	5.12439	5.1189	6.41443
Length    3, alignments in bytes  0/ 3:	9.61389	5.11072	5.12488	5.11072	6.40271
Length    3, alignments in bytes  3/ 0:	9.64282	5.10925	5.12012	5.10779	8.32373
Length    4, alignments in bytes  0/ 0:	9.59058	8.02576	7.99866	5.85693	8.32397
Length    4, alignments in bytes  0/ 0:	9.8584	7.99231	7.99622	5.87134	8.32019
Length    4, alignments in bytes  0/ 4:	10.0688	6.04639	6.09851	5.87866	8.3092
Length    4, alignments in bytes  4/ 0:	9.58167	5.11133	5.11719	5.11084	9.44092
Length    5, alignments in bytes  0/ 0:	9.98499	7.9873	7.98413	6.63953	9.13049
Length    5, alignments in bytes  0/ 0:	9.62842	7.99243	7.99207	6.63306	9.12903
Length    5, alignments in bytes  0/ 5:	9.58594	6.04272	6.09021	5.85266	8.3103
Length    5, alignments in bytes  5/ 0:	9.58142	5.10962	5.1178	5.11389	9.60242
Length    6, alignments in bytes  0/ 0:	10.0579	7.99255	7.99207	7.3324	11.5144
Length    6, alignments in bytes  0/ 0:	9.85071	7.9856	7.995	7.3418	11.509
Length    6, alignments in bytes  0/ 6:	9.85547	6.03723	6.10791	5.71082	9.06311
Length    6, alignments in bytes  6/ 0:	9.5802	5.12024	5.11304	5.11938	10.24
Length    7, alignments in bytes  0/ 0:	9.71533	7.00488	6.88831	5.12268	11.5127
Length    7, alignments in bytes  0/ 0:	9.72998	6.99548	6.88696	5.12781	11.5089
Length    7, alignments in bytes  0/ 7:	10.3196	6.19373	6.24414	5.23877	11.7644
Length    7, alignments in bytes  7/ 0:	10.1002	5.22705	5.23926	5.22864	9.17554
Length    8, alignments in bytes  0/ 0:	9.85217	8.48657	8.18542	6.00061	5.28381
Length    8, alignments in bytes  0/ 0:	9.97034	8.41541	8.18042	6.00073	5.255
Length    8, alignments in bytes  0/ 0:	9.88953	8.4624	8.17322	6.01404	5.88416
Length    8, alignments in bytes  0/ 0:	10.1912	8.56482	8.17822	6.00464	5.27954
Length    9, alignments in bytes  0/ 0:	9.94604	8.90613	8.18091	6.78186	6.62244
Length    9, alignments in bytes  0/ 0:	10.2368	8.78064	8.18262	6.78931	6.09448
Length    9, alignments in bytes  0/ 1:	10.1798	8.45837	8.17859	7.20801	6.82446
Length    9, alignments in bytes  1/ 0:	9.89136	8.3728	8.2074	7.14722	13.8152
Length   10, alignments in bytes  0/ 0:	10.1785	8.38953	8.17847	7.51086	6.94446
Length   10, alignments in bytes  0/ 0:	9.87744	8.47168	8.16931	7.49915	6.95581
Length   10, alignments in bytes  0/ 2:	10.23	8.56616	8.17102	7.34412	7.69104
Length   10, alignments in bytes  2/ 0:	9.87805	8.35791	8.24719	7.24866	14.4298
Length   11, alignments in bytes  0/ 0:	9.88965	8.48096	8.17102	6.86084	7.76074
Length   11, alignments in bytes  0/ 0:	10.2947	8.90295	8.17102	6.85986	7.75439
Length   11, alignments in bytes  0/ 3:	9.91785	8.49768	8.17468	7.35364	8.49036
Length   11, alignments in bytes  3/ 0:	9.87805	8.39075	8.19897	7.24353	17.0239
Length   12, alignments in bytes  0/ 0:	9.93384	8.46655	8.17053	7.5072	8.70544
Length   12, alignments in bytes  0/ 0:	10.03	8.56482	8.1759	7.50439	8.70398
Length   12, alignments in bytes  0/ 4:	10.0537	8.04077	7.98853	7.5614	8.95813
Length   12, alignments in bytes  4/ 0:	9.88147	8.03784	7.9801	7.25842	11.2131
Length   13, alignments in bytes  0/ 0:	9.97498	8.84155	8.17273	7.51038	11.3654
Length   13, alignments in bytes  0/ 0:	10.1466	8.93188	8.17786	7.51233	11.4115
Length   13, alignments in bytes  0/ 5:	9.96082	8.04236	7.98022	7.55017	10.1339
Length   13, alignments in bytes  5/ 0:	9.90576	8.0354	8.05347	7.25098	12.2612
Length   14, alignments in bytes  0/ 0:	10.1062	8.5177	8.16882	7.51331	12.652
Length   14, alignments in bytes  0/ 0:	9.87878	8.35791	8.18164	7.51477	12.5878
Length   14, alignments in bytes  0/ 6:	10.1428	8.04553	7.90149	7.5542	11.7683
Length   14, alignments in bytes  6/ 0:	9.9585	8.05493	8.06628	7.26062	12.6422
Length   15, alignments in bytes  0/ 0:	9.84265	7.24329	7.39502	5.24121	11.7762
Length   15, alignments in bytes  0/ 0:	9.81982	7.19604	7.39526	5.24292	11.7766
Length   15, alignments in bytes  0/ 7:	10.0057	8.07532	7.90466	5.2395	11.7689
Length   15, alignments in bytes  7/ 0:	10.0768	8.06628	8.026	5.23132	12.3802
Length   16, alignments in bytes  0/ 0:	9.948	8.4021	8.18286	5.25439	6.6687
Length   16, alignments in bytes  7/ 2:	9.96362	8.34229	8.2124	5.57715	13.2638
Length   32, alignments in bytes  0/ 0:	10.0935	6.55237	7.22144	7.20386	10.0347
Length   32, alignments in bytes  6/ 4:	10.4166	5.91064	7.19995	10.9409	15.4957
Length   64, alignments in bytes  0/ 0:	12.2039	7.90344	7.51831	7.96399	14.66
Length   64, alignments in bytes  5/ 6:	14.4578	13.4674	14.0768	12.199	24.7426
Length  128, alignments in bytes  0/ 0:	15.9885	9.86316	10.3716	13.8088	25.4136
Length  128, alignments in bytes  4/ 0:	17.7622	10.3971	11.8607	14.8496	32.1575
Length  256, alignments in bytes  0/ 0:	22.288	15.4269	16.114	18.3903	50.7717
