                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.7465	22.1465	23.0325	20.8206	13.6004
Length    0/   0, alignment  0/ 0:	23.4143	22.1121	23.0316	20.8206	13.6919
Length    0/   0, alignment  0/ 0:	23.5547	22.0763	23.0323	20.8176	13.7209
Length    0/   0, alignment  0/ 0:	23.4144	22.0763	23.0316	20.8491	13.6196
Length    1/   1, alignment  0/ 0:	23.4513	22.0762	23.1233	20.8566	14.718
Length    1/   1, alignment  0/ 0:	23.6294	22.2198	22.8645	20.8885	14.7177
Length    1/   1, alignment  0/ 1:	23.7449	22.0763	22.7453	20.8723	6.99524
Length    1/   1, alignment  1/ 0:	23.5356	22.0763	22.8777	20.8894	14.7407
Length    2/   2, alignment  0/ 0:	23.6937	22.7454	23.4144	21.5662	15.441
Length    2/   2, alignment  0/ 0:	23.5905	22.7453	23.4343	21.5558	15.4407
Length    2/   2, alignment  0/ 2:	23.6064	22.764	23.4143	21.546	9.43388
Length    2/   2, alignment  2/ 0:	23.4327	22.7453	23.6969	21.5567	15.467
Length    3/   3, alignment  0/ 0:	23.5715	22.0764	22.7456	20.8484	15.5746
Length    3/   3, alignment  0/ 0:	23.5783	22.0763	22.9148	20.8959	15.5733
Length    3/   3, alignment  0/ 3:	23.6064	22.0997	22.7453	20.8241	11.5741
Length    3/   3, alignment  3/ 0:	23.4143	22.0977	22.7451	20.8323	17.4562
Length    4/   4, alignment  0/ 0:	23.6473	22.7889	23.6533	21.5475	17.5634
Length    4/   4, alignment  0/ 0:	23.6615	22.7906	23.6999	21.5156	17.5589
Length    4/   4, alignment  0/ 4:	23.5787	22.7721	23.9091	22.938	14.8246
Length    4/   4, alignment  4/ 0:	24.3094	22.7752	23.6534	21.522	19.145
Length    5/   5, alignment  0/ 0:	24.1695	22.7825	24.2553	21.9867	18.4636
Length    5/   5, alignment  0/ 0:	23.6914	22.7907	23.8263	21.5447	18.4608
Length    5/   5, alignment  0/ 5:	24.0417	22.8389	23.6534	21.571	16.0948
Length    5/   5, alignment  5/ 0:	24.0348	22.7757	25.4818	22.3502	19.5888
Length    6/   6, alignment  0/ 0:	24.9682	22.8199	23.8441	21.5373	19.1289
Length    6/   6, alignment  0/ 0:	23.6271	23.0119	23.653	21.535	19.0961
Length    6/   6, alignment  0/ 6:	24.1071	22.7453	23.6534	21.5368	18.3668
Length    6/   6, alignment  6/ 0:	23.8462	22.7689	23.8397	21.6843	19.7415
Length    7/   7, alignment  0/ 0:	23.5661	22.9554	23.6925	20.9002	18.636
Length    7/   7, alignment  0/ 0:	23.8105	22.7916	23.6534	20.814	19.1209
Length    7/   7, alignment  0/ 7:	23.5624	22.7455	23.6532	20.9254	19.0369
Length    7/   7, alignment  7/ 0:	23.5711	22.7481	23.8158	20.9135	19.6453
Length    8/   8, alignment  0/ 0:	23.8635	22.9217	23.5104	21.4928	16.0588
Length    8/   8, alignment  0/ 0:	23.9181	22.8079	23.4718	21.5021	16.22
Length    8/   8, alignment  0/ 0:	23.8859	22.7453	23.6048	21.5392	16.0565
Length    8/   8, alignment  0/ 0:	23.6831	22.808	23.6417	21.4975	16.0569
Length    9/   9, alignment  0/ 0:	23.6786	22.7673	23.5592	21.5312	16.0572
Length    9/   9, alignment  0/ 0:	23.8612	22.7453	23.6643	21.5776	16.0565
Length    9/   9, alignment  0/ 1:	23.6991	22.7452	23.6822	21.5636	16.7284
Length    9/   9, alignment  1/ 0:	23.691	22.7678	23.5093	21.5559	22.4202
Length   10/  10, alignment  0/ 0:	23.6927	22.7452	23.4743	21.5074	16.8128
Length   10/  10, alignment  0/ 0:	23.9021	22.7453	23.5176	21.5452	16.7781
Length   10/  10, alignment  0/ 2:	23.7059	22.7455	23.6658	21.5437	17.4226
Length   10/  10, alignment  2/ 0:	23.8021	22.7676	23.6628	21.508	21.8838
Length   11/  11, alignment  0/ 0:	23.8307	22.8079	23.6042	21.5398	17.4208
Length   11/  11, alignment  0/ 0:	23.684	22.7453	23.6015	21.5423	17.43
Length   11/  11, alignment  0/ 3:	23.7495	22.7631	23.4143	21.5368	18.179
Length   11/  11, alignment  3/ 0:	23.7807	22.7452	23.5571	21.5229	21.9093
Length   12/  12, alignment  0/ 0:	23.7434	22.8078	23.4599	21.5289	18.2165
Length   12/  12, alignment  0/ 0:	23.797	22.7453	23.7116	21.5355	18.2231
Length   12/  12, alignment  0/ 4:	23.7358	22.7632	23.7049	21.4281	17.3939
Length   12/  12, alignment  4/ 0:	23.9888	22.7452	23.4733	21.5436	19.5088
Length   13/  13, alignment  0/ 0:	23.8016	22.7452	23.6438	21.5405	19.0127
Length   13/  13, alignment  0/ 0:	24.0486	22.7656	23.6627	21.5274	19.0072
Length   13/  13, alignment  0/ 5:	23.7816	22.7453	23.7053	21.4336	18.0837
Length   13/  13, alignment  5/ 0:	23.7391	22.7453	23.4718	21.56	19.9395
Length   14/  14, alignment  0/ 0:	23.6861	22.7647	23.4746	21.5222	19.7599
Length   14/  14, alignment  0/ 0:	23.9773	22.7453	23.6968	21.5058	19.7608
Length   14/  14, alignment  0/ 6:	23.7105	22.7452	23.4383	21.4472	18.7475
Length   14/  14, alignment  6/ 0:	23.737	22.7452	23.6764	21.5383	20.1814
Length   15/  15, alignment  0/ 0:	23.775	22.765	23.4786	20.8367	19.4786
