                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	11.9496	7.26413	8.02788	6.68987	10.9955
Length   16, n   16, alignment  1/ 1:	12.5348	7.53835	8.22358	6.91315	11.4156
Length   16, n   16, alignment  1/ 2:	12.9534	7.72681	11.3988	6.85291	11.4363
Length   16, n   16, alignment  2/ 1:	12.8256	7.6382	8.2901	7.03917	11.3497
Length    2, n    4, alignment  7/ 2:	13.8925	11.9395	11.0101	10.9854	13.2349
Length    4, n    2, alignment  2/ 7:	12.0311	8.39489	8.36072	6.85307	11.1192
Length    2, n    4, alignment  7/ 2:	13.7912	11.9772	11.1868	10.9649	14.7973
Length    4, n    2, alignment  2/ 7:	11.8891	8.24812	8.22377	6.85304	11.2465
Length   16, n   16, alignment  2/ 2:	12.6455	7.57564	8.22364	6.85767	11.3279
Length   16, n   16, alignment  2/ 2:	12.9557	7.72671	8.4292	6.9352	11.1415
Length   16, n   16, alignment  2/ 4:	12.8511	7.74403	8.38098	6.85293	11.3957
Length   16, n   16, alignment  4/ 2:	12.9163	7.72676	8.43667	7.02421	11.1583
Length    4, n    8, alignment  6/ 4:	14.7806	12.2037	12.116	10.9651	14.1211
Length    8, n    4, alignment  4/ 6:	12.7896	7.75014	8.42933	6.9788	11.3066
Length    4, n    8, alignment  6/ 4:	14.6786	12.1288	11.9519	10.9647	14.1459
Length    8, n    4, alignment  4/ 6:	12.9792	7.74428	8.42937	7.04629	11.2692
Length   16, n   16, alignment  3/ 3:	12.6681	7.68749	8.46669	7.01404	11.3966
Length   16, n   16, alignment  3/ 3:	12.536	7.72676	8.43448	6.91749	11.3166
Length   16, n   16, alignment  3/ 6:	12.7511	7.75014	8.42924	6.93686	11.2019
Length   16, n   16, alignment  6/ 3:	12.9839	7.75018	8.45102	7.04028	11.5609
Length    8, n   16, alignment  5/ 6:	14.6234	11.2772	11.1637	10.9649	14.1378
Length   16, n    8, alignment  6/ 5:	12.6778	8.38655	9.04873	6.87344	11.4295
Length    8, n   16, alignment  5/ 6:	14.2545	11.2563	11.2109	11.081	14.1466
Length   16, n    8, alignment  6/ 5:	12.6978	8.42597	8.90892	6.85777	11.3752
Length   16, n   16, alignment  4/ 4:	13.0186	7.76603	8.45252	7.02431	11.2386
Length   16, n   16, alignment  4/ 4:	13	7.7493	8.37637	6.85301	11.1403
Length   16, n   16, alignment  4/ 0:	12.6259	7.67334	8.39929	6.96651	11.4038
Length   16, n   16, alignment  0/ 4:	12.7724	7.74885	8.44611	7.02931	11.4728
Length   16, n   32, alignment  4/ 0:	14.7777	10.8312	11.876	11.8884	14.3548
Length   32, n   16, alignment  0/ 4:	12.9513	7.04177	7.02433	7.02934	11.4628
Length   16, n   32, alignment  4/ 0:	14.589	10.8322	11.9495	11.7998	14.5402
Length   32, n   16, alignment  0/ 4:	12.697	7.02442	7.02979	6.98975	11.2485
Length   16, n   16, alignment  5/ 5:	12.9794	7.74443	8.43436	7.02423	11.4856
Length   16, n   16, alignment  5/ 5:	13.0054	7.7319	8.42917	7.02421	11.4616
Length   16, n   16, alignment  5/ 2:	12.6437	7.73167	8.42904	6.91342	11.3833
Length   16, n   16, alignment  2/ 5:	12.6807	7.64406	8.42911	6.95602	11.144
Length   32, n   64, alignment  3/ 2:	18.1389	9.91607	11.9415	13.953	18.0628
Length   64, n   32, alignment  2/ 3:	11.5247	7.76976	7.72692	7.72689	11.4993
Length   32, n   64, alignment  3/ 2:	17.4022	10.3933	11.6264	13.873	17.0789
Length   64, n   32, alignment  2/ 3:	11.5223	7.72693	7.7438	7.73214	11.4907
Length   16, n   16, alignment  6/ 6:	13.0171	7.92496	8.67033	7.14846	11.5156
Length   16, n   16, alignment  6/ 6:	12.928	7.72672	8.43407	7.02424	11.4452
Length   16, n   16, alignment  6/ 4:	15.8637	7.7429	8.44569	6.98842	11.2019
Length   16, n   16, alignment  4/ 6:	12.7066	7.7445	8.42905	6.94827	11.2381
Length   64, n  128, alignment  2/ 4:	16.3974	14.9851	14.0333	16.7256	16.3475
Length  128, n   64, alignment  4/ 2:	14.2923	9.13167	10.566	12.2484	14.7009
Length   64, n  128, alignment  2/ 4:	16.724	15.3766	13.9734	16.6816	16.1425
Length  128, n   64, alignment  4/ 2:	14.2859	9.70798	10.5364	12.2235	14.243
Length   16, n   16, alignment  7/ 7:	12.8198	7.7268	8.43449	7.02428	11.2581
Length   16, n   16, alignment  7/ 7:	12.8381	7.62227	8.41496	6.94724	11.5214
Length   16, n   16, alignment  7/ 6:	12.6875	7.75094	8.42927	6.95605	11.2006
Length   16, n   16, alignment  6/ 7:	12.9216	7.74418	8.42926	7.02932	11.6741
Length  128, n  256, alignment  1/ 6:	20.2852	18.4001	17.3422	25.2716	20.3314
Length  256, n  128, alignment  6/ 1:	16.9734	13.8691	12.9893	20.2801	17.2413
Length  128, n  256, alignment  1/ 6:	21.545	18.8399	17.3359	25.3396	20.1998
Length  256, n  128, alignment  6/ 1:	17.0311	14.0019	13.3206	20.2904	17.2614
Length    8, n   16, alignment  0/ 0:	14.4727	11.5507	11.3393	11.2439	14.5059
Length   32, n   16, alignment  0/ 0:	12.9796	7.02451	7.02927	6.95517	11.0695
Length    8, n   16, alignment  7/ 2:	14.5957	11.7	11.7616	11.1395	14.4227
Length   32, n   16, alignment  7/ 2:	12.8768	7.74236	7.7319	6.87376	11.331
Length   16, n   32, alignment  0/ 0:	14.0742	10.0072	11.9413	11.8971	14.2997
Length   64, n   32, alignment  0/ 0:	11.9241	7.74348	7.73194	7.66932	11.2228
Length   16, n   32, alignment  6/ 4:	14.5846	10.8289	11.9803	11.9464	14.6077
Length   64, n   32, alignment  6/ 4:	11.4688	7.732	7.74383	7.72672	11.4769
Length   32, n   64, alignment  0/ 0:	17.0885	9.97514	11.48	13.3706	15.4404
Length  128, n   64, alignment  0/ 0:	13.7704	7.76416	7.74883	9.85654	12.3374
Length   32, n   64, alignment  5/ 6:	16.389	11.8213	11.9259	14.4745	15.7871
Length  128, n   64, alignment  5/ 6:	13.8213	10.557	10.5377	13.0285	13.9615
Length   64, n  128, alignment  0/ 0:	16.1928	13.6939	12.9875	15.3277	16.6441
Length  256, n  128, alignment  0/ 0:	16.8689	11.1203	11.5492	14.8008	16.0035
Length   64, n  128, alignment  4/ 0:	17.0572	14.31	13.3384	16.4288	16.0723
Length  256, n  128, alignment  4/ 0:	16.3681	13.5098	13.1583	19.0853	15.7169
Length  128, n  256, alignment  0/ 0:	19.8772	16.7097	16.0291	23.5264	19.9963
Length  512, n  256, alignment  0/ 0:	19.217	15.7143	15.5015	19.1491	18.9929
Length  128, n  256, alignment  3/ 2:	24.0154	17.9217	16.6061	24.026	20.824
Length  512, n  256, alignment  3/ 2:	24.6371	21.1424	20.6665	23.9224	24.7695
Length  256, n  512, alignment  0/ 0:	29.5372	24.3961	23.4673	29.861	29.0371
Length 1024, n  512, alignment  0/ 0:	30.0219	20.2079	20.1992	30.3235	30.7324
Length  256, n  512, alignment  2/ 4:	31.2318	27.5424	26.7501	31.3422	30.0153
Length 1024, n  512, alignment  2/ 4:	32.8147	26.9211	27.4964	33.9478	33.5923
Length  512, n 1024, alignment  0/ 0:	44.4789	30.6643	29.6281	45.3961	43.7984
Length 2048, n 1024, alignment  0/ 0:	47.9321	28.4833	29.6351	55.7874	48.6717
Length  512, n 1024, alignment  1/ 6:	51.5757	33.1294	29.8235	46.2044	51.911
Length 2048, n 1024, alignment  1/ 6:	54.6919	41.3449	36.3534	56.4919	55.8422
