                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	13.3104	8.975	8.83909	7.20452	12.1859
Length   16, n   16, alignment  1/ 1:	13.5543	7.98525	8.64537	7.20442	13.8145
Length   16, n   16, alignment  1/ 2:	14.1063	7.99843	8.68555	7.71103	12.024
Length   16, n   16, alignment  2/ 1:	13.3713	7.92508	8.67847	8.63238	12.812
Length    2, n    4, alignment  7/ 2:	14.2234	12.4594	11.6628	11.527	13.9704
Length    4, n    2, alignment  2/ 7:	14.3019	9.42994	8.74096	7.24242	11.6399
Length    2, n    4, alignment  7/ 2:	14.4039	12.3203	11.5423	11.5637	15.3932
Length    4, n    2, alignment  2/ 7:	12.5485	8.6453	8.79181	7.20458	12.1876
Length   16, n   16, alignment  2/ 2:	13.0778	7.94253	8.83486	8.05957	11.7515
Length   16, n   16, alignment  2/ 2:	13.3913	7.94596	8.64525	7.21781	11.6777
Length   16, n   16, alignment  2/ 4:	13.2208	8.70484	8.77398	7.22488	11.7279
Length   16, n   16, alignment  4/ 2:	13.3683	8.18426	8.64526	7.20439	11.9067
Length    4, n    8, alignment  6/ 4:	15.6038	12.5735	12.6939	11.5271	15.0128
Length    8, n    4, alignment  4/ 6:	13.3124	7.92496	9.37345	7.29453	12.0623
Length    4, n    8, alignment  6/ 4:	14.8626	12.6324	12.6086	11.5446	15.2252
Length    8, n    4, alignment  4/ 6:	14.1659	7.99584	8.76872	7.20456	12.2444
Length   16, n   16, alignment  3/ 3:	13.3386	7.9443	8.64532	7.44123	12.3843
Length   16, n   16, alignment  3/ 3:	13.2253	7.92495	9.26725	7.20444	11.756
Length   16, n   16, alignment  3/ 6:	13.4141	7.92494	8.80577	8.08494	12.1691
Length   16, n   16, alignment  6/ 3:	13.6091	8.32628	8.87282	7.40984	12.1611
Length    8, n   16, alignment  5/ 6:	15.2059	12.454	12.0635	11.857	15.0674
Length   16, n    8, alignment  6/ 5:	13.5047	8.87312	9.70666	7.52674	12.8997
Length    8, n   16, alignment  5/ 6:	15.0278	11.8518	12.0055	11.8884	15.2935
Length   16, n    8, alignment  6/ 5:	14.1694	8.96757	9.67565	7.44892	12.12
Length   16, n   16, alignment  4/ 4:	13.5152	8.23128	8.8879	7.39403	13.0778
Length   16, n   16, alignment  4/ 4:	14.1106	8.15796	8.87282	7.3939	12.2405
Length   16, n   16, alignment  4/ 0:	13.4291	8.1335	10.5254	8.4423	12.7948
Length   16, n   16, alignment  0/ 4:	13.6932	8.2944	8.87281	7.39415	12.0406
Length   16, n   32, alignment  4/ 0:	16.8941	12.9474	13.2489	12.7181	15.7092
Length   32, n   16, alignment  0/ 4:	13.5856	7.3941	7.93543	8.8692	12.7285
Length   16, n   32, alignment  4/ 0:	17.1298	11.4357	18.3846	12.5698	16.3956
Length   32, n   16, alignment  0/ 4:	14.221	7.3942	7.42193	7.394	12.1983
Length   16, n   16, alignment  5/ 5:	13.4947	8.22619	8.8988	8.6722	13.3205
Length   16, n   16, alignment  5/ 5:	13.5413	8.13357	8.96367	7.48023	12.3523
Length   16, n   16, alignment  5/ 2:	13.4756	8.14623	9.89512	7.83142	12.0739
Length   16, n   16, alignment  2/ 5:	13.6422	8.24095	8.87278	7.39399	12.0742
Length   32, n   64, alignment  3/ 2:	20.0942	11.3269	11.0933	14.6759	17.9735
Length   64, n   32, alignment  2/ 3:	12.1136	9.64035	9.13823	8.64353	12.0131
Length   32, n   64, alignment  3/ 2:	18.6247	10.4989	11.1185	14.7748	20.6766
Length   64, n   32, alignment  2/ 3:	12.1047	8.13349	8.24406	8.13346	12.0946
Length   16, n   16, alignment  6/ 6:	13.5337	9.6898	10.1612	7.90199	12.1775
Length   16, n   16, alignment  6/ 6:	13.631	8.13331	8.88829	7.394	12.0694
Length   16, n   16, alignment  6/ 4:	15.8153	8.90388	8.91903	7.42451	12.0663
Length   16, n   16, alignment  4/ 6:	13.6702	8.13341	8.88775	7.39392	14.6106
Length   64, n  128, alignment  2/ 4:	17.3791	15.7623	14.8672	17.6433	18.7541
Length  128, n   64, alignment  4/ 2:	16.1795	10.1425	11.0909	12.9423	14.2717
Length   64, n  128, alignment  2/ 4:	17.4519	16.5094	14.992	17.6555	16.9539
Length  128, n   64, alignment  4/ 2:	14.5893	9.67355	11.4265	13.0791	14.6267
Length   16, n   16, alignment  7/ 7:	13.6508	8.15057	8.87284	7.39395	11.9876
Length   16, n   16, alignment  7/ 7:	14.7415	8.59639	8.87282	7.49306	12.1269
Length   16, n   16, alignment  7/ 6:	13.6709	8.18586	8.88659	8.63318	12.777
Length   16, n   16, alignment  6/ 7:	14.505	8.25198	8.87286	7.52654	12.0423
Length  128, n  256, alignment  1/ 6:	22.973	20.7003	18.5044	26.6827	21.5183
Length  256, n  128, alignment  6/ 1:	20.9734	14.7468	13.7534	20.8653	18.0106
Length  128, n  256, alignment  1/ 6:	24.0289	19.3351	18.3894	26.649	24.208
Length  256, n  128, alignment  6/ 1:	17.6256	14.7055	13.6955	21.3887	19.6564
Length    8, n   16, alignment  0/ 0:	15.0677	12.0028	11.858	11.8304	15.0727
Length   32, n   16, alignment  0/ 0:	16.3724	8.07712	7.3941	7.41469	12.1478
Length    8, n   16, alignment  7/ 2:	15.3559	12.3955	13.4056	13.6612	15.4969
Length   32, n   16, alignment  7/ 2:	13.6622	8.24116	8.13335	7.39421	12.1441
Length   16, n   32, alignment  0/ 0:	17.2896	11.2127	12.6754	12.5698	15.4003
Length   64, n   32, alignment  0/ 0:	12.174	8.13354	8.82322	8.77864	13.5837
Length   16, n   32, alignment  6/ 4:	15.7065	11.5686	12.5929	12.5981	15.5038
Length   64, n   32, alignment  6/ 4:	12.3406	9.5659	8.20529	8.22222	12.088
Length   32, n   64, alignment  0/ 0:	15.6772	10.8094	11.1548	15.1659	15.5851
Length  128, n   64, alignment  0/ 0:	14.23	8.24513	8.16333	10.3519	12.9312
Length   32, n   64, alignment  5/ 6:	18.5642	12.2621	12.5203	15.183	17.0658
Length  128, n   64, alignment  5/ 6:	14.9408	11.6045	11.7289	13.8175	14.6328
Length   64, n  128, alignment  0/ 0:	17.1569	14.0001	15.5301	17.3244	17.26
Length  256, n  128, alignment  0/ 0:	19.2639	11.9628	11.2191	16.5511	17.1396
Length   64, n  128, alignment  4/ 0:	17.7786	15.2664	14.4917	17.7611	18.7644
Length  256, n  128, alignment  4/ 0:	17.8025	14.49	13.737	20.2167	17.9022
Length  128, n  256, alignment  0/ 0:	21.6508	17.622	17.2205	26.2778	20.4876
Length  512, n  256, alignment  0/ 0:	21.7252	16.6971	16.3422	21.1229	20.0631
Length  128, n  256, alignment  3/ 2:	22.8871	18.8922	18.3491	26.0708	23.2224
Length  512, n  256, alignment  3/ 2:	26.3917	23.2852	22.489	25.3647	26.9259
Length  256, n  512, alignment  0/ 0:	29.8791	26.3739	25.5885	34.1691	31.5375
Length 1024, n  512, alignment  0/ 0:	34.6027	21.7958	21.3714	32.4111	35.917
Length  256, n  512, alignment  2/ 4:	32.4087	30.7604	29.054	34.7928	34.8423
Length 1024, n  512, alignment  2/ 4:	35.5159	28.4094	30.1045	36.8804	35.8126
Length  512, n 1024, alignment  0/ 0:	48.9787	33.1809	32.8302	49.2299	48.5979
Length 2048, n 1024, alignment  0/ 0:	58.9561	30.9098	32.0168	58.2659	53.28
Length  512, n 1024, alignment  1/ 6:	58.9373	37.3146	32.8777	50.5354	58.2827
Length 2048, n 1024, alignment  1/ 6:	61.5443	45.6298	41.428	61.5263	61.4067
