                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.1567	7.18785	7.86867	6.68987	11.0275
Length   16, n   16, alignment  1/ 1:	12.4654	7.60999	8.24125	6.85303	11.2761
Length   16, n   16, alignment  1/ 2:	12.605	7.59299	8.41223	6.95045	11.3282
Length   16, n   16, alignment  2/ 1:	12.9184	7.72677	8.23285	6.95948	11.215
Length    2, n    4, alignment  7/ 2:	13.6597	11.9757	11.1261	10.9649	14.3481
Length    4, n    2, alignment  2/ 7:	12.0989	8.90906	8.22378	6.86484	11.2436
Length    2, n    4, alignment  7/ 2:	13.4339	11.7416	10.9704	10.9647	13.9208
Length    4, n    2, alignment  2/ 7:	12.0947	8.43998	8.42791	6.86011	11.5138
Length   16, n   16, alignment  2/ 2:	12.7407	7.56611	8.38185	6.87647	11.2327
Length   16, n   16, alignment  2/ 2:	12.8363	7.69792	8.22881	6.85297	11.2487
Length   16, n   16, alignment  2/ 4:	12.979	7.68821	8.42513	7.02431	11.2575
Length   16, n   16, alignment  4/ 2:	13.0022	7.72675	8.26677	6.85822	11.3904
Length    4, n    8, alignment  6/ 4:	14.4719	12.2145	12.0059	10.9649	14.3622
Length    8, n    4, alignment  4/ 6:	12.6765	7.61331	8.42929	6.92422	11.402
Length    4, n    8, alignment  6/ 4:	14.4017	12.1876	11.9395	10.9728	14.1143
Length    8, n    4, alignment  4/ 6:	13.0141	7.72684	8.4407	6.88761	11.5248
Length   16, n   16, alignment  3/ 3:	12.8462	7.73809	8.2235	6.98784	11.2217
Length   16, n   16, alignment  3/ 3:	12.7301	7.74985	8.42915	7.02428	11.5403
Length   16, n   16, alignment  3/ 6:	12.9893	7.56046	8.41122	7.04995	11.5207
Length   16, n   16, alignment  6/ 3:	12.856	7.5383	8.29919	6.94758	11.2882
Length    8, n   16, alignment  5/ 6:	14.1522	11.2607	11.2392	11.0379	14.2217
Length   16, n    8, alignment  6/ 5:	13.1414	8.42924	9.00269	6.85323	11.4905
Length    8, n   16, alignment  5/ 6:	14.1496	11.2617	11.1782	10.9699	14.1402
Length   16, n    8, alignment  6/ 5:	12.743	8.44641	9.13681	6.8705	11.1857
Length   16, n   16, alignment  4/ 4:	12.644	7.73163	8.3903	6.85293	11.1314
Length   16, n   16, alignment  4/ 4:	12.7866	7.74926	8.44589	7.02938	11.47
Length   16, n   16, alignment  4/ 0:	13.0189	7.53826	8.22361	6.87984	11.3484
Length   16, n   16, alignment  0/ 4:	12.8728	7.72669	8.32957	6.85291	11.3999
Length   16, n   32, alignment  4/ 0:	14.6578	10.8273	11.8697	11.8176	14.4553
Length   32, n   16, alignment  0/ 4:	12.724	7.02444	6.8869	6.85293	11.1052
Length   16, n   32, alignment  4/ 0:	14.4891	10.8279	11.9415	11.8244	14.2641
Length   32, n   16, alignment  0/ 4:	12.9505	6.90182	6.91689	7.02422	11.5916
Length   16, n   16, alignment  5/ 5:	12.4914	7.54373	8.39777	6.8529	11.1965
Length   16, n   16, alignment  5/ 5:	12.816	7.73236	8.40458	6.85966	11.116
Length   16, n   16, alignment  5/ 2:	12.8168	7.72681	8.33376	6.85767	11.2301
Length   16, n   16, alignment  2/ 5:	12.7323	7.6613	8.46004	6.90609	11.5232
Length   32, n   64, alignment  3/ 2:	17.5817	9.87545	11.9415	13.7145	17.2715
Length   64, n   32, alignment  2/ 3:	11.4304	7.73328	7.7655	7.74269	11.4945
Length   32, n   64, alignment  3/ 2:	17.6562	10.0131	14.8506	13.7293	16.8427
Length   64, n   32, alignment  2/ 3:	11.5071	7.74396	7.74401	7.72691	11.6056
Length   16, n   16, alignment  6/ 6:	12.7155	7.74326	8.43494	6.87532	11.4847
Length   16, n   16, alignment  6/ 6:	12.8439	7.7545	8.42905	7.02426	11.5155
Length   16, n   16, alignment  6/ 4:	12.9237	7.55501	8.28169	7.05864	11.4137
Length   16, n   16, alignment  4/ 6:	12.6667	7.72671	8.43399	7.0242	11.3464
Length   64, n  128, alignment  2/ 4:	16.1985	14.9909	14.1517	16.762	15.9813
Length  128, n   64, alignment  4/ 2:	14.5153	9.70523	10.456	11.9312	13.6951
Length   64, n  128, alignment  2/ 4:	16.368	14.9373	14.1232	16.6731	16.2604
Length  128, n   64, alignment  4/ 2:	14.6478	9.13673	10.5504	12.2453	13.6314
Length   16, n   16, alignment  7/ 7:	12.988	7.72688	8.43429	7.02423	12.065
Length   16, n   16, alignment  7/ 7:	12.6436	7.73192	8.42912	6.96895	11.295
Length   16, n   16, alignment  7/ 6:	12.9816	7.73185	8.33502	6.85292	11.1215
Length   16, n   16, alignment  6/ 7:	12.9414	7.72665	8.42921	7.02916	11.6467
Length  128, n  256, alignment  1/ 6:	20.559	18.3556	17.359	25.2678	20.5262
Length  256, n  128, alignment  6/ 1:	17.0258	13.8547	13.0536	20.1372	17.4692
Length  128, n  256, alignment  1/ 6:	21.123	18.6417	17.4035	25.2524	20.1827
Length  256, n  128, alignment  6/ 1:	17.0449	13.8555	13.0724	19.9323	17.4877
Length    8, n   16, alignment  0/ 0:	14.6823	11.5324	11.2706	40.2987	13.1218
Length   32, n   16, alignment  0/ 0:	12.2536	6.69481	6.68981	6.68973	11.1016
Length    8, n   16, alignment  7/ 2:	14.2923	11.4021	11.769	42.3599	13.1667
Length   32, n   16, alignment  7/ 2:	12.4545	7.35875	7.35891	6.69651	11.2249
Length   16, n   32, alignment  0/ 0:	14.0037	9.90533	11.8581	36.6467	13.0801
Length   64, n   32, alignment  0/ 0:	11.0426	7.51124	7.48793	7.54296	11.1748
Length   16, n   32, alignment  6/ 4:	14.2605	10.7863	11.9587	11.6552	14.347
Length   64, n   32, alignment  6/ 4:	11.5199	7.72668	7.74364	7.73193	11.4405
Length   32, n   64, alignment  0/ 0:	14.6395	9.9936	11.9595	13.4395	15.3455
Length  128, n   64, alignment  0/ 0:	13.6825	7.74438	7.73214	9.85662	13.6503
Length   32, n   64, alignment  5/ 6:	17.6198	11.5054	11.9545	14.3233	16.7733
Length  128, n   64, alignment  5/ 6:	14.0017	10.5509	10.5446	13.0553	14.1192
Length   64, n  128, alignment  0/ 0:	16.7096	13.332	12.6613	15.3477	16.3382
Length  256, n  128, alignment  0/ 0:	16.1572	10.9344	10.4593	14.3985	15.3507
Length   64, n  128, alignment  4/ 0:	16.9038	14.4128	13.473	16.4261	18.0342
Length  256, n  128, alignment  4/ 0:	16.2077	13.4642	12.6694	18.6376	16.2772
Length  128, n  256, alignment  0/ 0:	19.9914	16.6899	15.9393	23.5703	19.8478
Length  512, n  256, alignment  0/ 0:	18.6226	15.7707	15.5052	19.2829	18.3877
Length  128, n  256, alignment  3/ 2:	21.9982	17.9134	16.4806	24.2111	20.438
Length  512, n  256, alignment  3/ 2:	24.5381	21.1397	20.6936	23.5021	24.4794
Length  256, n  512, alignment  0/ 0:	28.2562	24.3384	23.4813	29.7902	27.9084
Length 1024, n  512, alignment  0/ 0:	29.6683	19.9293	20.1989	30.3679	30.0014
Length  256, n  512, alignment  2/ 4:	30.3879	27.2462	26.2474	31.3335	30.0719
Length 1024, n  512, alignment  2/ 4:	32.7296	26.4006	27.1166	34.7833	32.9602
Length  512, n 1024, alignment  0/ 0:	44.1345	33.4494	29.2157	44.7543	43.1092
Length 2048, n 1024, alignment  0/ 0:	48.1847	28.3882	29.5802	52.7928	48.432
Length  512, n 1024, alignment  1/ 6:	51.456	33.2945	29.6114	45.8487	51.018
Length 2048, n 1024, alignment  1/ 6:	54.7463	40.9117	36.7309	56.2429	55.7172
